Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6ytH7ADkUMWEFrtGKz6uzQ,"Underwater Boy","Shiver","Virna Lindt",1984-04-28,378826,33,seankmchenry,2020-04-07T22:11:50Z,"","LTM Recordings",0.349,0.578,2,-9.982,1,0.0345,0.126,0.851,0.0999,0.369,79.534,4
6T409XwSaP7FwZTGhynyAf,"Dream Dancer","Half Moon Bay","William Aura",1987-01-01,386266,6,seankmchenry,2020-04-07T22:11:50Z,"","Higher Octave",0.456,0.437,10,-18.623,0,0.0402,0.187,0.701,0.203,0.552,195.225,4
7xP9rKt3mZMmb4FzIU84aE,"Closer","Closer","Gino Soccio",1994,374800,10,seankmchenry,2020-04-07T22:11:50Z,"italo disco","Rhino Atlantic",0.597,0.158,9,-18.927,0,0.0513,0.713,0.00946,0.0798,0.756,143.227,4
36s4d1L4UsCiPIWmgafxYq,"The Last Goodbye","The Last Dreams On Earth","A Copy for Collapse",2013-09-30,325186,0,seankmchenry,2020-04-07T22:11:50Z,"puglia indie","Seahorse",0.508,0.865,5,-10.406,0,0.0556,0.000106,0.899,0.0859,0.808,200.037,4
0FGUxjQ7vd3QeWz6vK0EPY,"You Could Be More As You Are","Saâda Bonaire","Saâda Bonaire",2013-11-11,356607,0,seankmchenry,2020-04-07T22:11:50Z,"arab groove,experimental pop","Captured Tracks",0.97,0.517,0,-9.645,1,0.117,0.135,0.0133,0.073,0.963,110.152,4
5GcDAsm0vgFWsrcL4kqK6k,"Body Talk","Body Talk","Imagination",1981,368466,41,seankmchenry,2020-04-07T22:11:50Z,"brit funk,disco,post-disco","R&B Division Ltd",0.753,0.516,5,-15.791,0,0.0531,0.0847,0.000377,0.045,0.792,83.984,4
3jAqtv3axuQ4lYz7v5h9MW,"The Goodbye Look","The Nightfly","Donald Fagen",1982-10-29,290306,37,seankmchenry,2020-04-07T22:11:50Z,"sophisti-pop,yacht rock","Reprise",0.808,0.454,9,-19.328,0,0.0525,0.441,0.00146,0.0751,0.851,106.928,4
44uuBBCvzcM0fG6Vy0sY6Q,"Swimmer","Cut Copy Presents: Oceans Apart","Roland Tings",2014-11-07,524820,0,seankmchenry,2020-04-07T22:11:50Z,"aussietronica","Cutters Records",0.547,0.941,0,-7.314,0,0.0369,0.403,0.85,0.111,0.895,178.016,4
5pJ4MVcTVR23CuUFWPecko,"Blind Andy","Now That's Magic","Tommy Awards",2014-11-09,412000,4,seankmchenry,2020-04-07T22:11:50Z,"","Magic Feet Recordings",0.644,0.737,6,-10.467,0,0.0337,0.00037,0.839,0.123,0.926,92.997,4
15GJB890F14sKD5qFLopS1,"Exotic Dance (Yellow Magic Orchestra)","Michelangelo In Space ('Bunny'-Remix)","Haruomi Hosono",2000,215613,0,seankmchenry,2020-04-07T22:11:50Z,"classic j-rock,j-ambient,japanese folk,japanese psychedelic,japanese singer-songwriter,japanese soundtrack,proto-techno","Ata Tak",0.799,0.465,8,-13.255,1,0.0454,0.804,0.938,0.344,0.421,106.05,4
4MFsl3b7eIvfAt9Yt2gbXQ,"Amoeba","ISDN","The Future Sound Of London",1994,320773,12,seankmchenry,2020-04-07T22:11:50Z,"abstract,big beat,breakbeat,electronica,intelligent dance music,trip hop","Virgin Records",0.337,0.604,8,-22.821,0,0.0486,0.11,0.963,0.321,0.329,93.972,4
2mFQ1UwlVpbzHSDv0qnioP,"India","Avalon","Roxy Music",1982-05-01,104893,38,seankmchenry,2020-04-07T22:11:50Z,"art rock,glam rock,melancholia,new romantic,new wave,new wave pop,sophisti-pop","EG Records",0.662,0.444,2,-12.505,1,0.0303,0.677,0.918,0.059,0.638,106.92,4
0hOe5KVXHijiKZaO2SR73J,"Super Koto - Andras Fox extended mix","Ponzu Beach","Ponzu Island,Andras Fox",2016-06-10,339606,0,seankmchenry,2020-04-07T22:11:50Z,"nu disco","Apersonal Music",0.814,0.726,11,-10.842,0,0.0582,0.0377,0.909,0.101,0.805,119.996,4
4qlBz6jmfA48EWFUDVjaFn,"Rye","Mosaic Remastered","Sounds From The Ground",2011-03-28,509439,12,seankmchenry,2020-04-07T22:11:50Z,"downtempo,future ambient,psychill","Upstream Records",0.728,0.297,7,-15.186,1,0.0345,0.691,0.881,0.0694,0.272,119.897,4
4pOvIRZOFFv28COIunpzbG,"Movies for Lovers","Movies for Lovers","Sare Havlicek",2015-04-27,266646,0,seankmchenry,2020-04-07T22:11:50Z,"","Nang",0.657,0.378,0,-12.98,1,0.06,0.701,0.623,0.104,0.202,159.986,4
1svVkaz6PCkWuH1HMKCKhQ,"Fighting for Our Rights","Yil Lull","Joe Geia,Andrew Namok",2013-11-05,230217,0,seankmchenry,2020-04-07T22:11:50Z,"australian indigenous music","Joe Geia",0.695,0.491,10,-12.072,0,0.0435,0.619,0.21,0.113,0.56,100.379,4
0oRhH7bPJeKfiPd92l9ZEw,"On Vibes","Port Arthur","Freestyle Man",1997-11-02,605013,0,seankmchenry,2020-04-07T22:11:50Z,"finnish electronic","Sahko Recordings",0.858,0.514,5,-10.048,1,0.0898,0.488,0.923,0.11,0.52,122.808,4
