Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
78T20W8GR3Apm2rBhkVoYL,"1CgtnHjLV5B84Z0Lcfj9U5","Rockberry Jam","Kings Of The West Coast","L.A. Dream Team",1986-01-01,316253,33,spotify:user:seankmchenry,2020-04-07T22:10:49Z,"electro,old school hip hop",0.8,0.725,1,-10.059,1,0.0586,0.00977,0.136,0.058,0.884,121.233,4
4alV1Dg73YXMOwZoD7If4T,"2ByXYkrbs6o7fQGrn17gZt","In A Vision","Virgo","Virgo",1989-06-01,287666,0,spotify:user:seankmchenry,2020-04-07T22:10:49Z,"acid house",0.738,0.693,10,-17.483,0,0.0484,0.00405,0.902,0.289,0.813,123.055,4
0hODHY2FSk6jh5Z74FYlY4,"2vuKF759CD6QCdD6pQD7yf","Makossa Rock","Down by Law","Deadline",1985,665600,0,spotify:user:seankmchenry,2020-04-07T22:10:49Z,"",0.858,0.414,1,-15.864,1,0.0564,0.228,0.848,0.0454,0.697,107.126,4
6noajkkuZkla4d8E6sYUiY,"6GGVr7WgIWhsnJNdGyPklP","Egypt Egypt","On the Nile","The Egyptian Lover",1984-01-01,319413,43,spotify:user:seankmchenry,2020-04-07T22:10:49Z,"electro,old school hip hop",0.916,0.704,4,-10.923,0,0.0942,0.0142,0.0114,0.0613,0.476,127.051,4
4klnRIYtOad02RJ0y046kc,"2x9icbtjEMPhOVGdwnx86F","Paying The Price","Beatwave","Per Tjernberg",1984-10-10,298666,0,spotify:user:seankmchenry,2020-04-07T22:10:49Z,"",0.749,0.802,1,-11.792,1,0.0654,0.203,0.00099,0.0569,0.96,109.277,4
1InpS9dh8JR05ATMmmZUja,"6GGVr7WgIWhsnJNdGyPklP","Freak-A-Holic","One Track Mind","The Egyptian Lover",1984-01-01,276266,14,spotify:user:seankmchenry,2020-04-07T22:10:49Z,"electro,old school hip hop",0.825,0.604,0,-7.389,1,0.0749,0.047,0.000571,0.0686,0.606,119.993,4
3qxoiew7mEYzktdAJjM404,"1Z8ZahIMzcnPa0q91qdb9U,0SgDfSfWqkZMW96aT2oQZ1","A.M.","Time Machine","Direct Drive/First Light,Paul Hardcastle",1982,352346,0,spotify:user:seankmchenry,2020-04-07T22:10:49Z,"smooth jazz",0.706,0.896,8,-7.212,1,0.038,0.0116,0.0634,0.266,0.707,124.83,4
2nWHzbBWBOePUvAImQv2So,"2ZvrvbQNrHKwjT7qfGFFUW","Rockit","Future Shock","Herbie Hancock",1983,325133,48,spotify:user:seankmchenry,2020-04-07T22:10:49Z,"contemporary post-bop,instrumental funk,jazz,jazz funk,jazz fusion,jazz piano,uk contemporary jazz",0.878,0.951,7,-5.077,1,0.069,0.0317,0.544,0.0614,0.607,111.334,4
7I3k6gjsjCGHmiqHEQvPrf,"2Djz8cbEv5rtrYrJYdzQ20","The Chase - Smooth Mix","Classics","Model 500",1993-06-01,344240,0,spotify:user:seankmchenry,2020-04-07T22:10:49Z,"acid house,afrofuturism,detroit techno,proto-techno,techno",0.712,0.694,7,-9.787,1,0.0399,0.00899,0.904,0.0752,0.963,128.383,4
6zMKrMSzD1E67gPrDXbEEs,"0VGUa1xtVL7g1srvyzbY7t","Castle 2 Castle","Bene's World","Benedek",2017-07-28,239997,0,spotify:user:seankmchenry,2020-04-07T22:10:49Z,"synth funk",0.698,0.714,2,-4.507,1,0.0455,0.0996,0.919,0.068,0.34,120.014,4
