Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3yNVfRQlUPViUh8O2V9SQn,"Just a Friend","Biz's Baddest Beats: The Best of Biz Markie","Biz Markie",1994-08-07,238266,55,seankmchenry,2020-04-07T22:05:29Z,"east coast hip hop,golden age hip hop,old school hip hop","Rhino",0.862,0.663,0,-9.004,1,0.21,0.12,0,0.318,0.837,85.308,4
0UNTBB02C1aB55Fu4H63qd,"One Call Away","Jackpot","Chingy,Jason Weaver",2003-01-01,276800,60,seankmchenry,2020-04-07T22:05:29Z,"crunk,dirty south rap,hip pop,pop rap,southern hip hop,movie tunes","Capitol Records",0.765,0.821,4,-5.926,0,0.183,0.093,0,0.217,0.962,162.519,4
4iAYo83eWlktjw97oebIal,"I Got A Man","The Skills Dat Pay Da Bills","Positive K",1992-01-01,232773,43,seankmchenry,2020-04-07T22:05:29Z,"bronx hip hop,east coast hip hop","Island Records",0.812,0.753,7,-13.252,1,0.118,0.0774,0,0.341,0.787,103.754,4
4IYKjN1DrYzxKXt0umJqsG,"I Got 5 On It","Operation Stackola","Luniz,Michael Marshall",1995-07-04,253533,73,seankmchenry,2020-04-07T22:05:29Z,"g funk,oakland hip hop,west coast rap","Virgin Records",0.584,0.706,10,-7.899,0,0.366,0.209,0,0.125,0.579,174.039,4
04KTF78FFg8sOHC1BADqbY,"Hot In Herre","Nellyville","Nelly",2002-06-25,228240,74,seankmchenry,2020-04-07T22:05:29Z,"dance pop,gangster rap,hip hop,pop rap,rap,st louis rap,urban contemporary","Motown",0.956,0.741,11,-4.753,0,0.124,0.204,0,0.0615,0.911,107.075,4
1BuZAIO8WZpavWVbbq3Lci,"Powerglide (feat. Juicy J) - From SR3MM","SR3MM","Rae Sremmurd,Swae Lee,Slim Jxmmi,Juicy J",2018-05-04,332300,59,seankmchenry,2020-04-07T22:05:29Z,"melodic rap,mississippi hip hop,pop rap,rap,trap,crunk,memphis hip hop,southern hip hop","Mike WiLL Made-It",0.713,0.831,1,-4.75,0,0.149,0.0166,0,0.118,0.589,173.947,4
2dhBezqzOyOVboouHxKddO,"Indian Summer","City Lights Vol. 1.5","Nicolay",2005-09-13,205746,18,seankmchenry,2020-04-07T22:05:29Z,"instrumental hip hop","The Foreign Exchange Music",0.425,0.653,7,-8.808,0,0.0471,0.252,0.0947,0.101,0.842,174.095,4
7r8KGFyID2uExN5FupG4AT,"Flossin' (feat. Big Moe)","Who Is Mike Jones?","Mike Jones,Big Moe",2005-04-19,191160,51,seankmchenry,2020-04-07T22:05:29Z,"dirty south rap,chopped and screwed,houston rap","Warner Records",0.92,0.616,7,-4.522,1,0.209,0.0473,0,0.173,0.62,97.749,4
59B5rSOgC5v8EQdmcNDe88,"In The Wind feat Bo-Rocc","The Greatest Hits - Vol. One","Foesum",2004-01-01,288306,14,seankmchenry,2020-04-07T22:05:29Z,"g funk,popping,west coast rap","The Perfection Label",0.787,0.672,11,-7.808,0,0.0994,0.115,0,0.271,0.753,87.574,4
63BokRfXSQhEU6Qi2dSJpZ,"Mind Playing Tricks on Me","We Can't Be Stopped","Geto Boys",1991-07-02,308733,62,seankmchenry,2020-04-07T22:05:29Z,"conscious hip hop,dirty south rap,g funk,gangster rap,golden age hip hop,hardcore hip hop,hip hop,old school hip hop","Rap-A-Lot Records",0.886,0.512,10,-11.825,0,0.237,0.207,0,0.0991,0.454,93.997,4
2PuxA1RnYXkIjkbzKawGum,"Life Under the Scope","Pilot Talk: Trilogy","Curren$y",2017-06-09,184346,24,seankmchenry,2020-04-07T22:05:29Z,"dirty south rap,new orleans rap,southern hip hop,underground hip hop","Jet Life Recordings",0.714,0.698,2,-7.842,1,0.101,0.199,0.00000967,0.0866,0.319,94.005,4
1B0VZU5x6XltU5qXpSSlwD,"On Sight","On Sight","Jay Worthy,Larry June",2016-12-19,223477,17,seankmchenry,2020-04-07T22:05:29Z,"drumless hip hop,cali rap","GDF Records",0.865,0.972,9,-3.166,1,0.23,0.361,0,0.316,0.683,96.013,4
