Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4gNyfjHiILemTn11g83cUm,"Floating World","Body of One","Faze Action",2014-06-09,291393,6,seankmchenry,2020-04-07T22:09:49Z,"balearic,brit funk,nu disco","Faze Action Records",0.695,0.653,0,-9.021,0,0.0324,0.0363,0.393,0.131,0.441,110.01,4
45kLQ64qmIzPi5DqL0GPze,"Love My Life (feat. Amy Douglas) (Soul Clap Club Dub)","Love My Life (feat. Amy Douglas)","The Genevan Heathen,Amy Douglas",2014-03-10,371000,0,seankmchenry,2020-04-07T22:09:49Z,"","Soul Clap Records",0.936,0.393,1,-8.661,1,0.082,0.00152,0.554,0.0746,0.46,119.999,4
7EVZPUkT5vahvFGiBgvmOH,"Delorean Dynamite","It's Album Time","Todd Terje",2014-04-08,405933,0,seankmchenry,2020-04-07T22:09:49Z,"balearic,electronica,filter house,indietronica,norwegian space disco,nu disco","Olsen Records",0.634,0.858,1,-11.661,1,0.0417,0.0125,0.84,0.0984,0.237,123.991,4
06YGEEI6BzNOeEyRxF4qHc,"Zoinks","The Haunted House of House","Session Victim",2012,344733,0,seankmchenry,2020-04-07T22:09:49Z,"balearic,deep house,float house,future garage,nu disco","Delusions of Grandeur",0.79,0.496,1,-11.111,0,0.0746,0.0967,0.848,0.491,0.808,116.986,4
5HO80M6xV0sQvDHGB5j6iU,"You Keep Me - Daniel Grau Remaster","Coastal Soul Vol.3 by Trujillo","Trujillo",2015-07-31,364800,0,seankmchenry,2020-04-07T22:09:49Z,"venezuelan indie","Apersonal Music",0.667,0.61,7,-8.064,1,0.0293,0.023,0.886,0.0764,0.595,99.995,4
6zf98ycluF30xBo6TPQ1Rb,"Breakthrough","The Backwoods","The Backwoods",2010-07-07,413506,0,seankmchenry,2020-04-07T22:09:49Z,"","ene",0.648,0.885,6,-8.254,0,0.0442,0.024,0.884,0.047,0.716,123.01,4
0LsmbSRu39mBwEw4cTMpYW,"Sueno Latino - Paradise Version","Sueno Latino","Sueño Latino",1989-01-01,634893,28,seankmchenry,2020-04-20T16:53:24Z,"ambient house,italo house","Dance Floor Corporation",0.663,0.741,2,-14.142,1,0.0525,0.0314,0.769,0.8,0.523,117.985,4
7isGgqGIHqvLk3mFofkMGZ,"Baby Love - Chord Mix","Easy Street Classics: The New Jersey House Vibe Vol. 1","Cassio",2010-08-06,395360,0,seankmchenry,2020-04-07T22:09:49Z,"diva house","Easy Street Records",0.8,0.324,10,-20.505,0,0.118,0.000983,0.0181,0.215,0.562,122.538,4
2FYraNLZ4KLqJEGYiH8o9z,"Rain","Retiree","Retiree",2014-02-07,263038,0,seankmchenry,2020-04-07T22:09:49Z,"","Plastic World",0.676,0.632,5,-9.333,0,0.0392,0.0779,0.544,0.34,0.628,109.989,4
3NuDr8ouGtHv2BZw9uhKoA,"25 Years from Alpha - Original Mix","25 Years from Alpha","Larry Heard",2008-11-24,917125,0,seankmchenry,2020-04-07T22:09:49Z,"acid house,chicago house,classic house,deep house,techno","Black Market",0.792,0.529,7,-14.777,1,0.0529,0.069,0.835,0.0845,0.413,112,4
7KexYWSlST5b2r5HZur2cb,"Las rosas en el límite del noventa y ocho","Fantasmagórico","Boundary",2017-05-19,365974,23,seankmchenry,2020-04-07T22:09:49Z,"dominican indie","El Cuarto Elástico",0.594,0.903,1,-8.579,1,0.0376,0.308,0.734,0.169,0.266,118.002,4
5NJSeA9lc3lZxZmlHvGYtP,"Ritual Of Love - Ron's Vocal Beat Down Mix","Hunchin' All Night","Blak Beat Niks,Ron",2018-04-09,377098,0,seankmchenry,2020-04-07T22:09:49Z,"","Rush Hour",0.763,0.876,5,-9.93,1,0.0588,0.29,0.52,0.16,0.738,119.968,4
6Ou5uQbgLN9oseTcDayK42,"You Used To Hold Me So Tight - Original 12 Mix","The Women Of Soul","Thelma Houston",1997-06-03,333333,22,seankmchenry,2020-04-07T22:09:49Z,"disco,diva house,motown,post-disco","Geffen",0.746,0.702,11,-12.964,0,0.0543,0.144,0.000329,0.103,0.871,111.607,4
4FzsTdZWiLKS6tpwwjng5R,"Voices - Baris K Remix","Concierge d'Amour / Voices Remixes","Pollyester",2012-03-02,440843,0,seankmchenry,2020-04-07T22:09:49Z,"munich indie","Permanent Vacation",0.689,0.712,7,-9.474,1,0.0419,0.0195,0.897,0.218,0.473,105.01,4
4cU8MjmF45vF3onJtrr7mB,"Gentle Fire","Beach Disco Sessions Volume 2","Ilija Rudman",2011-08-23,330094,0,seankmchenry,2020-04-07T22:09:49Z,"balearic,croatian electronic,nu disco","Nang",0.804,0.875,7,-5.825,0,0.0401,0.0201,0.851,0.0726,0.641,112.001,4
2JhI0CWP5h5Z3s7UgDstKC,"Love Tension - Alternative Version","Sounds from the Far East","Soichi Terada",2015-03-23,344038,0,seankmchenry,2020-04-07T22:09:49Z,"japanese electronic,japanese house","Rush Hour",0.796,0.642,2,-9.379,0,0.0459,0.00282,0.857,0.0383,0.319,120.007,4
26q2H7mZmhMln4eJsHwIfN,"Big Time - Original Mix","Trail Mix","Earth Boys",2017-06-02,290808,0,seankmchenry,2020-04-07T22:09:49Z,"lo-fi house,nyc club","Public Release Recordings",0.69,0.854,5,-6.675,0,0.0309,0.141,0.944,0.0863,0.517,119.984,4
