Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5if1vlzBKrpoE1hZ6bxw2C,"3tr79XZgYXoRoI5G49Zqbx","For You - Original Album","For You (LP)","Ago",1982,353000,37,spotify:user:seankmchenry,2020-05-01T16:47:48Z,"",0.936,0.564,0,-5.902,1,0.0471,0.0452,0.0247,0.0377,0.921,125.996,4
0xdf6QIHe8lJn1ITgXWsGe,"4ssHihhGpCx4eftfzAI3jq","Dance Boy Dance","Ce n'est q'un début (Remastered)","Alexander Robotnick",1984-01-31,308850,25,spotify:user:seankmchenry,2020-05-01T16:48:00Z,"electro",0.72,0.859,10,-8.86,0,0.0334,0.000587,0.896,0.107,0.855,125.827,4
4xeQXFdKrNPQcGyze66bIx,"4ssHihhGpCx4eftfzAI3jq","Problèmes d'Amour - Original","Problèmes D'amour (All Versions)","Alexander Robotnick",1983-01-01,420653,35,spotify:user:seankmchenry,2020-05-01T16:48:00Z,"electro",0.859,0.413,0,-13.888,0,0.0617,0.0099,0.735,0.0464,0.954,120.499,4
2VZo1ztfYhHLyOqKnLAf68,"4UMDmenOvAJAdOneY2M63l","Dark Silence - Long Version","Dark Silence (Remix)","Art Fine ‎",2014-06-17,484093,5,spotify:user:seankmchenry,2020-05-01T17:09:14Z,"",0.623,0.847,0,-6.813,1,0.0499,0.00389,0.14,0.0531,0.636,110.938,4
7El3E47CqYMIi9RjOe4WN7,"1fP6aqXP2oAZF5cQ9FXert","Don't Stop","Do It Again","Asso",2016-11-16,356879,0,spotify:user:seankmchenry,2020-05-01T17:09:28Z,"",0.707,0.577,7,-11.982,1,0.0996,0.0751,0.886,0.0944,0.404,111.753,4
6GVbeCmR2izqUTcYpvoiX9,"6czfQ8MjHVmvJKA4LAnviG","Tarzan Boy","Lost Hits Of The 80's (All Original Artists & Versions)","Baltimora",2010-01-01,232666,44,spotify:user:seankmchenry,2020-05-01T17:09:59Z,"italian disco,new romantic,new wave pop,synthpop",0.701,0.654,5,-8.16,1,0.0249,0.265,0.0291,0.23,0.752,107.332,4
2UODz6EGUQdpu5KJ3U3V8D,"35S20clEkkSNUo23ViaslZ","A Tour in Italy","Top 10 Italo Disco, Vol. 2","Band Aid",2014-04-01,421436,0,spotify:user:seankmchenry,2020-05-01T17:09:59Z,"musical advocacy",0.819,0.65,1,-9.432,1,0.0795,0.147,0.0143,0.158,0.942,110.808,4
0ZGJ9MfYwaAXy3f6RXc5j7,"7n4139j5QXYOgGKH1gCDli","Let's All Dance - Italian Version","Let's All Dance (12 Inc)","Band Of Jocks",1983,301048,7,spotify:user:seankmchenry,2020-05-01T17:12:48Z,"",0.892,0.592,0,-11.574,1,0.0743,0.0671,0,0.172,0.809,108.627,4
5ji3l8x6eYomRApyEAxy1h,"1cVl30A0SREfBU7H7nzmDo","Tarzan Loves the Summer Nights","Tarzan Loves the Summer Nights","Big Ben Tribe",1984,432523,0,spotify:user:seankmchenry,2020-05-01T17:16:54Z,"early synthpop",0.671,0.877,10,-5.842,0,0.0401,0.108,0.875,0.119,0.715,111.756,4
55HMPRv6LUkRurl9HrGaV3,"6mNTBjrUHMSZXkeiDbLnHP","Let's Funk Tonight - Original Extended","Let's Funk Tonight","Blue Feather",2010-03-02,528060,0,spotify:user:seankmchenry,2020-05-01T17:17:31Z,"post-disco",0.799,0.672,7,-9.747,1,0.04,0.614,0.0133,0.093,0.922,118.787,4
7cr1ANfL5Ssp87bENcFDsu,"4X9QLtjgiaXzCmKqi1wbsw","Shadows From Nowhere - Original Version","Shadows From Nowhere 2019","Blue Gas",2019-05-03,330310,0,spotify:user:seankmchenry,2020-05-01T17:17:31Z,"",0.657,0.2,5,-20.51,1,0.0437,0.537,0.035,0.0963,0.323,79.894,4
3lNf2Phi4nFQnrAHwyJOwD,"07W5P7XeF76KG9QecpdSCC","Stop (Orig. Mix) - Original Mix","The Cyber Album","Casco Presents BWH",2006-11-14,393746,0,spotify:user:seankmchenry,2020-05-01T17:19:27Z,"",0.656,0.905,10,-10.136,0,0.0443,0.00714,0.664,0.0832,0.983,107.39,4
4vvIxUgo2iBvJEv8EIubpc,"74i6loAN8sWEGN1EblwOF0","Faces - Original Extended Version","80's Dance Story Original Italo Hits","Clio",2010-02-14,347167,27,spotify:user:seankmchenry,2020-05-01T18:24:45Z,"",0.75,0.745,9,-8.543,0,0.0352,0.0832,0.0454,0.0515,0.964,119.389,4
7iN6IR1OEjqpGI9fnQgceK,"0Na3lGtrQVJlRaQEnQD5P2","Il Veliero - Single Version","Il Veliero","The Chaplin Band",2009-12-08,210186,16,spotify:user:seankmchenry,2020-05-01T18:26:21Z,"deep disco",0.666,0.543,7,-13.673,1,0.0324,0.0125,0.747,0.078,0.845,119.526,4
0qcQ5OOyDzxLF8s2kXIFzJ,"4dPCUJa6UhvP64cr2Z4aGp","Disco Train","Disco Train","Dance Reaction",1982-11-03,214819,20,spotify:user:seankmchenry,2020-05-01T18:26:59Z,"deep disco",0.868,0.783,7,-9.846,1,0.0553,0.108,0.00193,0.405,0.852,122.788,4
5eOUd69htTwYpH4DJWgqIF,"6yj9f1KH5rzmmRbj72PtVc,7Fe0ln6Y2R1l05ZeIpV2Aa,3iSJjv1yv9EwpaTIfiuJ4L","Watch out! - Instrumental","Watch Out!","Doctor's Cat,Gatto,Martinelli",1983,409133,4,spotify:user:seankmchenry,2020-05-01T18:28:01Z,"italian disco,brazilian techno",0.667,0.54,9,-14.187,1,0.0423,0.00676,0.0592,0.553,0.499,117.344,4
4wAM1xq7fnxPkZiWhPiMlJ,"48bEuZpzIFi2IZDxS0Z3oi","Hypnotic (Automatic Piano)","Disco Circus (Volume 3)","Droid",2012-04-09,310762,0,spotify:user:seankmchenry,2020-05-01T18:29:44Z,"",0.712,0.933,1,-7.976,1,0.049,0.00208,0.928,0.107,0.715,114.307,4
4XagBRVqOiMShocifucrgd,"4m0wrSchQLfcaBbfmRbjke","Feels Good - Carrots & Beets","Star Funk, Vol. 9","Electra",1993-01-01,376000,27,spotify:user:seankmchenry,2020-05-01T18:31:07Z,"",0.853,0.331,8,-17.22,1,0.0529,0.000494,0.61,0.0713,0.804,119.627,4
019xmuFFRwCNz1VYKswWGT,"2CRKZgVOneZ1ytAxCsVFja","Zwei - Extended Dub","Can We Go/Zwey (12 Inc)","Electric Mind",1983,340990,35,spotify:user:seankmchenry,2020-05-01T18:32:06Z,"",0.8,0.725,11,-5.181,0,0.0559,0.233,0.865,0.16,0.957,117.603,4
0jhzWlvFtgD1ruvKIn5P6Z,"2CRKZgVOneZ1ytAxCsVFja","Summing Up - Massimo Berardi Re-Touch","Full Time & Antibemusic Rare Tracks, Vol. 2","Electric Mind",2011,422000,0,spotify:user:seankmchenry,2020-05-01T18:32:06Z,"",0.831,0.823,2,-5.907,1,0.0476,0.0418,0.848,0.0504,0.693,110.501,4
6qkmKxogHjJ2TPP6i6qYx2,"1MSiu4alHI6S2lZtiFvUjH","Stay (No Time) - Dance Version","Greatest Hits & Rare Tracks","Firefly",2010-08-10,353424,0,spotify:user:seankmchenry,2020-05-01T18:35:42Z,"",0.733,0.681,0,-13.324,1,0.0309,0.0169,0.123,0.0693,0.867,115.499,4
52IqKAPRF1R5EvwHucCrU7,"44NpcgfV0tBVBVNzmtUBhZ","Happy Station - Original 12''","The Best of","Fun Fun",1987,434773,0,spotify:user:seankmchenry,2020-05-01T18:36:35Z,"hi-nrg,italian disco",0.759,0.739,10,-11.915,1,0.0415,0.0434,0.68,0.508,0.953,119.644,4
3TTuI27alEmgQRGksvXgSA,"57BZS4rJRWsKpLXxkKV3Kq","Funky Is On","Italo Disco Mania, Vol. 1","Funky Family",2015-05-26,398215,0,spotify:user:seankmchenry,2020-05-01T18:36:45Z,"",0.688,0.752,11,-9.486,0,0.053,0.0223,0.0515,0.701,0.435,113.383,4
34yg2BvpUtDP6VPmZYCP9x,"4MntnRuXrTyjMGt1RF0k8b","I Want You","Gary Low: The Best of","Gary Low",1982-01-01,509240,36,spotify:user:seankmchenry,2020-05-01T18:37:26Z,"italian disco",0.93,0.688,11,-10.294,0,0.0507,0.0417,0.00698,0.0351,0.878,122.491,4
6AH6bQIX6K0J83ifDHfALS,"4MntnRuXrTyjMGt1RF0k8b","Equador","Gary Low: The Best of","Gary Low",1982-01-01,428666,15,spotify:user:seankmchenry,2020-05-01T18:37:26Z,"italian disco",0.733,0.731,5,-9.307,1,0.053,0.0311,0.925,0.0479,0.947,104.945,4
44Crmat6W2bqToJONuU0In,"3lkvPuFo1qlcJZvB3h44Mj","I.C. Love Affair - Italian Version","Italo Disco Mania, Vol. 1","Gaznevada",2015-05-26,388386,0,spotify:user:seankmchenry,2020-05-01T18:37:56Z,"italian new wave,italian post punk",0.762,0.405,11,-15.169,0,0.0533,0.233,0.735,0.113,0.794,107.909,4
0tWrCNE9AoR0ko3pVjH7Kg,"3lkvPuFo1qlcJZvB3h44Mj","Special Agent Man - Female Version","Top 10 Italo Disco, Vol. 2","Gaznevada",2014-04-01,438026,0,spotify:user:seankmchenry,2020-05-01T18:37:56Z,"italian new wave,italian post punk",0.825,0.482,4,-13.965,0,0.0716,0.00322,0.339,0.193,0.509,99.991,4
5OjEHeB58ZXH4bNpVhn9mD,"5fizT45GAus76dV4GiKdRx","Zanzibar - Afro Mix","Zanzibar","Helen (2)",2010-03-06,344786,0,spotify:user:seankmchenry,2020-05-01T18:42:38Z,"",0.718,0.787,8,-9.194,0,0.0688,0.0355,0.879,0.0752,0.965,92.386,4
1uUN8nC37W9my9kvvsIs9F,"7GlFV8o2NCkvCu29FMZkUb","Droid 2009 - Original","Droid 2009","Hypnosis",2009-04-24,349440,23,spotify:user:seankmchenry,2020-05-01T18:42:50Z,"italian disco",0.613,0.969,1,-5.94,1,0.0513,0.0031,0.904,0.0899,0.961,114.68,4
6MCYLrVZXbv71MjLFhLzEg,"7GlFV8o2NCkvCu29FMZkUb","Pulstar - Original","Pulstar 2009","Hypnosis",2009-05-08,255586,23,spotify:user:seankmchenry,2020-05-01T18:42:50Z,"italian disco",0.615,0.798,5,-7.524,0,0.0377,0.0407,0.92,0.0928,0.887,121.987,4
0xIebTj2T2dju26UwUopKn,"2jC1SZntXN9KkHltJlLzDV","Nonline","IMS, Vol. 1 (LP)","International Music System",1983,329493,24,spotify:user:seankmchenry,2020-05-01T18:44:01Z,"electro,italian disco",0.792,0.799,2,-9.909,0,0.0604,0.00278,0.832,0.119,0.649,115.474,4
6m2O1S9wEc8zX86f7lB1qA,"2jC1SZntXN9KkHltJlLzDV","Mojave","IMS, Vol. 1 (LP)","International Music System",1983,333333,36,spotify:user:seankmchenry,2020-05-01T18:44:01Z,"electro,italian disco",0.798,0.719,0,-10.545,1,0.0591,0.0742,0.83,0.0725,0.75,108.581,4
5eZhCiXC9vbJ7GUK1w7J5Z,"3ZepWYJPVpM1bTypDMG71K,63yl9nDNrHpiAYGlNJxxjc","I'm Going to Go - Frankie Knuckles Remix","Full Time & Antibemusic Rare Tracks, Vol. 1","Jago,Frankie Knuckles",2010,512293,4,spotify:user:seankmchenry,2020-05-01T18:44:08Z,"acid house,chicago house,classic house,deep house,disco house,diva house,hip house,vocal house",0.864,0.651,2,-8.268,1,0.0778,0.0517,0.894,0.0394,0.676,117.428,4
11yR4U0uQWtqrMMJImyzO4,"5FMcKm7A4LRwIJnkzuKZFt","Giovanni Frizzante","Giovanni Frizzante","Johannes Albert",2017-09-29,369858,11,spotify:user:seankmchenry,2020-05-01T18:44:39Z,"deep soul house,float house",0.684,0.831,10,-11.028,0,0.0656,0.00119,0.948,0.527,0.958,116.481,4
7jYin4Z2v9eKtmxJZ9slSw,"24DinDXSaOyHPz3JhdL9Qb","Dance School - Original","Another Life (LP)","Kano",1983,351000,14,spotify:user:seankmchenry,2020-05-01T18:44:58Z,"italian disco,post-disco",0.789,0.59,0,-10.602,1,0.0473,0.282,0.00212,0.315,0.495,113.2,4
1zV0jJyBA9wLHidlOzEvaH,"24DinDXSaOyHPz3JhdL9Qb","Ikeya Seki - Original","Another Life (LP)","Kano",1983,342080,22,spotify:user:seankmchenry,2020-05-01T18:44:58Z,"italian disco,post-disco",0.634,0.394,7,-15.611,0,0.05,0.0161,0.922,0.11,0.607,113.131,4
0GhBU1fuptdqNhFRlFaBLJ,"24DinDXSaOyHPz3JhdL9Qb","It's a War - Extended","Kano","Kano",1980-12-01,413080,18,spotify:user:seankmchenry,2020-05-01T18:44:58Z,"italian disco,post-disco",0.911,0.477,7,-12.044,0,0.0612,0.0385,0.807,0.0446,0.834,125.167,4
6lQktxAz3ItfO5aaNXEOA6,"24DinDXSaOyHPz3JhdL9Qb","I´m Ready - Extended","Kano","Kano",1980-12-01,433080,22,spotify:user:seankmchenry,2020-05-01T18:44:58Z,"italian disco,post-disco",0.875,0.503,10,-10.758,1,0.0576,0.0826,0.744,0.0314,0.804,126.641,4
0ukyc3KJiRiuyWZh7W4Efl,"24DinDXSaOyHPz3JhdL9Qb","Can't Hold Back - Your Loving","New York Cake","Kano",1981-01-01,285695,36,spotify:user:seankmchenry,2020-05-01T18:44:58Z,"italian disco,post-disco",0.881,0.57,9,-9.373,0,0.172,0.305,0.00916,0.15,0.551,107.387,4
1UHTHIlv6qFx0TmYJEmchw,"0zrITRPa44Q4Ny0t1IPjEI","Walkman","Horse Meat Disco 2","Kasso",1979,335121,0,spotify:user:seankmchenry,2020-05-01T18:44:58Z,"deep disco",0.794,0.587,11,-8.223,0,0.0478,0.0718,0.867,0.0272,0.891,112.895,4
79piJ9I8OjRsisr75gvPsE,"0zrITRPa44Q4Ny0t1IPjEI","Key West","Johnny D presents Disco Jamms","Kasso",2012-03-05,303272,0,spotify:user:seankmchenry,2020-05-01T18:44:58Z,"deep disco",0.706,0.966,8,-5.989,0,0.0557,0.0455,0.0824,0.0603,0.882,116.966,4
7dGuNKWSOqgrDEcr2LfI5R,"1a4WXCtDRjeBxq2dRzI79r","War Dance","Salsoul Classic II, Vol. 3 & 4","Kebekelectrik",2011,541226,0,spotify:user:seankmchenry,2020-05-01T18:44:58Z,"",0.676,0.773,5,-8.54,0,0.0582,0.00159,0.928,0.173,0.926,128.467,4
06G1BCnCULkZwTvKBzn5LV,"4QKQYYI4yX51sQtcTxqgvc","Don't Stop - Original Mix","Don't Stop","K.I.D.",2007-12-04,436293,5,spotify:user:seankmchenry,2020-05-01T18:45:28Z,"",0.807,0.827,11,-9.005,0,0.0451,0.301,0.602,0.0296,0.749,113.978,4
6tkDCU9cqRoJv0RTSA3FY8,"5qyhExusRDGeDgyDQ6utZd","Hupendi Muziki Wangu (You Don't Like My Music?)","Horse Meat Disco","K.I.D.",1981,527128,0,spotify:user:seankmchenry,2020-05-01T18:45:28Z,"deep disco",0.793,0.832,5,-8.214,1,0.0463,0.0286,0.0000135,0.112,0.772,118.804,4
2lQTHC9WCEj4vE3jgW60UR,"3rvxxsRymFXAl798WIzcLS,63cmZrKftoFK2N3pUYp2Dg","Dirty Talk - Greg Wilson Edit","Dirty Talk","Klein,MBO",2015-02-16,400688,0,spotify:user:seankmchenry,2020-05-01T18:45:37Z,"",0.805,0.906,2,-10.017,1,0.0673,0.000814,0.86,0.0678,0.387,121.022,4
