Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
60sLtVhIpnMD0qCbtF4PM2,"2MY7z5In752NfjTaFx5gbU","Night Moves","Warm - An Elite Lesson in Future R & B","Keni Stevens",2000,358066,3,spotify:user:seankmchenry,2020-04-07T22:08:31Z,"",0.641,0.486,10,-11.842,1,0.0532,0.161,0.313,0.113,0.702,107.889,4
7HBTC3rBG5nVtwVgTQnTcT,"2hdpXvaQJHBCZIVUd6cLvK","Dreams Of Tomorrow","Dreams Of Tomorrow","Lonnie Liston Smith",1974-08-07,256733,18,spotify:user:seankmchenry,2020-04-07T22:08:31Z,"funk,jazz funk",0.434,0.392,7,-15.188,1,0.0353,0.855,0.331,0.479,0.451,110.139,4
5umIV8pqPs8g5JaRH0eaMB,"41F8cUV8LJGVDPNnj0ito3","For The Love Of You","Najee's Theme","Najee",1986,301693,23,spotify:user:seankmchenry,2020-04-07T22:08:31Z,"smooth jazz,smooth saxophone",0.689,0.431,4,-17.937,1,0.0361,0.00299,0.522,0.0676,0.572,102.354,4
6cG4pntR53v9PoblRTfbx3,"6ryjbFyWBZho9KGXqKZdqQ","Blue Lick","Lucky Seven","Bob James",1979-01-01,334040,11,spotify:user:seankmchenry,2020-04-07T22:08:31Z,"jazz funk,jazz fusion,jazz piano,smooth jazz",0.828,0.386,5,-15.412,1,0.0322,0.593,0.818,0.0814,0.369,103.61,4
5Fm1I0XoPmyyQ5GB370e9W,"2ZvrvbQNrHKwjT7qfGFFUW","Autodrive","Future Shock","Herbie Hancock",1983,384600,16,spotify:user:seankmchenry,2020-04-07T22:08:31Z,"contemporary post-bop,instrumental funk,jazz,jazz funk,jazz fusion,jazz piano,uk contemporary jazz",0.8,0.797,9,-7.08,0,0.0499,0.00385,0.82,0.358,0.613,115.415,4
6K8EySFp9WNmqm1paTflzx,"4uBSazM6snEc9wCG3jMlYt","Slip Away","Letter From Home","Pat Metheny Group",1989,323840,34,spotify:user:seankmchenry,2020-04-07T22:08:31Z,"ecm-style jazz,jazz,jazz fusion",0.51,0.744,7,-9.024,0,0.0284,0.658,0.326,0.356,0.631,118.314,4
4mraRJO2iZA5WQ5dxlSQx9,"0IwfuIL3gUJxjzUqY3wJ3j","Heather","Crosswinds","Billy Cobham",1974,520533,37,spotify:user:seankmchenry,2020-04-07T22:08:31Z,"jazz drums,jazz funk,jazz fusion",0.351,0.0079,10,-27.866,0,0.0323,0.964,0.944,0.0949,0.041,132.805,4
1KZpjVwgl5qNsRkwkJmKyz,"4gp93oyCtmejjaduXV1IXG","Solar Flight (Opus I)","Mandré","Mandré",1977-01-01,482786,13,spotify:user:seankmchenry,2020-04-07T22:08:31Z,"",0.478,0.866,2,-6.658,0,0.069,0.0367,0.0029,0.118,0.514,137.323,4
3hTWCdBF2CwTd2l2mJsdh0,"6IFSaWFnrPT8PHun78KCAO","Airwaves","Nick Straker","Nick Straker",2007-05-04,267973,0,spotify:user:seankmchenry,2020-04-07T22:08:31Z,"",0.733,0.737,5,-11.245,0,0.0575,0.000999,0.869,0.0601,0.933,94.641,4
1TnJachvchrYLMwfZT6QaL,"1euau8ssjdvnUgvkc31k1D","Soft Fashion","Vision Of Estonia","Uku Kuut",2012-04-01,168360,21,spotify:user:seankmchenry,2020-04-07T22:08:31Z,"deep smooth jazz,synth funk",0.648,0.18,0,-22.867,1,0.244,0.88,0.635,0.112,0.742,99.797,4
5gaUkg5JNk8c4mr2jnpX8H,"4N8BwYTEC6XqykGvXXlmfv","Give Me the Night","Give Me the Night","George Benson",1980-07-16,301026,58,spotify:user:seankmchenry,2020-04-07T22:08:31Z,"disco,jazz funk,jazz guitar,quiet storm,smooth jazz,soft rock,soul jazz,yacht rock",0.835,0.765,1,-7.831,1,0.0681,0.475,0.0692,0.12,0.855,110.282,4
7yxTWOioiqEW5ndGLmKk9n,"7lc0kBaokUkqhTjrjkqoLF","Polarizer","Feelin's From Within","Joe Thomas",1976-01-01,333933,32,spotify:user:seankmchenry,2020-04-07T22:08:31Z,"jazz funk,rare groove",0.793,0.476,7,-12.01,0,0.068,0.208,0.741,0.0568,0.965,97.548,4
42QdT8mzo7fFs8x4ZFb6xW,"3TV7tssuSl8x7ARqsTvIyM","Just A Thought","Chas Jankel","Chaz Jankel",1980,316426,0,spotify:user:seankmchenry,2020-04-07T22:08:31Z,"balearic,deep disco,post-disco",0.629,0.728,1,-7.924,0,0.0317,0.00332,0.482,0.0769,0.751,87.595,4
1ADmsWGKaloxgTPXdDBb3k,"0vxQClb5BOpAPfYZl1l0fR","Hips Shaking","Hips Shaking","Mr President",2014-05-16,365389,0,spotify:user:seankmchenry,2020-04-07T22:08:31Z,"",0.867,0.777,11,-8.909,1,0.0601,0.234,0.578,0.0876,0.877,118.304,4
4LZu1NwzmSANYguBi2EUDO,"0O7JJE4Q3Xt7iOSi6SR6gb","Sexopolis","Le mariage collectif (Original Soundtrack)","Jean Pierre Mirouze",2012-10-08,282394,0,spotify:user:seankmchenry,2020-04-07T22:08:31Z,"vintage french psychedelic",0.505,0.708,7,-4.589,0,0.0509,0.765,0.92,0.19,0.513,112.421,4
1Ru7VA3GY5LqFgUkAIMdN4,"2EExdpjU4SK3xnJHO5paJf","Lujon","Best Of","Henry Mancini",1980,156666,34,spotify:user:seankmchenry,2020-04-07T22:08:31Z,"adult standards,classic soundtrack,easy listening,lounge",0.485,0.171,10,-17.825,0,0.0262,0.903,0.892,0.108,0.559,99.803,4
5EHPEY03kJ5m1oLx0noRRx,"1nFSDOQenUg713aevfRd1l","Northern Lights","Aesthetic Tiktoc","Puccio Roelens",2019-11-08,318973,0,spotify:user:seankmchenry,2020-04-07T22:08:31Z,"italian library music,spytrack,vintage italian soundtrack",0.685,0.314,5,-19.192,0,0.036,0.502,0.859,0.119,0.875,104.88,4
38CwRk12Pic8OSKzXNJT8Z,"1Be36RHAlqJpfUt3tsmUQD","Cockatoo","Catching the Sun","Spyro Gyra",1980-01-01,245386,0,spotify:user:seankmchenry,2020-04-07T22:08:31Z,"jazz funk,jazz fusion,progressive jazz fusion,smooth jazz",0.681,0.61,5,-11.82,1,0.0547,0.151,0.814,0.052,0.908,100.07,4
3ZNrJUvfDC5sfDkngVWdmP,"4N8BwYTEC6XqykGvXXlmfv","Shiver","While the City Sleeps","George Benson",1986-01-01,317973,23,spotify:user:seankmchenry,2020-04-07T22:08:31Z,"disco,jazz funk,jazz guitar,quiet storm,smooth jazz,soft rock,soul jazz,yacht rock",0.734,0.864,4,-8.425,0,0.0765,0.0123,0.00000649,0.138,0.811,105.315,4
6XLkugGeXii5U8oCzyLCli,"5lYcr7Yue9FUB7MJDBtTJx","Villa Mariana - Pela Madrugada","Villa Mariana (Pela Madrugada)","Azymuth",2016-10-06,346097,0,spotify:user:seankmchenry,2020-04-07T22:08:31Z,"brazilian boogie,indie jazz,indie soul,jazz funk,psicodelia brasileira",0.587,0.5,11,-11.975,0,0.0597,0.248,0.738,0.0911,0.501,73.446,4
1nJujxN0qge2C08Z56uBKD,"6I3M904Y9IwgDjrQ9pANiB","I Can't Tell You Why","Kenny G","Kenny G",1982,252533,14,spotify:user:seankmchenry,2020-04-07T22:08:31Z,"smooth jazz,smooth saxophone",0.342,0.282,11,-16.716,0,0.0255,0.0159,0.704,0.0799,0.345,178.98,4
2fUyxI3QNWcGAnXxgmbtmG,"2hdpXvaQJHBCZIVUd6cLvK","A Lonely Way To Be","Dreams Of Tomorrow","Lonnie Liston Smith",1974-08-07,272866,17,spotify:user:seankmchenry,2020-04-07T22:08:31Z,"funk,jazz funk",0.717,0.513,10,-13.127,0,0.056,0.324,0.000462,0.0808,0.626,89.559,4
1s0K8C96at5229pS56iJqx,"473XDcWSxnSaxptauf6fg4","Motel Show","Le dernier amant romantique - Capitaine X","Pierre Bachelet",1978,152933,0,spotify:user:seankmchenry,2020-04-07T22:08:31Z,"chanson,french pop,vintage french electronic",0.665,0.539,9,-14.348,0,0.0286,0.526,0.904,0.153,0.609,109.33,4
