Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
60sLtVhIpnMD0qCbtF4PM2,"Night Moves","Warm - An Elite Lesson in Future R & B","Keni Stevens",2000,358066,5,seankmchenry,2020-04-07T22:08:31Z,"","Disorient",0.641,0.486,10,-11.842,1,0.0532,0.161,0.313,0.113,0.702,107.889,4
7HBTC3rBG5nVtwVgTQnTcT,"Dreams Of Tomorrow","Dreams Of Tomorrow","Lonnie Liston Smith",1974-08-07,256733,17,seankmchenry,2020-04-07T22:08:31Z,"jazz funk","Legacy Recordings",0.434,0.392,7,-15.188,1,0.0353,0.855,0.331,0.479,0.451,110.139,4
5umIV8pqPs8g5JaRH0eaMB,"For The Love Of You","Najee's Theme","Najee",1986,301693,20,seankmchenry,2020-04-07T22:08:31Z,"quiet storm,smooth jazz,smooth saxophone","EMI Catalogue",0.689,0.431,4,-17.937,1,0.0361,0.00299,0.522,0.0676,0.572,102.354,4
6cG4pntR53v9PoblRTfbx3,"Blue Lick","Lucky Seven","Bob James",1979-01-01,334040,17,seankmchenry,2020-04-07T22:08:31Z,"jazz funk,jazz piano,smooth jazz","evosound",0.828,0.386,5,-15.412,1,0.0322,0.593,0.817,0.0814,0.369,103.61,4
5Fm1I0XoPmyyQ5GB370e9W,"Autodrive","Future Shock","Herbie Hancock",1983,384600,17,seankmchenry,2020-04-07T22:08:31Z,"contemporary post-bop,instrumental funk,jazz,jazz funk,jazz fusion,jazz piano","Columbia/Legacy",0.8,0.797,9,-7.08,0,0.0499,0.00385,0.82,0.358,0.613,115.415,4
6K8EySFp9WNmqm1paTflzx,"Slip Away","Letter From Home","Pat Metheny Group",1989,323840,0,seankmchenry,2020-04-07T22:08:31Z,"contemporary post-bop,ecm-style jazz,jazz,jazz fusion","Nonesuch",0.51,0.744,7,-9.024,0,0.0284,0.658,0.326,0.356,0.631,118.314,4
4mraRJO2iZA5WQ5dxlSQx9,"Heather","Crosswinds","Billy Cobham",1974,520533,38,seankmchenry,2020-04-07T22:08:31Z,"jazz,jazz drums,jazz funk,jazz fusion","Rhino Atlantic",0.351,0.0079,10,-27.866,0,0.0323,0.964,0.944,0.0949,0.041,132.805,4
1KZpjVwgl5qNsRkwkJmKyz,"Solar Flight (Opus I)","Mandré","Mandré",1977-01-01,482786,12,seankmchenry,2020-04-07T22:08:31Z,"","UNI/MOTOWN",0.478,0.866,2,-6.658,0,0.069,0.0367,0.0029,0.118,0.514,137.323,4
1TnJachvchrYLMwfZT6QaL,"Soft Fashion","Vision Of Estonia","Uku Kuut",2012-04-01,168360,21,seankmchenry,2020-04-07T22:08:31Z,"synth funk","Peoples Potential Unlimited",0.648,0.18,0,-22.867,1,0.244,0.88,0.635,0.112,0.742,99.797,4
5gaUkg5JNk8c4mr2jnpX8H,"Give Me the Night","Give Me the Night","George Benson",1980-07-16,301026,61,seankmchenry,2020-04-07T22:08:31Z,"jazz funk,jazz guitar,smooth jazz,soul jazz,yacht rock","Rhino/Warner Records",0.835,0.765,1,-7.831,1,0.0681,0.475,0.0692,0.12,0.855,110.282,4
