Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0SabYmmYefG7neUMXJdbFt,"Exotika - 12 Remix","Disconnect","Chris & Cosey,Chris",2008,376523,0,seankmchenry,2020-04-07T22:08:09Z,"british industrial,industrial,minimal wave,proto-techno,uk post-punk","Strut",0.797,0.869,2,-5.94,1,0.0433,0.00995,0.736,0.24,0.976,132.226,4
7zre1uZJ8KEV3aiU3PNRwt,"シムーン","Yellow Magic Orchestra","YELLOW MAGIC ORCHESTRA",1978-11-12,387266,14,seankmchenry,2020-04-07T22:08:09Z,"classic j-rock,electro,proto-techno,synthesizer,techno kayo,zolo","Sony Music Direct (Japan) Inc.",0.631,0.828,7,-9.468,1,0.117,0.631,0.677,0.151,0.728,99.707,4
1ua6hBq18qZLyprXjMcpyf,"Someday","Someday","Virgil Howe",2009-10-19,251266,37,seankmchenry,2020-04-07T22:08:09Z,"","3 Bar Fire",0.483,0.462,9,-11.88,0,0.029,0.37,0.21,0.0875,0.351,86.502,4
0fzUOy3ApovmFgZHqG16I1,"Jennifer's Friend","Phenomena (Original Motion Picture Soundtrack)","Goblin",1997-01-31,209333,13,seankmchenry,2020-04-07T22:08:09Z,"horror synth,italian progressive rock,synth prog,vintage italian soundtrack","Cinevox",0.545,0.514,0,-20.487,1,0.0339,0.418,0.883,0.0891,0.855,101.162,4
4ZGzF4fEAMJdr2YXctwlR0,"Don't Stay For Breakfast","Tribal Rites","Ströer",2017-11-03,314266,15,seankmchenry,2020-04-07T22:08:09Z,"","Eskimo Recordings",0.576,0.784,5,-10.72,0,0.0368,0.217,0.624,0.143,0.953,132.721,4
2C35vWg4jtm5KcnyjIG31j,"Exotic Dance - Yellow Magic Orchestra Mix","Michelangelo in Space","Haruomi Hosono,YELLOW MAGIC ORCHESTRA",2000,215613,17,seankmchenry,2020-04-07T22:08:09Z,"classic j-rock,j-ambient,japanese folk,japanese psychedelic,japanese singer-songwriter,japanese soundtrack,proto-techno,electro,synthesizer,techno kayo,zolo","Ata Tak",0.796,0.468,8,-13.251,1,0.0459,0.794,0.942,0.342,0.388,106.051,4
7wK3vFraZXIjVxOqObajAL,"スポーツマン (2019 Remastering)","Philharmony","Haruomi Hosono",1978,245960,38,seankmchenry,2020-04-07T22:08:09Z,"classic j-rock,j-ambient,japanese folk,japanese psychedelic,japanese singer-songwriter,japanese soundtrack,proto-techno","Sony Music Direct (Japan) Inc.",0.81,0.842,2,-4.306,1,0.0518,0.0607,0,0.0596,0.82,108.865,4
0xDq3qu7KBz4gOiWQRKk0u,"Mabomba Dance - Short Version","Wolf Müller Meets The Nile Project","Wolf Müller,The Nile Project,Kasiva Mutua",2019-04-05,336039,4,seankmchenry,2020-04-07T22:08:09Z,"nubian traditional","Nouvelle Ambiance",0.81,0.692,10,-11.797,0,0.0838,0.00443,0.0038,0.0645,0.11,109.978,4
7tUSYp94Z5pilQNxDIqFEm,"Genius","Factory Dance","Quando Quango",2011-10-24,384296,0,seankmchenry,2020-04-07T22:08:09Z,"","Strut",0.674,0.858,7,-6.904,1,0.0478,0.0118,0.749,0.289,0.864,121.642,4
2qbOkq4H2lF9XpKXx1Xn4o,"BEHIND THE MASK","UC YMO: Ultimate Collection of Yellow Magic Orchestra","YELLOW MAGIC ORCHESTRA",1979,216426,2,seankmchenry,2020-04-07T22:08:09Z,"classic j-rock,electro,proto-techno,synthesizer,techno kayo,zolo","Sony Music Direct (Japan) Inc.",0.634,0.611,5,-7.653,0,0.0367,0.0121,0.786,0.132,0.9,116.135,4
0lkqISrvG0Gdw0kGD8UBIb,"Its So Exciting","Rimini '80 / It's So Exciting","Boys from Patagonia",2012-05-07,299201,1,seankmchenry,2020-04-07T22:08:09Z,"","International Feel",0.69,0.788,11,-10.496,0,0.0389,0.00157,0.671,0.0537,0.812,93.02,4
0PynQfxZcxZy1WEBtuLpN1,"TECHNOPOLIS","UC YMO: Ultimate Collection of Yellow Magic Orchestra","YELLOW MAGIC ORCHESTRA",1979,232386,2,seankmchenry,2020-04-07T22:08:09Z,"classic j-rock,electro,proto-techno,synthesizer,techno kayo,zolo","Sony Music Direct (Japan) Inc.",0.693,0.788,7,-9.227,0,0.0273,0.00025,0.55,0.312,0.907,142.65,4
5lsURLpss8VmkIrqfGrrjP,"Zeit","Psychemagik Presents: Magik Sunset, Pt. 2","Glenn",2015-09-04,237013,5,seankmchenry,2020-04-07T22:08:09Z,"musik anak-anak","Leng Records",0.536,0.605,1,-8.46,1,0.0405,0.00505,0.0316,0.094,0.319,136.12,4
25uCCyom3AKoeLNUAjCMXc,"Two Roomed Motel","Two Roomed Motel","Scott Gilmore",2018-11-23,252013,0,seankmchenry,2020-04-07T22:08:09Z,"experimental electronic,fourth world","Crammed Discs",0.785,0.496,6,-7.645,1,0.0486,0.148,0.875,0.0769,0.883,102.997,4
4FCOOWX05ZWoFQWa77IlK2,"Journey Home","School Daze","Patrick Cowley",2013-10-19,820240,0,seankmchenry,2020-04-07T22:08:09Z,"hi-nrg,italo disco","Dark Entries Records",0.847,0.34,0,-12.013,1,0.0503,0.143,0.884,0.0979,0.117,103.304,4
5RWOb1mxdx9G6mxt6zwSVe,"Junku","Sound System","Herbie Hancock",1984-08-20,331666,7,seankmchenry,2020-04-07T22:08:09Z,"contemporary post-bop,instrumental funk,jazz,jazz funk,jazz fusion,jazz piano","Columbia/Legacy",0.758,0.924,2,-6.121,1,0.0399,0.0292,0.85,0.0993,0.691,107.645,4
3vKZ8XKkrai0C9vWeDBke3,"Lonely Acid - Brennan Green Dub Version","Lonely Acid","Bubble Club",2011-03-21,535194,0,seankmchenry,2020-04-07T22:08:09Z,"balearic","Bubble Club",0.809,0.936,5,-8.809,1,0.0463,0.0279,0.833,0.431,0.554,116.995,4
4jwrNFs6QlLsVkeOkFQZkF,"東風","Yellow Magic Orchestra","YELLOW MAGIC ORCHESTRA",1978-11-12,375106,24,seankmchenry,2020-04-07T22:08:09Z,"classic j-rock,electro,proto-techno,synthesizer,techno kayo,zolo","Sony Music Direct (Japan) Inc.",0.612,0.653,0,-11.105,1,0.0331,0.00506,0.901,0.0991,0.583,135.424,4
4CwJxsGH8l7zmspRe2YIHn,"Sultans Of Swing","Sultans Of Swing EP","Morning Factory",2011-12-11,487994,0,seankmchenry,2020-04-07T22:08:09Z,"","Fina (2020)",0.812,0.616,6,-9.927,1,0.0862,0.0321,0.864,0.0897,0.517,105.005,4
3jLZaOyEPzwzy37JoBhsub,"Trust Me","Midnite Spares: Compiled by András and Instant Peterson","Maria Kozic,The MK Sound",2016-08-23,272633,0,seankmchenry,2020-04-07T22:08:09Z,"","Efficient Space",0.547,0.578,4,-10.148,1,0.0363,0.155,0.229,0.244,0.761,75.049,4
7GYnwUKId93Z7Xk49XQ2za,"STRANGE LOVE／ストレンジ・ラブ","S-F-X","Haruomi Hosono",1984,352640,14,seankmchenry,2020-04-07T22:08:09Z,"classic j-rock,j-ambient,japanese folk,japanese psychedelic,japanese singer-songwriter,japanese soundtrack,proto-techno","インペリアルレコード",0.805,0.76,4,-8.14,0,0.0804,0.193,0.208,0.126,0.938,106.605,4
0xIebTj2T2dju26UwUopKn,"Nonline - Charlie Remix","IMS, Vol. 1 (LP)","International Music System,Charlie",1983-01-01,329493,19,seankmchenry,2020-04-07T22:08:09Z,"italo disco","Mr. Disc",0.792,0.799,2,-9.909,0,0.0604,0.00278,0.832,0.119,0.649,115.474,4
