Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
28WoZQy9rvLrGX94bwVv5C,"1AEcpjnSCmm53IBZQo3g9z","'Fisticated","Glyde 2nyte","DāM-FunK",2015-08-18,509877,0,spotify:user:seankmchenry,2020-05-04T14:12:08Z,"popping,synth funk,wonky",0.871,0.489,2,-6.243,1,0.0541,0.217,0.825,0.0719,0.435,109.084,4
4AkohNifs0IIR1gH0P8o9h,"1AEcpjnSCmm53IBZQo3g9z","10 West","Toeachizown","DāM-FunK",2009-10-20,355106,0,spotify:user:seankmchenry,2020-05-04T14:12:08Z,"popping,synth funk,wonky",0.76,0.559,1,-6.891,0,0.118,0.207,0.905,0.106,0.61,97.988,4
3QIZVMbL0n2I9Xxgxepx9i,"1AEcpjnSCmm53IBZQo3g9z","Rollin'","Toeachizown","DāM-FunK",2009-10-20,418786,0,spotify:user:seankmchenry,2020-05-04T14:12:08Z,"popping,synth funk,wonky",0.773,0.435,11,-6.876,0,0.0426,0.14,0.71,0.0902,0.872,98.8,4
4TqglfSvuL2uoC1ZzuSLbG,"1AEcpjnSCmm53IBZQo3g9z","Hood Pass Intact","Toeachizown","DāM-FunK",2009-10-20,301239,0,spotify:user:seankmchenry,2020-05-04T14:12:08Z,"popping,synth funk,wonky",0.833,0.663,2,-3.639,1,0.105,0.0739,0.00351,0.0814,0.446,103.693,4
2JsvvaTZKsBVO1gHSXwamD,"0VGUa1xtVL7g1srvyzbY7t,5RSuS2evjc9IGjLJUt1iZR,0ZfeJXXkQPkG21bGk3NTLt,3m8JJr3ASeNiSHK85P4o4z,2w04ct5AHBWI3AxA6PbuEb,4vJ4MIyanwJLkDECKh0Dik,5ppN1E00CZsVGCmTlAOtQO,6vyhMj9yU8TGz3VfHfzNsB","Saturday Jam","Raw Silk Vol. 1","Benedek,K-Maxx,Sasac,Turquoise Summers,Buscrates 16 Bit Ensemble,East Liberty Quarters,Henning,TONI CLARKE",2013-10-22,251653,32,spotify:user:seankmchenry,2020-05-04T14:12:58Z,"synth funk,boogie",0.822,0.445,1,-10.702,0,0.0857,0.0253,0.834,0.0986,0.746,103.71,4
5I0OtKu7VzAfnpR5kLvw78,"0ZfeJXXkQPkG21bGk3NTLt","Boot Man","Hyperion","Sasac",2014-06-24,227862,21,spotify:user:seankmchenry,2020-05-04T14:13:15Z,"synth funk",0.615,0.616,6,-8.275,0,0.0367,0.166,0.507,0.09,0.541,182.024,4
2pfZW9jK9QIfAeFvbIqD0r,"0ZfeJXXkQPkG21bGk3NTLt","Jaco Kelly","Hyperion","Sasac",2014-06-24,243989,13,spotify:user:seankmchenry,2020-05-04T14:13:15Z,"synth funk",0.931,0.531,7,-8.825,1,0.0576,0.32,0.657,0.133,0.924,128.008,4
2mFzCro3OXAFaEDUkZvrYH,"0ZfeJXXkQPkG21bGk3NTLt","Talking God","Talking God","Sasac",2016-03-18,297884,0,spotify:user:seankmchenry,2020-05-04T14:13:15Z,"synth funk",0.738,0.54,8,-9.021,1,0.0484,0.143,0.865,0.136,0.835,82,4
4MrLK5ZuFfyqjH1HZPkXvH,"1q4zY8qzOsCqIypqC5iQnd","Don't Kiss Me While I'm Swimming","Based On Misunderstandings 05","Phil Gerus",2012-12-03,191804,0,spotify:user:seankmchenry,2020-05-04T14:13:43Z,"future funk,vaporwave",0.645,0.572,1,-10.063,0,0.0494,0.0505,0.831,0.0828,0.397,89.999,4
0H36B3zYP0p5JDrQWkgpby,"1q4zY8qzOsCqIypqC5iQnd","Finding Nash","Based On Misunderstandings 05","Phil Gerus",2012-12-03,148765,0,spotify:user:seankmchenry,2020-05-04T14:13:43Z,"future funk,vaporwave",0.739,0.4,1,-9.858,1,0.0447,0.00217,0.723,0.123,0.232,97.023,4
2uOXzjxGcFf5Co07yoFrNd,"1q4zY8qzOsCqIypqC5iQnd","Milk & Honey","Milk & Honey - EP","Phil Gerus",2012-07-05,141316,0,spotify:user:seankmchenry,2020-05-04T14:13:43Z,"future funk,vaporwave",0.655,0.514,10,-5.864,1,0.0469,0.00159,0.372,0.0667,0.757,95.591,4
66KnheVNPKWJUW1NZaiFzS,"4gWUf7OLr4ccpNEzXVAJeX","Star Child Going Home","Star Child 12”","MJ Lallo",2018-02-16,284662,0,spotify:user:seankmchenry,2020-05-04T14:14:11Z,"",0.709,0.659,10,-9.135,0,0.0505,0.11,0.836,0.145,0.647,117.65,4
1JS40D0G9Y5kuH1a4aBuaa,"3NJ9Ti1L6tVbO4xo7sKT5f","Gulls","II","Moon B",2014-03-21,217547,5,spotify:user:seankmchenry,2020-05-04T14:14:11Z,"synth funk",0.749,0.809,1,-9.538,1,0.0583,0.00147,0.775,0.11,0.0389,109.576,4
6rJzUHXLMZ2GCsVBIIXV4N,"3NJ9Ti1L6tVbO4xo7sKT5f","Those Moments","II","Moon B",2014-03-21,241162,18,spotify:user:seankmchenry,2020-05-04T14:14:11Z,"synth funk",0.805,0.535,0,-11.592,0,0.0506,0.0301,0.82,0.0938,0.912,113.353,4
3seu8O4kYzgIrMIs5nuQpg,"3NJ9Ti1L6tVbO4xo7sKT5f","Moonsix","Peoples Potential Unlimited Test Pressing","Moon B",2013-07-01,236747,2,spotify:user:seankmchenry,2020-05-04T14:14:11Z,"synth funk",0.74,0.924,10,-7.597,0,0.0473,0.158,0.899,0.064,0.929,108.902,4
5RQPuE18rMDNioFmuZbrai,"7JkUXVC87YADCXyoqNORlD","I've Got My Eye On You - Original Mix","Reworks Vol.1","Nelue",2013-01-28,378403,3,spotify:user:seankmchenry,2020-05-04T14:14:11Z,"",0.834,0.911,4,-7.744,0,0.0739,0.0106,0.216,0.0922,0.757,114.081,4
0cR0xrBBp8w0xSZ6SUFEfg,"31DKmO0lYqkz7g4ymbByxg","Featurette","Affairs Online","Loose Shus",2011-06-14,404704,0,spotify:user:seankmchenry,2020-05-04T14:14:32Z,"synthwave",0.785,0.731,5,-8.509,0,0.0452,0.0217,0.776,0.0946,0.942,117.007,4
55GOlNWjNrxqXAY0YsSWmh,"1qnIDUSnguCHsRFm3yDUIR","La Mission","Understory","Luminodisco",2015-05-11,204470,2,spotify:user:seankmchenry,2020-05-04T14:14:32Z,"",0.83,0.715,10,-10.703,0,0.183,0.17,0.429,0.465,0.951,95.077,4
2X8j1vYJaJZ1vIRp7csg2y,"28516pIwBLUO62yBiLAfdI","S.W.A.K.","World Class","luxury elite",2015-07-21,234004,47,spotify:user:seankmchenry,2020-05-04T14:14:32Z,"chillsynth,mallsoft,slushwave,vaporwave",0.727,0.484,7,-12.892,1,0.108,0.327,0.33,0.307,0.389,82.962,4
3UuuxDbK1fPDc2T3ut0Kxb,"2EZsn2HRKnc2yZUFj2oaOK,69yKf1Zbv0joHmPp0M03RD","Absolutely Real","Absolutely Real","M5K,Midnight Runners",2017-01-06,281860,2,spotify:user:seankmchenry,2020-05-04T14:14:32Z,"indonesian city pop,indonesian indie pop",0.78,0.873,2,-8.044,1,0.0588,0.002,0.906,0.0668,0.448,99.989,4
4Cawgpimw6YOYl6AWZU2Ks,"2exebQUDoIoT0dXA8BcN1P","Warmth","Falling into Place","Home",2016-02-26,177815,36,spotify:user:seankmchenry,2020-05-04T14:17:58Z,"vaporwave",0.776,0.452,0,-11.254,1,0.0489,0.082,0.849,0.0906,0.706,108.016,4
4jnguj9VPJuGRfFJyAKUZS,"7HgA0wYq2OBe9ac7awv1Jq","Mopedbart","Mopedbart","Hubbabubbaklubb",2013-02-05,312200,42,spotify:user:seankmchenry,2020-05-04T14:17:58Z,"norwegian space disco",0.848,0.694,2,-6.514,1,0.0613,0.0449,0.635,0.074,0.892,108.005,4
223KaG7TPwXwILQbnGKFFc,"4nIUImyhL8KtAU2utQK8la","Think Fast","Deposition","Jomeo Pugz",2015-07-28,233771,0,spotify:user:seankmchenry,2020-05-04T14:17:58Z,"",0.608,0.72,2,-8.251,1,0.0449,0.000901,0.882,0.105,0.647,106.951,4
6fq5bnSdIwtiUJak645Ywq,"4nIUImyhL8KtAU2utQK8la","Templeton's","Deposition","Jomeo Pugz",2015-07-28,201430,0,spotify:user:seankmchenry,2020-05-04T14:17:58Z,"",0.671,0.361,9,-10.841,0,0.0341,0.548,0.322,0.124,0.91,171.92,4
0i9wsOE8sgRFmsUa29PyWR,"3EfjEHtmoYHv9maqn43IvQ","G-T Salong","To Elvira from Ivy with Love","Golden Ivy",2015-11-06,307592,3,spotify:user:seankmchenry,2020-05-04T14:18:15Z,"malmo indie",0.816,0.725,1,-9.681,0,0.0712,0.0177,0.388,0.0829,0.741,114.55,4
6dT1eOuhipJuKLabj7o9uv,"1xpjdGNm3ipMNPZ9eRwH14","Palm Coast Freeway","Things That Fade","Greeen Linez",2012-08-13,270184,15,spotify:user:seankmchenry,2020-05-04T14:18:15Z,"future funk,vaporwave",0.763,0.687,2,-6.262,0,0.0569,0.244,0.52,0.304,0.688,95.424,4
4rGntqLHTdihN7aRGqxk1M,"5ppN1E00CZsVGCmTlAOtQO,5RSuS2evjc9IGjLJUt1iZR,0ZfeJXXkQPkG21bGk3NTLt,3m8JJr3ASeNiSHK85P4o4z,2w04ct5AHBWI3AxA6PbuEb,4vJ4MIyanwJLkDECKh0Dik,0VGUa1xtVL7g1srvyzbY7t,6vyhMj9yU8TGz3VfHfzNsB","Peak of Summer","Raw Silk Vol. 1","Henning,K-Maxx,Sasac,Turquoise Summers,Buscrates 16 Bit Ensemble,East Liberty Quarters,Benedek,TONI CLARKE",2013-10-22,218400,5,spotify:user:seankmchenry,2020-05-04T14:18:15Z,"synth funk,boogie",0.65,0.468,5,-10.507,0,0.0286,0.00269,0.81,0.0989,0.801,96.017,4
5TkhcoszLC3GZoUCMC9d3h,"5dG2jd6kUcR6jyZBE0ocVA","Double Take","Don't Tell Me","Freekwency",2011-08-10,229287,0,spotify:user:seankmchenry,2020-05-04T14:18:44Z,"",0.798,0.803,10,-7.098,0,0.0654,0.00221,0.918,0.0922,0.923,111.98,4
