Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3ZZq9396zv8pcn5GYVhxUi,"Down Under","Business As Usual","Men At Work",1981-11-09,222320,77,seankmchenry,2020-04-07T22:06:50Z,"album rock,australian rock,classic rock,hard rock,mellow gold,new romantic,new wave,new wave pop,rock,soft rock","Columbia",0.739,0.459,11,-14.42,0,0.0294,0.129,0.0194,0.0474,0.892,107.115,4
3qxBN4nWvSDibXmEq5of9E,"Imaginary Lover","Champagne Jam","Atlanta Rhythm Section",1978-01,307466,42,seankmchenry,2020-04-07T22:06:50Z,"album rock,classic rock,country rock,mellow gold,soft rock,southern rock,yacht rock","Polydor",0.598,0.374,9,-14.085,0,0.0259,0.383,0.548,0.128,0.413,109.499,4
1n6JtI7q22MrWz7KPigjwk,"Lonely Runner","Robbie Dupree","Robbie Dupree",1980,275626,18,seankmchenry,2020-04-07T22:06:50Z,"yacht rock","Rhino/Elektra",0.692,0.293,0,-15.932,0,0.0283,0.44,0.000957,0.177,0.671,110.605,4
0ldR2jGvLPFEbxzEOEzxE3,"Jam On Dallas Road (feat. Dr. Mike Roma)","Country City Country","Eddie C,Dr. Mike Roma",2013-03-18,340453,18,seankmchenry,2020-04-07T22:06:50Z,"balearic,canadian electronic,canadian house,deep soul house,nu disco","Endless Flight",0.848,0.663,11,-6.977,0,0.0753,0.514,0.863,0.167,0.864,97.994,4
3GVhCuS4BRxCTvVj4Cmc8w,"How Much I Feel","Life Beyond L.A.","Ambrosia",1978,283400,64,seankmchenry,2020-04-07T22:06:50Z,"soft rock,yacht rock","RT Industries",0.667,0.513,4,-7.96,1,0.026,0.305,0,0.0851,0.518,95.306,4
2Xb6wJYGi0QXwURw5WWvI5,"Right Down the Line","City to City","Gerry Rafferty",1978,267773,70,seankmchenry,2020-04-07T22:06:50Z,"art rock,classic rock,folk rock,mellow gold,soft rock","Parlophone UK",0.783,0.322,0,-15.091,1,0.0343,0.213,0.00243,0.114,0.77,128.226,4
6cr6UDpkjEaMQ80OjWqEBQ,"Sultans of Swing","Dire Straits","Dire Straits",1978-10-07,348760,64,seankmchenry,2020-04-07T22:06:50Z,"album rock,classic rock,mellow gold,rock","Warner Records",0.725,0.801,5,-10.059,1,0.0302,0.0722,0.0339,0.339,0.925,148.211,4
2XvGUsoEFpDsmfxlNsL5lL,"In the Gallery","Dire Straits","Dire Straits",1978-10-07,376706,36,seankmchenry,2020-04-07T22:06:50Z,"album rock,classic rock,mellow gold,rock","Warner Records",0.644,0.617,8,-11.126,1,0.0564,0.117,0.14,0.114,0.712,163.966,4
5dXED6MP1v1qghkaniirb1,"You Can Do Magic","View From The Ground","America",1982-01-01,237466,63,seankmchenry,2020-04-07T22:06:50Z,"album rock,classic rock,folk rock,mellow gold,soft rock","Capitol Records",0.859,0.568,4,-12.516,0,0.0387,0.29,0,0.31,0.936,129.72,4
6gIX8nlmGBSJWkFvVDvfd1,"Who'll Be the Fool Tonight","Larsen/Feiten Band","Larsen/Feiten Band",1980,252666,39,seankmchenry,2020-04-07T22:06:50Z,"deep soft rock,yacht rock","Rhino/Warner Records",0.684,0.555,0,-13.502,1,0.0413,0.0629,0.00182,0.565,0.816,83.172,4
