Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6LClsm7WhdYyv8aHm1WyLB,"Wah Gwan","Baldhead Bridge","Culture",1978,233226,0,seankmchenry,2020-04-07T22:07:08Z,"reggae,roots reggae","Shanachie",0.769,0.435,7,-9.836,1,0.315,0.0522,0.00000265,0.117,0.53,159.979,4
3N0jxtbGxyDdTfsDngNr5K,"The Winner","Reggae Anthology: Sweet Reggae Music (1979-84)","Barrington Levy",2012-12-14,370346,9,seankmchenry,2020-04-07T22:07:08Z,"reggae,reggae fusion,roots reggae","VP Records",0.83,0.459,9,-10.899,0,0.0756,0.438,0.0344,0.286,0.639,133.373,4
3FNlN8qyieNJC7ccMaxVvq,"Shake It Up Tonight","After All","Luciano",1995-10-24,212786,0,seankmchenry,2020-04-07T22:07:08Z,"dancehall,lovers rock,reggae,roots reggae","VP Records",0.74,0.479,9,-13.011,0,0.0551,0.211,0.00127,0.0609,0.878,157.081,4
6JJPem36u7MQJGXZZUHDrJ,"Lots of Sign","Fever","Tenor Saw",1985,215960,19,seankmchenry,2020-04-07T22:07:08Z,"old school dancehall,reggae,roots reggae","Tafari Records",0.658,0.787,0,-5.269,1,0.0805,0.137,0,0.0381,0.894,77.583,4
5r2lMLnTiI9w6dr1LVmKNe,"Take Care Of The Youths","Chancery Lane","The Viceroys",1984,299800,10,seankmchenry,2020-04-07T22:07:08Z,"dub,reggae,roots reggae","Greensleeves",0.793,0.526,6,-9.629,1,0.113,0.0454,0.00909,0.0791,0.913,152.523,4
5BI24MeK7qfbLZJqBx1ynJ,"In the Mood","Reggae Grooves","Christine Lewin",2014-02-23,353226,20,seankmchenry,2020-04-07T22:07:08Z,"","Smokey Joe Productions",0.723,0.411,10,-8.309,0,0.0404,0.0882,0.00659,0.154,0.708,72.882,4
4H8jaXAk9pgXUhi7KHTE7d,"Without Your Love","Over Proof","Dennis Brown",1991-07-01,229573,0,seankmchenry,2020-04-07T22:07:08Z,"lovers rock,reggae,roots reggae","VP Records",0.795,0.307,8,-11.986,1,0.213,0.345,0,0.0523,0.868,83.452,4
0HCqURLdYUv7jqz02kZHZ4,"Tears From My Eyes","Labour Of Love II","UB40",1989-01-01,230800,33,seankmchenry,2020-04-07T22:07:08Z,"reggae fusion,uk reggae","Virgin",0.787,0.33,4,-14.013,1,0.0537,0.0814,0.0457,0.0662,0.967,79.917,4
3HogcQC6VkRwnreqAV0Gc3,"House On A Hill","Good Thing Going","Sugar Minott",1981,230400,6,seankmchenry,2020-04-07T22:07:08Z,"dub,lovers rock,old school dancehall,reggae,rocksteady,roots reggae","Black Roots",0.751,0.422,2,-14.847,1,0.0813,0.235,0.0000185,0.0762,0.861,82.813,4
3HRB7i9thQPcefV99sBsGm,"High Up Above","Good Thing Going","Sugar Minott",1981,238942,6,seankmchenry,2020-04-07T22:07:08Z,"dub,lovers rock,old school dancehall,reggae,rocksteady,roots reggae","Black Roots",0.732,0.591,7,-13.879,1,0.0988,0.239,0.000225,0.181,0.639,88.023,4
