Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
19X5dUlxVWC5jDg3eOysMz,"0MBIKH9DjtBkv8O3nS6szj","Like the Weather","In My Tribe","10,000 Maniacs",1987-07-27,236653,43,spotify:user:seankmchenry,2020-07-21T16:19:45Z,"lilith,mellow gold,new wave pop,pop rock",0.77,0.459,1,-17.453,1,0.0416,0.112,0.00343,0.145,0.963,133.351,4
6qBSGvyUzqNQv8XtnzCr9n,"6Zh3xrWlA0SA9Fsfj9AVwm","Everybody Have Fun Tonight","Mosaic","Wang Chung",1986-10-14,287360,57,spotify:user:seankmchenry,2020-11-23T14:29:00Z,"album rock,disco,mellow gold,new romantic,new wave,new wave pop,soft rock,synthpop",0.728,0.619,9,-12.265,1,0.0379,0.0884,0.0000844,0.039,0.747,128.845,4
4RkEdbewN701bmBfQOrcIg,"4dIkKOv2HxJImbUkUyUKba,011A25bgvZNEQUMVQpBjam","Wax The Van - Jon's Dub","The Blank Generation - Blank Tapes NYC 1971 - 1985","Lola,Jon",2010-02-01,506910,0,spotify:user:seankmchenry,2021-03-07T19:19:15Z,"",0.785,0.646,1,-10.566,1,0.059,0.134,0.899,0.0697,0.69,104.822,4
3KnqpdkHBuF33nvXtnEh2a,"1aX2dmV8XoHYCOQRxjPESG","You Remind Me Of Gold - Instrumental / 2012 Remaster","Dare/Fascination! (2012 - Remaster)","The Human League",1981,234266,4,spotify:user:seankmchenry,2021-03-07T19:19:35Z,"art rock,new romantic,new wave,new wave pop,permanent wave,sophisti-pop,synthpop",0.807,0.769,11,-7.063,0,0.0543,0.0173,0.0216,0.65,0.974,119.581,4
1WBpYN1XCXEzFJeRMENJMB,"0MPtOXPpfEySqmXGLGXo9i","Flyin' to Santa Barbara","Aor Global Sounds Vol.4","Special Occasion",2019-01-25,394629,19,spotify:user:seankmchenry,2021-03-07T19:19:45Z,"",0.85,0.463,8,-11.305,0,0.0489,0.112,0.851,0.0692,0.966,108.458,4
5LYOO1wFKfG0tVZ4QoC1PY,"1ORMNO9ahwP4mjhgTAcPhh","Land of Hunger","Sophisticated, Creative & Independent Techno Pop from the 20th Century","The Earons",2020-05-01,417335,12,spotify:user:seankmchenry,2021-03-07T19:20:02Z,"",0.659,0.904,0,-5.526,0,0.0344,0.404,0.0132,0.114,0.907,111.097,4
54j0CqjjPGswtUVPhyq8oF,"0L9xkvBPcEp1nrhDrodxc5,4846EweTNJP1oTLOXBn4i8","The Chinese Way - Dub","The Pursuit Of Accidents (Expanded Edition)","Level 42,John Luongo",1982,642266,1,spotify:user:seankmchenry,2021-03-07T19:20:28Z,"art rock,brit funk,dance rock,disco,mellow gold,new romantic,new wave,new wave pop,post-disco,soft rock,sophisti-pop,synthpop",0.686,0.887,9,-8.41,1,0.0511,0.26,0.692,0.147,0.675,118.792,4
4ACxa9buEUnOdYEoPcnMpi,"1MPcILKoMCJym9KscdYxuM","Your Woman","Women In Technology","White Town",1997-02-24,259893,65,spotify:user:seankmchenry,2021-03-07T19:20:53Z,"derby indie",0.815,0.605,5,-9.118,0,0.0368,0.033,0.684,0.114,0.795,102.642,4
70oUUc6z5kVw9Ne1lZHvPy,"4N3ED0vOEwgGDQCNmdvKaw,4itCx2QvYpVeSVxZdnC16G","Too Much - Dim Zach Edit","Balearic Headspace, Vol. 1","Hong Kong Syndikat,Dim Zach",2016-08-29,431515,12,spotify:user:seankmchenry,2021-03-07T19:21:15Z,"",0.665,0.869,11,-6.873,0,0.0373,0.156,0.915,0.179,0.846,98.996,4
29T6HQEYLAc8syLr3I4SRK,"2mV8aJphiSHYJf43DxL7Gt","Somethingood","White Women","Chromeo",2014-05-12,390880,27,spotify:user:seankmchenry,2021-03-07T19:21:38Z,"alternative dance,dance rock,electropop,filter house,new rave",0.563,0.703,11,-5.753,0,0.0701,0.12,0.00264,0.0576,0.787,123.945,4
