Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0bhOlCecgnlpRtC8vyGMzc,"Coral Reef","Raw Movements | Rude Movements","SunPalace",2016-11-18,293266,0,seankmchenry,2020-04-07T22:06:29Z,"","BBE",0.525,0.825,8,-7.637,0,0.0448,0.358,0.896,0.0587,0.876,121.407,4
6gzUi6an8slC9kR2A2GLiE,"Rock the Box","Rock the Box","Sylvester",1984-01-01,300773,25,seankmchenry,2020-04-07T22:06:29Z,"disco,hi-nrg","UNIDISC MUSIC INC.",0.689,0.725,10,-8.893,0,0.0448,0.0102,0.382,0.108,0.438,124.257,4
7H9KJBLENWjQNpCbHYW3Fk,"Loose Coupling","Private Function","Loose Shus",2013-07-09,304847,0,seankmchenry,2020-04-07T22:06:29Z,"synthwave","Voltaire Records",0.697,0.485,2,-8.544,0,0.0286,0.0589,0.657,0.145,0.399,104.022,4
2mKLARJE62atC3AonjXf2g,"This Love Pt. 1","This Love Pt. 1","Bobby Oroza",2018-03-06,285814,0,seankmchenry,2020-04-07T22:06:29Z,"finnish soul,retro soul,souldies","Big Crown Records",0.493,0.662,4,-5.976,0,0.0429,0.584,0.142,0.223,0.819,149.92,4
212guZJYmzASElwy8HmVKx,"Hibiscus Pacific","Things That Fade","Greeen Linez",2012-08-13,251779,33,seankmchenry,2020-04-07T22:06:29Z,"future funk,vaporwave","Diskotopia",0.565,0.91,1,-4.91,0,0.0415,0.122,0.866,0.0913,0.69,98.495,4
2147J3YZO86mxH3vvkWoVO,"Confession","Panty Soakers 3","Budgie",2017-02-14,222048,0,seankmchenry,2020-04-07T22:06:29Z,"instrumental hip hop","Budgie",0.682,0.484,5,-9.894,0,0.0338,0.5,0.356,0.221,0.225,78.031,4
3stXhizkwlPLDXra8cD67d,"My Sentiment","Universal Togetherness Band","Universal Togetherness Band",2015-01-20,264800,0,seankmchenry,2020-04-07T22:06:29Z,"deep funk","Numero Group",0.806,0.491,5,-10.245,1,0.0336,0.218,0.0000434,0.166,0.748,106.524,4
3wSh6OJP5CwwiO1i7eyBRY,"Desire Lines","Desire Lines","Meanderthals",2009-03-23,387306,0,seankmchenry,2020-04-07T22:06:29Z,"balearic","Smalltown Supersound",0.658,0.671,5,-11.377,0,0.0281,0.0292,0.885,0.0774,0.787,91.591,4
6xrZu4MV1ImnryecMYjlsV,"Special FX","The Day","Mark E",2011-07-05,285607,0,seankmchenry,2020-04-07T22:06:29Z,"balearic,deep soul house","Spectral Sound",0.771,0.74,0,-7.459,1,0.0606,0.000299,0.853,0.0774,0.851,108.003,4
2vFpsiAMjtQ5B90UIqMs5m,"É Mulher - Ashely Beedle ‘Afrikan On Marz Voyage’ Remix","É Mulher / Carnaval Legrand","Azymuth",2013-06-10,430170,0,seankmchenry,2020-04-13T13:53:13Z,"brazilian boogie,jazz funk,psicodelia brasileira","Far Out Recordings",0.727,0.787,2,-10.259,1,0.0533,0.0122,0.766,0.0726,0.314,125.007,4
4j4OFJXseYnXSxB4VwqXX0,"Ease Croix","Peter Pan Death Wish","Melkeveien",2014-06-16,288034,0,seankmchenry,2020-04-13T13:53:13Z,"norwegian house,skweee","Dødpop",0.811,0.456,7,-10.636,1,0.153,0.143,0.856,0.0912,0.768,115.986,4
3ZdP62yxr6bcGJacqyUXJr,"Rouge","Frontera","Phil Mison,Pete Herbert",2006-01-01,389160,21,seankmchenry,2020-04-13T13:53:13Z,"balearic","Music For Dreams",0.758,0.749,0,-9.521,0,0.0513,0.0122,0.833,0.831,0.865,110.995,4
7oHbgUTNucDYN0Gwh7RoPQ,"Phase Fever","What About the Magnetic Fields?","Space Ranger",2011-01-01,339226,1,seankmchenry,2020-04-13T13:53:13Z,"","Lovemonk",0.738,0.758,8,-9.343,1,0.0605,0.00513,0.899,0.12,0.558,117.998,4
49OhaEDmcPxbBljl7d4OrP,"Living Without Your Love","Future Disco, Vol. 2","Walter Jones",2009-09-28,354186,0,seankmchenry,2020-04-13T13:53:13Z,"","Needwant",0.783,0.386,5,-12.663,0,0.041,0.00181,0.819,0.133,0.732,115.02,4
4OZ4fT2dCXnPJDeMKoHK7P,"Can't Afford To Let You Go","Cool As Ice: Be Music Productions","52nd Street",2008-04-28,415680,10,seankmchenry,2022-06-23T13:33:54Z,"brit funk","LTM Recordings",0.69,0.663,0,-13.882,1,0.0471,0.00082,0.00164,0.0699,0.771,124.804,4
12StUHq28SAjxeb1TiK8ci,"Sequencer","Scenario","Al Di Meola",1983-08-19,246600,8,seankmchenry,2022-06-23T13:33:54Z,"flamenco guitar,jazz fusion,jazz guitar","Columbia",0.619,0.584,9,-13.262,1,0.0418,0.169,0.31,0.0689,0.808,110.207,4
0GNjy1l5gTRKWwfVL5ypm2,"Ocean Colour","Burning of The Midnight Minds","Ilija Rudman",2008-11-17,438880,5,seankmchenry,2022-06-29T17:24:59Z,"balearic,croatian electronic,nu disco","Electric Minds",0.81,0.737,7,-6.522,0,0.0402,0.0331,0.907,0.0539,0.866,118.998,4
2zStbrzatrxT40NJiui5hr,"Treegossip - Original Mix","Treegossip","David Marston,Life on Planets",2015-10-26,274792,0,seankmchenry,2022-06-29T17:53:56Z,"jazz house,indie soul","Better On Foot",0.645,0.85,1,-5.994,0,0.0279,0.0572,0.869,0.0895,0.899,104.944,4
2N6IAWOigcWwHjcRccjydT,"Southern Freeez - Remastered","Southern Freeez (Expanded Edition)","Freeez",2011-08-29,341373,0,seankmchenry,2022-06-29T17:54:31Z,"brit funk,hi-nrg,post-disco","Beggars Banquet",0.749,0.67,7,-14.44,1,0.0329,0.31,0.279,0.0421,0.874,127.383,4
2PPmaXDTDRp9vgtXRp2x2d,"A Beat For You - Original Mix","A Beat For You","Glen Adams",2017-11-17,452500,0,seankmchenry,2022-06-29T17:54:58Z,"early reggae,rocksteady","Emotional Rescue",0.828,0.485,9,-9.554,0,0.146,0.173,0.0124,0.0641,0.968,76.63,4
4hYcY2965SAQsfmynbezhf,"Love Is a Hurtin' Thing - 12 Version","Love Is a Hurtin' Thing","Gloria Ann Taylor",2015-11-27,436880,0,seankmchenry,2022-06-29T17:55:17Z,"rare groove","Luv N'Haight",0.363,0.786,5,-10.403,0,0.15,0.176,0.00354,0.081,0.722,103.852,4
