Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2rdWtO0yJTu2pISnQ08z3a,"4nEeXjmnkJHJG6xrRBK0bp","Chemicals","Business Logic","John Mint",2021-05-21,248000,1,spotify:user:seankmchenry,2022-06-24T22:45:39Z,"",0.707,0.303,4,-11.019,0,0.0487,0.367,0.906,0.191,0.66,90.005,4
7mECxUtKZlHKPXnqZ16P2K,"4nEeXjmnkJHJG6xrRBK0bp","Love On Hold","Business Logic","John Mint",2021-05-21,194999,1,spotify:user:seankmchenry,2022-06-24T22:45:39Z,"",0.652,0.57,2,-8.213,0,0.0319,0.547,0.354,0.118,0.697,87.986,4
7zwEj3hEiAfRrwjFyIy3jQ,"31krAdMGlK6qGv5TCF7e9P","Follow Him, For He Is the One","New World Disciples","desert sand feels warm at night",2021-05-21,389189,41,spotify:user:seankmchenry,2022-06-24T22:45:39Z,"dreampunk,hardvapour,mallsoft,slushwave,vaporwave",0.413,0.27,5,-18.735,1,0.033,0.933,0.748,0.106,0.219,147.942,4
1Bg9oI5OCRjGrSUZwsQmT6,"65XcfOOaVxbZnNlz40DK7i","Caligula","One Hundred Mornings","Windows 96",2018-07-13,316479,47,spotify:user:seankmchenry,2022-06-24T22:45:39Z,"chillsynth,synthwave brasileiro,vaporwave",0.645,0.563,6,-10.325,0,0.0558,0.763,0.909,0.11,0.223,90.007,4
3jbeQxFnBvGgLMDYTKxu1x,"65XcfOOaVxbZnNlz40DK7i","Rituals","One Hundred Mornings","Windows 96",2018-07-13,194258,44,spotify:user:seankmchenry,2022-06-24T22:45:39Z,"chillsynth,synthwave brasileiro,vaporwave",0.505,0.657,1,-8.895,0,0.214,0.404,0.755,0.116,0.688,140.39,4
2X8j1vYJaJZ1vIRp7csg2y,"28516pIwBLUO62yBiLAfdI","S.W.A.K.","World Class","luxury elite",2015-07-21,234004,46,spotify:user:seankmchenry,2022-06-24T22:45:39Z,"mallsoft,slushwave,vaporwave",0.727,0.484,7,-12.892,1,0.108,0.327,0.33,0.307,0.389,82.962,4
0RavYjfUerNiFernwQRUKE,"4eYVVrnphe4blxWuzahYQE","FORUM 消費者[kuluttaja]","ショップ @ ヘルシンキ","猫 シ Corp.",2016-04-22,338500,17,spotify:user:seankmchenry,2022-06-24T22:45:39Z,"chillsynth,future funk,hardvapour,mallsoft,vaporwave",0.64,0.853,0,-10.02,0,0.0322,0.127,0.492,0.672,0.23,95.519,4
4HdjRX4K2x9MRPcj0Okol6,"5XGFJFsxml27Efnm9kAO8U","Designated Waiting Area","Executive Towers","Jade Statues",2015-09-28,321641,11,spotify:user:seankmchenry,2022-06-24T23:19:37Z,"hardvapour",0.271,0.697,2,-13.664,0,0.0439,0.49,0.986,0.0611,0.043,146.795,4
2DE7dz5pjcPPaIFFAKZcfo,"5XGFJFsxml27Efnm9kAO8U","Pre-Interview Cleansing Pool","Executive Towers","Jade Statues",2015-09-28,329930,6,spotify:user:seankmchenry,2022-06-24T23:19:37Z,"hardvapour",0.567,0.878,1,-7.566,0,0.0995,0.155,0.767,0.343,0.466,140.523,4
60EEO1yBw49A0QrIbIvQdz,"5XGFJFsxml27Efnm9kAO8U","Executive Suite","Executive Towers","Jade Statues",2015-09-28,263057,8,spotify:user:seankmchenry,2022-06-24T23:19:37Z,"hardvapour",0.413,0.751,11,-7.903,0,0.0575,0.000202,0,0.103,0.246,136.01,4
17Ek0s4Cy2h58yGOT6fusb,"5XGFJFsxml27Efnm9kAO8U","High Paying Position / VIP Lounge Keycard","Executive Towers","Jade Statues",2015-09-28,380604,5,spotify:user:seankmchenry,2022-06-24T23:19:37Z,"hardvapour",0.8,0.697,1,-9.738,1,0.0466,0.0131,0.783,0.113,0.0904,131.205,4
2FDJTo05zVmswy9x1FjlAa,"0x0u0jCVf5Jf4DNh45XPXL","Private Caller","Portals Summer II","Skylar Spence",2013-08-13,228118,50,spotify:user:seankmchenry,2022-06-29T17:42:44Z,"future funk,vaporwave",0.571,0.805,10,-6.413,0,0.196,0.000118,0.816,0.0672,0.61,101.01,4
09Y1oU16bH9WllukYJABBF,"6EZTI4G3MyO1cSSkrBJpgI","Sneakers for Men","Buy Now","Eyeliner",2015-06-27,227827,32,spotify:user:seankmchenry,2022-10-31T19:12:03Z,"hardvapour,vaporwave",0.687,0.637,0,-11.419,0,0.0326,0.0196,0.714,0.0578,0.387,97.233,4
2KihC22xwFHMkkg0YUP5Md,"6EZTI4G3MyO1cSSkrBJpgI","Pinot Noir","Buy Now","Eyeliner",2015-06-27,333433,34,spotify:user:seankmchenry,2022-10-31T19:12:03Z,"hardvapour,vaporwave",0.627,0.623,7,-10.968,0,0.0331,0.241,0.806,0.117,0.708,172.661,4
0OuCVBi0xdZMaieusyYKn6,"5bQ1u5yLlL2WZv49doSgRz","Stardust","Constant","Hotel Pools",2019-07-12,187500,32,spotify:user:seankmchenry,2022-10-31T19:16:02Z,"chillsynth,synthwave",0.634,0.482,8,-13.39,0,0.213,0.702,0.905,0.121,0.211,179.931,4
4mcMAvAZeLxY1OeRtjXrLg,"5bQ1u5yLlL2WZv49doSgRz","Spring","Constant","Hotel Pools",2019-07-12,179662,33,spotify:user:seankmchenry,2022-10-31T19:16:02Z,"chillsynth,synthwave",0.75,0.42,10,-13.131,0,0.0509,0.441,0.947,0.104,0.465,103.014,4
