Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
72fiZI0nybEnu1TZlRE7nb,"42nd Street Heartbeat","Don't Stop","Per Tjernberg",1983,262973,0,seankmchenry,2020-04-07T22:06:08Z,"","Silence Records",0.613,0.862,5,-7.762,0,0.0351,0.025,0.0611,0.0437,0.969,174.739,4
4YlUVxSBA5RFC8SvNyYCHW,"The Breeze And I","Hoala","The Brothers Cazimero",1978-11-05,153733,10,seankmchenry,2020-04-07T22:06:08Z,"hawaiian,slack-key guitar","The Mountain Apple Company",0.444,0.0315,2,-26.734,1,0.0356,0.912,0.00002,0.152,0.368,75.084,4
34Ez9Hn4Ulq6IgVfUd1zsa,"Gozame Ya!","Psychemagik Presents: Magik Sunrise","Susana Estrada",2013-05-20,169693,15,seankmchenry,2020-04-07T22:06:08Z,"","Leng Records",0.692,0.83,0,-6.902,1,0.0688,0.161,0.0000729,0.0518,0.891,97.031,4
3CLkeO9zTg2IiV736e08Mp,"Trans Europe Express","El Baile Alemán (Senor Coconut Y Su Conjunto)","Señor Coconut",2011-11-18,359106,0,seankmchenry,2020-04-07T22:06:08Z,"","Nacional Records",0.632,0.887,10,-5.695,0,0.208,0.0163,0.00586,0.335,0.778,218.086,4
6AH6bQIX6K0J83ifDHfALS,"Equador","Gary Low: The Best of","Gary Low",1982-01-01,428666,14,seankmchenry,2020-04-07T22:06:08Z,"italo disco","UNIDISC MUSIC INC.",0.733,0.731,5,-9.307,1,0.053,0.0311,0.925,0.0479,0.947,104.945,4
1Xtp7f5StlRWVpiXwWIchu,"Robot Jam - Part 2","Robot Jam","Carl & Carol Jacobs",2015-07-17,330648,0,seankmchenry,2020-04-07T22:06:08Z,"","Emotional Rescue",0.783,0.722,11,-9.766,0,0.0598,0.0858,0.881,0.117,0.61,114.869,4
0WqS4ZSC82YEQl2zH2ywYZ,"Mundian To Bach Ke","Mundian To Bach Ke","Panjabi MC",2016-02-05,235666,3,seankmchenry,2020-04-07T22:06:08Z,"bhangra,classic bhangra,desi hip hop","Nachural Records",0.727,0.925,8,-5.808,0,0.0479,0.0998,0.301,0.0554,0.964,98.058,4
5BHaDhswzlouDcfUWlaB4j,"Tiden Bara Går","Glimtar Över Tiden,1977 Till Nu","Roger Rönning",0000,274813,0,seankmchenry,2020-04-07T22:06:08Z,"","Prm Records",0.745,0.662,9,-6.18,0,0.039,0.00181,0.0339,0.0627,0.958,101.687,4
0ufRuWwD0Zi4ILZcd8VBOe,"Born To Boogie","Surinam Funk Force","Steve Watson",2016-10-07,238863,0,seankmchenry,2020-04-07T22:06:08Z,"","Rush Hour",0.713,0.625,11,-7.283,0,0.17,0.539,0.249,0.0353,0.701,117.318,4
7zaUnSoWov7PFJlrroH9j8,"Balafon","Tony Esposito","Tony Esposito",1985,220218,2,seankmchenry,2020-04-07T22:06:08Z,"italian jazz fusion,italo disco,neapolitan funk","Bubble Records",0.736,0.287,9,-21.342,1,0.0337,0.602,0.673,0.0331,0.893,96.062,4
21RsxnJzTGQmhikGMElqTT,"Oublier son visage","Best of Christophe Laurent Collector (Le meilleur des années 80)","Christophe Laurent",2011,235309,22,seankmchenry,2020-04-07T22:06:08Z,"classic french pop","Musiques & Solutions",0.667,0.881,10,-7.939,0,0.0461,0.351,0.517,0.0578,0.961,98.226,4
0fNeojFtLjfjn1rX1kvvpG,"Wuhti","UNTHANK006","Denaji",2014,189627,0,seankmchenry,2020-04-07T22:06:08Z,"","Firecracker",0.661,0.343,6,-18.564,0,0.0827,0.294,0.00147,0.338,0.289,115.015,4
7Ka1NFrptl7haeYQX1Qb6u,"A.I.E. (A Moun'La)","La machine à danser","La Compagnie Créole",1987-01-01,241400,24,seankmchenry,2020-04-07T22:06:08Z,"chanson,chanson paillarde,classic french pop,french pop","Zagora",0.667,0.858,2,-5.47,0,0.0404,0.333,0.000507,0.0792,0.89,124.493,4
1qSbZgwqe8nTQXajtEzbkM,"Shinzo No Tobira","Utakata No Hibi","Mariah",1983,282386,0,seankmchenry,2020-04-07T22:06:08Z,"fourth world,japanese experimental,japanese new wave","Palto Flats",0.718,0.745,5,-11.265,1,0.037,0.0299,0.524,0.0918,0.706,109.379,4
2wL88cvKXUOfHuYVd62hji,"Palco","Luar","Gilberto Gil",1981,266173,54,seankmchenry,2020-04-07T22:06:08Z,"bossa nova,mpb,samba,tropicalia,violao","WM Brazil",0.734,0.787,1,-7.358,0,0.0461,0.489,0.0461,0.329,0.757,108.329,4
0Zpyw3IIktYLaHsQC3Zgk9,"Dance With Me - Al Kent Version","Tropical Disco Hustle, Vol. 1 and 2","Wild Fire",2015-12-04,287150,7,seankmchenry,2020-04-07T22:06:08Z,"","Cultures of Soul Records",0.825,0.61,7,-12.887,1,0.039,0.528,0.000456,0.13,0.611,111.535,4
2kVUz3iOVoYuKi4xcXqPTg,"Bibo No Aozora","Smoochy","Ryuichi Sakamoto",1997-02-25,343160,0,seankmchenry,2020-04-07T22:06:08Z,"compositional ambient,japanese classical,japanese contemporary classical,japanese soundtrack","KAB America",0.575,0.83,0,-7.751,1,0.0351,0.269,0.723,0.068,0.526,89.998,4
1p5g2I5T144Vv2f2jnHGKa,"Yil Lull","Yil Lull","Joe Geia",2013-11-05,260388,0,seankmchenry,2020-04-07T22:06:08Z,"australian indigenous music","Joe Geia",0.62,0.24,9,-22.128,1,0.0423,0.706,0.000817,0.532,0.234,101.143,4
5JR8HTsLChLCRKfOm9lY2D,"Apartment #703","Mackey Feary & Nite Life","Mackey Feary",1983,240093,0,seankmchenry,2020-04-07T22:06:08Z,"","Kahuku Publishing",0.506,0.809,11,-8.834,0,0.0794,0.08,0.821,0.115,0.743,135.003,4
