Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
78xgnkKOwiwUKsI3pFtoVF,"3JJR0ExBP5G8uyhcViM14W","Sora, Pt. 1","New Magic","Gianni Brezzo",2019-06-28,88215,6,spotify:user:seankmchenry,2021-12-14T17:08:35Z,"indie jazz,jazztronica",0.221,0.42,8,-13.874,1,0.0442,0.761,0.792,0.104,0.0353,119.597,3
67ubnyDNORMEyVqx272Pwg,"3JJR0ExBP5G8uyhcViM14W","Sora, Pt. 2","New Magic","Gianni Brezzo",2019-06-28,216061,8,spotify:user:seankmchenry,2021-12-14T17:08:35Z,"indie jazz,jazztronica",0.65,0.617,8,-11.108,1,0.0422,0.287,0.882,0.0845,0.273,90.083,4
6xT4G0CmWSmAlRmtBCep8b,"3JJR0ExBP5G8uyhcViM14W","Holding On","New Magic","Gianni Brezzo",2019-06-28,134634,17,spotify:user:seankmchenry,2021-12-14T17:08:35Z,"indie jazz,jazztronica",0.301,0.319,9,-10.749,0,0.0327,0.791,0.878,0.0736,0.0733,141.599,4
4JRld1n1PCE3JD1LwIZpng,"3JJR0ExBP5G8uyhcViM14W","Nunca","New Magic","Gianni Brezzo",2019-06-28,60209,5,spotify:user:seankmchenry,2021-12-14T17:08:35Z,"indie jazz,jazztronica",0.33,0.362,6,-10.155,1,0.0371,0.761,0.935,0.34,0.139,108.788,4
03U1LjAXESNzc59Numooo5,"3JJR0ExBP5G8uyhcViM14W","Ufo Dance","New Magic","Gianni Brezzo",2019-06-28,191163,6,spotify:user:seankmchenry,2021-12-14T17:08:35Z,"indie jazz,jazztronica",0.492,0.756,6,-10.178,1,0.0375,0.0671,0.81,0.11,0.353,92.569,4
1Th7WY9y9oMxZnMFcTUrMN,"3JJR0ExBP5G8uyhcViM14W","Balfi","New Magic","Gianni Brezzo",2019-06-28,181363,10,spotify:user:seankmchenry,2021-12-14T17:08:35Z,"indie jazz,jazztronica",0.517,0.551,10,-9.503,0,0.0383,0.132,0.813,0.1,0.706,87.892,4
0w9BldxthKBRKKOqJhLIt2,"3JJR0ExBP5G8uyhcViM14W","New Magic","New Magic","Gianni Brezzo",2019-06-28,213066,30,spotify:user:seankmchenry,2021-12-14T17:08:35Z,"indie jazz,jazztronica",0.455,0.647,9,-8.114,1,0.0649,0.0732,0.224,0.105,0.2,83.828,4
0Qvfyp8Td4pHdxkFX5s36D,"3JJR0ExBP5G8uyhcViM14W","Thunder Jam","New Magic","Gianni Brezzo",2019-06-28,113750,5,spotify:user:seankmchenry,2021-12-14T17:08:35Z,"indie jazz,jazztronica",0.685,0.795,1,-6.587,1,0.0858,0.00221,0.911,0.106,0.768,95.922,4
25XNjIXrVZA0yN2NWFELFt,"3JJR0ExBP5G8uyhcViM14W","Kori","New Magic","Gianni Brezzo",2019-06-28,183276,7,spotify:user:seankmchenry,2021-12-14T17:08:35Z,"indie jazz,jazztronica",0.74,0.519,4,-8.113,0,0.059,0.557,0.36,0.155,0.465,92.922,4
55JP7xVANTVvNmz3rRlq0q,"3JJR0ExBP5G8uyhcViM14W","Twtt","New Magic","Gianni Brezzo",2019-06-28,64211,5,spotify:user:seankmchenry,2021-12-14T17:08:35Z,"indie jazz,jazztronica",0.452,0.681,0,-10.111,1,0.0477,0.0466,0.79,0.547,0.433,101.605,5
6VksOsgBjY0U4eBtuz8ePh,"3JJR0ExBP5G8uyhcViM14W","Adult Ship","Traditional Heart","Gianni Brezzo",2020-07-10,234208,12,spotify:user:seankmchenry,2021-12-14T17:07:34Z,"indie jazz,jazztronica",0.312,0.216,0,-17.505,0,0.0355,0.89,0.926,0.147,0.131,78.271,4
30obd90QL7RXMp15UuBpbM,"3JJR0ExBP5G8uyhcViM14W","Henry","Traditional Heart","Gianni Brezzo",2020-07-10,153808,12,spotify:user:seankmchenry,2021-12-14T17:07:34Z,"indie jazz,jazztronica",0.268,0.187,3,-12.861,0,0.0376,0.823,0.865,0.121,0.252,109.187,4
66iQXKRqVqBkIH3pqFaDrg,"3JJR0ExBP5G8uyhcViM14W","Moof!","Traditional Heart","Gianni Brezzo",2020-07-10,260081,31,spotify:user:seankmchenry,2021-12-14T17:07:34Z,"indie jazz,jazztronica",0.378,0.398,6,-15.887,0,0.0393,0.888,0.789,0.109,0.163,81.064,4
2PNs7Ju1OS9Ork5IPhbbm9,"3JJR0ExBP5G8uyhcViM14W","I Told You","Traditional Heart","Gianni Brezzo",2020-07-10,150661,10,spotify:user:seankmchenry,2021-12-14T17:07:34Z,"indie jazz,jazztronica",0.351,0.225,0,-17.963,0,0.0348,0.837,0.908,0.0813,0.16,165.412,3
1vQ9t6DMX4rHM1tMe73lZb,"3JJR0ExBP5G8uyhcViM14W","Hickup","Traditional Heart","Gianni Brezzo",2020-07-10,111310,10,spotify:user:seankmchenry,2021-12-14T17:07:34Z,"indie jazz,jazztronica",0.0911,0.352,10,-13.916,0,0.0385,0.729,0.55,0.117,0.124,170.755,4
2IX96GI2hNuXRRsFWhKuJz,"3JJR0ExBP5G8uyhcViM14W","Mental Shower","Traditional Heart","Gianni Brezzo",2020-07-10,274171,16,spotify:user:seankmchenry,2021-12-14T17:07:34Z,"indie jazz,jazztronica",0.541,0.501,6,-12.294,1,0.0301,0.57,0.78,0.087,0.233,86.001,4
66EEB2K3CcvaSL8SFfdIfy,"3JJR0ExBP5G8uyhcViM14W","Guitar","Traditional Heart","Gianni Brezzo",2020-07-10,155883,9,spotify:user:seankmchenry,2021-12-14T17:07:34Z,"indie jazz,jazztronica",0.695,0.201,0,-13.308,0,0.0374,0.977,0.857,0.118,0.24,117.801,4
5tqXTKfcstWsk8RACaYUEM,"3JJR0ExBP5G8uyhcViM14W","Gwing","Traditional Heart","Gianni Brezzo",2020-07-10,173273,9,spotify:user:seankmchenry,2021-12-14T17:07:34Z,"indie jazz,jazztronica",0.394,0.175,1,-16.462,1,0.0314,0.901,0.857,0.107,0.165,108.927,4
3cwMhMPbvYmLbs4Cgl2xbR,"3JJR0ExBP5G8uyhcViM14W","More Hours","Traditional Heart","Gianni Brezzo",2020-07-10,158273,8,spotify:user:seankmchenry,2021-12-14T17:07:34Z,"indie jazz,jazztronica",0.31,0.232,7,-25.91,1,0.0583,0.976,0.891,0.161,0.0818,88.993,4
7n5frda7BVVpbRqXqF4k08,"3JJR0ExBP5G8uyhcViM14W","Osse Two","Traditional Heart","Gianni Brezzo",2020-07-10,156994,11,spotify:user:seankmchenry,2021-12-14T17:07:34Z,"indie jazz,jazztronica",0.249,0.118,11,-18.518,1,0.0374,0.834,0.85,0.156,0.107,88.348,4
29Fy2cwSb30rQXlcw97cjb,"3JJR0ExBP5G8uyhcViM14W","Excited","Traditional Heart","Gianni Brezzo",2020-07-10,138633,9,spotify:user:seankmchenry,2021-12-14T17:07:34Z,"indie jazz,jazztronica",0.307,0.178,3,-14.956,1,0.0324,0.908,0.771,0.118,0.394,50.717,4
57xYZns1tTF6wuIJzDaH9B,"3JJR0ExBP5G8uyhcViM14W","River","Traditional Heart","Gianni Brezzo",2020-07-10,193907,8,spotify:user:seankmchenry,2021-12-14T17:07:34Z,"indie jazz,jazztronica",0.488,0.421,0,-16.394,0,0.0301,0.679,0.93,0.129,0.403,86.656,4
72hEQR8HkhzQNpkJSNuyXC,"3JJR0ExBP5G8uyhcViM14W","The End Of","Traditional Heart","Gianni Brezzo",2020-07-10,158664,10,spotify:user:seankmchenry,2021-12-14T17:07:34Z,"indie jazz,jazztronica",0.357,0.169,8,-19.02,1,0.0352,0.934,0.917,0.115,0.116,79.512,4
4wNHEu9tzYvndYFGGIQavZ,"3JJR0ExBP5G8uyhcViM14W","Brem Bo","Traditional Heart","Gianni Brezzo",2020-07-10,108996,9,spotify:user:seankmchenry,2021-12-14T17:07:34Z,"indie jazz,jazztronica",0.305,0.098,1,-18.354,1,0.0364,0.92,0.747,0.113,0.224,135.715,4
6aS7DNvRJ7XRu2Q581eYXZ,"3JJR0ExBP5G8uyhcViM14W","Balfi","Limonata","Gianni Brezzo",2018-10-12,105365,2,spotify:user:seankmchenry,2021-12-14T17:07:37Z,"indie jazz,jazztronica",0.232,0.117,3,-19.232,1,0.0274,0.995,0.624,0.0988,0.144,78.677,4
0gw3XzqQsvhQTJacnNMxsm,"3JJR0ExBP5G8uyhcViM14W","Boombob","Limonata","Gianni Brezzo",2018-10-12,220000,3,spotify:user:seankmchenry,2021-12-14T17:07:37Z,"indie jazz,jazztronica",0.42,0.703,2,-13.735,1,0.0524,0.166,0.778,0.18,0.526,120.66,4
4ukPmRBWlXE4o0IOa7JpQo,"3JJR0ExBP5G8uyhcViM14W","Core of Buti","Limonata","Gianni Brezzo",2018-10-12,248000,2,spotify:user:seankmchenry,2021-12-14T17:07:37Z,"indie jazz,jazztronica",0.698,0.763,4,-9.892,0,0.0392,0.233,0.313,0.0831,0.82,93.924,4
4GfvfXp6OerItHWAvedRXB,"3JJR0ExBP5G8uyhcViM14W","Herida","Limonata","Gianni Brezzo",2018-10-12,281739,2,spotify:user:seankmchenry,2021-12-14T17:07:37Z,"indie jazz,jazztronica",0.401,0.718,3,-10.517,0,0.0442,0.322,0.423,0.0572,0.887,91.638,3
4KbxPZOcUYt28x8QlooYA9,"3JJR0ExBP5G8uyhcViM14W","Jaffa 2.0","Limonata","Gianni Brezzo",2018-10-12,171000,6,spotify:user:seankmchenry,2021-12-14T17:07:37Z,"indie jazz,jazztronica",0.54,0.368,8,-13.677,0,0.0429,0.344,0.871,0.254,0.494,79.992,4
6nl35FxFS8HAgz9pH1kCW5,"3JJR0ExBP5G8uyhcViM14W","Ynt 68","Limonata","Gianni Brezzo",2018-10-12,193734,2,spotify:user:seankmchenry,2021-12-14T17:07:37Z,"indie jazz,jazztronica",0.623,0.24,8,-15.659,0,0.0809,0.608,0.82,0.16,0.117,82.94,3
