Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3WO8ZBnOtad3xMz46Z54pY,"Blue Velvet","16 Most Requested Songs","Bobby Vinton",1991-09-03,168000,51,seankmchenry,2023-11-08T23:33:01Z,"adult standards,bubblegum pop,doo-wop,easy listening,rock-and-roll,rockabilly","Epic/Legacy",0.418,0.153,10,-14.484,1,0.0293,0.879,0.00000423,0.156,0.267,80.748,4
3i66fGEvT9cz6zEi8sezOq,"Blue On Blue","16 Most Requested Songs","Bobby Vinton",1991-09-03,149266,23,seankmchenry,2023-11-08T23:33:01Z,"adult standards,bubblegum pop,doo-wop,easy listening,rock-and-roll,rockabilly","Epic/Legacy",0.609,0.214,10,-15.268,1,0.0263,0.731,0,0.259,0.565,97.769,4
6x8xIapc9xcZlJ9HpCkrm9,"Mr. Lonely","16 Most Requested Songs","Bobby Vinton",1991-09-03,160066,45,seankmchenry,2023-11-08T23:33:01Z,"adult standards,bubblegum pop,doo-wop,easy listening,rock-and-roll,rockabilly","Epic/Legacy",0.37,0.185,4,-14.335,1,0.028,0.804,0.00000135,0.288,0.31,84.392,3
3mwiyHBHfAzOe89MwqJeEb,"There! I've Said It Again","There I've Said It Again","Bobby Vinton",1964,144946,36,seankmchenry,2023-11-08T23:33:01Z,"adult standards,bubblegum pop,doo-wop,easy listening,rock-and-roll,rockabilly","Epic/Legacy",0.26,0.355,2,-7.955,1,0.03,0.776,0,0.136,0.338,78.464,4
3B3jI9LaQyOwrtjdlnNOw0,"Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini","The Bashful Blond","Brian Hyland",1961-01-01,143733,0,seankmchenry,2023-11-08T23:33:01Z,"bubblegum pop,doo-wop,merseybeat,rock-and-roll","Geffen",0.813,0.427,2,-11.543,1,0.0921,0.554,0,0.0248,0.964,123.112,4
6oM4ryXpuZmbFfBv2sEe7v,"Sealed With A Kiss","Chronology","Brian Hyland",1993-01-01,162160,56,seankmchenry,2023-11-08T23:33:01Z,"bubblegum pop,doo-wop,merseybeat,rock-and-roll","Geffen",0.449,0.362,5,-10.38,0,0.0279,0.743,0,0.132,0.6,90.822,4
2D86cXyDT7PAWcF3cUEPTI,"Are You Lonesome Tonight","Let Me Belong To You","Brian Hyland",1962-01-01,169080,8,seankmchenry,2023-11-08T23:33:01Z,"bubblegum pop,doo-wop,merseybeat,rock-and-roll","Geffen",0.616,0.475,2,-10.291,1,0.0366,0.565,0.00000209,0.263,0.548,98.793,4
43SnuhthBn61wC8535oWnc,"Portrait Of A Fool","Portrait Of A Fool","Conway Twitty",1962-01-01,151666,2,seankmchenry,2023-11-08T23:33:01Z,"arkansas country,classic country pop,country,country rock","Mercury Nashville",0.439,0.179,0,-13.45,1,0.0301,0.951,0.0135,0.115,0.243,92.366,3
58CUIzSxNpQUFvTCd8tntH,"La-La Means I Love You","La La Means I Love You","The Delfonics",1968,200906,57,seankmchenry,2023-11-08T23:33:01Z,"classic soul,funk,philly soul,quiet storm,soul,southern soul","Buddha Records",0.365,0.548,2,-7.727,1,0.0288,0.678,0,0.184,0.623,171.242,4
1MI8aQJAoaYhIaVNz5giKB,"Hey There Lonely Girl","I Love You","Eddie Holman",1969-01-01,216760,49,seankmchenry,2023-11-08T23:33:01Z,"classic soul,northern soul,philly soul,southern soul","Geffen",0.389,0.322,9,-10.923,1,0.0282,0.693,0.00000208,0.0814,0.343,94.007,3
