Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0kp728Knw5PYvU3QzMZ0yJ,"4TMHGUX5WI7OOm53PqSDAT","Uncle John's Band - 2013 Remaster","Workingman's Dead","Grateful Dead",1970,284909,53,spotify:user:seankmchenry,2022-08-18T18:02:24Z,"classic rock,cosmic american,country rock,double drumming,jam band,psychedelic rock,rock",0.701,0.316,7,-14.723,1,0.0843,0.496,0,0.121,0.889,136.73,4
5vmGZ4645Pyx1vHNBgFGDI,"4TMHGUX5WI7OOm53PqSDAT","High Time - 2013 Remaster","Workingman's Dead","Grateful Dead",1970,315794,40,spotify:user:seankmchenry,2022-08-18T18:02:24Z,"classic rock,cosmic american,country rock,double drumming,jam band,psychedelic rock,rock",0.528,0.159,4,-13.696,1,0.0267,0.76,0.000205,0.209,0.423,82.986,3
6rLfU9QCwLUMRW5gGG7BWA,"4TMHGUX5WI7OOm53PqSDAT","Dire Wolf - 2013 Remaster","Workingman's Dead","Grateful Dead",1970,194491,48,spotify:user:seankmchenry,2022-08-18T18:02:24Z,"classic rock,cosmic american,country rock,double drumming,jam band,psychedelic rock,rock",0.615,0.376,9,-11.331,1,0.0347,0.763,0,0.0524,0.725,76.711,4
3YPBV5DacTbhgh7vharn6w,"4TMHGUX5WI7OOm53PqSDAT","New Speedway Boogie - 2013 Remaster","Workingman's Dead","Grateful Dead",1970,246116,51,spotify:user:seankmchenry,2022-08-18T18:02:24Z,"classic rock,cosmic american,country rock,double drumming,jam band,psychedelic rock,rock",0.72,0.36,11,-11.061,0,0.0362,0.576,0.0000021,0.118,0.616,120.173,4
2op5szd2IY8bOPzumqmFY3,"4TMHGUX5WI7OOm53PqSDAT","Cumberland Blues - 2013 Remaster","Workingman's Dead","Grateful Dead",1970,197124,45,spotify:user:seankmchenry,2022-08-18T18:02:24Z,"classic rock,cosmic american,country rock,double drumming,jam band,psychedelic rock,rock",0.683,0.588,7,-10.036,1,0.0324,0.425,0,0.0815,0.732,118.847,4
7sAbS0MJUEzxL4TyrlL6Kq,"4TMHGUX5WI7OOm53PqSDAT","Black Peter - 2013 Remaster","Workingman's Dead","Grateful Dead",1970,343964,36,spotify:user:seankmchenry,2022-08-18T18:02:24Z,"classic rock,cosmic american,country rock,double drumming,jam band,psychedelic rock,rock",0.558,0.197,2,-14.581,1,0.0321,0.691,0.000142,0.109,0.495,112.753,3
4n9pxaY7bTDMnw9biuCkhu,"4TMHGUX5WI7OOm53PqSDAT","Easy Wind - 2013 Remaster","Workingman's Dead","Grateful Dead",1970,299089,42,spotify:user:seankmchenry,2022-08-18T18:02:24Z,"classic rock,cosmic american,country rock,double drumming,jam band,psychedelic rock,rock",0.468,0.622,9,-11.257,1,0.0393,0.498,0.0216,0.236,0.93,175.359,4
7LbfuQVct78YoghmoPtsQ8,"4TMHGUX5WI7OOm53PqSDAT","Casey Jones - 2013 Remaster","Workingman's Dead","Grateful Dead",1970,265067,59,spotify:user:seankmchenry,2022-08-18T18:02:24Z,"classic rock,cosmic american,country rock,double drumming,jam band,psychedelic rock,rock",0.671,0.405,0,-10.052,1,0.0392,0.385,0,0.132,0.828,99.678,4
7x2xjJV3YAPeLQJ7u3Kjet,"4TMHGUX5WI7OOm53PqSDAT","Box of Rain - 2013 Remaster","American Beauty (2013 Remaster)","Grateful Dead",1970-06-01,318929,52,spotify:user:seankmchenry,2022-08-18T18:02:26Z,"classic rock,cosmic american,country rock,double drumming,jam band,psychedelic rock,rock",0.52,0.49,2,-12.828,1,0.0286,0.413,0,0.121,0.76,117.755,4
6GgTJJmtDddHoo8Bp6lVcf,"4TMHGUX5WI7OOm53PqSDAT","Friend of the Devil - 2013 Remaster","American Beauty (2013 Remaster)","Grateful Dead",1970-06-01,204894,38,spotify:user:seankmchenry,2022-08-18T18:02:26Z,"classic rock,cosmic american,country rock,double drumming,jam band,psychedelic rock,rock",0.639,0.598,7,-14.206,1,0.0393,0.299,0.00005,0.107,0.851,103.299,4
2EB1aFLWC4uIfld5Z3Yj1z,"4TMHGUX5WI7OOm53PqSDAT","Sugar Magnolia - 2013 Remaster","American Beauty (2013 Remaster)","Grateful Dead",1970-06-01,199398,52,spotify:user:seankmchenry,2022-08-18T18:02:26Z,"classic rock,cosmic american,country rock,double drumming,jam band,psychedelic rock,rock",0.598,0.516,1,-12.487,0,0.0413,0.174,0.00000132,0.0816,0.671,154.446,4
1gv1jIEj20oPXhFDl7jyLS,"4TMHGUX5WI7OOm53PqSDAT","Operator - 2013 Remaster","American Beauty (2013 Remaster)","Grateful Dead",1970-06-01,145413,35,spotify:user:seankmchenry,2022-08-18T18:02:26Z,"classic rock,cosmic american,country rock,double drumming,jam band,psychedelic rock,rock",0.763,0.535,5,-12.503,1,0.041,0.0674,0.0000412,0.0792,0.74,128.326,4
4FJ0051ukEptZAhP01ExGV,"4TMHGUX5WI7OOm53PqSDAT","Candyman - 2013 Remaster","American Beauty (2013 Remaster)","Grateful Dead",1970-06-01,373969,37,spotify:user:seankmchenry,2022-08-18T18:02:26Z,"classic rock,cosmic american,country rock,double drumming,jam band,psychedelic rock,rock",0.332,0.423,0,-12.102,1,0.0384,0.261,0.00014,0.0716,0.519,236.799,3
1OE5l6sedVcIFELMuxQOPI,"4TMHGUX5WI7OOm53PqSDAT","Ripple - 2013 Remaster","American Beauty (2013 Remaster)","Grateful Dead",1970-06-01,249733,58,spotify:user:seankmchenry,2022-08-18T18:02:26Z,"classic rock,cosmic american,country rock,double drumming,jam band,psychedelic rock,rock",0.604,0.411,7,-14.258,1,0.034,0.427,0.0000574,0.602,0.675,126.637,4
362CS15hE1upuTKoWApzLn,"4TMHGUX5WI7OOm53PqSDAT","Brokedown Palace - 2013 Remaster","American Beauty (2013 Remaster)","Grateful Dead",1970-06-01,249064,46,spotify:user:seankmchenry,2022-08-18T18:02:26Z,"classic rock,cosmic american,country rock,double drumming,jam band,psychedelic rock,rock",0.456,0.336,5,-14.26,1,0.0366,0.325,0,0.097,0.316,115.524,4
2gws1v6aAT0mYxHVISMTph,"4TMHGUX5WI7OOm53PqSDAT","Till the Morning Comes - 2013 Remaster","American Beauty (2013 Remaster)","Grateful Dead",1970-06-01,188919,38,spotify:user:seankmchenry,2022-08-18T18:02:26Z,"classic rock,cosmic american,country rock,double drumming,jam band,psychedelic rock,rock",0.629,0.455,9,-12.332,1,0.0291,0.123,0,0.141,0.852,134.536,4
5U0lHydo7tQh5t3dxHpQzu,"4TMHGUX5WI7OOm53PqSDAT","Attics of My Life - 2013 Remaster","American Beauty (2013 Remaster)","Grateful Dead",1970-06-01,314602,35,spotify:user:seankmchenry,2022-08-18T18:02:26Z,"classic rock,cosmic american,country rock,double drumming,jam band,psychedelic rock,rock",0.44,0.218,9,-12.991,1,0.0257,0.376,0.00000819,0.097,0.287,90.258,4
1I6l01BaBgBCVkfQCpIlR6,"4TMHGUX5WI7OOm53PqSDAT","Truckin' - 2013 Remaster","American Beauty (2013 Remaster)","Grateful Dead",1970-06-01,306973,57,spotify:user:seankmchenry,2022-08-18T18:02:26Z,"classic rock,cosmic american,country rock,double drumming,jam band,psychedelic rock,rock",0.644,0.623,11,-13.862,0,0.059,0.389,0.0202,0.0617,0.676,126.553,4
