Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0pAnXyMsHa21bYfxeyhWoF,"13y7CgLHjMVRMDqxdx0Xdo","5 Million Intro","Droptopwop","Gucci Mane",2017-05-26,244032,35,spotify:user:seankmchenry,2023-01-25T18:09:37Z,"atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap",0.748,0.564,11,-6.472,0,0.185,0.112,0.0000338,0.131,0.413,149.99,4
4qFixB6NCpNqdrtlPKpNQE,"13y7CgLHjMVRMDqxdx0Xdo","Tho Freestyle","Droptopwop","Gucci Mane",2017-05-26,160268,37,spotify:user:seankmchenry,2023-01-25T18:09:37Z,"atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap",0.748,0.495,6,-7.417,0,0.191,0.607,0,0.463,0.316,149.044,4
10pinuboeyV8mpGtS4ehGg,"13y7CgLHjMVRMDqxdx0Xdo","Hurt a Nigga Feelings","Droptopwop","Gucci Mane",2017-05-26,218666,37,spotify:user:seankmchenry,2023-01-25T18:09:37Z,"atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap",0.816,0.385,6,-8.879,0,0.193,0.23,0.00000424,0.111,0.168,135.03,4
2YCCy7Goytf4anieGkEk8Q,"13y7CgLHjMVRMDqxdx0Xdo","Helpless","Droptopwop","Gucci Mane",2017-05-26,194823,40,spotify:user:seankmchenry,2023-01-25T18:09:37Z,"atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap",0.769,0.562,11,-7.237,1,0.28,0.242,0.00101,0.0852,0.525,170.082,4
2XaInsPPUkZRkY4uFJ3AHK,"13y7CgLHjMVRMDqxdx0Xdo,4DdkRBBYG6Yk9Ka8tdJ9BW","Met Gala (feat. Offset)","Droptopwop","Gucci Mane,Offset",2017-05-26,209142,57,spotify:user:seankmchenry,2023-01-25T18:09:37Z,"atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap",0.817,0.587,2,-6.502,1,0.108,0.052,0.00165,0.185,0.352,140.062,4
3jhhOgKj8micw1e8PaI9lu,"13y7CgLHjMVRMDqxdx0Xdo","Finesse the Plug Interlude","Droptopwop","Gucci Mane",2017-05-26,285766,43,spotify:user:seankmchenry,2023-01-25T18:09:37Z,"atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap",0.739,0.448,11,-7.443,0,0.165,0.612,0.0171,0.109,0.202,128.039,4
6RFGykMl5wP1gMPccCY9oB,"13y7CgLHjMVRMDqxdx0Xdo","Dance with the Devil","Droptopwop","Gucci Mane",2017-05-26,264956,44,spotify:user:seankmchenry,2023-01-25T18:09:37Z,"atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap",0.77,0.478,7,-5.937,1,0.237,0.0727,0.0000352,0.112,0.194,174.102,4
5HtziFfFGxXpugCqZaAHoY,"13y7CgLHjMVRMDqxdx0Xdo,17lzZA2AlOHwCwFALHttmp,3HiuzBlSW7pGDXlSFMhO2g","Both Eyes Closed (feat. 2 Chainz and Young Dolph)","Droptopwop","Gucci Mane,2 Chainz,Young Dolph",2017-05-26,260009,54,spotify:user:seankmchenry,2023-01-25T18:09:37Z,"atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,memphis hip hop,tennessee hip hop",0.704,0.558,1,-6.042,1,0.287,0.379,0.000111,0.407,0.414,163.964,4
2oMmmFRtOkfffTQB7JC3mP,"13y7CgLHjMVRMDqxdx0Xdo","Bucket List","Droptopwop","Gucci Mane",2017-05-26,209836,38,spotify:user:seankmchenry,2023-01-25T18:09:37Z,"atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap",0.837,0.453,9,-6.766,1,0.13,0.245,0.00000183,0.149,0.107,100.925,4
7olLalvjhct2Hb4KiSjvdN,"13y7CgLHjMVRMDqxdx0Xdo,1sBkRIssrMs1AbVkOJbc7a","Loss 4 Wrdz (feat. Rick Ross)","Droptopwop","Gucci Mane,Rick Ross",2017-05-26,203225,36,spotify:user:seankmchenry,2023-01-25T18:09:37Z,"atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap",0.893,0.388,1,-8.482,0,0.375,0.061,0.00365,0.146,0.379,124.071,4
