Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2z6y0pV1obC2OaRJaKh5wS,"37MI19rLgummvAp3PFu945","Somewhere In Time 〜 微笑みの育て方","PRECIOUS","Hajime Mizoguchi",1989,144440,0,spotify:user:seankmchenry,2023-02-06T20:33:14Z,"anime score",0.573,0.0694,0,-19.863,1,0.0417,0.972,0.856,0.162,0.141,68.979,3
1lLdborRPQyeYfmf0WqP19,"37MI19rLgummvAp3PFu945","そら、そこに空 〜You Are There","PRECIOUS","Hajime Mizoguchi",1989,272000,1,spotify:user:seankmchenry,2023-02-06T20:33:14Z,"anime score",0.537,0.384,2,-17.161,1,0.0295,0.18,0.119,0.136,0.311,95.978,4
49RlCCz7dWTMzA7S45opms,"37MI19rLgummvAp3PFu945","MY PRECIOUS! 〜困りもの 宝もの","PRECIOUS","Hajime Mizoguchi",1989,287093,0,spotify:user:seankmchenry,2023-02-06T20:33:14Z,"anime score",0.537,0.239,11,-20.525,0,0.0303,0.018,0.68,0.174,0.466,125.975,4
2wvRtuPdjoM8vMfUoog1JS,"37MI19rLgummvAp3PFu945","真昼の月 〜The Noon Moon","PRECIOUS","Hajime Mizoguchi",1989,285973,0,spotify:user:seankmchenry,2023-02-06T20:33:14Z,"anime score",0.546,0.506,9,-16.549,0,0.0374,0.0378,0.00459,0.076,0.848,166.032,4
5cTAlNLtnPp9DKcbe6lwqN,"37MI19rLgummvAp3PFu945","熱のある夜 〜A Missing Ship","PRECIOUS","Hajime Mizoguchi",1989,340786,0,spotify:user:seankmchenry,2023-02-06T20:33:14Z,"anime score",0.599,0.367,7,-17.86,1,0.0301,0.217,0.239,0.138,0.504,90.011,4
1Y400iDBtwCGxK6sQqsJow,"37MI19rLgummvAp3PFu945","Toy For Two 〜ふたりでオモチャを","PRECIOUS","Hajime Mizoguchi",1989,256173,1,spotify:user:seankmchenry,2023-02-06T20:33:14Z,"anime score",0.341,0.209,2,-17.419,1,0.0314,0.839,0.543,0.106,0.25,145.718,4
10w9ZSeug9CriyzOFpkyKf,"37MI19rLgummvAp3PFu945","Planet Market 〜天体市場","PRECIOUS","Hajime Mizoguchi",1989,305293,0,spotify:user:seankmchenry,2023-02-06T20:33:14Z,"anime score",0.586,0.53,4,-15.457,0,0.0319,0.369,0.298,0.0917,0.877,122.479,4
3c07TKOpYdouSXemnvMuWr,"37MI19rLgummvAp3PFu945","薔薇科 〜Lady Rose","PRECIOUS","Hajime Mizoguchi",1989,236400,0,spotify:user:seankmchenry,2023-02-06T20:33:14Z,"anime score",0.31,0.272,7,-18.857,1,0.0465,0.48,0.0327,0.0929,0.109,105.306,3
4j7enZ66oxNYhV9cORdVBV,"37MI19rLgummvAp3PFu945","iまで何マイル 〜How far is it to i?","PRECIOUS","Hajime Mizoguchi",1989,407306,0,spotify:user:seankmchenry,2023-02-06T20:33:14Z,"anime score",0.577,0.395,4,-17.458,0,0.0311,0.207,0.0454,0.0663,0.334,105.992,4
6Epjp5yJA8UPHgChjK0X0E,"37MI19rLgummvAp3PFu945","温かな素足 〜Hushaby","PRECIOUS","Hajime Mizoguchi",1989,439733,0,spotify:user:seankmchenry,2023-02-06T20:33:14Z,"anime score",0.388,0.126,2,-24.093,1,0.0291,0.646,0.758,0.342,0.0366,177.646,4
6xOc9ViUCOGMzOzoIdBe6W,"37MI19rLgummvAp3PFu945","PLANT AQUARIUM","A PRETTY DANCE","Hajime Mizoguchi",1987,282866,1,spotify:user:seankmchenry,2023-02-06T20:32:42Z,"anime score",0.544,0.782,0,-14.615,1,0.0298,0.267,0.831,0.0677,0.962,148.107,4
4kEpIs5FRgXTbhc7YDWgHL,"37MI19rLgummvAp3PFu945","マガダの時間予報","A PRETTY DANCE","Hajime Mizoguchi",1987,417506,0,spotify:user:seankmchenry,2023-02-06T20:32:42Z,"anime score",0.597,0.335,11,-17.098,1,0.0327,0.167,0.516,0.113,0.658,127.335,4
6caYgzvioRB3JH0lEl7g87,"37MI19rLgummvAp3PFu945","3月うさぎ","A PRETTY DANCE","Hajime Mizoguchi",1987,171320,8,spotify:user:seankmchenry,2023-02-06T20:32:42Z,"anime score",0.663,0.028,7,-25.178,1,0.0382,0.959,0.342,0.107,0.38,103.937,4
4mwK9V1stf7zMFR0EtP9zn,"37MI19rLgummvAp3PFu945","カラー・ビュー","A PRETTY DANCE","Hajime Mizoguchi",1987,104173,0,spotify:user:seankmchenry,2023-02-06T20:32:42Z,"anime score",0.372,0.00423,7,-36.078,1,0.0759,0.989,0.966,0.1,0.281,64.016,4
3rDwbTsl2cyniFG5YkTIgh,"37MI19rLgummvAp3PFu945","ART CRAFT","A PRETTY DANCE","Hajime Mizoguchi",1987,299506,0,spotify:user:seankmchenry,2023-02-06T20:32:42Z,"anime score",0.66,0.264,4,-19.43,0,0.0345,0.146,0.363,0.0828,0.638,126.396,4
3lowmOlRH2l6ypKly18pKI,"37MI19rLgummvAp3PFu945","上海倶楽部","A PRETTY DANCE","Hajime Mizoguchi",1987,131626,0,spotify:user:seankmchenry,2023-02-06T20:32:42Z,"anime score",0.625,0.513,7,-15.597,1,0.0287,0.422,0.935,0.0786,0.854,86.096,4
4OHmM1OrFkxUWdTUo0anno,"37MI19rLgummvAp3PFu945","7TH BLUE","A PRETTY DANCE","Hajime Mizoguchi",1987,157573,1,spotify:user:seankmchenry,2023-02-06T20:32:42Z,"anime score",0.215,0.0545,10,-26.626,1,0.0445,0.976,0.89,0.072,0.0387,85.211,1
4zJBtgZIPKJmSgXlPkO4QD,"37MI19rLgummvAp3PFu945","モノクローム","A PRETTY DANCE","Hajime Mizoguchi",1987,238026,0,spotify:user:seankmchenry,2023-02-06T20:32:42Z,"anime score",0.184,0.0322,11,-27.912,0,0.0434,0.964,0.756,0.0855,0.0511,82.038,4
00NumrFJZwHWoP6J1XMhXd,"37MI19rLgummvAp3PFu945","ブラック・バード","A PRETTY DANCE","Hajime Mizoguchi",1987,231400,0,spotify:user:seankmchenry,2023-02-06T20:32:42Z,"anime score",0.563,0.382,7,-17.982,1,0.0555,0.196,0.0102,0.0861,0.756,66.1,4
2bWBTC67ELpbnwMHTN8lhg,"37MI19rLgummvAp3PFu945","東京幻想曲","A PRETTY DANCE","Hajime Mizoguchi",1987,267573,0,spotify:user:seankmchenry,2023-02-06T20:32:42Z,"anime score",0.489,0.255,7,-22.209,1,0.0367,0.892,0.871,0.088,0.334,140.191,5
1tvObtwa4BZQ6IeNy57X6t,"37MI19rLgummvAp3PFu945","ウォーター・ダンス","A PRETTY DANCE","Hajime Mizoguchi",1987,270960,0,spotify:user:seankmchenry,2023-02-06T20:32:42Z,"anime score",0.16,0.0834,7,-25.256,1,0.0335,0.904,0.649,0.0649,0.0398,99.126,4
0Plx9f38EEomG6ZFsHE1oX,"37MI19rLgummvAp3PFu945","パラレル・ワールド","Halfinch Dessert","Hajime Mizoguchi",1986,204040,2,spotify:user:seankmchenry,2023-02-06T20:32:39Z,"anime score",0.49,0.247,7,-16.318,0,0.0332,0.982,0.866,0.105,0.351,115.987,4
6zPEB5OyNq3y7vIvRqeNip,"37MI19rLgummvAp3PFu945","キリンと月","Halfinch Dessert","Hajime Mizoguchi",1986,288026,3,spotify:user:seankmchenry,2023-02-06T20:32:39Z,"anime score",0.599,0.296,9,-18.061,0,0.0245,0.925,0.916,0.0765,0.129,97.946,3
620Sxm24Ba9GLNzExpc9JU,"37MI19rLgummvAp3PFu945","森の中のキングコング","Halfinch Dessert","Hajime Mizoguchi",1986,508666,1,spotify:user:seankmchenry,2023-02-06T20:32:39Z,"anime score",0.27,0.345,7,-17.181,1,0.0482,0.933,0.746,0.101,0.305,157.93,3
3XDRO957wdcWxK1ETpb5kx,"37MI19rLgummvAp3PFu945","海のおくりもの","Halfinch Dessert","Hajime Mizoguchi",1986,360200,3,spotify:user:seankmchenry,2023-02-06T20:32:39Z,"anime score",0.685,0.217,0,-16.464,1,0.041,0.757,0.369,0.0524,0.585,120.773,4
2HsjLHTKEl3MNB225VpseW,"37MI19rLgummvAp3PFu945","眠るミルク・ブッシュ","Halfinch Dessert","Hajime Mizoguchi",1986,218093,1,spotify:user:seankmchenry,2023-02-06T20:32:39Z,"anime score",0.302,0.159,7,-16.527,0,0.0353,0.968,0.583,0.112,0.121,122.34,4
4Q4MlbZWroM66l1eJPBZKJ,"37MI19rLgummvAp3PFu945","露野","Halfinch Dessert","Hajime Mizoguchi",1986,247373,1,spotify:user:seankmchenry,2023-02-06T20:32:39Z,"anime score",0.553,0.245,7,-16.581,1,0.0645,0.836,0.493,0.281,0.257,134.206,4
4dc4PuccmE9QPa6vIJItfz,"37MI19rLgummvAp3PFu945","西からの夢","Halfinch Dessert","Hajime Mizoguchi",1986,292440,1,spotify:user:seankmchenry,2023-02-06T20:32:39Z,"anime score",0.528,0.243,4,-17.467,0,0.0352,0.753,0.874,0.194,0.305,126.446,3
3xQkwoMcYb4Gt7Az6Vm7yn,"37MI19rLgummvAp3PFu945","サバンナ・ワルツ","Halfinch Dessert","Hajime Mizoguchi",1986,120426,0,spotify:user:seankmchenry,2023-02-06T20:32:39Z,"anime score",0.459,0.519,2,-14.183,1,0.0518,0.164,0.761,0.18,0.356,165.341,3
3nJ3FpUagrlXQie9ioG8q8,"37MI19rLgummvAp3PFu945","オリエンタル・パズル","Halfinch Dessert","Hajime Mizoguchi",1986,332866,1,spotify:user:seankmchenry,2023-02-06T20:32:39Z,"anime score",0.634,0.44,5,-14.913,0,0.03,0.586,0.657,0.0819,0.892,138.603,4
4PTSjqNpEeAnib8ChH8BBs,"37MI19rLgummvAp3PFu945","パラソルの下で","Halfinch Dessert","Hajime Mizoguchi",1986,157000,0,spotify:user:seankmchenry,2023-02-06T20:32:39Z,"anime score",0.241,0.177,7,-19.464,1,0.0407,0.935,0.229,0.133,0.23,162.273,5
2p93BGioIagS0sMhY0ETPD,"37MI19rLgummvAp3PFu945","ORANGE IN DREAM","太陽の南","Hajime Mizoguchi",1991,284200,0,spotify:user:seankmchenry,2023-02-06T20:33:37Z,"anime score",0.663,0.537,2,-14.914,1,0.0427,0.129,0.378,0.17,0.645,90.907,4
4bCNuAYy1lcG4eeE4nxDxc,"37MI19rLgummvAp3PFu945","MID SUMMER","太陽の南","Hajime Mizoguchi",1991,258760,0,spotify:user:seankmchenry,2023-02-06T20:33:37Z,"anime score",0.705,0.624,9,-12.297,0,0.0302,0.498,0.857,0.0948,0.864,118.884,4
2W5PxeuSZicdWuuCZdXllH,"37MI19rLgummvAp3PFu945","SOUTHBOUND〜モザイク回廊","太陽の南","Hajime Mizoguchi",1991,243906,0,spotify:user:seankmchenry,2023-02-06T20:33:37Z,"anime score",0.704,0.599,2,-13.716,1,0.0355,0.243,0.194,0.202,0.698,104.915,4
7qkuTjXc5izwen202lFhn9,"37MI19rLgummvAp3PFu945","太陽時計・月時計","太陽の南","Hajime Mizoguchi",1991,365160,0,spotify:user:seankmchenry,2023-02-06T20:33:37Z,"anime score",0.717,0.628,9,-13.359,0,0.0382,0.0571,0.26,0.129,0.661,102.891,4
79GGB3hipYgi02LwRY8fhW,"37MI19rLgummvAp3PFu945","夜間飛行 〜ANYWHERE BUT HERE","太陽の南","Hajime Mizoguchi",1991,349106,0,spotify:user:seankmchenry,2023-02-06T20:33:37Z,"anime score",0.618,0.291,10,-17.28,0,0.034,0.768,0.837,0.0734,0.727,100.932,5
5oPDD7pOgc7l9U6bs4Fji7,"37MI19rLgummvAp3PFu945","INFINITY 〜夢の引力〜","太陽の南","Hajime Mizoguchi",1991,190560,0,spotify:user:seankmchenry,2023-02-06T20:33:37Z,"anime score",0.316,0.0493,9,-22.995,0,0.0301,0.925,0.724,0.119,0.0435,73.75,3
