Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6Mbqef1jM1j4imxQew8VwE,"2MCTK4nLsRzNMcSD2FxZoT","Galaxies Like Grains of Sand","Galaxies Like Grains of Sand","Hampshire & Foat",2017,375667,32,spotify:user:seankmchenry,2022-10-28T14:47:16Z,"spiritual jazz",0.568,0.282,2,-13.448,0,0.0288,0.828,0.904,0.097,0.153,92.484,4
54QBjKdapUU6xsoKbkVIoH,"2MCTK4nLsRzNMcSD2FxZoT","Lullaby","Galaxies Like Grains of Sand","Hampshire & Foat",2017,307422,34,spotify:user:seankmchenry,2022-10-28T14:47:16Z,"spiritual jazz",0.359,0.246,0,-13.778,1,0.032,0.465,0.866,0.364,0.0897,80.625,4
1PZ8NjGHcHb3quleK1jCZF,"2MCTK4nLsRzNMcSD2FxZoT","The Solar Winds (& Cadenza)","Galaxies Like Grains of Sand","Hampshire & Foat",2017,279429,16,spotify:user:seankmchenry,2022-10-28T14:47:16Z,"spiritual jazz",0.349,0.261,0,-17.041,0,0.0349,0.868,0.708,0.0978,0.0338,118.742,3
0EPSXghhc67nsKmlZ7nbxa,"2MCTK4nLsRzNMcSD2FxZoT","A Long Way Home","Galaxies Like Grains of Sand","Hampshire & Foat",2017,158404,39,spotify:user:seankmchenry,2022-10-28T14:47:16Z,"spiritual jazz",0.637,0.146,2,-21.503,0,0.0437,0.944,0.901,0.0961,0.162,128.581,4
3OqUtshRh1r8HFjT2yUzly,"2MCTK4nLsRzNMcSD2FxZoT","End Song","Galaxies Like Grains of Sand","Hampshire & Foat",2017,425959,27,spotify:user:seankmchenry,2022-10-28T14:47:16Z,"spiritual jazz",0.36,0.492,5,-11.147,1,0.0331,0.819,0.913,0.153,0.245,128.256,4
0IxCrSyVsROPO1Fo1DOPwp,"2MCTK4nLsRzNMcSD2FxZoT","All Washed Up","Galaxies Like Grains of Sand","Hampshire & Foat",2017,291124,19,spotify:user:seankmchenry,2022-10-28T14:47:16Z,"spiritual jazz",0.454,0.213,4,-16.076,0,0.039,0.883,0.951,0.0987,0.143,144.043,4
1X6lOhZiV799jtC9Uy7f9i,"2MCTK4nLsRzNMcSD2FxZoT","How the Nights Can Fly","Galaxies Like Grains of Sand","Hampshire & Foat",2017,481161,20,spotify:user:seankmchenry,2022-10-28T14:47:16Z,"spiritual jazz",0.244,0.296,0,-11.436,0,0.0282,0.818,0.913,0.119,0.148,50.697,4
0jHzpoExRNKAc3isQcFKqK,"2MCTK4nLsRzNMcSD2FxZoT","End Song - Reprise","Galaxies Like Grains of Sand","Hampshire & Foat",2017,119653,16,spotify:user:seankmchenry,2022-10-28T14:47:16Z,"spiritual jazz",0.648,0.292,2,-13.524,0,0.0674,0.905,0.893,0.0863,0.168,115.046,4
0vfxfg8QoagNZVfBgmdvpj,"2MCTK4nLsRzNMcSD2FxZoT","Jasmine","Nightshade","Hampshire & Foat",2018-06-22,239085,26,spotify:user:seankmchenry,2022-10-28T14:47:21Z,"spiritual jazz",0.473,0.169,11,-24.762,0,0.0274,0.886,0.921,0.107,0.258,100.156,3
5W9QT5qFPRcthtCnmNd9Kr,"2MCTK4nLsRzNMcSD2FxZoT","Mariposa Lily","Nightshade","Hampshire & Foat",2018-06-22,199666,9,spotify:user:seankmchenry,2022-10-28T14:47:21Z,"spiritual jazz",0.187,0.0372,4,-27.155,0,0.0351,0.451,0.0699,0.257,0.137,166.644,4
