Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1dZHIbmuBDAwXfQOM4dyM3,"38C3okxv3fyyOIQUVPCdGX","The Sidewinder - Remastered 1999/Rudy Van Gelder Edition","The Sidewinder (The Rudy Van Gelder Edition)","Lee Morgan",1999-01-01,625293,49,spotify:user:seankmchenry,2023-01-03T14:52:39Z,"bebop,big band,free jazz,hard bop,jazz,jazz trumpet,soul jazz",0.473,0.67,8,-7.756,1,0.0353,0.446,0.00000315,0.0957,0.808,152.484,4
782py08Vd3JdBAP79X0FSz,"38C3okxv3fyyOIQUVPCdGX","Totem Pole - Remastered 1999/Rudy Van Gelder Edition","The Sidewinder (The Rudy Van Gelder Edition)","Lee Morgan",1999-01-01,614946,29,spotify:user:seankmchenry,2023-01-03T14:52:39Z,"bebop,big band,free jazz,hard bop,jazz,jazz trumpet,soul jazz",0.568,0.686,1,-7.432,1,0.0393,0.794,0.00324,0.11,0.553,138.406,4
00dDsLgxoPzhbPD3owDfwT,"38C3okxv3fyyOIQUVPCdGX","Gary's Notebook - Remastered 1999/Rudy Van Gelder Edition","The Sidewinder (The Rudy Van Gelder Edition)","Lee Morgan",1999-01-01,370160,27,spotify:user:seankmchenry,2023-01-03T14:52:39Z,"bebop,big band,free jazz,hard bop,jazz,jazz trumpet,soul jazz",0.477,0.665,3,-8.189,0,0.0464,0.599,0.0011,0.272,0.749,179.47,3
57abY9xX9SVdfjn0vydx0t,"38C3okxv3fyyOIQUVPCdGX","Boy, What A Night - Remastered 1999/Rudy Van Gelder Edition","The Sidewinder (The Rudy Van Gelder Edition)","Lee Morgan",1999-01-01,454520,26,spotify:user:seankmchenry,2023-01-03T14:52:39Z,"bebop,big band,free jazz,hard bop,jazz,jazz trumpet,soul jazz",0.637,0.674,3,-8.968,1,0.0269,0.745,0.00128,0.381,0.798,108.141,3
4oLmztYOcw02rDTUe7dfNO,"38C3okxv3fyyOIQUVPCdGX","Hocus-Pocus - Remastered 1999/Rudy Van Gelder Edition","The Sidewinder (The Rudy Van Gelder Edition)","Lee Morgan",1999-01-01,385693,26,spotify:user:seankmchenry,2023-01-03T14:52:39Z,"bebop,big band,free jazz,hard bop,jazz,jazz trumpet,soul jazz",0.458,0.602,5,-8.409,1,0.0429,0.533,0.00000691,0.0924,0.788,184.603,3
510LpM3avsyNcWcMS1MkLg,"38C3okxv3fyyOIQUVPCdGX","Totem Pole","The Sidewinder (The Rudy Van Gelder Edition)","Lee Morgan",1999-01-01,597893,23,spotify:user:seankmchenry,2023-01-03T14:52:39Z,"bebop,big band,free jazz,hard bop,jazz,jazz trumpet,soul jazz",0.541,0.655,1,-7.742,1,0.0419,0.815,0.0269,0.115,0.528,140.497,4
3A94GcANmg8APx68mGfoix,"38C3okxv3fyyOIQUVPCdGX","Warm-Up / Dialogue Between Lee Morgan And Rudy Van Gelder - Remastered","Moanin' (Expanded Edition)","Lee Morgan",1959-01-01,35853,33,spotify:user:seankmchenry,2023-01-03T14:47:02Z,"bebop,big band,free jazz,hard bop,jazz,jazz trumpet,soul jazz",0.482,0.131,8,-20.925,1,0.331,0.871,0.00000672,0.109,0.749,91.376,3
4Vkk3iD1VrENHJEACNddvt,"6QQuESLtKhAOcLW2TeWC2t","Moanin' - Remastered","Moanin' (Expanded Edition)","Art Blakey",1959-01-01,570720,54,spotify:user:seankmchenry,2023-01-03T14:47:02Z,"bebop,big band,contemporary post-bop,hard bop,jazz,jazz drums,jazz fusion",0.612,0.493,5,-8.589,0,0.0467,0.804,0.266,0.202,0.484,126.358,4
1OGwtlps3T1Fo70q6zZUAs,"6QQuESLtKhAOcLW2TeWC2t","Are You Real - Remastered","Moanin' (Expanded Edition)","Art Blakey",1959-01-01,287440,35,spotify:user:seankmchenry,2023-01-03T14:47:02Z,"bebop,big band,contemporary post-bop,hard bop,jazz,jazz drums,jazz fusion",0.523,0.667,8,-7.283,1,0.0682,0.608,0.0227,0.332,0.665,108.162,4
3Ysj0cl3Jlb6Ysp6um8QI7,"6QQuESLtKhAOcLW2TeWC2t","Along Came Betty","Moanin' (Expanded Edition)","Art Blakey",1959-01-01,368746,45,spotify:user:seankmchenry,2023-01-03T14:47:02Z,"bebop,big band,contemporary post-bop,hard bop,jazz,jazz drums,jazz fusion",0.665,0.359,1,-8.887,1,0.0326,0.801,0.106,0.145,0.4,111.639,4
