Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2iKU4YQi05CZLkBaijhnA6,"0vEUKRcfsCu5GfL3Q6lya0,6vFUzxzHGyGB8P8GEgrucv","Kona Winds","Aloha Got Soul","Marvin Franklin,Kimo And The Guys",2016-03-18,213466,0,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2020-04-25T10:58:51Z,"",0.704,0.442,4,-13.04,0,0.0475,0.719,0.151,0.208,0.903,106.859,4
2MKRiysGDscISWN5mbna1T,"5PsqzfOIgP3EIZKLWFi6fg","Tropic Lightning","The Rhythm of Life","Mike Lundy",2015-11-28,285305,7,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2020-04-25T11:00:29Z,"indie jazz",0.587,0.334,11,-19.335,1,0.034,0.491,0.0311,0.223,0.824,152.311,4
4UeSleTsjljEIdEGRdVggm,"6mWyjeUFOji9I3H9OIxIsu","Lihue","Lihue","Nohelani Cypriano",2014-12-22,200991,49,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2020-04-25T10:59:48Z,"",0.596,0.558,2,-13.508,0,0.0576,0.571,0.0587,0.105,0.56,93.706,4
5XEjeiaP2YAvYBCBaWngCp,"4rOi893ZsGrbjgPdTo6NdJ","Catching A Wave","Catching A Wave / Tahauala","Steve & Teresa",2020-06-12,219448,6,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2020-07-27T12:14:01Z,"",0.535,0.275,7,-15.978,1,0.0302,0.782,0.0000685,0.111,0.604,80.26,4
0V2Y1i285fuqn9DDAk0CBK,"1e8Ax1e3HB2YWQKPoaUoOa","You Win, I Lose","This Is Love","Hal Bradbury",2014-05-05,239106,13,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2020-04-25T10:59:14Z,"",0.751,0.636,7,-8.912,0,0.198,0.434,0.00000336,0.0532,0.53,92.287,4
5k5y7Q1IM3C1kaZJb6QIaS,"6wzxL5b6rHgsbAaKwhwTDi","Hunk of Heaven","Lemuria","Lemuria",1978-07-05,262400,31,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2020-04-25T10:59:34Z,"",0.658,0.499,2,-15.298,0,0.162,0.273,0.0000687,0.162,0.685,103.928,4
4Ym2LCT2lsueqnk47zNb0a,"1lwCmez4XxjSxROdq1lE7H","A Million Stars","Mackey Feary Band","Mackey Feary Band",1978-04-03,199760,13,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2020-04-25T11:00:02Z,"",0.437,0.803,0,-7.431,1,0.0342,0.651,0.00000833,0.227,0.566,109.779,4
0UtiGCVu9ArUdRrR7NK4fu,"5PsqzfOIgP3EIZKLWFi6fg","The Rhythm of Life","The Rhythm of Life","Mike Lundy",2015-11-28,233913,8,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2020-04-25T11:00:17Z,"indie jazz",0.674,0.526,2,-14.901,1,0.0461,0.248,0.00581,0.103,0.911,101.559,4
7oo2Ew5f5PtB4OqotWanGO,"2Hr3q02Ud8nIEVCHCdfH0g","Yesterday's Love","Aura","Aura",2016-08-22,292053,33,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2020-04-25T11:00:40Z,"",0.59,0.867,2,-7.184,1,0.0721,0.0637,0.0176,0.0828,0.874,108.991,4
7cAbHkxAZOmV9ZEs2vguJw,"1lwCmez4XxjSxROdq1lE7H","You're Young","Mackey Feary Band","Mackey Feary Band",1978-04-03,190466,15,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2020-04-25T11:00:10Z,"",0.517,0.682,9,-7.647,1,0.044,0.699,0,0.0847,0.777,98.78,4
