Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6LDLKYWKc9vo3mSN4by8lU,"2ccZ60qvbToQ3iDGU1Kixu","Sonica Jonica","Sonica Jonica EP","My Friend Dario",2022-05-06,426030,9,spotify:user:seankmchenry,2022-07-07T17:15:06Z,"",0.783,0.62,2,-7.88,1,0.222,0.00219,0.871,0.107,0.1,99.997,4
3CVplrdt3Nbopw25q47Zwj,"2ccZ60qvbToQ3iDGU1Kixu","Marittimo","Sonica Jonica EP","My Friend Dario",2022-05-06,310895,2,spotify:user:seankmchenry,2022-07-07T17:15:06Z,"",0.788,0.855,6,-7.878,0,0.0466,0.309,0.919,0.0818,0.391,104.008,4
5Mks7QQijsQKcD8tYpcIIz,"2ccZ60qvbToQ3iDGU1Kixu","Old But Gold","Sonica Jonica EP","My Friend Dario",2022-05-06,324681,1,spotify:user:seankmchenry,2022-07-07T17:15:06Z,"",0.699,0.9,11,-8.819,0,0.0321,0.231,0.961,0.0618,0.508,106.998,4
4Rl9Vl7dAWB79lMzw8YQnU,"2ccZ60qvbToQ3iDGU1Kixu","Acid Mosquito In A Summer Night","Sonica Jonica EP","My Friend Dario",2022-05-06,368313,1,spotify:user:seankmchenry,2022-07-07T17:15:06Z,"",0.718,0.694,10,-9.595,0,0.0519,0.00801,0.63,0.295,0.254,120.011,4
2UvoPlO0QrA1BlF9QkUNfz,"2g7vF2a9fxqlidHNqcvROO,1OsodFwoWbJMAw6MI9tbm4","Lagos Connect - Extended","Lagos Connect","Aura Safari,Villy",2021-12-17,441867,4,spotify:user:seankmchenry,2022-07-07T17:19:58Z,"neapolitan funk",0.848,0.592,0,-6.795,1,0.0513,0.0407,0.00956,0.0599,0.743,114.976,4
1hXAUVsBE5pG6gGrN4l0wY,"2g7vF2a9fxqlidHNqcvROO,1OsodFwoWbJMAw6MI9tbm4","Lagos Connect - Reprise","Lagos Connect","Aura Safari,Villy",2021-12-17,329211,0,spotify:user:seankmchenry,2022-07-07T17:19:58Z,"neapolitan funk",0.801,0.702,1,-7.2,1,0.0459,0.117,0.112,0.0797,0.683,115.019,4
6GWOc0CL1DWNnVoCsmNW5P,"2g7vF2a9fxqlidHNqcvROO,1OsodFwoWbJMAw6MI9tbm4","Lagos Connect - Dub","Lagos Connect","Aura Safari,Villy",2021-12-17,338100,2,spotify:user:seankmchenry,2022-07-07T17:19:58Z,"neapolitan funk",0.805,0.529,0,-7.728,1,0.0494,0.00453,0.599,0.151,0.586,115.001,4
79rKCQquPtgNpKKtIwdtmJ,"2g7vF2a9fxqlidHNqcvROO,1OsodFwoWbJMAw6MI9tbm4","Lagos Connect - Radio","Lagos Connect","Aura Safari,Villy",2021-12-17,210976,6,spotify:user:seankmchenry,2022-07-07T17:19:58Z,"neapolitan funk",0.845,0.73,0,-5.938,1,0.0578,0.146,0.00213,0.155,0.789,114.984,4
1b9IwayLXGcFCfPeMjb1nq,"6h4ynffFfJ0dlcK1q1JzUh","Lambada","Lambada / Children","Cacao",2021-08-13,318493,7,spotify:user:seankmchenry,2022-07-07T17:18:56Z,"",0.524,0.796,2,-11.854,1,0.0625,0.0386,0.824,0.0996,0.61,124.485,4
6l02RYTPXB3ZblAc63tvNu,"6h4ynffFfJ0dlcK1q1JzUh","Children","Lambada / Children","Cacao",2021-08-13,268886,4,spotify:user:seankmchenry,2022-07-07T17:18:56Z,"",0.511,0.86,1,-11.669,1,0.0476,0.0217,0.804,0.0911,0.422,129.203,4
7124AfTuF6Efdmv73q67o0,"75nwrrHApnMCgLrW7ZI7f1","Neon Secrets","The Kempe Stone Portal","The Vendetta Suite",2021-06-25,284419,1,spotify:user:seankmchenry,2022-07-07T17:19:23Z,"",0.533,0.671,8,-7.726,1,0.0292,0.251,0.23,0.0763,0.476,114.987,4
62Kqimh0LjHwbZZHyFQCtn,"75nwrrHApnMCgLrW7ZI7f1","I Am The Ghost In My House","The Kempe Stone Portal","The Vendetta Suite",2021-06-25,298321,1,spotify:user:seankmchenry,2022-07-07T17:19:23Z,"",0.643,0.63,4,-9.138,1,0.0303,0.636,0.774,0.135,0.623,139.983,4
7mdkdgZStetOwhr5hLb3cY,"75nwrrHApnMCgLrW7ZI7f1","Morning Star","The Kempe Stone Portal","The Vendetta Suite",2021-06-25,263887,0,spotify:user:seankmchenry,2022-07-07T17:19:23Z,"",0.507,0.735,0,-5.913,1,0.034,0.00376,0.86,0.396,0.382,117.959,4
4yli6aXjmic251qrISsfnK,"75nwrrHApnMCgLrW7ZI7f1","Christmas In Cologne","The Kempe Stone Portal","The Vendetta Suite",2021-06-25,271732,0,spotify:user:seankmchenry,2022-07-07T17:19:23Z,"",0.604,0.599,0,-9.669,1,0.0299,0.047,0.555,0.097,0.397,133.017,4
2meui4PagvMBxz8N2gnrk5,"75nwrrHApnMCgLrW7ZI7f1","Della Notte","The Kempe Stone Portal","The Vendetta Suite",2021-06-25,187733,0,spotify:user:seankmchenry,2022-07-07T17:19:23Z,"",0.44,0.848,2,-7.478,1,0.0385,0.00668,0.95,0.311,0.368,127.007,4
20YYcZvAEgcGJqO9g3Sjqt,"75nwrrHApnMCgLrW7ZI7f1","Who Do You Love","The Kempe Stone Portal","The Vendetta Suite",2021-06-25,286400,0,spotify:user:seankmchenry,2022-07-07T17:19:23Z,"",0.248,0.804,8,-7.926,1,0.0493,0.036,0.459,0.129,0.0356,191.316,4
5JBpeO4ytW1PH4gLDCHE7l,"75nwrrHApnMCgLrW7ZI7f1","The Adult Section","The Kempe Stone Portal","The Vendetta Suite",2021-06-25,73852,0,spotify:user:seankmchenry,2022-07-07T17:19:23Z,"",0.55,0.436,0,-10.168,0,0.0322,0.0576,0.753,0.198,0.483,96.015,4
7delJx5137MhUKfO6kiEFq,"75nwrrHApnMCgLrW7ZI7f1","Purple Haze, Yellow Sunrise","The Kempe Stone Portal","The Vendetta Suite",2021-06-25,404379,0,spotify:user:seankmchenry,2022-07-07T17:19:23Z,"",0.602,0.962,5,-8.723,1,0.0408,0.0772,0.843,0.0871,0.376,120.993,4
0My6VmGNZF3OIpNZfwwYxh,"75nwrrHApnMCgLrW7ZI7f1","Warehouse Rock","The Kempe Stone Portal","The Vendetta Suite",2021-06-25,252741,0,spotify:user:seankmchenry,2022-07-07T17:19:23Z,"",0.79,0.706,10,-10.255,0,0.0505,0.0027,0.714,0.121,0.678,132.962,4
4bECwemf23lekmUNf6xTjQ,"75nwrrHApnMCgLrW7ZI7f1","I Am The Ghost In My House - Accidental Exorcism Mix","The Kempe Stone Portal","The Vendetta Suite",2021-06-25,391737,0,spotify:user:seankmchenry,2022-07-07T17:19:23Z,"",0.492,0.491,9,-11.932,1,0.0308,0.296,0.0472,0.303,0.377,140.12,4
