Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4Ce66JznW8QbeyTdSzdGwR,"2ZvrvbQNrHKwjT7qfGFFUW","Chameleon","Head Hunters","Herbie Hancock",1973-10-26,941360,54,spotify:user:seankmchenry,2022-10-03T14:16:04Z,"contemporary post-bop,funk,instrumental funk,jazz,jazz funk,jazz fusion,jazz piano,uk contemporary jazz",0.581,0.672,8,-8.279,1,0.0602,0.104,0.856,0.0458,0.808,111.154,4
2zQl59dZMzwhrmeSBEgiXY,"2ZvrvbQNrHKwjT7qfGFFUW","Watermelon Man","Head Hunters","Herbie Hancock",1973-10-26,388960,56,spotify:user:seankmchenry,2022-10-03T14:16:04Z,"contemporary post-bop,funk,instrumental funk,jazz,jazz funk,jazz fusion,jazz piano,uk contemporary jazz",0.724,0.414,1,-11.19,1,0.0588,0.262,0.111,0.0785,0.719,146.939,4
4WyVRn3L2uXnSUkY762gqN,"2ZvrvbQNrHKwjT7qfGFFUW","Sly","Head Hunters","Herbie Hancock",1973-10-26,615360,40,spotify:user:seankmchenry,2022-10-03T14:16:04Z,"contemporary post-bop,funk,instrumental funk,jazz,jazz funk,jazz fusion,jazz piano,uk contemporary jazz",0.39,0.913,11,-7.174,0,0.0778,0.0262,0.784,0.0649,0.603,146.129,4
6c0ziyel6ZMTQ37vKRooGZ,"2ZvrvbQNrHKwjT7qfGFFUW","Vein Melter","Head Hunters","Herbie Hancock",1973-10-26,549373,37,spotify:user:seankmchenry,2022-10-03T14:16:04Z,"contemporary post-bop,funk,instrumental funk,jazz,jazz funk,jazz fusion,jazz piano,uk contemporary jazz",0.537,0.195,7,-17.58,1,0.0421,0.264,0.18,0.0974,0.389,58.245,4
7inW3Cs2l4laNgLKp5R17K,"2ZvrvbQNrHKwjT7qfGFFUW","Palm Grease","Thrust","Herbie Hancock",1974-09-06,636733,37,spotify:user:seankmchenry,2022-10-03T14:16:06Z,"contemporary post-bop,funk,instrumental funk,jazz,jazz funk,jazz fusion,jazz piano,uk contemporary jazz",0.59,0.754,2,-10.326,1,0.0745,0.405,0.793,0.566,0.96,106.221,4
1Aix42Q7mxGLMDglHhIOg3,"2ZvrvbQNrHKwjT7qfGFFUW","Actual Proof","Thrust","Herbie Hancock",1974-09-06,579760,34,spotify:user:seankmchenry,2022-10-03T14:16:06Z,"contemporary post-bop,funk,instrumental funk,jazz,jazz funk,jazz fusion,jazz piano,uk contemporary jazz",0.427,0.818,10,-10.912,0,0.0491,0.403,0.228,0.138,0.749,128.628,4
2YQBDxMbQbOsdXixdL4ZyE,"2ZvrvbQNrHKwjT7qfGFFUW","Butterfly","Thrust","Herbie Hancock",1974-09-06,677333,36,spotify:user:seankmchenry,2022-10-03T14:16:06Z,"contemporary post-bop,funk,instrumental funk,jazz,jazz funk,jazz fusion,jazz piano,uk contemporary jazz",0.511,0.529,5,-12.629,0,0.0439,0.438,0.839,0.0483,0.796,118.559,4
5V1uxpCzvNu94nyQX8gVUm,"2ZvrvbQNrHKwjT7qfGFFUW","Spank-A-Lee","Thrust","Herbie Hancock",1974-09-06,431866,28,spotify:user:seankmchenry,2022-10-03T14:16:06Z,"contemporary post-bop,funk,instrumental funk,jazz,jazz funk,jazz fusion,jazz piano,uk contemporary jazz",0.657,0.901,7,-9.133,1,0.0549,0.407,0.729,0.066,0.881,111.302,4
4EdvNaSDqASvaq8Wm2MMPi,"2ZvrvbQNrHKwjT7qfGFFUW","Introduction / Maiden Voyage","Flood","Herbie Hancock",1975,479413,16,spotify:user:seankmchenry,2022-10-03T14:16:07Z,"contemporary post-bop,funk,instrumental funk,jazz,jazz funk,jazz fusion,jazz piano,uk contemporary jazz",0.238,0.254,2,-24.056,1,0.0481,0.948,0.894,0.48,0.0392,80.712,4
6QJDJROMFX2scwcZz3VlNk,"2ZvrvbQNrHKwjT7qfGFFUW","Actual Proof","Flood","Herbie Hancock",1975,505866,18,spotify:user:seankmchenry,2022-10-03T14:16:07Z,"contemporary post-bop,funk,instrumental funk,jazz,jazz funk,jazz fusion,jazz piano,uk contemporary jazz",0.358,0.495,4,-17.123,1,0.0373,0.647,0.914,0.697,0.638,147.234,4
