Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4w7cJdY8ITMeo6NlByjWx2,"All I Want for Christmas Is My Daddy","Christmas Shopping","Buck Owens",1998-10-07,171520,0,seankmchenry,2023-12-15T20:19:10Z,"bakersfield sound,classic country pop,country,country rock,cowboy western,western swing","Sundazed Music / Modern Harmonic",0.653,0.327,10,-9.959,1,0.0479,0.842,0.00000172,0.359,0.562,111.66,4
2nhrdW7hW1Gxjf3CTmERyq,"Baby, It's Cold Outside","Star Bright","Vanessa Williams,Bobby Caldwell",1996-01-01,291626,0,seankmchenry,2023-12-15T20:19:10Z,"contemporary r&b,disco,quiet storm,urban contemporary,yacht rock","Universal/Island Def Jam",0.482,0.484,2,-9.096,1,0.139,0.747,0.00000237,0.0553,0.634,101.101,4
2ZRPJQGHl5XTw3TLNa11fn,"The Bell That Couldn't Jingle","A Very Merry Christmas","Bobby Vinton",1964-07-22,140453,11,seankmchenry,2023-12-15T20:19:10Z,"adult standards,bubblegum pop,doo-wop,easy listening,rock-and-roll,rockabilly","Epic",0.514,0.401,5,-11.941,1,0.0284,0.692,0,0.112,0.589,81.236,4
21UGNzJgD7U0LLDVP6g6r7,"The Bell That Couldn't Jingle","Christmas Album","Herb Alpert & The Tijuana Brass",1968-12-16,175573,28,seankmchenry,2023-12-15T20:19:10Z,"easy listening,lounge","Herb Alpert Presents",0.76,0.25,4,-16.344,0,0.0611,0.891,0.00442,0.104,0.348,87.297,4
6F9X2U6LjWVaQwBWhPznmK,"Blue Christmas Lights","Christmas With Buck Owens","Buck Owens",1990-08-27,162866,21,seankmchenry,2023-12-15T20:19:10Z,"bakersfield sound,classic country pop,country,country rock,cowboy western,western swing","Curb Records",0.469,0.216,7,-12.724,1,0.0295,0.612,0.000225,0.331,0.543,88.512,4
1G4nLpVEDl53nhqXckaDuY,"Christmas in Killarney","A Very Merry Christmas","Bobby Vinton",1964-07-22,144093,9,seankmchenry,2023-12-15T20:19:10Z,"adult standards,bubblegum pop,doo-wop,easy listening,rock-and-roll,rockabilly","Epic",0.547,0.528,2,-10.934,1,0.0448,0.793,0,0.29,0.833,114.756,4
6zyBxmPeApX2JaJIyBVtJX,"Christmas Island","Christmas Island","Leon Redbone",1988,215853,37,seankmchenry,2023-12-15T20:19:10Z,"acoustic blues","Rounder Records",0.616,0.203,8,-15.192,1,0.044,0.921,0.00327,0.111,0.594,129.602,4
7IyBgArZolhEB479s7QPLT,"The Christmas Song (Chestnuts Roasting On an Open Fire)","The Classic Christmas Album","Luther Vandross",2012,269933,0,seankmchenry,2023-12-15T20:19:10Z,"quiet storm,soul","Epic/Legacy",0.566,0.554,9,-9.274,0,0.0412,0.379,0.0000367,0.121,0.361,129.347,4
6YH4GanBHEi4oRsqvKFMwv,"Christmas Through Your Eyes","Christmas Through Your Eyes","Gloria Estefan",1993-09-27,300733,40,seankmchenry,2023-12-15T20:19:10Z,"new wave pop,soft rock","Epic/Legacy",0.53,0.421,2,-11.352,1,0.0305,0.803,0,0.057,0.4,150.901,4
2TBBZNf7Zq8QXWVp8E9Ip5,"A Christmas to Remember","Once Upon A Christmas","Dolly Parton,Kenny Rogers",1984-10-29,218973,48,seankmchenry,2023-12-15T20:19:10Z,"classic country pop,country,country dawn,nashville sound,soft rock","RCA Records Label Nashville",0.64,0.549,4,-10.777,1,0.0664,0.685,0,0.0683,0.544,102.597,4
0ZounOqmebSeEuMHwXtR04,"Christmas Without You","Once Upon A Christmas","Dolly Parton,Kenny Rogers",1984-10-29,231213,47,seankmchenry,2023-12-15T20:19:10Z,"classic country pop,country,country dawn,nashville sound,soft rock","RCA Records Label Nashville",0.672,0.706,5,-9.317,0,0.0415,0.499,0,0.304,0.707,118.874,4
6z26LTXBJFIPdpgYIl3JDM,"December (Based on September)","Holiday","Earth, Wind & Fire",2014-10-21,220106,40,seankmchenry,2023-12-15T20:19:10Z,"disco,funk,jazz funk,motown,soul","Legacy Recordings",0.655,0.911,9,-3.093,1,0.0304,0.0894,0.0000118,0.222,0.972,125.047,4
