Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1AmvRNVuwFY6O7f0hum4ji,"2ESo0xI5YQncqKOhplNKIJ,1AEcpjnSCmm53IBZQo3g9z","Room With A View","Private Life III","Garrett,DāM-FunK",2021-01-22,331818,10,spotify:user:izh5cyqgv60sp7d36nadv904n,2021-01-23T02:30:30Z,"experimental ambient,synth funk,popping,wonky",0.172,0.195,2,-16.448,1,0.035,0.715,0.882,0.331,0.0486,137.885,1
1BcurGZXxt5c8lxozlCMIq,"5jDnzxFWzW4VBon1afpZEv","Hello Love","Sunrize","Sunrize",1982-04-24,215746,11,spotify:user:izh5cyqgv60sp7d36nadv904n,2021-01-21T11:13:36Z,"",0.802,0.564,1,-8.183,1,0.0402,0.167,0.0249,0.0704,0.899,88.248,3
2ndYw6KAVSOfpgC0iMMHvv,"64OqXmvvBIwJjwQRdTMJqE","May My Love Be with You","Patrick Adams Presents Phreek","Phreek",1978,256333,18,spotify:user:izh5cyqgv60sp7d36nadv904n,2021-01-21T11:06:29Z,"",0.681,0.61,4,-12.618,0,0.0339,0.00597,0.00282,0.118,0.817,96.839,4
1JUSgpFoJ8QeQnw0YGMHVO,"1EIgKOrzyOQRB3l43EfymN","You're My Everything","Angela Winbush","Angela Winbush",1994-02-22,337493,19,spotify:user:izh5cyqgv60sp7d36nadv904n,2021-01-21T10:57:33Z,"contemporary r&b,funk,neo soul,post-disco,quiet storm,urban contemporary",0.65,0.554,10,-10.283,0,0.0883,0.44,0.000064,0.108,0.678,81.743,4
1KosyA1WTCuMlzrxMwCTFK,"53QzNeFpzAaXYnrDBbDrIp","Baby Hold On","Inside You","The Isley Brothers",1981-08-21,264786,12,spotify:user:izh5cyqgv60sp7d36nadv904n,2021-01-21T10:56:21Z,"classic soul,disco,funk,motown,quiet storm,soul",0.739,0.801,4,-9.537,0,0.0618,0.642,0.00148,0.0694,0.856,126.349,4
2PGDjC3w1bkgCFw6qXaVux,"0zaWqD1H9Rk0P14iF5oDnY","You Did It Again","Intimate Connection","Kleeer",1984-04-14,271066,22,spotify:user:izh5cyqgv60sp7d36nadv904n,2021-01-21T10:48:29Z,"disco,funk,post-disco,post-disco soul,quiet storm",0.801,0.19,5,-17.825,0,0.0436,0.358,0.000246,0.132,0.881,110.02,4
3RS8rCh5k87Ph5o6AAm8bj,"1g0ELQcsyziO5N9vmHNorc","I Get Down","Whatcha Gonna Do","Zalmac",1982-01-01,318740,4,spotify:user:izh5cyqgv60sp7d36nadv904n,2021-01-21T11:05:51Z,"boogie,post-disco soul",0.744,0.702,0,-7.649,0,0.106,0.75,0.815,0.154,0.824,116.415,4
7KTvdv4nqZ4t7DMK1GRlRF,"37pVxtkN0BLmY6QOliGkJK,66eOeiAFnlkETKUlxWQCze","Queen of Ungilsan","Bloodline","Steven Julien,Funkineven",2018-04-27,440985,9,spotify:user:izh5cyqgv60sp7d36nadv904n,2021-01-21T10:46:57Z,"synth funk",0.678,0.733,7,-7.421,1,0.0642,0.00743,0.871,0.0643,0.25,116.999,4
2p2DJ8xrPERdRk3yDgV2rO,"1ROgofglbnS7OPFg3IwR9L","Friends","In the Red","Spookey",2017-11-17,276902,17,spotify:user:izh5cyqgv60sp7d36nadv904n,2019-03-19T14:59:16Z,"japanese girl punk",0.759,0.859,11,-5.256,0,0.102,0.124,0.00674,0.234,0.961,130.926,4
3fdiND9tPfGs7AGBd3jA4A,"2B9FE4FTPCJ7W8DrF5wkve","Music Funk","Funky Disco Tracks of Cloud One","Cloud One",1978-03-15,625466,4,spotify:user:izh5cyqgv60sp7d36nadv904n,2019-03-19T15:23:45Z,"deep disco,disco,post-disco",0.826,0.726,9,-7.742,0,0.0383,0.108,0.916,0.16,0.876,130.6,4
4PVkNTaOmFJmF3Uuy1YpUc,"48KvHumTCmofKaZmLaCnZh","Show Me You Care","Backstreet Brit Funk Vol.2 compiled by Joey Negro","The Hudsons",2018-07-27,318000,0,spotify:user:izh5cyqgv60sp7d36nadv904n,2019-03-19T15:00:30Z,"",0.767,0.691,4,-6.23,0,0.0432,0.338,0.000726,0.163,0.865,111.597,4
1TZxonszskLxC373yKxxSF,"135Rv69sEKYSUfBBaI7i3M","Call Me Tonight - Instrumental","Send Me Your Love (Expanded Edition)","Kashif",2014-10-24,302960,12,spotify:user:izh5cyqgv60sp7d36nadv904n,2019-03-19T15:17:10Z,"disco,funk,post-disco,quiet storm,urban contemporary",0.826,0.495,5,-13.326,0,0.0521,0.00186,0.824,0.297,0.724,117.519,4
3rGonvJQJDRpSXAIa0ABKF,"0uMy5ZKVPBHauBYTTfCojq","How's Love Been Treatin' You - 2004 Digital Remaster","Other Side Of The Rainbow","Melba Moore",2010-01-01,298093,16,spotify:user:izh5cyqgv60sp7d36nadv904n,2019-03-19T15:26:51Z,"disco,funk,post-disco,quiet storm,urban contemporary",0.924,0.377,0,-10.399,1,0.115,0.0598,0,0.082,0.483,115.756,4
3DsbhZRcR1p2do3T5fAibX,"2YT6FujbjJP3ohD51eOZIV","Heart Breaking Decision","Do Me Baby","Meli'sa Morgan",1986-01-01,272560,29,spotify:user:izh5cyqgv60sp7d36nadv904n,2019-03-19T15:21:29Z,"contemporary r&b,funk,post-disco,quiet storm,urban contemporary",0.693,0.454,6,-14.973,0,0.0559,0.182,0.00000441,0.101,0.657,93.127,4
569qS1JwxxyUSkw1o1z7xy,"5M0HAqHXyOh3q7WQnvce8o","So Far Away","Spell #6","Part Time",2018-11-02,303500,0,spotify:user:izh5cyqgv60sp7d36nadv904n,2019-03-19T15:32:13Z,"chillwave,experimental pop,indie garage rock",0.649,0.515,10,-12.976,0,0.0278,0.0172,0.883,0.123,0.848,116.713,4
0jF4xsiVd8AQoIEUmn7KLt,"2auiVi8sUZo17dLy1HwrTU","Things I Imagined","When I Get Home","Solange",2019-03-01,119160,47,spotify:user:izh5cyqgv60sp7d36nadv904n,2019-03-19T15:34:25Z,"afrofuturism,alternative r&b,dance pop,escape room,hip pop,indie soul,neo soul,r&b,urban contemporary",0.391,0.192,10,-11.243,0,0.0621,0.936,0.698,0.103,0.039,75.535,3
4p8Vhi8qJfQYuIHPGSMimd,"3uWt17sAQdWR3cpjaocVxf","Shoe Shoe Shine","The Dynamic Superiors","The Dynamic Superiors",1975-01-01,225786,36,spotify:user:izh5cyqgv60sp7d36nadv904n,2019-03-19T15:22:29Z,"classic soul",0.438,0.427,7,-7.898,1,0.0487,0.83,0.00000209,0.217,0.369,119.573,4
3vpLTqzeeXL4Lbl7x56n2C,"1AEcpjnSCmm53IBZQo3g9z","I Wanna Thank You for (Steppin Into My Life)","Toeachizown","DāM-FunK",2009-10-20,369266,0,spotify:user:izh5cyqgv60sp7d36nadv904n,2019-03-19T15:44:19Z,"popping,synth funk,wonky",0.644,0.542,4,-4.899,0,0.0476,0.289,0.000797,0.565,0.523,93.781,4
7324pZTc3ZcYNKBSGHKxOT,"68kACMx6A3D2BYiO056MeQ","Heaven Only Knows","Heaven Only Knows","Teddy Pendergrass",1983-10-27,250760,27,spotify:user:izh5cyqgv60sp7d36nadv904n,2019-02-15T21:25:43Z,"classic soul,disco,funk,philly soul,post-disco,quiet storm,soul,urban contemporary",0.728,0.571,9,-8.604,0,0.039,0.45,0.00000257,0.0712,0.9,104.582,4
7zrhYXQHvt3GU5kFXvz0cl,"68kACMx6A3D2BYiO056MeQ","Loving You Was Good","This One's For You","Teddy Pendergrass",1982-07-23,212426,8,spotify:user:izh5cyqgv60sp7d36nadv904n,2019-02-15T21:27:15Z,"classic soul,disco,funk,philly soul,post-disco,quiet storm,soul,urban contemporary",0.723,0.467,6,-10.105,0,0.057,0.816,0.0000139,0.397,0.643,115.435,4
5Of6sk7MGP3qTJPxUDB3Xu,"68kACMx6A3D2BYiO056MeQ","Keep On Lovin' Me","It's Time For Love","Teddy Pendergrass",1981-09-02,272720,12,spotify:user:izh5cyqgv60sp7d36nadv904n,2019-02-15T21:28:46Z,"classic soul,disco,funk,philly soul,post-disco,quiet storm,soul,urban contemporary",0.782,0.664,2,-11.102,1,0.0664,0.162,0.000166,0.0341,0.699,124.323,4
