Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5RLsi2d87Z2Z7vFcf95DOQ,"3qwP6OInspBER5hmBbnNEr","Langkah Kemuka","Pasrah","Andi Meriem Mattalatta",1985-03-29,297066,22,spotify:user:midruns,2017-04-01T02:02:05Z,"classic indo pop,indonesian city pop",0.673,0.703,1,-6.829,1,0.0367,0.485,0.0266,0.0658,0.665,106.616,4
659bVUCkB6u75kds1AThGg,"3qwP6OInspBER5hmBbnNEr","Restu","Pasrah","Andi Meriem Mattalatta",1985-03-29,280080,10,spotify:user:midruns,2017-04-01T02:02:41Z,"classic indo pop,indonesian city pop",0.601,0.561,4,-9.558,0,0.0511,0.656,0.00031,0.0783,0.501,81.311,4
0PKCqAKlRJz13YnbqxbXhU,"3qwP6OInspBER5hmBbnNEr","Bunga Cinta Tlah Bersemi","Pasrah","Andi Meriem Mattalatta",1985-03-29,211666,25,spotify:user:midruns,2017-04-01T02:02:49Z,"classic indo pop,indonesian city pop",0.699,0.648,7,-7.697,1,0.0541,0.561,0.000126,0.0699,0.684,107.239,4
5yhTr1zhSxWmiRnX5yPrAl,"3qwP6OInspBER5hmBbnNEr","Kau Pesonaku","Janji","Andi Meriem Mattalatta",1987-03-29,177280,27,spotify:user:midruns,2017-04-01T02:03:04Z,"classic indo pop,indonesian city pop",0.739,0.549,2,-7.075,1,0.06,0.212,0.00000619,0.0992,0.635,92.654,4
46eV4jZ9BWhPXooTauOk5e,"0OHDn1WKld6GimxNFyCR7I","Mengenangkan Dirimu","Koleksi Lagu Lagu Terbaik","Broery Marantika",2015-07-24,223283,20,spotify:user:midruns,2017-04-01T02:03:17Z,"classic indo pop,dangdut",0.609,0.659,2,-11.15,0,0.0434,0.271,0.0912,0.168,0.749,104.933,4
1qKRpiOro6V0AvfpXyyqnZ,"2NteKKMj3takKR3ABTd279","Percik Pesona","Percik Pesona","Chrisye",1978-01-01,275880,10,spotify:user:midruns,2017-04-01T02:03:43Z,"indonesian city pop,indonesian indie,indonesian pop,indonesian pop rock",0.376,0.781,1,-6.621,0,0.0437,0.0208,0.000042,0.134,0.395,133.856,4
6jzR4gjNPeDB3Q55UlIlXz,"2NteKKMj3takKR3ABTd279","Damba Didada","Percik Pesona","Chrisye",1978-01-01,270453,21,spotify:user:midruns,2017-04-01T02:03:55Z,"indonesian city pop,indonesian indie,indonesian pop,indonesian pop rock",0.476,0.663,9,-7.824,1,0.0523,0.104,0.00000406,0.681,0.428,114.341,4
3ohxWnpGHI1LgzqYWB93Bk,"2NteKKMj3takKR3ABTd279","Galih Dan Ratna","Puspa Indah","Chrisye",1979-05-15,216293,43,spotify:user:midruns,2017-04-01T02:04:27Z,"indonesian city pop,indonesian indie,indonesian pop,indonesian pop rock",0.457,0.766,6,-8.998,0,0.0678,0.745,0.00207,0.246,0.848,118.302,4
5VwxkKK0VLz4cQ9zTuF64w,"2NteKKMj3takKR3ABTd279","Juwita","Sabda Alam","Chrisye",1978-05-10,319880,42,spotify:user:midruns,2017-04-01T02:04:52Z,"indonesian city pop,indonesian indie,indonesian pop,indonesian pop rock",0.561,0.678,4,-7.586,1,0.0271,0.224,0.0000109,0.113,0.677,119.068,4
3NmqXRNdhmOLdGm0RyuxeR,"5twjvYsFZap4QeQr1yiXmg","Hai Pemuda","Pergelaran Karya Cipta 1","Guruh Soekarno Putra",1980-06-11,198160,20,spotify:user:midruns,2017-04-01T02:05:23Z,"indonesian city pop",0.51,0.652,1,-8.65,1,0.0336,0.281,0.000119,0.172,0.682,141.198,4
6216aTAX2ZC4LVW162ZJYp,"5twjvYsFZap4QeQr1yiXmg","Damai","Pergelaran Karya Cipta 1","Guruh Soekarno Putra",1980-06-11,479013,23,spotify:user:midruns,2017-04-01T02:05:27Z,"indonesian city pop",0.474,0.76,7,-6.913,1,0.169,0.393,0.000283,0.286,0.568,132.398,4
5w3QBx350VED0ZCwVPPlUn,"5twjvYsFZap4QeQr1yiXmg","Lagu Putih","Pergelaran Karya Cipta 1","Guruh Soekarno Putra",1980-06-11,195453,35,spotify:user:midruns,2017-04-01T02:05:31Z,"indonesian city pop",0.606,0.736,5,-7.493,1,0.0644,0.648,0.000357,0.591,0.576,115.762,4
0qDXulYwCZlfpPnN0gQSwk,"5SogJYWNalEvbwACrAeRmZ","Betapa","Best Collections 1","Margie Segers",2015-10-16,285916,28,spotify:user:midruns,2017-04-01T02:05:49Z,"indonesian city pop,indonesian jazz",0.56,0.632,0,-11.092,1,0.0892,0.62,0.0595,0.275,0.536,114.108,4
3otIA13AHNujwKWFXIULLi,"3ErcfJwO96HGsKIyGOjvfI","Pemuda Indonesia","Telaga Rindu","Rafika Duri",1989-09-05,180786,0,spotify:user:midruns,2017-04-01T02:06:00Z,"classic indo pop,indonesian city pop",0.691,0.69,5,-5.02,1,0.0311,0.244,0,0.133,0.79,114.472,4
0Pj1lKK3WxCWMbEUCP3oJ9,"5twjvYsFZap4QeQr1yiXmg","Jenuh","Pergelaran Karya Cipta 1","Guruh Soekarno Putra",1980-06-11,167786,11,spotify:user:midruns,2017-04-01T02:06:06Z,"indonesian city pop",0.662,0.644,1,-6.356,1,0.133,0.675,0,0.463,0.634,105.783,4
17xvAeQhNAHFplG8ZW7gLr,"3cWhTURNoVUEdmNFzmfgms","Wangi","Bila ( Kulama Menanti )","Chaseiro",1980-01-01,192840,16,spotify:user:midruns,2017-04-01T02:09:32Z,"classic indo pop,indonesian city pop",0.575,0.798,10,-3.833,1,0.0292,0.48,0.356,0.543,0.854,119.248,4
2fO1CLJoY1CyQRr6AEXcXf,"3cWhTURNoVUEdmNFzmfgms","Nada Nada Gembira","Bila ( Kulama Menanti )","Chaseiro",1980-01-01,194133,16,spotify:user:midruns,2017-04-01T02:09:40Z,"classic indo pop,indonesian city pop",0.634,0.845,5,-4.377,0,0.148,0.569,0.00000217,0.0797,0.828,118.307,4
5RQ0pKsJVPYvn7McbSSMGv,"1VXrpcuRNWPy5Ev4PZTKlY","Titisan Dewa","Perasaan","Dian Piesesha",1984-01-01,277725,17,spotify:user:midruns,2017-04-03T12:28:59Z,"classic indo pop,dangdut,indonesian city pop,keroncong",0.708,0.758,6,-6.58,0,0.0881,0.587,0.00118,0.0955,0.775,98.628,4
