Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4HmHLBqaEz9FzkKyoNSuN9,"50zRydJXfkLzGIOj9mITfy","Darkness / Earth In Search of a Sun","The First Seven Days","Jan Hammer",1975-06-30,271400,6,spotify:user:seankmchenry,2022-06-01T18:04:36Z,"jazz fusion,new romantic",0.191,0.431,0,-10.864,1,0.0433,0.0239,0.662,0.241,0.0871,128.999,4
4xXTGXt6Y93QE7WoxiBWBX,"50zRydJXfkLzGIOj9mITfy","Light/Sun","The First Seven Days","Jan Hammer",1975-06-30,403826,4,spotify:user:seankmchenry,2022-06-01T18:04:36Z,"jazz fusion,new romantic",0.188,0.323,10,-13.167,1,0.0417,0.31,0.14,0.0871,0.0556,162.755,3
0ed3H4bTqKqEVGfIlxFpSo,"50zRydJXfkLzGIOj9mITfy","Oceans And Continents","The First Seven Days","Jan Hammer",1975-06-30,376333,11,spotify:user:seankmchenry,2022-06-01T18:04:36Z,"jazz fusion,new romantic",0.221,0.319,0,-16.507,1,0.0348,0.925,0.815,0.107,0.0907,147.459,4
4uLOkcXxSIxTtUc9pM5UVN,"50zRydJXfkLzGIOj9mITfy","Fourth Day-Plants And Trees","The First Seven Days","Jan Hammer",1975-06-30,166200,2,spotify:user:seankmchenry,2022-06-01T18:04:36Z,"jazz fusion,new romantic",0.42,0.148,2,-19.733,1,0.0562,0.975,0.885,0.109,0.139,114.218,4
2AdN6qTDCCVlntyojKSdmk,"50zRydJXfkLzGIOj9mITfy","The Animals","The First Seven Days","Jan Hammer",1975-06-30,374333,3,spotify:user:seankmchenry,2022-06-01T18:04:36Z,"jazz fusion,new romantic",0.44,0.465,9,-12.89,1,0.0711,0.527,0.879,0.118,0.528,151.521,4
0iVx1uONVICzH0B2Xm1HwP,"50zRydJXfkLzGIOj9mITfy","Sixth Day-The People","The First Seven Days","Jan Hammer",1975-06-30,434826,3,spotify:user:seankmchenry,2022-06-01T18:04:36Z,"jazz fusion,new romantic",0.194,0.234,9,-17.685,1,0.0347,0.935,0.839,0.207,0.0529,80.044,4
01AKqR9zmVkmPkUCZWpL5o,"50zRydJXfkLzGIOj9mITfy","The Seventh Day","The First Seven Days","Jan Hammer",1975-06-30,371040,3,spotify:user:seankmchenry,2022-06-01T18:04:36Z,"jazz fusion,new romantic",0.239,0.355,9,-14.172,1,0.0311,0.0911,0.056,0.105,0.354,144.01,1
1rbOYJBMJiZobZL1342hnU,"50zRydJXfkLzGIOj9mITfy","Magical Dog","Oh, Yeah?","Jan Hammer",1976-05-01,402506,9,spotify:user:seankmchenry,2022-06-01T18:04:42Z,"jazz fusion,new romantic",0.327,0.904,7,-9.624,1,0.0585,0.0261,0.406,0.0731,0.403,139.078,5
3OiHk41PU8mnyIHnsYrCBQ,"50zRydJXfkLzGIOj9mITfy","One To One","Oh, Yeah?","Jan Hammer",1976-05-01,211973,9,spotify:user:seankmchenry,2022-06-01T18:04:42Z,"jazz fusion,new romantic",0.54,0.752,10,-10.842,1,0.0413,0.0279,0.000784,0.115,0.959,92.93,4
2KsSB3VrToDVE3bvIkRBlQ,"50zRydJXfkLzGIOj9mITfy","Evolve","Oh, Yeah?","Jan Hammer",1976-05-01,284520,8,spotify:user:seankmchenry,2022-06-01T18:04:42Z,"jazz fusion,new romantic",0.299,0.705,11,-11.301,1,0.0304,0.026,0.414,0.111,0.296,125.188,1
75sV4rjZfYCNGBGfBHguhV,"50zRydJXfkLzGIOj9mITfy","Oh, Yeah?","Oh, Yeah?","Jan Hammer",1976-05-01,270093,7,spotify:user:seankmchenry,2022-06-01T18:04:42Z,"jazz fusion,new romantic",0.503,0.831,2,-12.179,1,0.0495,0.0189,0.0405,0.0664,0.798,122.946,4
7pYmMfooB3kybIh9wQN3WY,"50zRydJXfkLzGIOj9mITfy","Bambu Forest","Oh, Yeah?","Jan Hammer",1976-05-01,324000,6,spotify:user:seankmchenry,2022-06-01T18:04:42Z,"jazz fusion,new romantic",0.276,0.689,0,-10.898,1,0.0389,0.00163,0.0536,0.136,0.446,161.3,4
0FyKpBtgwVTwiWhvhHsQOo,"50zRydJXfkLzGIOj9mITfy","Twenty One","Oh, Yeah?","Jan Hammer",1976-05-01,305306,4,spotify:user:seankmchenry,2022-06-01T18:04:42Z,"jazz fusion,new romantic",0.316,0.93,1,-12.903,1,0.0694,0.00187,0.705,0.106,0.649,141.368,5
1hV8LqDas3QX58xgCXO5Xd,"50zRydJXfkLzGIOj9mITfy","Let The Children Grow","Oh, Yeah?","Jan Hammer",1976-05-01,289893,4,spotify:user:seankmchenry,2022-06-01T18:04:42Z,"jazz fusion,new romantic",0.38,0.367,5,-12.578,1,0.0331,0.108,0.0000561,0.119,0.126,97.606,4
1fGB1ovvNE0hUbjPmnXn7U,"50zRydJXfkLzGIOj9mITfy","Red And Orange","Oh, Yeah?","Jan Hammer",1976-05-01,403773,4,spotify:user:seankmchenry,2022-06-01T18:04:42Z,"jazz fusion,new romantic",0.234,0.88,9,-11.016,1,0.0734,0.00557,0.795,0.123,0.413,158.973,3
3tVWOM47bulOpm7o5OvU2b,"1LkRvd0mF7sh56nyibirHw","Too Much to Lose","Melodies","Jan Hammer Group",1977-10-17,167352,14,spotify:user:seankmchenry,2022-06-01T18:04:44Z,"eastern bloc groove",0.371,0.964,0,-2.926,1,0.0828,0.0508,0.00000267,0.356,0.38,96.406,4
0xfOvIRVN08EgN2wB0LyWY,"1LkRvd0mF7sh56nyibirHw","Peaceful Sundown","Melodies","Jan Hammer Group",1977-10-17,236292,18,spotify:user:seankmchenry,2022-06-01T18:04:44Z,"eastern bloc groove",0.311,0.88,0,-6.271,1,0.0594,0.00055,0.00000713,0.108,0.364,93.982,4
