Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2iGrc21d7bfvLAdlNeNerI,"1LQQtqc1vQ1neUgZrjYlEU","影になって","悲しいほどお天気","Yumi Matsutoya",1979-12-01,332175,34,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2019-09-25T07:21:26Z,"classic j-pop,j-pop,japanese singer-songwriter",0.464,0.607,2,-7.612,0,0.0375,0.465,0.0000466,0.153,0.702,171.941,4
5EyMROX5H4xyZ3x8Qf4Tuj,"71uGKB11tJQ1uuLLppcHDj","ONLY A LOVE AFFAIR","Awakening","Hiroshi Sato",1982,294986,29,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2020-10-24T19:06:21Z,"classic city pop,japanese jazz",0.778,0.568,5,-9.538,1,0.0412,0.476,0.000482,0.0824,0.867,97.158,4
06acnazExu3JIGfkeaAmrP,"5QeCklzEEYSSLWeUxuWeBy","Kusuri o Takusan","SUNSHOWER","Taeko Onuki",1977-07-25,249293,37,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2020-04-09T09:40:21Z,"anime,anime score,classic city pop,japanese new wave,techno kayo",0.687,0.75,7,-7.252,1,0.035,0.354,0.000321,0.0449,0.96,93.127,4
2BfEcAqD6IYtrsWvrz05dp,"370nbSkMB9kDWyTypwWYak","Bara to Yajū","Hosono House","Haruomi Hosono",1973,264320,0,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2019-09-25T07:25:10Z,"classic j-rock,fourth world,japanese folk,japanese psychedelic,japanese singer-songwriter,japanese soundtrack,proto-techno,shibuya-kei",0.506,0.793,9,-8.866,0,0.181,0.438,0.12,0.322,0.679,173.747,4
0c7PBMKH6mziKba9pjt8qR,"5kk6wMgDfumWGwd0GDvvk2","L.A. Night","L.A. Night","Yasuko Agawa",2018-07-31,322088,0,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2019-09-27T16:13:43Z,"classic city pop",0.775,0.7,11,-6.681,0,0.0369,0.231,0.0195,0.119,0.922,100.038,4
5LXQeJX8ZGS7Q5ZZ3vtGF7,"3qccez9ByXrGuPDQaJiy6o","Wanna Kiss","Ritual Chants","Hitomi Tohyama",2017-07-03,270560,38,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2019-09-27T16:18:31Z,"classic city pop",0.911,0.718,11,-5.93,0,0.0765,0.262,0.000813,0.104,0.902,107.124,4
1NYBloHxZT7JbjnnZEM39g,"7BwOjwl5mKpGVIvzvqEcie","Night Cruise","PARADISE","T-SQUARE",2015-07-08,349520,0,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2019-09-30T06:00:27Z,"japanese jazz,japanese jazz fusion",0.557,0.656,11,-7.587,0,0.0309,0.122,0.277,0.0972,0.802,207.875,4
7rU6Iebxzlvqy5t857bKFq,"3WwGRA2o4Ux1RRMYaYDh7N","Plastic Love","Expressions","Mariya Takeuchi",2008-05-21,294493,66,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2022-05-04T06:57:18Z,"classic city pop,idol kayo,j-pop,japanese singer-songwriter",0.648,0.875,2,-5.141,0,0.034,0.0747,0.0000964,0.196,0.857,102.517,4
7tbN6JUXNROjRd8MKR3qoA,"2inTsiufLTjZppw4nlCaMk","My Life","Beach Diggin', Vol. 4","Noriko Miyamoto",2016-08-05,371404,0,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2019-09-27T16:19:25Z,"techno kayo",0.471,0.591,4,-13.367,0,0.0416,0.728,0.0168,0.164,0.607,100.543,4
3QOJdBuXIxpfZ0UfUyErpJ,"4UgoOhsP6AlN1SIkFRBCit,2ZvrvbQNrHKwjT7qfGFFUW","I Thought It Was You","Butterfly","笠井 紀美子,Herbie Hancock",1979,428426,41,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2019-09-30T06:02:31Z,"classic city pop,classic japanese jazz,japanese vocal jazz,contemporary post-bop,funk,instrumental funk,jazz,jazz funk,jazz fusion,jazz piano,uk contemporary jazz",0.614,0.761,8,-14.346,0,0.0476,0.0856,0.618,0.063,0.881,122.889,4
5WTCHYg9G27e9e5HFKGdd1,"7rGbODPTIVjzn3CTR6RCzE","Sweet Love","THE BEST SONGS of JUNKO OHASHI","Junko Ohashi",1998,289333,54,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2019-09-30T06:02:43Z,"classic city pop,kayokyoku",0.607,0.705,5,-6.929,0,0.0309,0.241,0,0.31,0.656,93.04,4
0DCzMvkONMvWDiOtVzyRUX,"7bG2PIfT22HGxisl6LAohx,5Zc8dRhik5WK1nxjzcqwfC","Dear Breeze","Another Summer","S. Kiyotaka & Omega Tribe,Kiyotaka Sugiyama",1985-07-01,241360,49,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2019-09-30T13:12:59Z,"classic city pop",0.635,0.61,8,-6.73,1,0.0257,0.413,0.00455,0.26,0.742,91.211,4
1jXDJKlpjzKyVvla4lpC4l,"5vYmBw71RC0kABACDCq4Zi","外はみんな・・・・・・・","扉の冬","Minako Yoshida",1994-10-25,177440,0,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2019-10-03T13:45:03Z,"classic city pop,japanese jazz",0.586,0.457,0,-13.173,1,0.0317,0.24,0.00000831,0.119,0.906,111.069,4
43CcfnR83GpPm312ZDoAh2,"2JzFnFAzJlDWYLlh8waEOZ","Mystery of Asian Port","Parachute from Asian Port","Parachute",2017-11-01,315933,7,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2019-10-21T16:26:11Z,"",0.881,0.606,0,-10.981,1,0.0302,0.0304,0.666,0.0657,0.914,104.755,4
2lV8YY0GQYXgtUWXM4NJ4X,"5QeCklzEEYSSLWeUxuWeBy","4:00A.M.","Mignonne","Taeko Onuki",1978,336960,0,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2019-12-10T11:00:03Z,"anime,anime score,classic city pop,japanese new wave,techno kayo",0.631,0.769,1,-6.918,1,0.0372,0.276,0.000375,0.0789,0.834,103.395,4
7wK3vFraZXIjVxOqObajAL,"370nbSkMB9kDWyTypwWYak","スポーツマン (2019 Remastering)","Philharmony","Haruomi Hosono",1978,245960,46,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2019-12-10T10:58:35Z,"classic j-rock,fourth world,japanese folk,japanese psychedelic,japanese singer-songwriter,japanese soundtrack,proto-techno,shibuya-kei",0.81,0.841,2,-4.306,1,0.0519,0.0611,0,0.0596,0.82,108.865,4
0EFQ6qhrA7cdFAA30kZq6o,"2SdovVmFnr5G1SlQzG5Hp0","プラスティック・ラブ","CITY LIGHTS 2nd Season","Yuri Tanaka",2019-01-23,305960,44,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2020-10-24T19:10:22Z,"classic city pop",0.665,0.853,2,-4.868,0,0.0313,0.243,0.0000056,0.142,0.793,101.973,4
5yT5gTAWIoF97BiI5Ed2h3,"0yMkwfeRG8lviQY0mZ1BBI","Shinzo No Tobira","Utakata No Hibi","Mariah",1983,282386,40,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2019-12-10T10:58:59Z,"japanese experimental,japanese new wave",0.718,0.745,5,-11.265,1,0.037,0.0299,0.524,0.0918,0.706,109.379,4
2O6bWtHJgPuig3EQVVZpRl,"0Q14t6kRnPv4av49Rz5o6e","Kakashi","Kakashi","Yasuaki Shimizu",1982,284924,35,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2019-12-10T10:59:16Z,"fourth world,japanese experimental,japanese jazz",0.558,0.826,9,-12.049,0,0.0379,0.0139,0.906,0.0581,0.691,133.065,4
0E8qgLWWmNHDp7Z8nUf68z,"1DGpHnPOpMYY780hcQHmPB","Blink","Kankyō Ongaku: Japanese Ambient, Environmental & New Age Music 1980-1990","Hiroshi Yoshimura",2019-02-15,284386,0,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2019-12-10T10:59:33Z,"ambient,fourth world,j-ambient",0.229,0.0461,0,-20.388,1,0.0604,0.977,0.941,0.074,0.304,67.736,5
7m4Awd9JbZIpj6Uil5EGg0,"5QeCklzEEYSSLWeUxuWeBy","じゃじゃ馬娘","Mignonne","Taeko Onuki",1978,277706,0,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2019-12-10T11:01:06Z,"anime,anime score,classic city pop,japanese new wave,techno kayo",0.695,0.669,11,-7.191,0,0.0255,0.184,0.00000482,0.137,0.874,112.674,4
4Ee8z8ySuxdqTTPI868NtU,"0Q14t6kRnPv4av49Rz5o6e","Umi No Ue Kara","Kakashi","Yasuaki Shimizu",1982,498800,37,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2020-04-09T06:50:27Z,"fourth world,japanese experimental,japanese jazz",0.659,0.321,0,-14.293,1,0.0436,0.0409,0.831,0.309,0.581,79.244,4
33VIYJ7IFfPdCPu6i1Da1A,"5vYmBw71RC0kABACDCq4Zi","TOWN","MONSTERS IN TOWN","Minako Yoshida",1981,379106,29,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2020-08-05T06:22:14Z,"classic city pop,japanese jazz",0.569,0.877,1,-7.098,0,0.0806,0.000133,0.629,0.235,0.435,116.94,4
