Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1WaBeEvIqN3artCE6MJXqn,"7jDblfQQLFAZCKXFfoGZ9Q,5YZ5AExR68U3ZblH6HcO6B,6cUpFVxDYWed9WxtC4QgC5","Top Floor GTR","Two4Two","Jay Worthy,Leven Kali,Wallie the Sensei",2021-10-23,198000,26,spotify:user:seankmchenry,2023-01-09T15:16:14Z,"boom bap,alternative r&b,chill r&b,indie r&b,indie soul,r&b,cali rap",0.682,0.667,6,-5.426,0,0.3,0.146,0.0000123,0.0679,0.73,176.145,4
1S7O1gj876LSrgGqvuYhv3,"7jDblfQQLFAZCKXFfoGZ9Q,5YZ5AExR68U3ZblH6HcO6B,500rBZDH42x0aBmajZARos","Wait On You","Two4Two","Jay Worthy,Leven Kali,Na-Kel Smith",2021-10-23,112495,51,spotify:user:seankmchenry,2023-01-09T15:16:14Z,"boom bap,alternative r&b,chill r&b,indie r&b,indie soul,r&b,experimental hip hop",0.739,0.707,1,-7.766,1,0.283,0.645,0.00000738,0.104,0.833,78.97,4
0i1JWUK34bLk5ncccXDaVA,"7jDblfQQLFAZCKXFfoGZ9Q,7M2nEDGhiPcqJyX47a3ODl,3uhJHJFmFtFloOhRCDocit,2fTCAEZPxhZHb9fPtVlFpn","Cellular","Two4Two","Jay Worthy,DJ Mr Rogers,Mitchy Slick,Lil' Boss",2021-10-23,231428,23,spotify:user:seankmchenry,2023-01-09T15:16:14Z,"boom bap,hyphy,san diego rap,west coast rap,west coast trap",0.767,0.739,4,-5.35,0,0.297,0.0199,0,0.0773,0.317,75.04,1
4B7X5GvITVAN52bXZ4ltSo,"7jDblfQQLFAZCKXFfoGZ9Q,7M2nEDGhiPcqJyX47a3ODl,3uhJHJFmFtFloOhRCDocit","Gangslide","Two4Two","Jay Worthy,DJ Mr Rogers,Mitchy Slick",2021-10-23,173733,20,spotify:user:seankmchenry,2023-01-09T15:16:14Z,"boom bap,hyphy,san diego rap,west coast rap,west coast trap",0.832,0.494,0,-7.282,1,0.316,0.0156,0,0.133,0.548,156.02,4
0arHY8zYyw5AdB0HzA9C7u,"7jDblfQQLFAZCKXFfoGZ9Q,1AEcpjnSCmm53IBZQo3g9z,7fDLDq2weBagiAFD2j17Al","All Over","Two4Two","Jay Worthy,DāM-FunK,Sadat X",2021-10-23,175517,17,spotify:user:seankmchenry,2023-01-09T15:16:14Z,"boom bap,popping,synth funk,wonky,alternative hip hop,bronx hip hop,east coast hip hop,hardcore hip hop,turntablism",0.532,0.877,7,-7.5,0,0.457,0.787,0.00000287,0.54,0.289,87.346,4
3pvtcYBU2sc4d6BiSekcYQ,"7jDblfQQLFAZCKXFfoGZ9Q,1AEcpjnSCmm53IBZQo3g9z,3XkLOVhQv8DBoiclVW8F89","Moonlight","Two4Two","Jay Worthy,DāM-FunK,Budgie",2021-10-23,150727,14,spotify:user:seankmchenry,2023-01-09T15:16:14Z,"boom bap,popping,synth funk,wonky,indie r&b",0.645,0.601,11,-8.037,0,0.0968,0.00963,0,0.0837,0.548,84.051,4
5HDV0hkxz5hpHf2wt6ACK4,"7jDblfQQLFAZCKXFfoGZ9Q,65d2Cw70rLuVwEZwQpHtFW,4B5ZWohL49TTtqTTzbHDns","Sixteen","Two4Two","Jay Worthy,LNDN DRGS,Sean House",2021-10-23,200124,14,spotify:user:seankmchenry,2023-01-09T15:16:14Z,"boom bap",0.436,0.538,4,-9.354,0,0.134,0.113,0,0.496,0.0726,72.528,4
0jpVi6Uooiz9ng6lViZQEs,"7jDblfQQLFAZCKXFfoGZ9Q,3M40ySTwNk2adC3NFLL3Zn","Sic Wit It x GDF","Two4Two","Jay Worthy,Droop-E",2021-10-23,237333,16,spotify:user:seankmchenry,2023-01-09T15:16:14Z,"boom bap,hyphy",0.632,0.344,10,-20.476,0,0.125,0.732,0.0217,0.197,0.544,90.012,4
04WI0nVgaoOXS5gjOgRwUW,"65d2Cw70rLuVwEZwQpHtFW,7jDblfQQLFAZCKXFfoGZ9Q,4B5ZWohL49TTtqTTzbHDns,3kf0gOpxWtkyeMNJVDQPtd,6xOKJrMmd7rWBy21E0F7Vk","Rokk Dreams (Intro) (feat. Smoke DZA & Wacko)","Burnout 4","LNDN DRGS,Jay Worthy,Sean House,Smoke DZA,Wacko",2020-12-11,193008,19,spotify:user:seankmchenry,2023-01-09T15:16:22Z,"boom bap,alternative hip hop,harlem hip hop,hip hop,rap,trap,underground hip hop",0.265,0.853,4,-7.4,1,0.32,0.23,0.0000453,0.252,0.273,81.832,4
1AmKkoSYbmbWVNsOwhGVYm,"65d2Cw70rLuVwEZwQpHtFW,7jDblfQQLFAZCKXFfoGZ9Q,4B5ZWohL49TTtqTTzbHDns,1grN0519h2zYqpRtYbDZAl","Always (feat. Larry June)","Burnout 4","LNDN DRGS,Jay Worthy,Sean House,Larry June",2020-12-11,187321,38,spotify:user:seankmchenry,2023-01-09T15:16:22Z,"boom bap,cali rap",0.656,0.703,9,-6.621,0,0.0987,0.0768,0.0000162,0.128,0.718,90.32,4
