Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1TsmHRIXvMTLP7Vu53XsUV,"Rise","Rise","Herb Alpert",1979-09-01,457400,52,,1970-01-01T00:00:00Z,"jazz trumpet","Herb Alpert Presents",0.814,0.453,10,-10.802,1,0.0412,0.134,0.834,0.0879,0.903,99.265,4
2sU3JOEN7alL7ri5TEFcK9,"Clearly Kim (2024 Remaster)","Pages (2024 Remaster)","Pages",1978-11-26,204437,24,,1970-01-01T00:00:00Z,"deep soft rock,yacht rock","Legacy Recordings",0.634,0.563,5,-14.243,0,0.0427,0.0304,0.0323,0.106,0.855,94.545,4
34fWcazka5WAgvsPg1ZKXU,"Green Flower Street","The Nightfly","Donald Fagen",1982-10-29,222493,38,,1970-01-01T00:00:00Z,"sophisti-pop,yacht rock","Reprise",0.784,0.32,9,-17.4,0,0.0435,0.41,0.000703,0.0368,0.876,122.279,4
5CtKsA5lA75wWaqxrC1r02,"Street Life","Street Life","The Crusaders",1979-01-01,678200,44,,1970-01-01T00:00:00Z,"jazz funk,smooth jazz,soul jazz","Verve",0.543,0.414,5,-15.35,0,0.0513,0.322,0.00127,0.0685,0.559,110.946,4
0xeBC6N81ZBYDtxuBFGSuO,"Deacon Blues","Aja","Steely Dan",1977-09-23,455497,54,,1970-01-01T00:00:00Z,"album rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock,yacht rock","Geffen",0.74,0.46,0,-15.859,1,0.0392,0.64,0.00123,0.0827,0.553,115.745,4
0E62rafnIQmNbI2mEp8jhE,"Trust Me","Feets Don't Fail Me Now","Herbie Hancock",1979-02,342106,19,,1970-01-01T00:00:00Z,"contemporary post-bop,instrumental funk,jazz,jazz funk,jazz fusion,jazz piano","Columbia/Legacy",0.538,0.492,2,-15.834,1,0.0768,0.275,0.676,0.0588,0.521,88.068,4
1s16yZ0cyNAJJT1iUVMwam,"If You Want It","Niteflyte","Niteflyte",1995-07-02,270933,38,,1970-01-01T00:00:00Z,"deep soft rock","Legacy Recordings",0.458,0.861,11,-6.011,0,0.086,0.477,0,0.0649,0.731,86.774,4
6iYiQdYGDFtncKdmF7V9u3,"Gotta Find It","Now (Expanded Edition)","Patrice Rushen",1984-05-21,268573,23,,1970-01-01T00:00:00Z,"classic soul,disco,funk,jazz funk,p funk,post-disco,quiet storm,soul","Strut",0.973,0.329,0,-12.676,1,0.051,0.0937,0.00000334,0.0495,0.892,109.648,4
0mMgZR0m5hpvpf6llT9Spf,"Love Island","Love Island","Deodato",1978,400466,29,,1970-01-01T00:00:00Z,"bossa nova jazz,brazilian jazz,jazz funk","Rhino/Warner Records",0.58,0.472,7,-16.363,1,0.0619,0.755,0.888,0.35,0.558,74.067,4
4iKU4J0AjDeDXOCgpuol0C,"Angela (Theme From Taxi)","Touchdown","Bob James",1977-07-20,345160,44,,1970-01-01T00:00:00Z,"jazz funk,jazz piano,smooth jazz","evosound",0.671,0.295,8,-16.67,1,0.0385,0.685,0.758,0.11,0.643,139.378,4
5QhikAUv91oMAaFnfKz22u,"Lowdown (2023 Remaster)","Silk Degrees (2023 Remaster)","Boz Scaggs",1976-02-18,317788,60,,1970-01-01T00:00:00Z,"classic rock,mellow gold,singer-songwriter,soft rock,yacht rock","Columbia/Legacy",0.691,0.551,11,-12.15,0,0.0503,0.0747,0.104,0.034,0.938,116.519,4
5vxadVMLRKUaLplSdMo0jr,"Manhattan Melody","Magic Man","Herb Alpert",1981-08-01,344333,14,,1970-01-01T00:00:00Z,"jazz trumpet","Herb Alpert Presents",0.762,0.503,2,-14.14,1,0.036,0.14,0.929,0.0588,0.947,112.81,4
2KaA0Tgl3RmQLzcvLEtzLH,"Heart to Heart","High Adventure","Kenny Loggins",1982,322333,51,,1970-01-01T00:00:00Z,"album rock,classic rock,mellow gold,new wave pop,singer-songwriter,soft rock,yacht rock","Columbia",0.698,0.456,0,-12.773,1,0.039,0.356,0.0000296,0.0313,0.796,81.66,4
3jEKqIXkBZahG5PKEpsd2L,"Fo Fi Fo","Imagine This","Pieces Of A Dream",1983,285373,15,,1970-01-01T00:00:00Z,"instrumental funk,jazz funk,smooth jazz","Rhino/Elektra",0.804,0.362,0,-18.262,0,0.0352,0.327,0.0148,0.11,0.947,121.256,4
5v0OmNNkTBLNxELawSYrDx,"Champagne","Duotones","Kenny G",1986-09-01,285506,28,,1970-01-01T00:00:00Z,"smooth jazz,smooth saxophone","Arista",0.659,0.742,4,-11.591,0,0.031,0.047,0.917,0.0627,0.753,105.401,4
6677v7VjQsuA6BRFQxQcmG,"Babylon Sisters","Gaucho","Steely Dan",1980-11-21,353408,46,,1970-01-01T00:00:00Z,"album rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock,yacht rock","Geffen",0.668,0.3,10,-16.186,1,0.0535,0.458,0.0222,0.0547,0.496,60.688,4
57IqQIFIjtaeSeevWRNZsr,"The Twilight Clone","Magic Windows","Herbie Hancock",1981-09-29,497586,12,,1970-01-01T00:00:00Z,"contemporary post-bop,instrumental funk,jazz,jazz funk,jazz fusion,jazz piano","Columbia/Legacy",0.83,0.665,7,-13.922,1,0.084,0.0236,0.846,0.0827,0.963,109.973,4
6MNktmrlECWNXz3C3Gpk9s,"The Highways of My Life","3+3","The Isley Brothers",1973-08-21,257626,36,,1970-01-01T00:00:00Z,"classic soul,funk,motown,quiet storm,soul","Epic/Legacy",0.416,0.446,4,-13.698,1,0.0411,0.766,0.0116,0.151,0.221,135.547,4
2E6BJMykpMop89UqvV9wxe,"Everything You See Is Me","Everything You See Is Me","Rasa",1978,223066,16,,1970-01-01T00:00:00Z,"","BBR Songs",0.525,0.552,1,-9.77,1,0.0367,0.354,0.00000582,0.184,0.627,84.39,4
2aQ9ObWHGfnZizxBGmPIJz,"Pina Colada","Love Island","Deodato",1978,355826,17,,1970-01-01T00:00:00Z,"bossa nova jazz,brazilian jazz,jazz funk","Rhino/Warner Records",0.722,0.636,5,-13.928,1,0.0409,0.444,0.913,0.0564,0.911,105.739,4
