Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
00T9YD4qgYZYr33zMPRllI,"3gmX5TSkgW4iu2dm71QzWr,0lBiVIJxGVqGyNkfjGuZKi","Faye","The Algorithm Smiles Upon You","Move 78,Aver",2021-04-05,250781,35,spotify:user:seankmchenry,2022-12-14T20:21:57Z,"indie jazz,indie soul,uk contemporary jazz,jazztronica",0.45,0.299,9,-16.927,0,0.0289,0.739,0.916,0.169,0.195,74.942,4
3cDSZoudwjseBlQFzBWUDf,"3gmX5TSkgW4iu2dm71QzWr,0lBiVIJxGVqGyNkfjGuZKi","Middling","The Algorithm Smiles Upon You","Move 78,Aver",2021-04-05,272000,41,spotify:user:seankmchenry,2022-12-14T20:21:57Z,"indie jazz,indie soul,uk contemporary jazz,jazztronica",0.64,0.515,5,-14.289,0,0.0488,0.31,0.867,0.0961,0.597,91.091,4
64xR5oRQNEp6oD0VOQZFWk,"3gmX5TSkgW4iu2dm71QzWr,0lBiVIJxGVqGyNkfjGuZKi","Housecat","The Algorithm Smiles Upon You","Move 78,Aver",2021-04-05,253929,37,spotify:user:seankmchenry,2022-12-14T20:21:57Z,"indie jazz,indie soul,uk contemporary jazz,jazztronica",0.624,0.556,2,-13.017,0,0.0541,0.195,0.742,0.0912,0.772,180.093,4
1ngIiHsxj6krNgSTXv90re,"3gmX5TSkgW4iu2dm71QzWr,0lBiVIJxGVqGyNkfjGuZKi","Daisies","The Algorithm Smiles Upon You","Move 78,Aver",2021-04-05,239422,27,spotify:user:seankmchenry,2022-12-14T20:21:57Z,"indie jazz,indie soul,uk contemporary jazz,jazztronica",0.619,0.474,5,-12.048,0,0.0316,0.601,0.84,0.105,0.783,172.025,4
6pKwwFaPeqdYk8aCdRwL2U,"3gmX5TSkgW4iu2dm71QzWr,0lBiVIJxGVqGyNkfjGuZKi","Live from the Village","The Algorithm Smiles Upon You","Move 78,Aver",2021-04-05,236444,22,spotify:user:seankmchenry,2022-12-14T20:21:57Z,"indie jazz,indie soul,uk contemporary jazz,jazztronica",0.707,0.349,1,-17.519,1,0.0346,0.144,0.88,0.134,0.439,91.797,4
1qKmkgyZIPzw1ub9NaZeYn,"3gmX5TSkgW4iu2dm71QzWr,0lBiVIJxGVqGyNkfjGuZKi","Pearls Before Swine","The Algorithm Smiles Upon You","Move 78,Aver",2021-04-05,222772,33,spotify:user:seankmchenry,2022-12-14T20:21:57Z,"indie jazz,indie soul,uk contemporary jazz,jazztronica",0.481,0.516,10,-12.779,0,0.0294,0.115,0.862,0.0818,0.682,98.255,4
4f15fbJ52GPWWwxt9DXUWO,"3gmX5TSkgW4iu2dm71QzWr,0lBiVIJxGVqGyNkfjGuZKi","Sanctuary","The Algorithm Smiles Upon You","Move 78,Aver",2021-04-05,274513,39,spotify:user:seankmchenry,2022-12-14T20:21:57Z,"indie jazz,indie soul,uk contemporary jazz,jazztronica",0.462,0.324,5,-17.261,0,0.0377,0.753,0.875,0.0752,0.695,99.433,5
7rtDAchtYieyTtzyFsIaJ4,"3gmX5TSkgW4iu2dm71QzWr,0lBiVIJxGVqGyNkfjGuZKi","Normal Jazz","The Algorithm Smiles Upon You","Move 78,Aver",2021-04-05,223621,26,spotify:user:seankmchenry,2022-12-14T20:21:57Z,"indie jazz,indie soul,uk contemporary jazz,jazztronica",0.564,0.152,5,-14.881,0,0.0266,0.854,0.778,0.124,0.316,82.882,4
7cd176rN19F3JqSzBVCVG1,"3JJR0ExBP5G8uyhcViM14W","Il Consiglio","Tutto Passa","Gianni Brezzo",2022-05-06,280458,23,spotify:user:seankmchenry,2022-12-14T20:21:12Z,"indie jazz,jazztronica",0.237,0.467,1,-10.486,0,0.0279,0.13,0.585,0.126,0.212,82.974,4
6qGx9ikckPPtDbD9L3gdmq,"3JJR0ExBP5G8uyhcViM14W","Capture This","Tutto Passa","Gianni Brezzo",2022-05-06,225500,42,spotify:user:seankmchenry,2022-12-14T20:21:12Z,"indie jazz,jazztronica",0.563,0.533,4,-10.976,0,0.0325,0.319,0.173,0.117,0.701,82.031,4
