Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5aRj6TIRELABhgVasaff5g,"6P7H3ai06vU1sGvdpBwDmE","Doctor Wu","Katy Lied","Steely Dan",1975-01-01,234640,46,spotify:user:seankmchenry,2022-08-05T14:33:42Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock,yacht rock",0.68,0.556,9,-10.619,0,0.039,0.295,0.00000179,0.0855,0.715,121.171,4
0nlZjTPzW6S9JIESuGfImT,"46njgd2Rq9tZc4ZjeQMgbh","Lowdown","Silk Degrees","Boz Scaggs",1976,315640,64,spotify:user:seankmchenry,2022-08-05T14:36:39Z,"adult standards,album rock,art rock,classic rock,country rock,folk rock,mellow gold,singer-songwriter,soft rock,yacht rock",0.662,0.788,11,-5.544,0,0.0635,0.0812,0.141,0.0351,0.929,116.499,4
2NtqZmfRIDkXJ2YvY2Kv1F,"46njgd2Rq9tZc4ZjeQMgbh","Lido Shuffle","Silk Degrees","Boz Scaggs",1976,221613,65,spotify:user:seankmchenry,2022-08-05T15:23:43Z,"adult standards,album rock,art rock,classic rock,country rock,folk rock,mellow gold,singer-songwriter,soft rock,yacht rock",0.593,0.783,10,-4.716,1,0.0358,0.0165,0.0000726,0.167,0.646,141.345,4
1kn4dN91ha8qZS3pPYqjug,"6P7H3ai06vU1sGvdpBwDmE","Black Friday","Katy Lied","Steely Dan",1975-01-01,221200,46,spotify:user:seankmchenry,2022-08-05T15:23:48Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock,yacht rock",0.528,0.694,11,-12.294,0,0.057,0.00866,0.000189,0.141,0.716,131.287,4
1SUGTGPu2ZA3Dp9LM43QlA,"7tEqcCZQ38VjTnpBVuRBoL","The War Was Over","Terence Boylan","Terence Boylan",1977,257640,4,spotify:user:seankmchenry,2022-08-05T15:44:33Z,"deep soft rock,yacht rock",0.537,0.583,4,-9.161,1,0.0404,0.472,0.000101,0.723,0.619,79.731,4
4hF5pqHHtSJ68Vc99UDGjQ,"7tEqcCZQ38VjTnpBVuRBoL","Where Are You Hiding","Terence Boylan","Terence Boylan",1977,242240,4,spotify:user:seankmchenry,2022-08-05T15:44:45Z,"deep soft rock,yacht rock",0.557,0.655,9,-9.136,0,0.0523,0.367,0.000174,0.216,0.714,128.455,4
46gieBozkauZb8anqfvHh0,"76kVmxZ39hRIaUnu8slgqy","City Magic","Les Dudek","Les Dudek",1976,329426,20,spotify:user:seankmchenry,2022-08-05T15:46:56Z,"southern rock",0.578,0.837,9,-7.212,1,0.0356,0.00199,0.00601,0.272,0.924,120.341,4
3lG7bNTkWKz30OZ5n2R74F,"76kVmxZ39hRIaUnu8slgqy","Sad Clown","Les Dudek","Les Dudek",1976,318600,10,spotify:user:seankmchenry,2022-08-05T15:47:11Z,"southern rock",0.468,0.551,0,-9.769,1,0.0309,0.542,0.00965,0.457,0.566,116.493,3
6qKQTE5I3g278RkpynQYsL,"77tT1kLj6mCWtFNqiOmP9H","Don't Change","Beauty On a Back Street","Daryl Hall & John Oates",1977-09-01,212866,16,spotify:user:seankmchenry,2022-08-05T15:48:35Z,"album rock,classic rock,mellow gold,new wave pop,rock,soft rock,yacht rock",0.616,0.415,7,-13.416,0,0.118,0.141,0.000109,0.081,0.22,113.419,4
7vLKqWj7Xh7c9pZkNZNbQm,"77tT1kLj6mCWtFNqiOmP9H","Why Do Lovers Break Each Other's Heart?","Beauty On a Back Street","Daryl Hall & John Oates",1977-09-01,192493,16,spotify:user:seankmchenry,2022-08-05T15:48:35Z,"album rock,classic rock,mellow gold,new wave pop,rock,soft rock,yacht rock",0.71,0.648,10,-10.487,0,0.0303,0.294,0.0000105,0.239,0.906,120.624,3
066RUhTXZgwo87hLLfFYoS,"4dYBbLeGUezDO9EdsqCan2","YUMEDONO","KENJI SHOCK","Kenji Omura",2003-08-06,298693,13,spotify:user:seankmchenry,2022-08-05T15:51:28Z,"japanese jazz,japanese new wave,techno kayo",0.638,0.696,1,-7.665,1,0.0447,0.0477,0.000491,0.0773,0.915,91.565,4
23TcFJ0XSv7jugzpucHNW7,"2clUjxvyf90rQi8Rz7absT","Marina Del Rey","Mannequin","Marc Jordan",1978,191946,38,spotify:user:seankmchenry,2022-08-05T16:02:04Z,"deep soft rock,yacht rock",0.908,0.371,4,-14.792,1,0.0562,0.86,0.102,0.102,0.761,111.775,4
0WfCe3UzGvRVj0KHLDh1XB,"76kVmxZ39hRIaUnu8slgqy","Bound To Be A Change","Ghost Town Parade","Les Dudek",1978-11-01,197120,3,spotify:user:seankmchenry,2022-08-05T16:10:02Z,"southern rock",0.551,0.885,4,-9.963,1,0.041,0.0408,0.402,0.28,0.731,120.701,4
4Sr9uqeQqIaZ641S6O1Gg1,"76kVmxZ39hRIaUnu8slgqy","Friend Of Mine","Ghost Town Parade","Les Dudek",1978-11-01,377066,3,spotify:user:seankmchenry,2022-08-05T16:10:02Z,"southern rock",0.42,0.759,7,-10.214,1,0.0452,0.00638,0.762,0.318,0.59,114.702,1
3ZqHH9WasKGWFB9W2FaOTo,"7F81AqbZ2eUSjf9FpVptwO","A Tear Can Tell","This Night Won't Last Forever","Bill LaBounty",1978-07-21,198306,18,spotify:user:seankmchenry,2022-08-05T16:11:02Z,"deep soft rock,yacht rock",0.604,0.309,11,-14.458,0,0.0437,0.384,0,0.0735,0.638,127.051,4
4h2O2MW4C1AAK03FRIh7Iw,"7F81AqbZ2eUSjf9FpVptwO","I Hope You'll Be Very Unhappy Without Me","This Night Won't Last Forever","Bill LaBounty",1978-07-21,223160,22,spotify:user:seankmchenry,2022-08-05T16:11:02Z,"deep soft rock,yacht rock",0.667,0.354,10,-17.427,1,0.0393,0.664,0.000002,0.0657,0.684,126.654,4
