Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0lIAp9vqce0Pj4GeoGPbfH,"Blue World","Earth & Nightfall","John Beltran",1995-01-01,300840,8,seankmchenry,2023-07-27T12:43:48Z,"","R&S Records",0.661,0.737,3,-15.131,0,0.042,0.618,0.887,0.0812,0.78,126.991,4
6BfNb0z9G9cHHhGnmu0HSB,"Pluvial Interlude","Earth & Nightfall","John Beltran",1995-01-01,95960,10,seankmchenry,2023-07-27T12:43:48Z,"","R&S Records",0.582,0.362,2,-13.838,1,0.0295,0.183,0.688,0.113,0.327,109.996,4
0TsU6DGtuNtR9yYEPR3jXt,"Synaptic Transmission","Earth & Nightfall","John Beltran",1995-01-01,324933,6,seankmchenry,2023-07-27T12:43:48Z,"","R&S Records",0.658,0.259,8,-20.427,1,0.0456,0.383,0.498,0.0818,0.255,124.945,4
6nHZ5HnyuhanW3d5HLdCrn,"Sub-Surface","Earth & Nightfall","John Beltran",1995-01-01,221733,13,seankmchenry,2023-07-27T12:43:48Z,"","R&S Records",0.308,0.374,8,-15.69,1,0.0434,0.904,0.622,0.114,0.453,78.449,3
5Fhp5Ik4XkcI96lBXePnTN,"Earth & Nightfall","Earth & Nightfall","John Beltran",1995-01-01,288866,5,seankmchenry,2023-07-27T12:43:48Z,"","R&S Records",0.437,0.621,5,-15.601,1,0.0507,0.0607,0.882,0.0333,0.389,130.085,4
1hHbrk7oOQKgqYXNZ2NyAF,"Mutualism","Earth & Nightfall","John Beltran",1995-01-01,302200,5,seankmchenry,2023-07-27T12:43:48Z,"","R&S Records",0.674,0.471,3,-17.026,0,0.0394,0.0742,0.437,0.181,0.161,124.013,4
4dUVYaSG7fIjbptMJb70S3,"The Dawn","Earth & Nightfall","John Beltran",1995-01-01,260866,4,seankmchenry,2023-07-27T12:43:48Z,"","R&S Records",0.7,0.835,10,-13.753,0,0.0441,0.00092,0.858,0.123,0.564,125.093,4
3yT5YxDiRFlHV8FLdHmzHT,"Anticipation","Earth & Nightfall","John Beltran",1995-01-01,258600,5,seankmchenry,2023-07-27T12:43:48Z,"","R&S Records",0.255,0.487,6,-11.875,1,0.0347,0.202,0.0193,0.276,0.0375,116.302,4
2E6SY4YbXxtmDMeG37RmN1,"Nitric","Earth & Nightfall","John Beltran",1995-01-01,287506,10,seankmchenry,2023-07-27T12:43:48Z,"","R&S Records",0.561,0.463,8,-14.47,1,0.0423,0.24,0.506,0.0901,0.467,125.01,4
5FLMTezIVu1as91AGCcUGE,"Fragile Interlude","Earth & Nightfall","John Beltran",1995-01-01,149733,3,seankmchenry,2023-07-27T12:43:48Z,"","R&S Records",0.677,0.543,8,-13.573,0,0.0339,0.000571,0.822,0.099,0.766,128.33,4
2UsmV0cqN5wbihkXzsq39u,"Aquatic","Earth & Nightfall","John Beltran",1995-01-01,385400,4,seankmchenry,2023-07-27T12:43:48Z,"","R&S Records",0.618,0.606,4,-13.793,0,0.0425,0.122,0.846,0.348,0.36,125.24,4
60e6ALxVOa9LDAdRjRfpGf,"Vienna","Earth & Nightfall","John Beltran",1995-01-01,134960,11,seankmchenry,2023-07-27T12:43:48Z,"","R&S Records",0.581,0.431,1,-21.062,1,0.0995,0.356,0.848,0.19,0.378,119.979,4
3aJvo6RszxL9KdlocgRWe9,"Flex","Ten Days Of Blue","John Beltran",1996-05-24,426626,14,seankmchenry,2023-07-27T12:43:50Z,"","Peacefrog Records",0.695,0.644,9,-14.364,1,0.0508,0.00042,0.881,0.133,0.074,137.416,4
5Ayttvvhd9EWphLwqsYrZq,"Collage Of Dreams","Ten Days Of Blue","John Beltran",1996-05-24,392306,19,seankmchenry,2023-07-27T12:43:50Z,"","Peacefrog Records",0.506,0.447,8,-24.922,0,0.0347,0.779,0.915,0.0858,0.285,128.064,4
26n4WruabejOopymw4azFy,"Gutaris Breeze (6000km to Amsterdam)","Ten Days Of Blue","John Beltran",1996-05-24,468560,19,seankmchenry,2023-07-27T12:43:50Z,"","Peacefrog Records",0.781,0.699,0,-12.183,0,0.0886,0.878,0.938,0.104,0.655,129.386,4
2Ktuc6919DC0C0hx1tXDQH,"Ten Days Of Blue","Ten Days Of Blue","John Beltran",1996-05-24,453400,21,seankmchenry,2023-07-27T12:43:50Z,"","Peacefrog Records",0.787,0.558,8,-10.218,0,0.0503,0.195,0.89,0.0779,0.335,131.364,4
1E7Fe1PfH7UHSab7VPSDkq,"Venim & Wonder","Ten Days Of Blue","John Beltran",1996-05-24,381333,11,seankmchenry,2023-07-27T12:43:50Z,"","Peacefrog Records",0.615,0.554,1,-15.206,1,0.0372,0.215,0.794,0.0896,0.385,63.533,4
4BPrUQOpv6jQPYBehZMXPC,"Deluge","Ten Days Of Blue","John Beltran",1996-05-24,462240,12,seankmchenry,2023-07-27T12:43:50Z,"","Peacefrog Records",0.683,0.932,1,-14.327,0,0.0532,0.887,0.924,0.0728,0.25,130.335,4
0Onfdr46PCSVTevbq9f4vJ,"Decembers Tradegy","Ten Days Of Blue","John Beltran",1996-05-24,402693,10,seankmchenry,2023-07-27T12:43:50Z,"","Peacefrog Records",0.623,0.677,8,-10.405,1,0.0443,0.756,0.723,0.0624,0.96,127.326,4
0UZHJAXbcO0ujqJ48tuOmW,"Soft Summer","Ten Days Of Blue","John Beltran",1996-05-24,411133,14,seankmchenry,2023-07-27T12:43:50Z,"","Peacefrog Records",0.791,0.81,0,-9.26,0,0.0641,0.766,0.967,0.108,0.972,128.333,4
0m0gBy0QXX7UnptkZKlNgL,"Collage Of Dreams (Outro)","Ten Days Of Blue","John Beltran",1996-05-24,178306,14,seankmchenry,2023-07-27T12:43:50Z,"","Peacefrog Records",0.403,0.431,1,-17.761,1,0.0499,0.875,0.961,0.0995,0.47,128.052,3
6EvIcBxFrcI70i7nlmev7A,"White Sand","Moving Through Here","John Beltran",1997-11-24,308066,5,seankmchenry,2023-07-27T12:43:57Z,"","R&S Records",0.607,0.731,7,-12.297,0,0.0336,0.0000384,0.568,0.144,0.413,144.98,4
1mWcqzr21xjot3ZWgMQla7,"The Antidote","Moving Through Here","John Beltran",1997-11-24,312360,7,seankmchenry,2023-07-27T12:43:57Z,"","R&S Records",0.388,0.415,8,-12.172,0,0.0803,0.382,0.877,0.336,0.259,80.987,4
4E2YueWa0qU5UpY885JVTr,"Waxfruit","Moving Through Here","John Beltran",1997-11-24,249773,6,seankmchenry,2023-07-27T12:43:57Z,"","R&S Records",0.661,0.326,6,-22.236,0,0.0435,0.368,0.743,0.0959,0.172,142.116,4
5GpvWfPizuZiaIFJ0Y3Ntf,"Place Where the Sun Beats","Moving Through Here","John Beltran",1997-11-24,373066,4,seankmchenry,2023-07-27T12:43:57Z,"","R&S Records",0.604,0.903,8,-11.65,0,0.0506,0.0241,0.945,0.0856,0.776,146,4
5hT3Y0c30v9E9oRdAHsR3x,"Possibly Love","Moving Through Here","John Beltran",1997-11-24,332000,3,seankmchenry,2023-07-27T12:43:57Z,"","R&S Records",0.622,0.752,1,-14.853,1,0.072,0.0591,0.506,0.379,0.527,134.036,4
4j3b8ysgLiz7rgJ37M1wtw,"Amaneser - Daybreak","Moving Through Here","John Beltran",1997-11-24,237293,4,seankmchenry,2023-07-27T12:43:57Z,"","R&S Records",0.168,0.147,3,-18.601,1,0.0379,0.647,0.864,0.108,0.0385,111.46,4
1W34csBngCvelN7eyDaLSn,"Alone Again","Moving Through Here","John Beltran",1997-11-24,249106,3,seankmchenry,2023-07-27T12:43:57Z,"","R&S Records",0.557,0.398,0,-8.996,1,0.0446,0.388,0.837,0.225,0.452,83.967,4
03scMNdFFd7BC8CRGgqGRf,"Celestial Interlude","Moving Through Here","John Beltran",1997-11-24,97893,3,seankmchenry,2023-07-27T12:43:57Z,"","R&S Records",0.27,0.297,8,-21.333,0,0.0549,0.778,0.899,0.105,0.0522,77.491,5
1js5bv8S8Qbi4djVJKPOAn,"Eden","Moving Through Here","John Beltran",1997-11-24,369866,7,seankmchenry,2023-07-27T12:43:57Z,"","R&S Records",0.653,0.632,5,-11.366,0,0.0399,0.000271,0.803,0.0884,0.176,142.04,4
1jwY8UHHDQfEBtBiFHm7XK,"Morning At the Window - I Was in Heaven","Moving Through Here","John Beltran",1997-11-24,326026,4,seankmchenry,2023-07-27T12:43:57Z,"","R&S Records",0.422,0.505,11,-14.548,1,0.0341,0.67,0.499,0.173,0.902,90.068,5
11HVQ7F7kHmV6JJCWkVg2K,"Paris Is Burning","Moving Through Here","John Beltran",1997-11-24,398413,3,seankmchenry,2023-07-27T12:43:57Z,"","R&S Records",0.676,0.557,8,-18.393,1,0.0481,0.35,0.831,0.0897,0.71,128.971,4
7itFtjVb1yJkmT7LxVaOeH,"Sensual Healing","Moving Through Here","John Beltran",1997-11-24,248560,28,seankmchenry,2023-07-27T12:43:57Z,"","R&S Records",0.648,0.469,9,-12.031,1,0.0297,0.0477,0.898,0.14,0.498,112.985,4
71ZuCzG4RZhyi6LglfNez9,"Outro","Moving Through Here","John Beltran",1997-11-24,63600,3,seankmchenry,2023-07-27T12:43:57Z,"","R&S Records",0.739,0.426,7,-9.724,0,0.0897,0.541,0.944,0.0728,0.346,92.082,4
4adpzqVaXKGyZ5nmSdv3ZK,"Anna - Bonus Track","Moving Through Here","John Beltran",1997-11-24,434573,5,seankmchenry,2023-07-27T12:43:57Z,"","R&S Records",0.498,0.642,1,-12.967,1,0.0344,0.000504,0.845,0.158,0.609,160.087,4
1KQCk2TmxLCYju8XPCYgKo,"Dreamin'","Americano","John Beltran",2002,96266,1,seankmchenry,2023-07-27T12:43:58Z,"","Exceptional Records",0.707,0.312,9,-12.97,1,0.07,0.437,0.923,0.0948,0.746,84.586,4
2fvm39keQIrRbFU14OXjWd,"Caboclo","Americano","John Beltran",2002,418493,8,seankmchenry,2023-07-27T12:43:58Z,"","Exceptional Records",0.674,0.807,9,-14.994,0,0.0715,0.9,0.922,0.237,0.672,131.997,4
7x6DYvTOV4lim93ZqNqZyw,"Sonero Interlude","Americano","John Beltran",2002,46533,1,seankmchenry,2023-07-27T12:43:58Z,"","Exceptional Records",0.542,0.378,5,-17.835,0,0.0414,0.139,0.882,0.176,0.499,121.069,4
2ewkvh2BhIoVOjuLFSLmQ6,"Siesta Key","Americano","John Beltran",2002,397066,4,seankmchenry,2023-07-27T12:43:58Z,"","Exceptional Records",0.658,0.526,9,-9.67,0,0.0442,0.559,0.76,0.119,0.53,91.997,3
6S7cNpxSw8STKxO5Rkgr0V,"Respectall","Americano","John Beltran",2002,328533,2,seankmchenry,2023-07-27T12:43:58Z,"","Exceptional Records",0.682,0.919,6,-11.708,0,0.0435,0.136,0.874,0.0676,0.895,135.078,4
3CfPDaHAkzfq8ym7eTFYLg,"Bossalude","Americano","John Beltran",2002,60200,1,seankmchenry,2023-07-27T12:43:58Z,"","Exceptional Records",0.747,0.166,7,-18.433,0,0.054,0.552,0.954,0.0832,0.711,92.065,4
