Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3c1ygC3zXMasU5V6Jeh4UD,"3JulrApLVT81sb2HkfwMks","Solid Air","Solid Air","John Martyn",1973,343653,11,spotify:user:seankmchenry,2022-10-19T13:03:44Z,"british folk,folk,folk rock,psychedelic folk,roots rock,singer-songwriter",0.612,0.236,0,-13.568,0,0.0303,0.82,0.161,0.105,0.341,108.417,4
4dSjm2wd0222BDoDIKIwjg,"3JulrApLVT81sb2HkfwMks","Over The Hill","Solid Air","John Martyn",1973,171813,11,spotify:user:seankmchenry,2022-10-19T13:03:44Z,"british folk,folk,folk rock,psychedelic folk,roots rock,singer-songwriter",0.624,0.552,9,-10.044,0,0.03,0.323,0.000119,0.182,0.789,93.996,4
1ksTcebqd9B0Uxc3RHxuEz,"3JulrApLVT81sb2HkfwMks","Don't Want To Know","Solid Air","John Martyn",1973,180293,11,spotify:user:seankmchenry,2022-10-19T13:03:44Z,"british folk,folk,folk rock,psychedelic folk,roots rock,singer-songwriter",0.637,0.295,2,-13.097,0,0.0304,0.637,0.061,0.111,0.595,110.511,4
1BSNnVrAjm1OuCnTmh89vF,"3JulrApLVT81sb2HkfwMks","I'd Rather Be The Devil (Devil Got My Woman)","Solid Air","John Martyn",1973,376893,7,spotify:user:seankmchenry,2022-10-19T13:03:44Z,"british folk,folk,folk rock,psychedelic folk,roots rock,singer-songwriter",0.423,0.594,5,-9.589,0,0.0378,0.521,0.609,0.0891,0.472,114.662,4
6HsK1odoX9cj2a14LhInYw,"3JulrApLVT81sb2HkfwMks","Go Down Easy","Solid Air","John Martyn",1973,214053,10,spotify:user:seankmchenry,2022-10-19T13:03:44Z,"british folk,folk,folk rock,psychedelic folk,roots rock,singer-songwriter",0.504,0.143,0,-17.806,1,0.0364,0.909,0.446,0.111,0.0757,144.006,4
76Z4f028m2bDp0S3fXDh3f,"3JulrApLVT81sb2HkfwMks","Dreams By The Sea","Solid Air","John Martyn",1973,195440,7,spotify:user:seankmchenry,2022-10-19T13:03:44Z,"british folk,folk,folk rock,psychedelic folk,roots rock,singer-songwriter",0.493,0.474,8,-10.04,1,0.0354,0.754,0.00184,0.0995,0.463,121.501,4
7hSZjK3zIQ2UM1ctBTAw66,"3JulrApLVT81sb2HkfwMks","May You Never","Solid Air","John Martyn",1973,219760,10,spotify:user:seankmchenry,2022-10-19T13:03:44Z,"british folk,folk,folk rock,psychedelic folk,roots rock,singer-songwriter",0.676,0.227,4,-12.027,1,0.0358,0.9,0.294,0.109,0.735,125.11,4
4mpFwHaAwI7fBnxzftcmFz,"3JulrApLVT81sb2HkfwMks","The Man In The Station","Solid Air","John Martyn",1973,171466,8,spotify:user:seankmchenry,2022-10-19T13:03:44Z,"british folk,folk,folk rock,psychedelic folk,roots rock,singer-songwriter",0.61,0.245,4,-13.109,0,0.0391,0.729,0.0377,0.122,0.291,118.892,4
7L4wh5Gg98tqRGgRGNWtK4,"3JulrApLVT81sb2HkfwMks","The Easy Blues","Solid Air","John Martyn",1973,200293,8,spotify:user:seankmchenry,2022-10-19T13:03:44Z,"british folk,folk,folk rock,psychedelic folk,roots rock,singer-songwriter",0.535,0.471,5,-10.795,1,0.0354,0.5,0.00454,0.102,0.545,131.241,4
6qZvAC31b2EEM6GlvnsNQ2,"3JulrApLVT81sb2HkfwMks","Some People Are Crazy","Grace & Danger","John Martyn",1980-01-01,259839,33,spotify:user:seankmchenry,2022-10-19T13:03:48Z,"british folk,folk,folk rock,psychedelic folk,roots rock,singer-songwriter",0.628,0.299,5,-17.901,1,0.0394,0.648,0.014,0.0781,0.404,78.175,4
2sdfdJXAHdwAZVqKFiqEaZ,"3JulrApLVT81sb2HkfwMks","Grace And Danger","Grace & Danger","John Martyn",1980-01-01,243000,13,spotify:user:seankmchenry,2022-10-19T13:03:48Z,"british folk,folk,folk rock,psychedelic folk,roots rock,singer-songwriter",0.657,0.611,2,-14.17,1,0.0379,0.0807,0.0155,0.338,0.754,121.17,4
6J6LPhZ8Kha0MVDpKz6bEX,"3JulrApLVT81sb2HkfwMks","Lookin' On","Grace & Danger","John Martyn",1980-01-01,312026,12,spotify:user:seankmchenry,2022-10-19T13:03:48Z,"british folk,folk,folk rock,psychedelic folk,roots rock,singer-songwriter",0.434,0.256,5,-18.121,0,0.037,0.64,0.0000216,0.06,0.301,134.387,4
