Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0rybhsbSfcL2MwtrrUJpJD,"3KQaZc35U9X1TPabyhkMpN","If It Takes All Night","Dakota","Dakota",1980-01-01,287800,8,spotify:user:seankmchenry,2022-08-24T14:58:31Z,"",0.414,0.905,4,-6.527,1,0.0633,0.00517,0.000205,0.289,0.627,138.694,4
62wm22AYDYgOw5ptNwO4Hz,"3KQaZc35U9X1TPabyhkMpN","Crazy for Your Love","Dakota","Dakota",1980-01-01,214813,11,spotify:user:seankmchenry,2022-08-24T14:58:31Z,"",0.738,0.691,6,-9.175,0,0.0365,0.0712,0.000115,0.065,0.883,112.262,4
0x2vdXxcCG61nF78TgHlt2,"3KQaZc35U9X1TPabyhkMpN","Crazy Love","Dakota","Dakota",1980-01-01,247960,2,spotify:user:seankmchenry,2022-08-24T14:58:31Z,"",0.663,0.893,1,-7.399,1,0.0536,0.0383,0,0.114,0.899,120.781,4
6VZdUa8JjaGF2LGsiRG9lC,"6h3rSZ8VLK7a5vXjEmhfuD","Stomp!","Light Up The Night","The Brothers Johnson",1980-04-04,380400,55,spotify:user:seankmchenry,2022-08-24T15:00:11Z,"classic soul,disco,funk,jazz funk,post-disco,quiet storm,soul",0.869,0.729,7,-12.668,0,0.0418,0.134,0.269,0.0872,0.917,119.711,4
6tqRmQeGuM0n8nrcch3gp0,"6h3rSZ8VLK7a5vXjEmhfuD","Light Up The Night","Light Up The Night","The Brothers Johnson",1980-04-04,225800,36,spotify:user:seankmchenry,2022-08-24T15:00:11Z,"classic soul,disco,funk,jazz funk,post-disco,quiet storm,soul",0.878,0.713,11,-11.012,0,0.046,0.0869,0.145,0.0379,0.926,122.442,4
4IjwheUbYaRkoMjrFsmmt9,"6h3rSZ8VLK7a5vXjEmhfuD","Celebrations","Light Up The Night","The Brothers Johnson",1980-04-04,266693,29,spotify:user:seankmchenry,2022-08-24T15:00:11Z,"classic soul,disco,funk,jazz funk,post-disco,quiet storm,soul",0.714,0.871,2,-11.733,1,0.041,0.124,0.651,0.0666,0.735,114.944,4
6q3Ufdi7SGYRVVJSFhEl0G,"0FEsgdva3Ec8yfpRDBHsvj","Feels Right","Feels Right","Marva King",1981-05-02,181493,3,spotify:user:seankmchenry,2022-08-24T15:03:17Z,"neo soul-jazz",0.764,0.734,9,-8.78,0,0.0415,0.409,0.00000654,0.0394,0.925,102.569,4
1j9U4vl13N0sp5R0OJuKJ4,"0FEsgdva3Ec8yfpRDBHsvj","Who's Right, Who's Wrong?","Feels Right","Marva King",1981-05-02,225626,3,spotify:user:seankmchenry,2022-08-24T15:03:17Z,"neo soul-jazz",0.588,0.576,1,-11.149,1,0.039,0.723,0.0000877,0.0625,0.595,86.991,4
696A1xBXRcqlFzMYxBJJkG,"1PqdKx88nAgPolRy079lMl","Magic Man","Magic Man","Herb Alpert",1981-08-01,334880,25,spotify:user:seankmchenry,2022-08-24T16:09:19Z,"jazz trumpet",0.785,0.5,10,-14.711,0,0.0595,0.576,0.956,0.19,0.816,82.855,4
5vxadVMLRKUaLplSdMo0jr,"1PqdKx88nAgPolRy079lMl","Manhattan Melody","Magic Man","Herb Alpert",1981-08-01,344333,20,spotify:user:seankmchenry,2022-08-24T16:09:19Z,"jazz trumpet",0.762,0.503,2,-14.14,1,0.036,0.14,0.929,0.0588,0.947,112.81,4
