Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4oZRdDmetYCOI1qwaHeSzH,"36gl2NBJNRaQakdS4fTKGW","Lagos Love","Lagos Love","Ajebutter22",2019-03-01,181818,34,spotify:user:seankmchenry,2022-06-03T16:10:56Z,"afro dancehall,afropop,azonto,nigerian hip hop,nigerian pop",0.849,0.531,4,-9.618,0,0.0624,0.548,0.0324,0.0893,0.521,99.021,4
4J2FVm51cMZ4nV36otIyUI,"36gl2NBJNRaQakdS4fTKGW,4qYpTEJThZ8FC8KzyFrSWW","24","Make E No Cause Fight","Ajebutter22,Boj",2018-05-18,187036,36,spotify:user:seankmchenry,2022-06-03T16:10:56Z,"afro dancehall,afropop,azonto,nigerian hip hop,nigerian pop,alte",0.87,0.633,5,-5.066,0,0.0991,0.491,0.0645,0.0916,0.69,103.987,4
1AVVencV5yF6KzISmmjUbg,"36gl2NBJNRaQakdS4fTKGW","Ghana Bounce","What Happens in Lagos","Ajebutter22",2017-11-24,225384,48,spotify:user:seankmchenry,2022-06-03T16:10:56Z,"afro dancehall,afropop,azonto,nigerian hip hop,nigerian pop",0.805,0.492,8,-9.283,1,0.236,0.351,0.00000565,0.111,0.647,94.046,4
6FqUs8fXkuAy5FO0o6IjUb,"3KIiecqeFZHnbLK2MeagZd,3QAWvRmq1TMLuNtDKVyRaW","Pray","Insert Project Name","AYLØ,Odunsi (The Engine)",2017-09-22,191821,19,spotify:user:seankmchenry,2022-06-03T16:10:56Z,"alte,alternative r&b,nigerian pop,afropop",0.768,0.525,2,-8.131,1,0.133,0.51,0.00274,0.101,0.394,134.012,4
3LPQFl6X9oi7aniP2oDeI4,"15GgEOJiFyjQm4tZ4D7qih,76jfnDc7m3BrrcFORVEcdK,4LM7PNYtQtrHXnfQYr16mx,3QAWvRmq1TMLuNtDKVyRaW","Icy (feat. Izzy, Maison2500 & Odunsi)","Icy","Cruel Santino,Izzy,Maison2500,Odunsi (The Engine)",2018-04-13,240039,21,spotify:user:seankmchenry,2022-06-03T16:10:56Z,"alte,nigerian pop,nigerian hip hop,afropop,alternative r&b",0.829,0.551,5,-8.251,1,0.0669,0.598,0.253,0.144,0.81,144.986,4
4dklRnRQZT9ef8JfgnRbYn,"15GgEOJiFyjQm4tZ4D7qih,3KwukNCo4MbjbgbvrVqLP0,3QAWvRmq1TMLuNtDKVyRaW","Jungle Fever (feat. Genio Bambino & Odunsi (The Engine))","Jungle Fever [feat. Genio Bambino & Odunsi [The Engine])","Cruel Santino,Genio Bambino,Odunsi (The Engine)",2017-01-05,135671,29,spotify:user:seankmchenry,2022-06-03T16:10:56Z,"alte,nigerian pop,afropop,alternative r&b",0.696,0.548,6,-14.923,0,0.0502,0.307,0.572,0.0978,0.804,133.901,4
05vU0jW7ZkWiPShxlM0OU7,"15GgEOJiFyjQm4tZ4D7qih,7rc3gMOn7riUuAZi6vlS72,6pOz4M7D8ENqfLSFvciEuV","Freaky","Mandy & The Jungle","Cruel Santino,BRIDGE,Nonso Amadi",2019-05-17,256365,44,spotify:user:seankmchenry,2022-06-03T16:10:56Z,"alte,nigerian pop,afropop",0.493,0.519,10,-6.35,0,0.0512,0.0558,0.000137,0.105,0.396,109.637,5
4LrMO8FuGpkA9v4QJMwmpe,"15GgEOJiFyjQm4tZ4D7qih,3QAWvRmq1TMLuNtDKVyRaW","Gangsta Fear (feat. Odunsi (The Engine))","Suzie's Funeral","Cruel Santino,Odunsi (The Engine)",2016-07-01,140000,41,spotify:user:seankmchenry,2022-06-03T16:10:56Z,"alte,nigerian pop,afropop,alternative r&b",0.831,0.468,1,-8.726,0,0.205,0.575,0.00000196,0.0987,0.38,89.986,4
76KdF4qHRXg6lkX9vDVZZm,"2ZvhA3s4Jwbcce62lzGEGX","I Want It Back","Serenade","Funbi",2018-11-04,250658,0,spotify:user:seankmchenry,2022-06-03T16:10:56Z,"alte,christian afrobeat,nigerian pop",0.739,0.571,4,-7.296,0,0.123,0.0741,0.00355,0.0917,0.804,169.871,4
0R9gHD86M76YCCQySS4OPk,"69S8nrijE7Lyfac3X8iv8M,520qA5VGL9iI0SbmEnTVNg","Love Can Do (feat. Maleek Berry)","Love Can Do (feat. Maleek Berry)","Legendury Beatz,Maleek Berry",2018-02-10,186549,33,spotify:user:seankmchenry,2022-06-03T16:10:56Z,"moombahton,nigerian pop,afro dancehall,afropop,swedish dancehall,uk dancehall",0.463,0.429,0,-8.382,1,0.0582,0.238,0,0.136,0.545,90.09,4
