Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2Mm4TmjC78LeoVlMrcjpfa,"7GJuXyYU25fmuEu3QauCsC,26kHttm5QDPnoHqdvKeksJ","Quelle folie la nuit - Maxi","Marcel Fobert Best of Collector (Le meilleur des années 80)","Marcel Fobert,Folie Club",2011,319793,2,spotify:user:seankmchenry,2022-11-13T01:25:16Z,"",0.771,0.831,7,-7.184,1,0.0607,0.00422,0.0213,0.0586,0.935,106.844,4
3GSlEnUHz0OMZcpg0B5s7N,"2fJ2vi4PUSxyvYaeq0FTbE","Mutual Attraction - Single Version","Mutual Attraction (Disco Mix - Original 12 Inch Version)","Change",1985,253681,23,spotify:user:seankmchenry,2022-11-13T01:26:17Z,"disco,funk,minneapolis sound,post-disco,quiet storm",0.747,0.706,1,-5.599,1,0.0394,0.374,0.00984,0.0373,0.774,104.483,4
7yFkEBMoQTlUEeuZYm1oET,"0PNaqg1sztGjfjZcCpMSjm","Things You Do For Love","Things You Do For Love","Apiento",2019-04-12,274866,32,spotify:user:seankmchenry,2022-11-13T01:26:43Z,"",0.674,0.469,10,-9.985,0,0.156,0.0433,0.844,0.143,0.67,199.932,4
1ZnQFc3ifkHA1sdBGFO2EL,"6zhsIVboE2vt8EF0SNk6G3","Melodies of Love","Melodies of Love","Pink Rhythm",2017-03-03,321773,39,spotify:user:seankmchenry,2022-11-13T01:26:54Z,"synth funk",0.646,0.77,7,-6.243,1,0.0325,0.0668,0.112,0.403,0.869,100.334,4
7JFGnfONNe5vepbGwZBkhL,"0i1s9WcIu0PrUvHzALgofo","Quem Não Quer Sou Eu","Musica para Churrasco, Vol. 1","Seu Jorge",2011-10-01,326493,55,spotify:user:seankmchenry,2022-11-13T01:27:13Z,"mpb,samba,samba-rock",0.664,0.641,9,-10.204,0,0.0636,0.257,0.00456,0.14,0.749,97.706,4
6agzZ6hvZzI7HRcsNNFLY3,"49k5GsfsSsts6bobfcUIn0","La Colegiala - Italo Disco","Que Viva La Fiesta (Tropical Hits)","Son Caribe",2010-01-19,315626,19,spotify:user:seankmchenry,2022-11-13T01:27:45Z,"",0.841,0.516,2,-15.134,1,0.0756,0.0158,0.0146,0.0573,0.344,108.349,4
6sOJmACSLDq2Bs9U6KghgR,"7Ato0Bzd6w08lKiOoBZHZA","Hailwa Yange Oike Mbela","Kianda Ki Anda","Filipe Mukenga",1994-12-02,298733,12,spotify:user:seankmchenry,2022-11-13T01:28:13Z,"semba",0.716,0.89,4,-7.372,0,0.0421,0.174,0.000472,0.0489,0.898,106.035,4
5Ae8ZzyHiB9k09GlF5TsD8,"4xhAFagGIIa89vcsXC9hcH,1RTZ36zUswZA6bEgXQYIj3","Quando Tu Dances - Willie Graff Edit","Quando Tu Dances","Micky Milan,Willie Graff",2019-11-25,505937,21,spotify:user:seankmchenry,2022-11-13T01:29:10Z,"",0.726,0.944,10,-6.668,0,0.0654,0.0883,0.2,0.0772,0.933,109.012,4
3Z2xBGul0ipLSm9UEAhOCa,"3nqWfkB8tEeGxqYgwzg6U4,6zX8Hty4MnOqr0H8AJ57op","Love On the Line","The Other Fantasy","Ed Longo,The Applied Arts Ensemble",2019-01-28,381380,29,spotify:user:seankmchenry,2022-11-13T01:29:33Z,"neapolitan funk",0.776,0.613,2,-12.308,0,0.0684,0.249,0.217,0.107,0.793,112.001,4
4NKKWc8Ufin90yJ9Trj1C3,"5gmoNBA302S5ao49eZGvl4,5cWh5zsmOIFhuPL0Ay1e7f","Everydub - Joey Negro Mix","The Remixes","The Sunburst Band,Dave Lee",2009-07-13,398239,20,spotify:user:seankmchenry,2022-11-13T01:30:51Z,"deep house,disco house,funky house,soulful house,vocal house",0.646,0.778,4,-6.805,0,0.0367,0.0104,0.522,0.654,0.73,105.239,4
