Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4XV35ABHuxkGlkutpajRf6,"3XOVABzceOUTbR3iEz0ImO","Invitation - Instrumental","Latin Kick","Cal Tjader",1959-01-01,253800,38,spotify:user:seankmchenry,2023-01-03T15:27:58Z,"bossa nova,cool jazz,jazz vibraphone,latin jazz,lounge",0.656,0.137,9,-21.364,0,0.0343,0.942,0.703,0.094,0.426,98.005,4
0oYfi6HRPxiHUby3c4ZRSo,"3XOVABzceOUTbR3iEz0ImO","Lover Come Back To Me","Latin Kick","Cal Tjader",1959-01-01,223200,32,spotify:user:seankmchenry,2023-01-03T15:27:58Z,"bossa nova,cool jazz,jazz vibraphone,latin jazz,lounge",0.668,0.391,10,-18.117,0,0.0538,0.776,0.0243,0.0974,0.799,117.608,4
5cwm0Tq8gR0NTfqHZp9FyO,"3XOVABzceOUTbR3iEz0ImO","September Song","Latin Kick","Cal Tjader",1959-01-01,180840,21,spotify:user:seankmchenry,2023-01-03T15:27:58Z,"bossa nova,cool jazz,jazz vibraphone,latin jazz,lounge",0.573,0.127,0,-21.945,1,0.0475,0.953,0.685,0.268,0.45,96.243,4
5bCzUnrhNMBHeNSg16pZFs,"3XOVABzceOUTbR3iEz0ImO","Will You Still Be Mine","Latin Kick","Cal Tjader",1959-01-01,208733,15,spotify:user:seankmchenry,2023-01-03T15:27:58Z,"bossa nova,cool jazz,jazz vibraphone,latin jazz,lounge",0.708,0.366,9,-16.936,0,0.0456,0.867,0.0188,0.104,0.8,105.427,4
62UVjAjo8ra1PVSeHfnxk3,"3XOVABzceOUTbR3iEz0ImO","I Love Paris","Latin Kick","Cal Tjader",1959-01-01,353200,28,spotify:user:seankmchenry,2023-01-03T15:27:58Z,"bossa nova,cool jazz,jazz vibraphone,latin jazz,lounge",0.601,0.502,0,-17.026,1,0.0468,0.859,0.862,0.297,0.707,116.206,4
4KsTRAmTaoawJpxI0w4mSN,"3XOVABzceOUTbR3iEz0ImO","Tropicville","Latin Kick","Cal Tjader",1959-01-01,194226,16,spotify:user:seankmchenry,2023-01-03T15:27:58Z,"bossa nova,cool jazz,jazz vibraphone,latin jazz,lounge",0.576,0.387,5,-16.171,1,0.0464,0.791,0.0423,0.168,0.624,110.956,4
5pRlWCMXHOpY6v39FipKhK,"3XOVABzceOUTbR3iEz0ImO","Moonlight In Vermont","Latin Kick","Cal Tjader",1959-01-01,176200,17,spotify:user:seankmchenry,2023-01-03T15:27:58Z,"bossa nova,cool jazz,jazz vibraphone,latin jazz,lounge",0.681,0.131,0,-23.858,0,0.0449,0.903,0.196,0.159,0.464,94.604,4
0QDccUIIvEiu1mg5VoTSlD,"3XOVABzceOUTbR3iEz0ImO","Bye Bye Blues","Latin Kick","Cal Tjader",1959-01-01,216933,14,spotify:user:seankmchenry,2023-01-03T15:27:58Z,"bossa nova,cool jazz,jazz vibraphone,latin jazz,lounge",0.65,0.315,0,-17.71,1,0.0515,0.814,0.0764,0.0615,0.612,106.034,4
50Kte09CZFFqdvSWwJvydw,"3XOVABzceOUTbR3iEz0ImO","Manuel's Mambo","Latin Kick","Cal Tjader",1959-01-01,197266,21,spotify:user:seankmchenry,2023-01-03T15:27:58Z,"bossa nova,cool jazz,jazz vibraphone,latin jazz,lounge",0.616,0.187,1,-22.412,1,0.0469,0.883,0.448,0.0979,0.599,87.756,4
0UTI7OiIGWbbT5Wa18AHcQ,"3XOVABzceOUTbR3iEz0ImO","All The Things You Are","Latin Kick","Cal Tjader",1959-01-01,249866,14,spotify:user:seankmchenry,2023-01-03T15:27:58Z,"bossa nova,cool jazz,jazz vibraphone,latin jazz,lounge",0.573,0.213,8,-22.913,1,0.0489,0.783,0.0504,0.119,0.616,87.825,4
