Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5MPTquKL1iAa5UmkLlXX7r,"1nDqTUspmq8IXhcEZT93iq","The Captain's Journey","The Captain's Journey","Lee Ritenour",1978-01-01,482173,11,spotify:user:seankmchenry,2023-01-15T21:09:46Z,"jazz funk,jazz fusion,jazz guitar,smooth jazz,yacht rock",0.423,0.472,2,-14.029,1,0.0386,0.316,0.719,0.144,0.542,145.512,4
5XQo7mHitSVTELcBJRB6s5,"1nDqTUspmq8IXhcEZT93iq","Morning Glory","The Captain's Journey","Lee Ritenour",1978-01-01,353493,9,spotify:user:seankmchenry,2023-01-15T21:09:46Z,"jazz funk,jazz fusion,jazz guitar,smooth jazz,yacht rock",0.628,0.553,11,-12.382,0,0.0453,0.253,0.00314,0.0594,0.859,84.381,4
1IQllYLKwUcqgWaTm7bzGT,"1nDqTUspmq8IXhcEZT93iq","Sugarloaf Express","The Captain's Journey","Lee Ritenour",1978-01-01,305933,11,spotify:user:seankmchenry,2023-01-15T21:09:46Z,"jazz funk,jazz fusion,jazz guitar,smooth jazz,yacht rock",0.487,0.606,9,-14.478,1,0.034,0.31,0.916,0.0531,0.834,124.416,4
7bbjjQj9ixG0uutAXMK5c3,"1nDqTUspmq8IXhcEZT93iq","Matchmakers","The Captain's Journey","Lee Ritenour",1978-01-01,293600,11,spotify:user:seankmchenry,2023-01-15T21:09:46Z,"jazz funk,jazz fusion,jazz guitar,smooth jazz,yacht rock",0.732,0.498,2,-14.003,0,0.0438,0.0836,0.552,0.0378,0.93,92.378,4
7eLXTrC3EuEnn84zpb8B9F,"1nDqTUspmq8IXhcEZT93iq","What Do You Want?","The Captain's Journey","Lee Ritenour",1978-01-01,327733,7,spotify:user:seankmchenry,2023-01-15T21:09:46Z,"jazz funk,jazz fusion,jazz guitar,smooth jazz,yacht rock",0.515,0.643,5,-13.049,1,0.0735,0.113,0.781,0.0996,0.517,118.331,4
51hu4eK492H41lj47HgVgC,"1nDqTUspmq8IXhcEZT93iq","That's Enough For Me","The Captain's Journey","Lee Ritenour",1978-01-01,324466,8,spotify:user:seankmchenry,2023-01-15T21:09:46Z,"jazz funk,jazz fusion,jazz guitar,smooth jazz,yacht rock",0.77,0.448,9,-13.59,1,0.0401,0.433,0.432,0.13,0.773,126.986,4
4Cw3xJ8vi7UCqOUxn8O6mj,"1nDqTUspmq8IXhcEZT93iq","Etude","The Captain's Journey","Lee Ritenour",1978-01-01,229373,9,spotify:user:seankmchenry,2023-01-15T21:09:46Z,"jazz funk,jazz fusion,jazz guitar,smooth jazz,yacht rock",0.519,0.17,7,-19.725,0,0.027,0.839,0.911,0.146,0.259,94.717,3
0oKqsHrlbwemH9U1a3dSsl,"1nDqTUspmq8IXhcEZT93iq","Captain Fingers","Captain Fingers","Lee Ritenour",1977,427853,24,spotify:user:seankmchenry,2023-01-15T21:09:47Z,"jazz funk,jazz fusion,jazz guitar,smooth jazz,yacht rock",0.642,0.503,10,-14.787,1,0.0418,0.154,0.512,0.179,0.893,125.105,4
2rWnfdBESmKLlCL2ZGgTiP,"1nDqTUspmq8IXhcEZT93iq","Dolphin Dreams","Captain Fingers","Lee Ritenour",1977,422133,14,spotify:user:seankmchenry,2023-01-15T21:09:47Z,"jazz funk,jazz fusion,jazz guitar,smooth jazz,yacht rock",0.379,0.298,4,-16.594,1,0.0374,0.394,0.775,0.183,0.167,132.42,4
0bwx71CmciecaBfQ1zZHkD,"1nDqTUspmq8IXhcEZT93iq","Fly By Night","Captain Fingers","Lee Ritenour",1977,300573,17,spotify:user:seankmchenry,2023-01-15T21:09:47Z,"jazz funk,jazz fusion,jazz guitar,smooth jazz,yacht rock",0.733,0.527,9,-12.948,0,0.0338,0.29,0.349,0.115,0.845,110.924,4
