Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6cwUKWiotJgLjglgGKJHpv,"Whatever Turns You On","Nights (Feel Like Getting Down) [Expanded Edition]","Billy Ocean",1981,375813,14,seankmchenry,2024-11-22T14:12:57Z,"disco,mellow gold,new romantic,new wave pop,soft rock,yacht rock","Sony Music UK",0.74,0.621,2,-7.42,1,0.0501,0.081,0.0000133,0.121,0.465,106.968,4
2yd0XI7g0BhAgY9GkpPClU,"Outstanding","The Gap Band IV","The Gap Band",1982-01-01,198800,58,seankmchenry,2024-11-22T14:12:57Z,"disco,funk,motown,post-disco,quiet storm,soul","Island Mercury",0.738,0.498,6,-12.091,1,0.0286,0.223,0.0000157,0.155,0.774,99.084,4
4QVC5HrPyv2MCz66nFOxi7,"Dial My Number","Love Kind","Champaign / Pauli Carman",2013-10-30,282070,9,seankmchenry,2024-11-22T14:12:57Z,"","Champaign Pauli Carman",0.696,0.821,10,-10.163,0,0.0478,0.0204,0.000103,0.138,0.904,117.947,4
4o2td8t1oO5MdI0ahSi32h,"Rockin' You Eternally","Rockin' You Eternally","Leon Ware",1981,262133,28,seankmchenry,2024-11-22T14:12:57Z,"jazz funk","Rhino/Elektra",0.576,0.652,0,-10.967,0,0.0358,0.212,0.000288,0.083,0.679,141.366,4
38E7U60ipLSTVDcPIuVzZw,"Every Kinda People","Double Fun","Robert Palmer",1978-01-01,198146,54,seankmchenry,2024-11-22T14:12:57Z,"album rock,classic rock,dance rock,mellow gold,new romantic,new wave,new wave pop,singer-songwriter,soft rock,yacht rock","Island Records",0.573,0.545,6,-12.636,1,0.0436,0.228,0.000169,0.0466,0.95,94.404,4
2EGaDf0cPX789H3LNeB03D,"Cruel Summer","Bananarama (Collector's Edition)","Bananarama",1984-01-01,215326,65,seankmchenry,2024-11-22T14:12:57Z,"girl group,hi-nrg,new romantic,new wave,new wave pop,soft rock","London Records (Because Ltd)",0.666,0.871,1,-6.017,0,0.0272,0.27,0.0213,0.263,0.936,108.501,4
3c0gj5uXsQ5LcphARVuIkv,"Round and Around","Heaven Knows","Jaki Graham",1985,258278,33,seankmchenry,2024-11-22T14:13:25Z,"post-disco","Parlophone UK",0.641,0.84,3,-8.239,0,0.0368,0.223,0.000358,0.425,0.714,101.553,4
5bTmfqgVMXvkqDyhqk3imO,"Trapped","Colonel Abrams (Expanded Edition)","Colonel Abrams",1985-01-01,220226,31,seankmchenry,2024-11-22T14:13:25Z,"chicago house,post-disco","Geffen",0.85,0.727,9,-9.486,1,0.0557,0.0851,0.0000156,0.0932,0.911,115.198,4
2zZWDvmCghTF41k6I4uN9g,"Summer Jazz","Five X Five","Accura",2022-06-10,294062,12,seankmchenry,2024-11-22T14:13:25Z,"","Invisible City Editions",0.61,0.677,4,-9.949,0,0.0309,0.0029,0.746,0.112,0.401,97.217,4
0s4vE966muxYTw4GXX9ADF,"A Little Spice","A Little Spice","Loose Ends",1984-01-01,310320,30,seankmchenry,2024-11-22T14:13:25Z,"brit funk,contemporary r&b,funk,new jack swing,post-disco,quiet storm,urban contemporary","EMI Catalogue",0.678,0.626,0,-12.149,1,0.0398,0.506,0.0172,0.0365,0.885,90.315,4
