Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3mO5iHxI0YTc4gPmQL1P8P,"23vFHSUEJBQ8BKdnMd6k36,2QobOeybSvyibNUGIobnlP","Disappearance at Clifton Hill, Pt. 1","Disappearance at Clifton Hill (Original Motion Picture Soundtrack)","Alexander Sowinski,Leland Whitty",2020-02-28,145128,3,spotify:user:seankmchenry,2023-01-06T14:30:31Z,"",0.125,0.311,6,-10.574,1,0.0304,0.9,0.935,0.104,0.0386,82.256,5
4PRVLb1W2yVRcrULlkFMEm,"23vFHSUEJBQ8BKdnMd6k36,2QobOeybSvyibNUGIobnlP","Disappearance at Clifton Hill, Pt. 2","Disappearance at Clifton Hill (Original Motion Picture Soundtrack)","Alexander Sowinski,Leland Whitty",2020-02-28,146742,3,spotify:user:seankmchenry,2023-01-06T14:30:31Z,"",0.289,0.171,3,-17.764,0,0.0379,0.973,0.881,0.105,0.0807,82.784,3
4B3U2WOzzcEd6wzGFVfGqz,"23vFHSUEJBQ8BKdnMd6k36,2QobOeybSvyibNUGIobnlP","Prologue","Disappearance at Clifton Hill (Original Motion Picture Soundtrack)","Alexander Sowinski,Leland Whitty",2020-02-28,276410,2,spotify:user:seankmchenry,2023-01-06T14:30:31Z,"",0.158,0.253,2,-15.394,1,0.0363,0.368,0.868,0.108,0.034,91.59,3
4b1W0YMF94Ikk1REpN1jwI,"23vFHSUEJBQ8BKdnMd6k36,2QobOeybSvyibNUGIobnlP","The Rainbow","Disappearance at Clifton Hill (Original Motion Picture Soundtrack)","Alexander Sowinski,Leland Whitty",2020-02-28,113846,2,spotify:user:seankmchenry,2023-01-06T14:30:31Z,"",0.212,0.279,11,-17.066,0,0.0399,0.987,0.925,0.101,0.0749,122.662,1
6Zcj1iZFt5R3iTwc8JBFhf,"23vFHSUEJBQ8BKdnMd6k36,2QobOeybSvyibNUGIobnlP","Recollection","Disappearance at Clifton Hill (Original Motion Picture Soundtrack)","Alexander Sowinski,Leland Whitty",2020-02-28,128461,2,spotify:user:seankmchenry,2023-01-06T14:30:31Z,"",0.177,0.308,2,-13.229,1,0.0399,0.784,0.951,0.11,0.0387,134.406,5
6sg5Nkmdyx1vlY3mz2e0NU,"23vFHSUEJBQ8BKdnMd6k36,2QobOeybSvyibNUGIobnlP","Missing","Disappearance at Clifton Hill (Original Motion Picture Soundtrack)","Alexander Sowinski,Leland Whitty",2020-02-28,20512,0,spotify:user:seankmchenry,2023-01-06T14:30:31Z,"",0.512,0.0459,9,-27.742,0,0.0409,0.994,0.818,0.103,0.0402,107.633,4
04n2QQwtDT5OHMFAWu3nlt,"23vFHSUEJBQ8BKdnMd6k36,2QobOeybSvyibNUGIobnlP","Searching for the Answers","Disappearance at Clifton Hill (Original Motion Picture Soundtrack)","Alexander Sowinski,Leland Whitty",2020-02-28,91582,1,spotify:user:seankmchenry,2023-01-06T14:30:31Z,"",0.18,0.379,11,-19.665,1,0.0416,0.671,0.906,0.105,0.0374,92.809,4
6CStZaPt3ridlyHrfqypew,"23vFHSUEJBQ8BKdnMd6k36,2QobOeybSvyibNUGIobnlP","Rewind","Disappearance at Clifton Hill (Original Motion Picture Soundtrack)","Alexander Sowinski,Leland Whitty",2020-02-28,77948,1,spotify:user:seankmchenry,2023-01-06T14:30:31Z,"",0.295,0.0508,6,-22.039,0,0.0404,0.511,0.851,0.146,0.0354,133.782,3
7IGrFImr9hc4tG8y2wR5SL,"23vFHSUEJBQ8BKdnMd6k36,2QobOeybSvyibNUGIobnlP","Scrutinize","Disappearance at Clifton Hill (Original Motion Picture Soundtrack)","Alexander Sowinski,Leland Whitty",2020-02-28,64614,1,spotify:user:seankmchenry,2023-01-06T14:30:31Z,"",0.29,0.0988,2,-23.948,0,0.0363,0.901,0.675,0.104,0.0346,61.819,3
55v3JxAunC6fDpP5kvhSxk,"23vFHSUEJBQ8BKdnMd6k36,2QobOeybSvyibNUGIobnlP","Tell Me I’m Lying","Disappearance at Clifton Hill (Original Motion Picture Soundtrack)","Alexander Sowinski,Leland Whitty",2020-02-28,178461,1,spotify:user:seankmchenry,2023-01-06T14:30:31Z,"",0.246,0.154,3,-20.528,0,0.0428,0.701,0.694,0.105,0.0339,125.045,3
