Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
00TuAlmDT4ILjpoQEIsRlP,"Please Come Home For Christmas","Aaron Neville's Soulful Christmas","Aaron Neville",1993-01-01,172760,44,seankmchenry,2023-11-24T17:43:56Z,"","A&M",0.46,0.497,3,-10.317,1,0.0333,0.658,0.00244,0.151,0.475,183.569,3
34v1iEYqwUkCf0ycDVS0wi,"Let It Snow, Let It Snow, Let It Snow","Aaron Neville's Soulful Christmas","Aaron Neville",1993-01-01,142106,33,seankmchenry,2023-11-24T17:43:56Z,"","A&M",0.641,0.427,0,-11.634,0,0.0517,0.582,0.00187,0.0839,0.683,133.924,4
16e0kiWHIm2tIwB0CkfUOY,"Louisiana Christmas Day","Aaron Neville's Soulful Christmas","Aaron Neville",1993-01-01,220400,33,seankmchenry,2023-11-24T17:43:56Z,"","A&M",0.745,0.89,0,-9.423,1,0.0407,0.122,0.000179,0.0412,0.755,97.965,4
6XSpiJg1DqFyzb2MRLtaLx,"My Gift To You","My Gift To You","Alexander O'Neal",1988-01-01,260373,35,seankmchenry,2023-11-24T17:43:56Z,"contemporary r&b,funk,minneapolis sound,post-disco,quiet storm,soul,urban contemporary","Clarence Avant Catalog",0.592,0.507,0,-12.943,1,0.0315,0.388,0.00000105,0.0962,0.697,77.236,4
1R7yjdyoCQ0Pv7sCv55nqi,"Sleigh Ride","My Gift To You","Alexander O'Neal",1988-01-01,356800,21,seankmchenry,2023-11-24T17:43:56Z,"contemporary r&b,funk,minneapolis sound,post-disco,quiet storm,soul,urban contemporary","Clarence Avant Catalog",0.725,0.91,1,-9.357,1,0.031,0.000057,0.135,0.322,0.762,111.605,4
4jNowzPPAPsXc8r9CqSgM0,"Our First Christmas","My Gift To You","Alexander O'Neal",1988-01-01,332840,25,seankmchenry,2023-11-24T17:43:56Z,"contemporary r&b,funk,minneapolis sound,post-disco,quiet storm,soul,urban contemporary","Clarence Avant Catalog",0.612,0.668,7,-14.375,0,0.0286,0.0524,0.0000337,0.266,0.695,103.817,4
5xF9GYob0gzV0Ni2BgRDzP,"Remember Why (It's Christmas)","My Gift To You","Alexander O'Neal",1988-01-01,249426,22,seankmchenry,2023-11-24T17:43:56Z,"contemporary r&b,funk,minneapolis sound,post-disco,quiet storm,soul,urban contemporary","Clarence Avant Catalog",0.482,0.579,9,-15.909,1,0.0404,0.392,0.0152,0.273,0.631,160.585,4
3sDdyBHQ60Cs1opmIyRvhp,"Happy Holiday / The Holiday Season","The Andy Williams Christmas Album","Andy Williams",1963-11-24,156866,74,seankmchenry,2023-11-24T17:43:56Z,"adult standards,easy listening","Columbia/Legacy",0.505,0.451,9,-10.193,0,0.0329,0.727,0,0.233,0.744,74.347,4
5hslUAKq9I9CG2bAulFkHN,"It's the Most Wonderful Time of the Year","The Andy Williams Christmas Album","Andy Williams",1963-11-24,151933,85,seankmchenry,2023-11-24T17:43:56Z,"adult standards,easy listening","Columbia/Legacy",0.24,0.598,7,-8.435,1,0.0369,0.766,0,0.117,0.776,201.629,3
1DvjCIefxg1YsdG3ETROph,"The First Noël","The Andy Williams Christmas Album","Andy Williams",1963-11-24,187000,69,seankmchenry,2023-11-24T17:43:56Z,"adult standards,easy listening","Columbia/Legacy",0.23,0.233,0,-10.745,1,0.0286,0.915,0,0.265,0.352,80.73,3
2Lk1mO78gqC0CxlNkldTWh,"O Holy Night","The Andy Williams Christmas Album","Andy Williams",1963-11-24,201640,49,seankmchenry,2023-11-24T17:43:56Z,"adult standards,easy listening","Columbia/Legacy",0.205,0.168,0,-12.561,1,0.0313,0.943,0,0.104,0.147,83.138,4
121FnYc6QXcVS0z3WLxdqa,"Mele Kalikimaka - Jingle Bells","Mele Kalikimaka (Merry Christmas)","Arthur Lyman",1953,106786,10,seankmchenry,2023-11-24T17:43:56Z,"easy listening,exotica,jazz vibraphone,lounge","HiFi Records",0.529,0.597,0,-7.417,1,0.0324,0.524,0.00015,0.102,0.453,132.295,4
6Sj5Bf85HKaeymdzbBScrY,"Rudolph, The Red-Nosed Reindeer","Mele Kalikimaka (Merry Christmas)","Arthur Lyman",1953,82173,9,seankmchenry,2023-11-24T17:43:56Z,"easy listening,exotica,jazz vibraphone,lounge","HiFi Records",0.562,0.794,2,-5.027,0,0.0324,0.101,0.0312,0.0912,0.789,115.601,4
6vjcFhOVJrxEmsjjGQ2Mqa,"Sleigh Ride","Mele Kalikimaka (Merry Christmas)","Arthur Lyman",1953,118560,6,seankmchenry,2023-11-24T17:43:56Z,"easy listening,exotica,jazz vibraphone,lounge","HiFi Records",0.467,0.541,2,-8.52,0,0.0331,0.000486,0.000384,0.0976,0.479,145.466,4
1WkH0MvApZTyB20zRZO9AA,"Christmas Song","Mele Kalikimaka (Merry Christmas)","Arthur Lyman",1953,158013,5,seankmchenry,2023-11-24T17:43:56Z,"easy listening,exotica,jazz vibraphone,lounge","HiFi Records",0.297,0.161,3,-17,1,0.0598,0.977,0.245,0.132,0.141,183.123,4
5xlS0QkVrSH7ssEbBgBzbM,"Little Saint Nick - 1991 Remix","The Beach Boys' Christmas Album","The Beach Boys",1964-11-09,118840,76,seankmchenry,2023-11-24T17:43:56Z,"baroque pop,classic rock,folk rock,mellow gold,psychedelic rock,rock,singer-songwriter,sunshine pop","Capitol Records",0.602,0.553,11,-9.336,1,0.0328,0.108,0,0.0512,0.971,130.594,4
5DIQSVlGERTbU5UR7sx1x4,"The Man With All The Toys - 1991 Remix","The Beach Boys' Christmas Album","The Beach Boys",1964-11-09,91186,50,seankmchenry,2023-11-24T17:43:56Z,"baroque pop,classic rock,folk rock,mellow gold,psychedelic rock,rock,singer-songwriter,sunshine pop","Capitol Records",0.708,0.492,6,-8.596,1,0.0365,0.442,0.00000988,0.0624,0.662,138.347,4
4mx3kmZZwexQJ1FPxLghpc,"Merry Christmas, Baby - 1991 Remix","The Beach Boys' Christmas Album","The Beach Boys",1964-11-09,146093,45,seankmchenry,2023-11-24T17:43:56Z,"baroque pop,classic rock,folk rock,mellow gold,psychedelic rock,rock,singer-songwriter,sunshine pop","Capitol Records",0.696,0.494,9,-11.441,1,0.0581,0.307,0,0.0865,0.815,127.396,4
4tOFhZ7hRxAvnZYt0gUtol,"Frosty The Snowman - 1991 Remix","The Beach Boys' Christmas Album","The Beach Boys",1964-11-09,114280,54,seankmchenry,2023-11-24T17:43:56Z,"baroque pop,classic rock,folk rock,mellow gold,psychedelic rock,rock,singer-songwriter,sunshine pop","Capitol Records",0.413,0.473,5,-9.56,1,0.0316,0.72,0,0.0418,0.966,182.027,4
4lftz0V8DZhWSVtL4GrzMH,"I'll Be Home For Christmas","White Christmas","Bing Crosby",1945-01-01,175173,68,seankmchenry,2023-11-24T17:43:56Z,"adult standards,easy listening,lounge,swing","Geffen",0.177,0.146,4,-16.081,0,0.033,0.274,0,0.256,0.171,81.834,3
44mYhOVgerj2qPjkGDVA6n,"It's Beginning To Look Like Christmas","White Christmas","Bing Crosby",1945-01-01,166000,69,seankmchenry,2023-11-24T17:43:56Z,"adult standards,easy listening,lounge,swing","Geffen",0.488,0.211,0,-15.018,0,0.048,0.765,0,0.136,0.574,95.781,4
3Ka8XHwkF9kAtUWoeyuoXX,"Jingle Bell Rock (Special Nashville Edition)","Jingle Bell Rock (Special Nashville Edition)","Bobby Helms",2018-12-07,138226,38,seankmchenry,2023-11-24T17:43:56Z,"","Country Rewind",0.544,0.562,0,-6.009,1,0.0271,0.591,0,0.132,0.753,148.852,4
69mdw4psMdQYwMuyYQF5kN,"Here Comes Santa Claus","Jingle Bell Rock (Special Nashville Edition)","Bobby Helms",2018-12-07,137000,23,seankmchenry,2023-11-24T17:43:56Z,"","Country Rewind",0.534,0.631,6,-7.099,1,0.0252,0.351,0,0.0626,0.897,165.652,4
4cTrknj2sDFx00EMXUC0Ws,"Rudolph, The Red-Nosed Reindeer","Jingle Bell Rock (Special Nashville Edition)","Bobby Helms",2018-12-07,163000,14,seankmchenry,2023-11-24T17:43:56Z,"","Country Rewind",0.522,0.529,2,-8.733,1,0.0347,0.437,0,0.181,0.703,150.061,4
7czIHKKr3hrG1qqnKnKvXQ,"Christmas Chopsticks","A Very Merry Christmas","Bobby Vinton",1964-07-22,132653,10,seankmchenry,2023-11-24T17:43:56Z,"adult standards,bubblegum pop,doo-wop,easy listening,rock-and-roll,rockabilly","Epic",0.221,0.375,6,-11.347,1,0.0314,0.784,0,0.359,0.413,172.125,3
2ZRPJQGHl5XTw3TLNa11fn,"The Bell That Couldn't Jingle","A Very Merry Christmas","Bobby Vinton",1964-07-22,140453,11,seankmchenry,2023-11-24T17:43:56Z,"adult standards,bubblegum pop,doo-wop,easy listening,rock-and-roll,rockabilly","Epic",0.514,0.401,5,-11.941,1,0.0284,0.692,0,0.112,0.589,81.236,4
3O4TzTdmMhh0wCqSLByhUw,"Dearest Santa","A Very Merry Christmas","Bobby Vinton",1964-07-22,169386,8,seankmchenry,2023-11-24T17:43:56Z,"adult standards,bubblegum pop,doo-wop,easy listening,rock-and-roll,rockabilly","Epic",0.239,0.236,3,-12.58,1,0.0288,0.826,0,0.101,0.319,85.291,4
1G4nLpVEDl53nhqXckaDuY,"Christmas in Killarney","A Very Merry Christmas","Bobby Vinton",1964-07-22,144093,9,seankmchenry,2023-11-24T17:43:56Z,"adult standards,bubblegum pop,doo-wop,easy listening,rock-and-roll,rockabilly","Epic",0.547,0.528,2,-10.934,1,0.0448,0.793,0,0.29,0.833,114.756,4
1Z6cte0YAdz2tbqZQhCBVy,"My Christmas Prayer","A Very Merry Christmas","Bobby Vinton",1964-07-22,196986,15,seankmchenry,2023-11-24T17:43:56Z,"adult standards,bubblegum pop,doo-wop,easy listening,rock-and-roll,rockabilly","Epic",0.209,0.185,10,-13.873,1,0.0336,0.834,0,0.0849,0.442,87.227,4
2EjXfH91m7f8HiJN1yQg97,"Rockin' Around The Christmas Tree","Merry Christmas From Brenda Lee","Brenda Lee",1964-10-19,126266,88,seankmchenry,2023-11-24T17:43:56Z,"adult standards,easy listening,lounge,rockabilly","MCA Nashville",0.598,0.47,8,-8.744,1,0.0496,0.617,0,0.505,0.879,67.086,4
0MKnGJzNdEqOscI6xu9R3m,"Jingle Bell Rock","Merry Christmas From Brenda Lee","Brenda Lee",1964-10-19,130200,61,seankmchenry,2023-11-24T17:43:56Z,"adult standards,easy listening,lounge,rockabilly","MCA Nashville",0.688,0.394,5,-9.601,1,0.0386,0.673,0,0.175,0.827,122.911,4
7xrpNuqDgFlf10X93CwixY,"Santa Claus Is Coming To Town","Merry Christmas From Brenda Lee","Brenda Lee",1964-10-19,133133,51,seankmchenry,2023-11-24T17:43:56Z,"adult standards,easy listening,lounge,rockabilly","MCA Nashville",0.652,0.366,5,-10.582,1,0.0325,0.693,0.00000185,0.0785,0.621,135.682,4
2jj7HmW0g5trcOsrvZ8GjC,"Winter Wonderland","Merry Christmas From Brenda Lee","Brenda Lee",1964-10-19,141800,36,seankmchenry,2023-11-24T17:43:56Z,"adult standards,easy listening,lounge,rockabilly","MCA Nashville",0.588,0.488,9,-8.79,1,0.0332,0.801,0.00000445,0.103,0.918,138.099,4
1EWKkEW5hcAjtPfwO5un30,"Frosty The Snowman","Merry Christmas From Brenda Lee","Brenda Lee",1964-10-19,142173,47,seankmchenry,2023-11-24T17:43:56Z,"adult standards,easy listening,lounge,rockabilly","MCA Nashville",0.728,0.397,7,-8.722,1,0.0351,0.735,0,0.0918,0.733,147.02,4
4w7cJdY8ITMeo6NlByjWx2,"All I Want for Christmas Is My Daddy","Christmas Shopping","Buck Owens",1998-10-07,171520,0,seankmchenry,2023-11-24T17:43:56Z,"bakersfield sound,classic country pop,country,country rock,cowboy western,western swing","Sundazed Music / Modern Harmonic",0.653,0.327,10,-9.959,1,0.0479,0.842,0.00000172,0.359,0.562,111.66,4
3Bvzxos6OqXt2ysKD2RQeB,"Santa Looked A Lot Like Daddy (Daddy Looked A Lot Like Him)","Christmas With Buck Owens","Buck Owens",1990-08-27,135573,34,seankmchenry,2023-11-24T17:43:56Z,"bakersfield sound,classic country pop,country,country rock,cowboy western,western swing","Curb Records",0.699,0.672,8,-10.149,1,0.0379,0.332,0,0.191,0.984,162.705,4
6F9X2U6LjWVaQwBWhPznmK,"Blue Christmas Lights","Christmas With Buck Owens","Buck Owens",1990-08-27,162866,21,seankmchenry,2023-11-24T17:43:56Z,"bakersfield sound,classic country pop,country,country rock,cowboy western,western swing","Curb Records",0.469,0.216,7,-12.724,1,0.0295,0.612,0.000225,0.331,0.543,88.512,4
1ViMb5GTN4nOlDStz6k8uQ,"Jingle Bells","Christmas With Buck Owens","Buck Owens",1990-08-27,135200,18,seankmchenry,2023-11-24T17:43:56Z,"bakersfield sound,classic country pop,country,country rock,cowboy western,western swing","Curb Records",0.585,0.884,8,-8.048,1,0.0444,0.411,0.905,0.0656,0.961,167.671,4
5QexwNJj98Tua3Jc1N2und,"Christmas Time's A-Comin'","Christmas With Buck Owens","Buck Owens",1990-08-27,111666,21,seankmchenry,2023-11-24T17:43:56Z,"bakersfield sound,classic country pop,country,country rock,cowboy western,western swing","Curb Records",0.63,0.596,3,-10.543,1,0.0378,0.369,0.000178,0.126,0.958,172.734,4
27lzH8iRg56a78pL6uUXLE,"Because It's Christmas Time","Christmas With Buck Owens","Buck Owens",1990-08-27,131066,17,seankmchenry,2023-11-24T17:43:56Z,"bakersfield sound,classic country pop,country,country rock,cowboy western,western swing","Curb Records",0.647,0.32,3,-13.767,1,0.0311,0.389,0,0.138,0.895,83.125,4
77khP2fIVhSW23NwxrRluh,"A Holly Jolly Christmas","Have A Holly Jolly Christmas","Burl Ives",1965-10-01,135533,72,seankmchenry,2023-11-24T17:43:56Z,"adult standards,american folk revival","Geffen",0.682,0.375,0,-13.056,1,0.0303,0.579,0,0.076,0.888,140.453,4
0YIxmXRkOCO9Kem290D5Rk,"Santa Claus Is Coming To Town","Have A Holly Jolly Christmas","Burl Ives",1965-10-01,129506,55,seankmchenry,2023-11-24T17:43:56Z,"adult standards,american folk revival","Geffen",0.717,0.259,11,-13.114,1,0.0769,0.812,0,0.128,0.567,81.016,4
1S0qL3Ty66pTOFrDaroyc8,"Christmas Can't Be Far Away","Have A Holly Jolly Christmas","Burl Ives",1965-10-01,154000,35,seankmchenry,2023-11-24T17:43:56Z,"adult standards,american folk revival","Geffen",0.41,0.142,9,-17.412,0,0.0335,0.894,0.00791,0.172,0.235,103.858,3
47otoIkhx3fkdivEXL5OB6,"Rudolph The Red-Nosed Reindeer","Have A Holly Jolly Christmas","Burl Ives",1965-10-01,130026,71,seankmchenry,2023-11-24T17:43:56Z,"adult standards,american folk revival","Geffen",0.671,0.275,0,-12.755,1,0.0385,0.671,0,0.199,0.806,152.649,4
71An5ejPuJd6vrROJ8KY3l,"Silver Bells","Have A Holly Jolly Christmas","Burl Ives",1965-10-01,133533,49,seankmchenry,2023-11-24T17:43:56Z,"adult standards,american folk revival","Geffen",0.479,0.186,10,-14.75,1,0.0296,0.846,0,0.325,0.57,101.596,3
19KesGVNVm23hdUiK0z68c,"Christmas Waltz","Christmas Portrait (Special Edition)","Carpenters",1978,132906,0,seankmchenry,2023-11-24T17:43:56Z,"adult standards,mellow gold,soft rock","Universal Special Markets",0.221,0.254,10,-13.895,1,0.0351,0.93,0.0000209,0.173,0.23,152.039,3
597IVBYr60vm0HKjgOnztJ,"Sleigh Ride","Christmas Portrait (Special Edition)","Carpenters",1978,159440,0,seankmchenry,2023-11-24T17:43:56Z,"adult standards,mellow gold,soft rock","Universal Special Markets",0.694,0.243,11,-15.632,1,0.0723,0.871,0,0.165,0.578,100.774,4
6dFyDoMXhljPvqv0PdWKf7,"Christmas Song (Chestnuts Roasting On An Open Fire)","Christmas Portrait (Special Edition)","Carpenters",1978,219213,0,seankmchenry,2023-11-24T17:43:56Z,"adult standards,mellow gold,soft rock","Universal Special Markets",0.242,0.243,7,-16.246,1,0.0337,0.903,0.0000414,0.357,0.152,133.185,4
1QXg7pVx5hpAZWw8KIAcGw,"Merry Christmas Darling - Album Version/Remix","Christmas Portrait (Special Edition)","Carpenters",1978,186973,0,seankmchenry,2023-11-24T17:43:56Z,"adult standards,mellow gold,soft rock","Universal Special Markets",0.327,0.24,7,-15.181,1,0.0327,0.851,0,0.0997,0.193,81.113,4
4ZaxNHTIak47vBzaTWAUC4,"(There's No Place Like) Home For The Holidays","Christmas Portrait (Special Edition)","Carpenters",1978,155960,0,seankmchenry,2023-11-24T17:43:56Z,"adult standards,mellow gold,soft rock","Universal Special Markets",0.381,0.291,4,-14.549,1,0.0343,0.899,0,0.0864,0.437,167.326,4
6O0r0XAu8i4C9MZKTP7Eat,"Jingle Bell Rock","Christmas With Chet Atkins","Chet Atkins",1961,111133,27,seankmchenry,2023-11-24T17:43:56Z,"nashville sound","RCA Records Label",0.677,0.48,9,-11.354,0,0.0399,0.872,0.0021,0.244,0.792,146.447,3
3JZLZr25L2y0oV8DgeVkeM,"Winter Wonderland","Christmas With Chet Atkins","Chet Atkins",1961,169080,32,seankmchenry,2023-11-24T17:43:56Z,"nashville sound","RCA Records Label",0.539,0.178,0,-14.846,1,0.0305,0.964,0.757,0.153,0.26,87.333,4
6p2LbWDu6Dtvz8iQMDHW93,"Jolly Old St. Nicholas","Christmas With Chet Atkins","Chet Atkins",1961,133813,32,seankmchenry,2023-11-24T17:43:56Z,"nashville sound","RCA Records Label",0.72,0.333,5,-11.479,1,0.0319,0.927,0.0856,0.103,0.596,77.617,4
5Df57NkKjeclTvTNngwwgy,"White Christmas","Christmas With Chet Atkins","Chet Atkins",1961,140986,19,seankmchenry,2023-11-24T17:43:56Z,"nashville sound","RCA Records Label",0.538,0.16,0,-14.751,1,0.0269,0.968,0.361,0.118,0.305,93.385,4
05Phy2tz4KNtLw2GfnTAph,"Have Yourself a Merry Little Christmas","Christmas","Chris Isaak",2004-10-12,189560,0,seankmchenry,2023-11-24T17:43:56Z,"mellow gold","Mailboat Records",0.466,0.243,7,-10.962,1,0.0292,0.829,0.0000241,0.127,0.24,97.395,3
4u804PCbfFXmRkf4ZPoBIU,"Blue Christmas","Christmas","Chris Isaak",2004-10-12,140400,0,seankmchenry,2023-11-24T17:43:56Z,"mellow gold","Mailboat Records",0.694,0.48,4,-8.478,1,0.037,0.719,0.000196,0.153,0.711,119.838,4
7vTJ6gZ5Yqf3VYyJa6cId5,"Pretty Paper","Christmas","Chris Isaak",2004-10-12,153293,0,seankmchenry,2023-11-24T17:43:56Z,"mellow gold","Mailboat Records",0.597,0.264,0,-8.723,1,0.0266,0.841,0.0000583,0.126,0.214,90.717,3
18hIuU8AoBsaVtK3E7MCMh,"Brightest Star","Christmas","Chris Isaak",2004-10-12,183173,0,seankmchenry,2023-11-24T17:43:56Z,"mellow gold","Mailboat Records",0.592,0.411,2,-8.391,1,0.0278,0.633,0.00148,0.186,0.279,113.853,4
183egccUAzP1fEFSy2TSZQ,"Winter Wonderland / Sleigh Ride","Once Upon A Christmas","Dolly Parton",1984-10-29,221373,53,seankmchenry,2023-11-24T17:43:56Z,"classic country pop,country,country dawn","RCA Records Label Nashville",0.626,0.499,1,-11.009,1,0.0343,0.394,0,0.0602,0.322,120.318,4
0ZounOqmebSeEuMHwXtR04,"Christmas Without You","Once Upon A Christmas","Dolly Parton,Kenny Rogers",1984-10-29,231213,47,seankmchenry,2023-11-24T17:43:56Z,"classic country pop,country,country dawn,nashville sound,soft rock","RCA Records Label Nashville",0.672,0.706,5,-9.317,0,0.0415,0.499,0,0.304,0.707,118.874,4
