Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
54NI63Sz7ZqvkKV2YtYztl,"Turn It On - Full Length Version","Level 42","Level 42",1981-01-01,336360,10,seankmchenry,2024-01-17T19:39:33Z,"brit funk,dance rock,new romantic,new wave pop,post-disco,sophisti-pop,synthpop","Polydor Records",0.679,0.657,1,-11.75,0,0.0333,0.123,0.521,0.0776,0.936,116.213,4
4jAVnIQpgqdXhHNdLQ1LEx,"43","Level 42","Level 42",1981-01-01,422293,13,seankmchenry,2024-01-17T19:39:33Z,"brit funk,dance rock,new romantic,new wave pop,post-disco,sophisti-pop,synthpop","Polydor Records",0.565,0.699,2,-12.587,1,0.0449,0.00498,0.405,0.0568,0.542,119.548,3
7CFpM382dEqaqyhlueFoJ5,"Why Are You Leaving ?","Level 42","Level 42",1981-01-01,274293,8,seankmchenry,2024-01-17T19:39:33Z,"brit funk,dance rock,new romantic,new wave pop,post-disco,sophisti-pop,synthpop","Polydor Records",0.592,0.346,0,-15.045,0,0.0416,0.744,0.00555,0.102,0.393,93.038,4
2GAtWu2IpqCNOw6rWs71f0,"Almost There","Level 42","Level 42",1981-01-01,342800,9,seankmchenry,2024-01-17T19:39:33Z,"brit funk,dance rock,new romantic,new wave pop,post-disco,sophisti-pop,synthpop","Polydor Records",0.572,0.826,9,-12.008,1,0.0417,0.0225,0.0397,0.0945,0.574,135.342,4
3Pj18ETzvXi3p8fPMEbhYl,"Heathrow","Level 42","Level 42",1981-01-01,283200,8,seankmchenry,2024-01-17T19:39:33Z,"brit funk,dance rock,new romantic,new wave pop,post-disco,sophisti-pop,synthpop","Polydor Records",0.569,0.721,0,-12.821,1,0.0588,0.0369,0.731,0.0842,0.548,104.298,4
5NXUFz964lhCBIeOZKNuN6,"Love Games - Full Length Version","Level 42","Level 42",1981-01-01,445426,12,seankmchenry,2024-01-17T19:39:33Z,"brit funk,dance rock,new romantic,new wave pop,post-disco,sophisti-pop,synthpop","Polydor Records",0.772,0.783,4,-10.429,0,0.0479,0.0932,0.0265,0.0972,0.768,105.228,4
2mFC1DGwLeHRO1Ai5h35jA,"Dune Tune","Level 42","Level 42",1981-01-01,290040,10,seankmchenry,2024-01-17T19:39:33Z,"brit funk,dance rock,new romantic,new wave pop,post-disco,sophisti-pop,synthpop","Polydor Records",0.575,0.325,9,-15.315,1,0.0462,0.387,0.904,0.0426,0.511,81.096,4
0Z51U4OT6cFjv6Wn9024yX,"Starchild - Remix / Long Version","Level 42","Level 42,Paul Staveley O'Duffy",1981-01-01,412373,11,seankmchenry,2024-01-17T19:39:33Z,"brit funk,dance rock,new romantic,new wave pop,post-disco,sophisti-pop,synthpop","Polydor Records",0.726,0.701,8,-13.421,0,0.0356,0.146,0.303,0.0412,0.883,112.051,4
3m0EqqOVSe3CEnYc3oBZCN,"Sandstorm","The Early Tapes (Expanded Edition)","Level 42",1982,281973,10,seankmchenry,2024-01-17T19:40:47Z,"brit funk,dance rock,new romantic,new wave pop,post-disco,sophisti-pop,synthpop","UMC (Universal Music Catalogue)",0.583,0.948,2,-5.4,1,0.0547,0.0395,0.887,0.295,0.751,126.982,4
6j5nXanQM0quBXWgMrodIP,"Love Meeting Love","The Early Tapes (Expanded Edition)","Level 42",1982,382840,14,seankmchenry,2024-01-17T19:40:47Z,"brit funk,dance rock,new romantic,new wave pop,post-disco,sophisti-pop,synthpop","UMC (Universal Music Catalogue)",0.616,0.737,6,-8.849,0,0.0311,0.0785,0.704,0.085,0.849,99.938,4
2WGRxo8qzO0p04QUDRaPUD,"Theme To Margaret","The Early Tapes (Expanded Edition)","Level 42",1982,239573,7,seankmchenry,2024-01-17T19:40:47Z,"brit funk,dance rock,new romantic,new wave pop,post-disco,sophisti-pop,synthpop","UMC (Universal Music Catalogue)",0.473,0.947,4,-4.464,1,0.0949,0.056,0.166,0.231,0.748,123.857,4
