Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0vd6Vux8XFOcLZZ4Yh8Qz1,"4 Club Use Only","4 Club Use Only","Delroy Edwards",2013-12-03,505853,25,seankmchenry,2024-07-25T01:25:46Z,"lo-fi house,outsider house","L.I.E.S.",0.676,0.792,11,-7.246,0,0.0341,0.00532,0.907,0.0874,0.169,127.998,4
1DCdhOmNKt1VJTJs6CWZW8,"Bells","4 Club Use Only","Delroy Edwards",2013-12-03,329820,10,seankmchenry,2024-07-25T01:25:46Z,"lo-fi house,outsider house","L.I.E.S.",0.812,0.903,10,-9.792,1,0.0453,0.00115,0.955,0.0708,0.361,123.997,3
2DopOLCD5xsONTum1WWiqc,"Love Goes on and On","4 Club Use Only","Delroy Edwards",2013-12-03,394168,16,seankmchenry,2024-07-25T01:25:46Z,"lo-fi house,outsider house","L.I.E.S.",0.532,0.853,10,-10.088,1,0.0314,0.0312,0.947,0.0633,0.444,128.999,4
1ayooZN6dxtpGF0Jy2nqZf,"Point Dune","Eye Of Horus","Steve Moore",2024-05-10,394506,7,seankmchenry,2024-07-25T01:27:03Z,"cyberpunk","L.I.E.S.",0.415,0.551,3,-15.705,0,0.0561,0.747,0.917,0.1,0.545,121.999,4
3I17THduvdXweV2rc6wvxJ,"The Blue Stone","Eye Of Horus","Steve Moore",2024-05-10,349175,13,seankmchenry,2024-07-25T01:27:03Z,"cyberpunk","L.I.E.S.",0.716,0.749,10,-8.584,0,0.0497,0.00142,0.839,0.103,0.431,128.011,3
34IKKvnNPEpRCyd12tOtRQ,"Valerie 23","Eye Of Horus","Steve Moore",2024-05-10,230354,5,seankmchenry,2024-07-25T01:27:03Z,"cyberpunk","L.I.E.S.",0.651,0.325,7,-15.779,0,0.0395,0.557,0.911,0.104,0.652,116.984,4
6JbcACLAGiXgVBqnbUzqJb,"Eye Of Horus","Eye Of Horus","Steve Moore",2024-05-10,399688,6,seankmchenry,2024-07-25T01:27:03Z,"cyberpunk","L.I.E.S.",0.713,0.563,6,-11.682,1,0.0713,0.0217,0.906,0.109,0.289,115.99,4
7siHRf1huT3q5QNTzmbUWx,"Elberon Place","Eye Of Horus","Steve Moore",2024-05-10,322198,4,seankmchenry,2024-07-25T01:27:03Z,"cyberpunk","L.I.E.S.",0.719,0.533,9,-12.734,0,0.0365,0.0139,0.928,0.106,0.512,120.027,4
6to0Ws68Rp2fb2IIg3a6M6,"Three Sisters","Eye Of Horus","Steve Moore",2024-05-10,193636,4,seankmchenry,2024-07-25T01:27:03Z,"cyberpunk","L.I.E.S.",0.64,0.529,0,-13.783,1,0.0274,0.233,0.936,0.109,0.261,120.032,4
1SD3XyxeW8c2NVnVTSl76j,"Fever","Mr. Goods","Benedek",2021-02-12,294338,3,seankmchenry,2024-07-25T01:29:24Z,"synth funk","L.I.E.S.",0.796,0.882,10,-6.76,0,0.0525,0.00184,0.857,0.0443,0.608,117.994,4
5qCcMXzfOkAf3DKj1mYPWY,"Doodat","Mr. Goods","Benedek",2021-02-12,258979,2,seankmchenry,2024-07-25T01:29:24Z,"synth funk","L.I.E.S.",0.798,0.97,10,-8.394,0,0.0456,0.0000427,0.825,0.136,0.495,119.979,4
2q0PIVMSPsT0MjRfspxo9q,"Lighten Up","Mr. Goods","Benedek",2021-02-12,298091,1,seankmchenry,2024-07-25T01:29:24Z,"synth funk","L.I.E.S.",0.792,0.998,8,-6.572,1,0.044,0.0109,0.901,0.0878,0.881,121.971,4
2SSmoUMbZYuZoERSMbljoP,"King Kong","Mr. Goods","Benedek",2021-02-12,275841,1,seankmchenry,2024-07-25T01:29:24Z,"synth funk","L.I.E.S.",0.726,0.905,1,-7.643,1,0.0443,0.000469,0.802,0.0754,0.486,120.004,4
74hkyUnWyulTbRijmTicVL,"Street Level","Mr. Goods","Benedek",2021-02-12,394081,4,seankmchenry,2024-07-25T01:29:24Z,"synth funk","L.I.E.S.",0.701,0.793,11,-8.71,1,0.0507,0.000454,0.868,0.167,0.527,120.015,4
4dzV3wiXDz7MtDUH4HabWT,"Mr. Goods","Mr. Goods","Benedek",2021-02-12,337930,4,seankmchenry,2024-07-25T01:29:24Z,"synth funk","L.I.E.S.",0.807,0.77,5,-8.303,0,0.0719,0.000187,0.875,0.0444,0.816,120.997,4
3U7aYesFl6QqS9VGsWBzqL,"Silver Rush","Mr. Goods","Benedek",2021-02-12,217532,0,seankmchenry,2024-07-25T01:29:24Z,"synth funk","L.I.E.S.",0.796,0.978,7,-5.358,1,0.0569,0.0126,0.918,0.134,0.305,119.997,4
28G1zyQTnCDsjN71OhjHx3,"House Music Revenge","Heart Stopper","Ron Morelli",2023-04-28,378380,5,seankmchenry,2024-07-25T01:27:33Z,"mandible,outsider house","L.I.E.S.",0.797,0.757,10,-8.501,0,0.321,0.0677,0.89,0.0878,0.604,120.204,4
21kffbocbpLFN6DSNWLAkt,"Heart Stopper","Heart Stopper","Ron Morelli",2023-04-28,334311,6,seankmchenry,2024-07-25T01:27:33Z,"mandible,outsider house","L.I.E.S.",0.694,0.845,0,-8.602,1,0.0428,0.0000628,0.784,0.0665,0.726,122.013,4
7rkAm2TyxB8wud6yKlHH0c,"Subway Shootout","Heart Stopper","Ron Morelli",2023-04-28,231281,2,seankmchenry,2024-07-25T01:27:33Z,"mandible,outsider house","L.I.E.S.",0.755,0.953,10,-7.063,0,0.102,0.000297,0.922,0.124,0.0662,119.98,4
62HMVHuGmCS4S0JdICzu0O,"Ron's Torture","Heart Stopper","Ron Morelli",2023-04-28,376341,4,seankmchenry,2024-07-25T01:27:33Z,"mandible,outsider house","L.I.E.S.",0.625,0.871,7,-6.724,1,0.0423,0.000269,0.889,0.0976,0.512,119.052,4
5C8BiS5Z0JnmsBozaSe1Di,"Tangled Trap Of Love","Heart Stopper","Ron Morelli",2023-04-28,309603,4,seankmchenry,2024-07-25T01:27:33Z,"mandible,outsider house","L.I.E.S.",0.77,0.773,0,-7.785,1,0.0487,0.000447,0.68,0.295,0.898,122.037,4
