Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7e176FKv7cq6SG9EXYMLoQ,"What Cha' Gonna Do for Me","What Cha' Gonna Do for Me","Chaka Khan",1981,234266,47,,2024-11-30T02:39:04Z,"disco,funk,neo soul,quiet storm,soul","Rhino/Warner Records",0.684,0.64,5,-9.906,0,0.0309,0.221,0.0102,0.179,0.776,106.023,4
5UVcgBRW78CCcKCopEGAST,"Make It Happen","Emotions","Mariah Carey",1991-09-17,307000,44,,2024-11-27T14:56:26Z,"dance pop,pop,urban contemporary","Columbia",0.811,0.531,2,-8.537,0,0.0355,0.00657,0.0285,0.0801,0.752,107.853,4
7KJG1Nr4gHlEmUGNJH9WXh,"Say I'm Your No. 1 (Full Length Version)","Say I'm Your No. 1 (Remixes)","Princess",1985-01-01,376866,16,,2024-11-27T14:53:00Z,"","BMG Rights Management (UK) Ltd.",0.749,0.922,6,-6.035,0,0.0371,0.149,0.000683,0.0569,0.535,104.019,4
7Kg25HtPjuxJFfAjdUD7sz,"Mr. Manic & Sister Cool","Manic & Sister Cool","Shakatak",1987,228360,4,,2024-11-26T20:18:26Z,"brit funk,post-disco,smooth jazz","Shakatak Masters",0.585,0.889,5,-11.259,1,0.047,0.632,0.282,0.129,0.784,99.844,4
3Sm5TYFgMXyXwgAcY2xweX,"So Into You","A Rock And Roll Alternative","Atlanta Rhythm Section",1976-12,260866,57,,2024-11-26T19:19:07Z,"album rock,classic rock,country rock,mellow gold,soft rock,southern rock,yacht rock","Universal Records",0.622,0.409,5,-13.484,0,0.0362,0.65,0.023,0.142,0.785,86.173,4
6eg9DYfZBvIC7mFFG8bFWm,"Lay me down","Reaching for the sky","Renee",1980,233573,37,,2024-11-26T19:19:03Z,"","CNR Entertainment",0.936,0.315,6,-15.498,0,0.0526,0.289,0.002,0.101,0.959,100.264,4
6xeU9Co3nfPT0T7wWh6Psp,"Can't Fight It","Don't Look Any Further (Expanded Edition)","Dennis Edwards",1984-01-01,283253,14,,2024-11-26T19:08:55Z,"","UNI/MOTOWN",0.751,0.851,1,-9.285,0,0.0428,0.131,0.0000447,0.0316,0.765,102.377,4
138zVd63tbSFQR5oc3dHmg,"Coming Down from Love","Cat in the Hat","Bobby Caldwell",1991-10-10,242026,39,,2024-11-26T18:46:14Z,"yacht rock","Big Deal Records",0.492,0.427,1,-12.934,0,0.0394,0.469,0.0000823,0.0787,0.736,100.163,4
2H9DaLWHXqS7eSmouctbrj,"Personally","Wild Heart Of The Young","Karla Bonoff",1982,216000,25,,2024-11-26T18:42:50Z,"","Columbia",0.736,0.419,11,-12.423,1,0.0324,0.731,0.0000467,0.129,0.663,104.013,4
4o2td8t1oO5MdI0ahSi32h,"Rockin' You Eternally","Rockin' You Eternally","Leon Ware",1981,262133,28,,2024-11-26T18:38:54Z,"jazz funk","Rhino/Elektra",0.576,0.652,0,-10.967,0,0.0358,0.212,0.000288,0.083,0.679,141.366,4
3UR9JgRLoz3EveUFisUmhE,"Love In Cambodgia - Original","Through The Green","Tiger & Woods",2011-06-13,451198,9,,2024-11-26T18:19:31Z,"balearic,filter house,italian electronica,nu disco","Running Back",0.855,0.541,1,-7.614,0,0.0536,0.00208,0.878,0.0841,0.412,114,4
2JXK3ELYkEcGTE4dsO4kYq,"Love's Comin' At Ya - 2004 Digital Remaster","Other Side Of The Rainbow","Melba Moore",2010-01-01,343520,44,,2024-11-26T18:19:25Z,"disco,funk,post-disco,quiet storm,soul,urban contemporary","Capitol Records",0.911,0.476,1,-10.827,0,0.0927,0.0278,0.000364,0.104,0.62,114.408,4
0GDBdvC0DUoVD3uErrNdZt,"Driftin'","Told U So","Nu Shooz",1988-01-01,282840,11,,2024-11-26T18:15:48Z,"freestyle,post-disco","Rhino Atlantic",0.588,0.785,2,-14.467,1,0.0326,0.0547,0.000336,0.335,0.866,156.419,4
3ZNrJUvfDC5sfDkngVWdmP,"Shiver","While the City Sleeps","George Benson",1986-01-01,317973,25,,2024-11-26T18:10:27Z,"jazz funk,jazz guitar,smooth jazz,soul jazz,yacht rock","Warner Records",0.734,0.864,4,-8.425,0,0.0765,0.0123,0.00000649,0.138,0.811,105.315,4
3BxhhqOxet5zZFnWRHUGIw,"Mutual Attraction (Nick Martinelli Version)","Turn on your radio","Change",1985,329373,10,,2024-11-26T18:09:32Z,"disco,funk,minneapolis sound,post-disco","Clock Records",0.733,0.621,8,-9.242,0,0.0486,0.245,0.25,0.0876,0.793,105.544,4
6lAJpi8tn0inlMKoKOdFFh,"Phat","Allure","Lapti",2018-02-02,233540,6,,2024-11-26T15:58:33Z,"russian electronic,russian experimental electronic","Lapti",0.589,0.73,2,-6.797,1,0.305,0.0952,0.4,0.1,0.723,181.971,4
33XFs2jRpwfHOVkIWMX9kf,"I'm Ready For Your Love","Love Songs","Earl Klugh",1996-01-01,202893,17,,2024-11-26T14:57:59Z,"jazz guitar,smooth jazz","Blue Note Records",0.796,0.43,3,-14.167,1,0.0364,0.156,0.555,0.101,0.677,82.318,4
