Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5Lj4snjSW0QG8rXC7mkA42,"6ppJPu7ODU91Uaa8hvld04","Kodal","Kodal","André Davies",2021-11-06,248000,0,spotify:user:seankmchenry,2022-04-21T15:51:16Z,"",0.109,0.0665,5,-25.089,1,0.0457,0.978,0.896,0.108,0.106,71.03,1
0m388eQioUJAfWpgHzdM8h,"6ppJPu7ODU91Uaa8hvld04","Beginnings","Kodal","André Davies",2021-11-06,225188,0,spotify:user:seankmchenry,2022-04-21T15:51:16Z,"",0.199,0.255,6,-22.627,1,0.0483,0.671,0.925,0.102,0.0351,71.813,4
2G2K0IaIShzYU1HyAw30uf,"6ppJPu7ODU91Uaa8hvld04","Breathe","Kodal","André Davies",2021-11-06,173468,0,spotify:user:seankmchenry,2022-04-21T15:51:16Z,"",0.206,0.00253,5,-33.604,1,0.0503,0.967,0.936,0.0905,0.0599,69.006,4
6wH9MpJd2nzgQQEbXLgGnj,"6ppJPu7ODU91Uaa8hvld04","Collisions","Kodal","André Davies",2021-11-06,168000,0,spotify:user:seankmchenry,2022-04-21T15:51:16Z,"",0.233,0.0689,10,-32.36,0,0.0441,0.988,0.909,0.134,0.356,172.053,5
5JEHfnZKGh75w9YXfV7skg,"6ppJPu7ODU91Uaa8hvld04","Hope","Kodal","André Davies",2021-11-06,505175,0,spotify:user:seankmchenry,2022-04-21T15:51:16Z,"",0.206,0.133,5,-23.17,1,0.0474,0.801,0.864,0.109,0.0388,78.642,4
25i25qEkJDHwkQaCflJkSc,"6ppJPu7ODU91Uaa8hvld04","Horizons","Kodal","André Davies",2021-11-06,203000,0,spotify:user:seankmchenry,2022-04-21T15:51:16Z,"",0.0842,0.308,6,-23.164,0,0.0489,0.91,0.853,0.118,0.251,75.572,4
1cnIWcx69zdKW5IsE1h3dY,"6ppJPu7ODU91Uaa8hvld04","Resonate","Kodal","André Davies",2021-11-06,360000,0,spotify:user:seankmchenry,2022-04-21T15:51:16Z,""
7jFSVeuEa4cehyIZfkEY8R,"6ppJPu7ODU91Uaa8hvld04","Balance","Kodal","André Davies",2021-11-06,229000,0,spotify:user:seankmchenry,2022-04-21T15:51:16Z,"",0.256,0.0956,9,-25.243,1,0.0324,0.963,0.884,0.0811,0.0986,79.957,1
6AyzD5VPIaOx2DhASIdPlp,"65kizxg0ldv6bDBKxbm0p9","Just Be You","Let's Get It Together","El Coco",1976-01-01,195120,7,spotify:user:seankmchenry,2022-04-21T20:51:33Z,"deep disco,disco,post-disco",0.61,0.776,9,-6.972,0,0.0554,0.181,0.0903,0.0651,0.803,127.62,4
2WXtkmJdfU1h42O9DRtmwS,"65kizxg0ldv6bDBKxbm0p9","Quiet Village","Let's Get It Together","El Coco",1976-01-01,254040,3,spotify:user:seankmchenry,2022-04-21T20:51:33Z,"deep disco,disco,post-disco",0.559,0.66,5,-8.173,1,0.0305,0.0982,0.337,0.616,0.321,122.016,4
5QRpwwrmTOvMRGQHZiH1ft,"65kizxg0ldv6bDBKxbm0p9","Let's Get It Together","Let's Get It Together","El Coco",1976-01-01,298653,31,spotify:user:seankmchenry,2022-04-21T20:51:33Z,"deep disco,disco,post-disco",0.716,0.703,0,-6.5,0,0.0393,0.0941,0,0.155,0.897,115.611,4
3cLYSfOiDw0xHVvspSMZY5,"65kizxg0ldv6bDBKxbm0p9","Chocka My Love","Let's Get It Together","El Coco",1976-01-01,181120,4,spotify:user:seankmchenry,2022-04-21T20:51:33Z,"deep disco,disco,post-disco",0.702,0.541,10,-8.107,1,0.0736,0.0789,0.000505,0.0586,0.781,104.556,4
0FsdGU2ILo3upd0CL1XErF,"65kizxg0ldv6bDBKxbm0p9","Mr. Lucky","Let's Get It Together","El Coco",1976-01-01,226893,4,spotify:user:seankmchenry,2022-04-21T20:51:33Z,"deep disco,disco,post-disco",0.71,0.733,0,-7.621,0,0.0265,0.156,0.344,0.163,0.884,123.433,4
2ST8HyXUk6knCN7kq6j3AM,"65kizxg0ldv6bDBKxbm0p9","Love Vaccine","Let's Get It Together","El Coco",1976-01-01,182693,14,spotify:user:seankmchenry,2022-04-21T20:51:33Z,"deep disco,disco,post-disco",0.458,0.945,2,-5.975,0,0.0443,0.0722,0.0357,0.0646,0.968,186.003,4
71uVCviss0tuPROk12HHda,"65kizxg0ldv6bDBKxbm0p9","Under Construction","Let's Get It Together","El Coco",1976-01-01,202546,3,spotify:user:seankmchenry,2022-04-21T20:51:33Z,"deep disco,disco,post-disco",0.805,0.866,0,-6.276,1,0.0498,0.0221,0.0000169,0.461,0.897,115.277,4
6rwJEe4D3WBx135ZY1OshJ,"65kizxg0ldv6bDBKxbm0p9","Love Vibrations","Let's Get It Together","El Coco",1976-01-01,148333,2,spotify:user:seankmchenry,2022-04-21T20:51:33Z,"deep disco,disco,post-disco",0.717,0.806,0,-8.039,1,0.0303,0.0464,0.0000026,0.0446,0.93,129.546,4
1NVHluHXbCOztQO0pEX4RL,"65kizxg0ldv6bDBKxbm0p9","Fait Le Chat","Let's Get It Together","El Coco",1976-01-01,276840,6,spotify:user:seankmchenry,2022-04-21T20:51:33Z,"deep disco,disco,post-disco",0.746,0.673,9,-7.494,1,0.0259,0.0344,0.00429,0.0465,0.87,105.508,4
42JezHjKCD7ussaB43r2aC,"65kizxg0ldv6bDBKxbm0p9","Put On Your Jeans","Let's Get It Together","El Coco",1976-01-01,272120,3,spotify:user:seankmchenry,2022-04-21T20:51:33Z,"deep disco,disco,post-disco",0.753,0.63,0,-10.586,1,0.044,0.0106,0.309,0.176,0.839,105.81,4
5dm3Qat4x6xYs8JZATYV3p,"65kizxg0ldv6bDBKxbm0p9","Gimme Some","Let's Get It Together","El Coco",1976-01-01,182613,2,spotify:user:seankmchenry,2022-04-21T20:51:33Z,"deep disco,disco,post-disco",0.675,0.728,7,-6.858,1,0.0474,0.0308,0.16,0.127,0.93,128.077,4
6anvFvhxndmE8Ja4q05AZW,"0JttrTRwrzj8udpkzr8asp,05GSCSTkwnHANf3ykSvMgt","House of the Purple Mist","Magician","Magician,Barbara Thompson",2021-03-24,478373,6,spotify:user:seankmchenry,2022-04-21T15:28:45Z,"",0.611,0.265,10,-15.473,1,0.0435,0.671,0.838,0.0656,0.384,84.41,4
4SSUj17CepR1nj96g9iYVL,"0JttrTRwrzj8udpkzr8asp,05GSCSTkwnHANf3ykSvMgt","Drowned Village","Magician","Magician,Barbara Thompson",2021-03-24,232880,5,spotify:user:seankmchenry,2022-04-21T15:28:45Z,"",0.579,0.0668,4,-25.389,0,0.0392,0.936,0.921,0.161,0.286,116.724,4
7kSNQkDILr1Q692FsYIzMn,"0JttrTRwrzj8udpkzr8asp,05GSCSTkwnHANf3ykSvMgt","Playground","Magician","Magician,Barbara Thompson",2021-03-24,437013,1,spotify:user:seankmchenry,2022-04-21T15:28:45Z,"",0.734,0.405,5,-12.882,1,0.0502,0.191,0.733,0.118,0.816,97.179,4
5lwh47KLw6xTHyXSnqsICE,"0JttrTRwrzj8udpkzr8asp,05GSCSTkwnHANf3ykSvMgt","Bazaar","Magician","Magician,Barbara Thompson",2021-03-24,351960,2,spotify:user:seankmchenry,2022-04-21T15:28:45Z,"",0.58,0.452,8,-14.052,1,0.0453,0.546,0.816,0.368,0.782,177.371,5
178DCGm2ho0BHURr0wvtPQ,"0JttrTRwrzj8udpkzr8asp,05GSCSTkwnHANf3ykSvMgt","Musk","Magician","Magician,Barbara Thompson",2021-03-24,412533,2,spotify:user:seankmchenry,2022-04-21T15:28:45Z,"",0.603,0.376,7,-16.428,0,0.0339,0.514,0.706,0.161,0.52,103.922,4
039ea1cTrmEVbcJSQyKnAK,"0JttrTRwrzj8udpkzr8asp,05GSCSTkwnHANf3ykSvMgt","Morass","Magician","Magician,Barbara Thompson",2021-03-24,402240,0,spotify:user:seankmchenry,2022-04-21T15:28:45Z,"",0.704,0.678,0,-12.612,1,0.0445,0.306,0.555,0.0737,0.841,106.813,4
6oxJd4EeFzIYaQK4XntfsN,"0C31G6WRrM2kEf5q8Yn2Pf","Valentine Eleven","Valentine Eleven","Jordan De La Sierra",1988-01-01,319400,2,spotify:user:seankmchenry,2022-05-27T13:03:33Z,"",0.544,0.455,0,-13.109,0,0.0412,0.68,0,0.0972,0.576,139.613,5
6y0iRISg0H9Swcf4UYmYMR,"0C31G6WRrM2kEf5q8Yn2Pf","Abi-Yo-Yo: The Best Of All Worlds","Valentine Eleven","Jordan De La Sierra",1988-01-01,274693,1,spotify:user:seankmchenry,2022-05-27T13:03:33Z,"",0.602,0.622,7,-13.565,1,0.0358,0.87,0.000368,0.0648,0.964,160.267,4
2SdJpe5KjOHPWub9shoQmA,"0C31G6WRrM2kEf5q8Yn2Pf","Soft Spin","Valentine Eleven","Jordan De La Sierra",1988-01-01,343000,4,spotify:user:seankmchenry,2022-05-27T13:03:33Z,"",0.178,0.19,7,-17.353,1,0.0363,0.73,0.726,0.128,0.0399,86.527,3
1iOwzbaN3XCTEi7wFSxk51,"0C31G6WRrM2kEf5q8Yn2Pf","Nimbu-Pani: The Lemon-Water Song","Valentine Eleven","Jordan De La Sierra",1988-01-01,323240,10,spotify:user:seankmchenry,2022-05-27T13:03:33Z,"",0.435,0.491,1,-13.747,0,0.0317,0.531,0.284,0.105,0.0909,157.331,4
16HkEWT4c64t2RISM25Pbv,"0C31G6WRrM2kEf5q8Yn2Pf","Jungle Of Love","Valentine Eleven","Jordan De La Sierra",1988-01-01,338266,1,spotify:user:seankmchenry,2022-05-27T13:03:33Z,"",0.488,0.46,7,-15.237,0,0.0353,0.897,0.091,0.136,0.369,160.261,4
6KfyQwSsitPai13P5zbKof,"0C31G6WRrM2kEf5q8Yn2Pf","Hymn To The World Indian","Valentine Eleven","Jordan De La Sierra",1988-01-01,334226,0,spotify:user:seankmchenry,2022-05-27T13:03:33Z,"",0.7,0.493,6,-13.98,0,0.034,0.475,0.0195,0.0802,0.642,119.869,4
3tl8yH1dvq6hDLrWPLGNms,"0C31G6WRrM2kEf5q8Yn2Pf","First Love","Valentine Eleven","Jordan De La Sierra",1988-01-01,245640,3,spotify:user:seankmchenry,2022-05-27T13:03:33Z,"",0.0828,0.212,0,-19.98,0,0.037,0.852,0.883,0.0685,0.0366,67.016,4
5wIFvz2YRNiCosfl6tPyqs,"0C31G6WRrM2kEf5q8Yn2Pf","Long-Distance Messenger","Valentine Eleven","Jordan De La Sierra",1988-01-01,371026,0,spotify:user:seankmchenry,2022-05-27T13:03:33Z,"",0.452,0.587,5,-12.927,1,0.0327,0.485,0,0.436,0.368,86.125,4
