Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5Lj4snjSW0QG8rXC7mkA42,"Kodal","Kodal","André Davies",2021-11-06,248000,0,seankmchenry,2023-01-09T15:46:59Z,"","Independent",0.109,0.0665,5,-25.089,1,0.0457,0.978,0.896,0.108,0.106,71.03,1
0m388eQioUJAfWpgHzdM8h,"Beginnings","Kodal","André Davies",2021-11-06,225188,0,seankmchenry,2023-01-09T15:46:59Z,"","Independent",0.199,0.255,6,-22.627,1,0.0483,0.671,0.925,0.102,0.0351,71.813,4
2G2K0IaIShzYU1HyAw30uf,"Breathe","Kodal","André Davies",2021-11-06,173468,0,seankmchenry,2023-01-09T15:46:59Z,"","Independent",0.206,0.00253,5,-33.604,1,0.0503,0.967,0.936,0.0905,0.0599,69.006,4
6wH9MpJd2nzgQQEbXLgGnj,"Collisions","Kodal","André Davies",2021-11-06,168000,0,seankmchenry,2023-01-09T15:46:59Z,"","Independent",0.233,0.0689,10,-32.36,0,0.0441,0.988,0.909,0.134,0.356,172.053,5
5JEHfnZKGh75w9YXfV7skg,"Hope","Kodal","André Davies",2021-11-06,505175,0,seankmchenry,2023-01-09T15:46:59Z,"","Independent",0.206,0.133,5,-23.17,1,0.0474,0.801,0.864,0.109,0.0388,78.642,4
25i25qEkJDHwkQaCflJkSc,"Horizons","Kodal","André Davies",2021-11-06,203000,0,seankmchenry,2023-01-09T15:46:59Z,"","Independent",0.0842,0.308,6,-23.164,0,0.0489,0.91,0.853,0.118,0.251,75.572,4
1cnIWcx69zdKW5IsE1h3dY,"Resonate","Kodal","André Davies",2021-11-06,360000,0,seankmchenry,2023-01-09T15:46:59Z,"","Independent",,,,,,,,,,,,
7jFSVeuEa4cehyIZfkEY8R,"Balance","Kodal","André Davies",2021-11-06,229000,0,seankmchenry,2023-01-09T15:46:59Z,"","Independent",0.256,0.0956,9,-25.243,1,0.0324,0.963,0.884,0.0811,0.0986,79.957,1
1q5kzaK3tviSLst2ydtFdM,"Blossom","Cordillera","Ann Annie",2018-02-26,425984,0,seankmchenry,2023-02-04T04:51:34Z,"ambient synth,modular synth,spectra","wandering records",0.262,0.175,4,-18.243,1,0.037,0.332,0.698,0.0952,0.0593,64.555,4
5pNAPzKF2BcDDBlXiqLuhI,"Deciduous Tides","Cordillera","Ann Annie",2018-02-26,291967,0,seankmchenry,2023-02-04T04:51:34Z,"ambient synth,modular synth,spectra","wandering records",0.435,0.147,6,-15.271,1,0.0408,0.948,0.904,0.0786,0.0702,135.472,4
