Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6mKG7En53U9BtGbUip0BPj,"Shine the Light of Love","Shine the Light of Love","Googie Coppola,Tom Coppola",1980-05-02,319413,4,seankmchenry,2023-04-04T15:44:32Z,"","Legacy Recordings",0.68,0.803,0,-8.375,1,0.147,0.0743,0,0.528,0.7,114.128,4
0PEvQKwPCQApCwFhNCMS1T,"Broken Wings","Shine the Light of Love","Googie Coppola,Tom Coppola",1980-05-02,312933,2,seankmchenry,2023-04-04T15:44:32Z,"","Legacy Recordings",0.462,0.477,5,-11.836,0,0.0463,0.669,0.0000128,0.0884,0.781,82.401,4
0auPxV6IXl6iW1oGIxP3wS,"Nothing in This World","Shine the Light of Love","Googie Coppola,Tom Coppola",1980-05-02,323133,3,seankmchenry,2023-04-04T15:44:32Z,"","Legacy Recordings",0.577,0.659,7,-11.904,1,0.0692,0.781,0.000542,0.122,0.826,90.661,4
37tir06vym7T6pqK8Didvu,"Everything Is Coming to the Light","Shine the Light of Love","Googie Coppola,Tom Coppola",1980-05-02,219680,1,seankmchenry,2023-04-04T15:44:32Z,"","Legacy Recordings",0.537,0.271,1,-17.018,1,0.0341,0.789,0.000438,0.0794,0.298,131.08,4
6BfdqJymqQgBXKbvbaJk8c,"Missing Love","Shine the Light of Love","Googie Coppola,Tom Coppola",1980-05-02,316533,3,seankmchenry,2023-04-04T15:44:32Z,"","Legacy Recordings",0.699,0.548,0,-12.407,1,0.134,0.0516,0.00175,0.0966,0.707,94.069,4
6IBaA0nomq1bfgz841BGlJ,"Joyous Flame","Shine the Light of Love","Googie Coppola,Tom Coppola",1980-05-02,309493,9,seankmchenry,2023-04-04T15:44:32Z,"","Legacy Recordings",0.564,0.416,7,-12.598,1,0.061,0.763,0.0129,0.112,0.563,79.884,4
6DYoXdET9rwAWCjYSEnv7q,"Let This River Flow","Shine the Light of Love","Googie Coppola,Tom Coppola",1980-05-02,172306,12,seankmchenry,2023-04-04T15:44:32Z,"","Legacy Recordings",0.675,0.694,2,-14.194,1,0.0519,0.806,0.0511,0.137,0.844,105.609,4
0flzI0orWc9TizdZTTzUth,"Family of Man","Shine the Light of Love","Googie Coppola,Tom Coppola",1980-05-02,399213,4,seankmchenry,2023-04-04T15:44:32Z,"","Legacy Recordings",0.477,0.803,8,-12.499,1,0.0915,0.21,0.000181,0.0832,0.852,155.973,4
0tFYE8bcSWWjdWX5Ln04zi,"Diplodocus","Fraximal","Ferenc",2005-06-27,414160,1,seankmchenry,2023-04-13T19:51:29Z,"","Kompakt",0.717,0.385,7,-12.171,1,0.0512,0.00387,0.868,0.0806,0.572,128.972,4
0wg1oDTNiunzXkFNvQOPW8,"Sandia","Fraximal","Ferenc",2005-06-27,387573,1,seankmchenry,2023-04-13T19:51:29Z,"","Kompakt",0.683,0.471,1,-14.042,0,0.0616,0.00301,0.896,0.107,0.365,126.005,4
4vYt0xWl57R3D4mTa3akEq,"Neng","Fraximal","Ferenc",2005-06-27,304880,0,seankmchenry,2023-04-13T19:51:29Z,"","Kompakt",0.653,0.349,10,-14.113,0,0.0512,0.0506,0.881,0.11,0.128,127.995,4
7IIAMYzsvLfg19BIFzjIOV,"Bocaseca","Fraximal","Ferenc",2005-06-27,282226,1,seankmchenry,2023-04-13T19:51:29Z,"","Kompakt",0.709,0.445,8,-13.102,0,0.0887,0.000175,0.803,0.0557,0.503,124.991,4
3AKf81GrIG0duCAVIRcdOo,"Vinagreta","Fraximal","Ferenc",2005-06-27,386080,1,seankmchenry,2023-04-13T19:51:29Z,"","Kompakt",0.618,0.521,2,-14.388,1,0.0478,0.00721,0.858,0.109,0.162,126.011,3
0Pb0Kn4iO7pU6ezrqhJUMp,"Nitsa Is 11","Fraximal","Ferenc",2005-06-27,378533,0,seankmchenry,2023-04-13T19:51:29Z,"","Kompakt",0.728,0.842,4,-13.316,0,0.0722,0.00896,0.953,0.11,0.119,128.967,4
4f5wHZoNhnvExMP2SUh9ax,"Urdangarin Resistance","Fraximal","Ferenc",2005-06-27,402000,0,seankmchenry,2023-04-13T19:51:29Z,"","Kompakt",0.726,0.57,4,-16.968,1,0.0593,0.0481,0.934,0.112,0.254,131.999,4
1O8uUD1tMwaothSvv99pqs,"France","Fraximal","Ferenc",2005-06-27,439653,2,seankmchenry,2023-04-13T19:51:29Z,"","Kompakt",0.754,0.629,10,-12.406,0,0.0518,0.0346,0.851,0.103,0.324,131.986,4
2idOfLU5GrO6C6u7dA0LSv,"Fuet","Fraximal","Ferenc",2005-06-27,328186,0,seankmchenry,2023-04-13T19:51:29Z,"","Kompakt",0.552,0.523,7,-11.65,1,0.168,0.000114,0.835,0.112,0.2,126.992,4
7kztjQyGD4LllVuRCLWJB0,"Acidorro","Fraximal","Ferenc",2005-06-27,325813,0,seankmchenry,2023-04-13T19:51:29Z,"","Kompakt",0.697,0.462,0,-15.216,1,0.072,0.00644,0.901,0.0917,0.606,126.007,4
53lRUJR2czVjO1qb1HoZxZ,"Leading","Two Point Discrimination","Goldmund",2007-06-11,116986,4,seankmchenry,2023-09-21T14:08:37Z,"ambient,compositional ambient,nu age","Western Vinyl",0.475,0.263,2,-24.541,1,0.0716,0.993,0.96,0.114,0.423,173.792,3
3CvOPMLjRfM7eVWI106SHU,"Then","Two Point Discrimination","Goldmund",2007-06-11,113933,3,seankmchenry,2023-09-21T14:08:37Z,"ambient,compositional ambient,nu age","Western Vinyl",0.501,0.00749,1,-31.422,0,0.0471,0.996,0.892,0.102,0.329,101.315,4
0vJCXn2g2uZZqnl0zdCBi8,"From","Two Point Discrimination","Goldmund",2007-06-11,92093,5,seankmchenry,2023-09-21T14:08:37Z,"ambient,compositional ambient,nu age","Western Vinyl",0.464,0.147,0,-24.333,0,0.045,0.993,0.89,0.149,0.349,122.155,4
6dMA7IrbGdo7D9ph50Dyw4,"Light","Two Point Discrimination","Goldmund",2007-06-11,179786,2,seankmchenry,2023-09-21T14:08:37Z,"ambient,compositional ambient,nu age","Western Vinyl",0.578,0.0405,2,-34.23,1,0.0339,0.994,0.921,0.125,0.104,109.848,3
1e3OQXzah89BfU10IHf2zS,"To","Two Point Discrimination","Goldmund",2007-06-11,188320,2,seankmchenry,2023-09-21T14:08:37Z,"ambient,compositional ambient,nu age","Western Vinyl",0.467,0.137,3,-25.01,1,0.0624,0.995,0.959,0.08,0.0764,147.898,4
