Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2LM1cUrlszf3LDpyQQttZf,"Call from the Dark - Remastered","Merci (Remastered)","Magma",1984-05-01,435986,15,seankmchenry,2023-01-09T15:48:02Z,"avant-prog,italian progressive rock,progressive rock,rock progressif francais,zeuhl,zolo","Seventh records",0.702,0.628,8,-9.492,0,0.0477,0.535,0.0374,0.277,0.565,150.743,4
0Q6M7NYMorkqJIgAUIZaYm,"Do the Music - Remastered","Merci (Remastered)","Magma",1984-05-01,264013,12,seankmchenry,2023-01-09T15:48:02Z,"avant-prog,italian progressive rock,progressive rock,rock progressif francais,zeuhl,zolo","Seventh records",0.622,0.74,4,-10.173,0,0.121,0.136,0.344,0.117,0.752,142.116,4
2ZOIChclDdbNzE8WYShDnS,"Otis - Remastered","Merci (Remastered)","Magma",1984-05-01,435186,12,seankmchenry,2023-01-09T15:48:02Z,"avant-prog,italian progressive rock,progressive rock,rock progressif francais,zeuhl,zolo","Seventh records",0.457,0.376,6,-12.335,1,0.0399,0.722,0.146,0.229,0.189,101.046,4
6zdFIfwwKuP2YqTyU7jgsd,"I Must Return - Remastered","Merci (Remastered)","Magma",1984-05-01,395293,11,seankmchenry,2023-01-09T15:48:02Z,"avant-prog,italian progressive rock,progressive rock,rock progressif francais,zeuhl,zolo","Seventh records",0.711,0.634,8,-9.998,1,0.0433,0.627,0.0161,0.146,0.501,93.296,4
5YpD5hNsMvJMZBCkNAhWMI,"Eliphas Levi - Remastered","Merci (Remastered)","Magma",1984-05-01,664653,18,seankmchenry,2023-01-09T15:48:02Z,"avant-prog,italian progressive rock,progressive rock,rock progressif francais,zeuhl,zolo","Seventh records",0.334,0.384,8,-17.724,1,0.0528,0.982,0.843,0.091,0.272,176.372,3
2RfQcDml4v5SUg679bxrnU,"The Night We Died - Remastered","Merci (Remastered)","Magma",1984-05-01,255920,24,seankmchenry,2023-01-09T15:48:02Z,"avant-prog,italian progressive rock,progressive rock,rock progressif francais,zeuhl,zolo","Seventh records",0.272,0.273,8,-15.652,1,0.0321,0.986,0.674,0.0951,0.0357,131.461,4
03iYtRX4bFGOmlf0Tou1Yr,"Make It with Me","Painted Woman","Masaki Matsubara",1983,234200,18,seankmchenry,2024-08-15T14:00:45Z,"classic city pop","Canyon International",0.778,0.529,5,-10.232,0,0.0294,0.0455,0.000312,0.0971,0.896,124.209,4
170XZyupe02UnytyUccQju,"Night Scanners","Painted Woman","Masaki Matsubara",1983,211333,10,seankmchenry,2024-08-15T14:00:45Z,"classic city pop","Canyon International",0.491,0.591,9,-9.765,1,0.0294,0.0000253,0.928,0.0899,0.768,143.741,4
6VXhQgnePPP0i7R1pawKQz,"Shining Star","Painted Woman","Masaki Matsubara",1983,264600,15,seankmchenry,2024-08-15T14:00:45Z,"classic city pop","Canyon International",0.779,0.524,9,-9.42,0,0.0341,0.0432,0.52,0.106,0.882,109.841,4
44MAe7e2MbOPLnP3XWC8ie,"Silly Crush","Painted Woman","Masaki Matsubara",1983,251000,42,seankmchenry,2024-08-15T14:00:45Z,"classic city pop","Canyon International",0.626,0.462,2,-11.36,1,0.0715,0.0175,0.00000144,0.067,0.672,102.35,4
