Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7w5PnpLeeozVQoIY0hoGOl,"27fTuKAzfc53Y5jNBGjcML","The Venus Project","The Venus Project","Roldy Cezaire",2013-11-12,236444,0,spotify:user:seankmchenry,2023-01-09T15:48:26Z,"",0.874,0.635,3,-19.006,0,0.0841,0.605,0.871,0.167,0.572,120.007,4
1xVLB2Y5lrT6F8bcCB2unv,"27fTuKAzfc53Y5jNBGjcML","Mr. Right Now","The Venus Project","Roldy Cezaire",2013-11-12,231963,0,spotify:user:seankmchenry,2023-01-09T15:48:26Z,"",0.781,0.724,2,-14.467,0,0.0483,0.0998,0.0406,0.153,0.835,124.018,4
4a1KfqyWVeJHPj6wGRfTt2,"27fTuKAzfc53Y5jNBGjcML","Make It","The Venus Project","Roldy Cezaire",2013-11-12,263779,0,spotify:user:seankmchenry,2023-01-09T15:48:26Z,"",0.653,0.624,5,-13.473,0,0.0374,0.573,0.00563,0.413,0.552,115.965,4
2PKUKMU72M9ePV9fJJvIup,"27fTuKAzfc53Y5jNBGjcML","Lose My Mind","The Venus Project","Roldy Cezaire",2013-11-12,278771,0,spotify:user:seankmchenry,2023-01-09T15:48:26Z,"",0.696,0.726,2,-15.687,0,0.0453,0.449,0.566,0.0754,0.85,152.021,4
3KPZwhFjZkGJ6z1pZlGk75,"27fTuKAzfc53Y5jNBGjcML","Anna","The Venus Project","Roldy Cezaire",2013-11-12,162177,0,spotify:user:seankmchenry,2023-01-09T15:48:26Z,"",0.623,0.451,5,-18.224,0,0.141,0.68,0.46,0.123,0.749,120.029,4
1yArEf6F8oAOrBSsvxJq2x,"27fTuKAzfc53Y5jNBGjcML","Over","The Venus Project","Roldy Cezaire",2013-11-12,284529,0,spotify:user:seankmchenry,2023-01-09T15:48:26Z,"",0.588,0.297,0,-19.709,0,0.0316,0.724,0.449,0.0798,0.628,162.047,4
55ixVtGlNEZa5h8ePKMfQm,"27fTuKAzfc53Y5jNBGjcML","More Than Anything","The Venus Project","Roldy Cezaire",2013-11-12,288936,0,spotify:user:seankmchenry,2023-01-09T15:48:26Z,"",0.659,0.432,6,-16.027,0,0.044,0.843,0.967,0.168,0.434,102.964,4
0t034iG6foVWMRsndmyf2i,"27fTuKAzfc53Y5jNBGjcML","New Day","The Venus Project","Roldy Cezaire",2013-11-12,271952,0,spotify:user:seankmchenry,2023-01-09T15:48:26Z,"",0.857,0.893,6,-12.23,0,0.0614,0.509,0.631,0.138,0.883,119.994,4
0QLez6UOPuNiZbtVZLqr3E,"5GUk3rWHuBdfiYy8meSpuE","Second Degree","The Section","The Section",1972-08-30,299720,5,spotify:user:seankmchenry,2023-01-09T15:48:31Z,"",0.474,0.775,0,-11.079,1,0.09,0.283,0.751,0.233,0.156,125.531,4
7692TAPvYjACzjotWheUz3,"5GUk3rWHuBdfiYy8meSpuE","Same Old Same Old","The Section","The Section",1972-08-30,282921,4,spotify:user:seankmchenry,2023-01-09T15:48:31Z,"",0.663,0.247,0,-14.431,1,0.0685,0.795,0.853,0.102,0.214,109.841,4
