Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4ewRM5SP4YhmlfKhi5uSjS,"My Old Man","This Old Dog","Mac DeMarco",2017-05-05,221653,51,seankmchenry,2023-08-21T14:32:54Z,"edmonton indie,lo-fi indie,pov: indie,slacker rock","Captured Tracks",0.658,0.575,1,-11.493,1,0.0333,0.677,0.286,0.0985,0.83,149.275,4
2RwOqicYzwMSuzKzHx78jm,"This Old Dog","This Old Dog","Mac DeMarco",2017-05-05,150546,59,seankmchenry,2023-08-21T14:32:54Z,"edmonton indie,lo-fi indie,pov: indie,slacker rock","Captured Tracks",0.749,0.401,3,-10.856,1,0.0389,0.219,0.0956,0.206,0.614,138.827,4
6IvKEu4YwRYba9ZG6H7MIL,"Baby You're Out","This Old Dog","Mac DeMarco",2017-05-05,157720,51,seankmchenry,2023-08-21T14:32:54Z,"edmonton indie,lo-fi indie,pov: indie,slacker rock","Captured Tracks",0.717,0.58,11,-10.52,0,0.0486,0.429,0.287,0.0947,0.553,93.001,4
2R4AlwtrrkMaRKojcTIzmL,"For the First Time","This Old Dog","Mac DeMarco",2017-05-05,182306,81,seankmchenry,2023-08-21T14:32:54Z,"edmonton indie,lo-fi indie,pov: indie,slacker rock","Captured Tracks",0.551,0.529,5,-10.469,0,0.0517,0.296,0.0093,0.178,0.521,75.515,4
5gC8P6NwgqxcTYnwml5q5j,"One Another","This Old Dog","Mac DeMarco",2017-05-05,166213,53,seankmchenry,2023-08-21T14:32:54Z,"edmonton indie,lo-fi indie,pov: indie,slacker rock","Captured Tracks",0.82,0.579,5,-9.601,1,0.0279,0.196,0.184,0.113,0.847,104.93,4
4LpUpiYoZ2M3Z1kmhn4EQo,"Still Beating","This Old Dog","Mac DeMarco",2017-05-05,181586,71,seankmchenry,2023-08-21T14:32:54Z,"edmonton indie,lo-fi indie,pov: indie,slacker rock","Captured Tracks",0.709,0.496,1,-10.528,0,0.0417,0.581,0.191,0.151,0.469,78.477,4
5KW11tUGHVDBbyoPuqG4U9,"Sister","This Old Dog","Mac DeMarco",2017-05-05,78066,47,seankmchenry,2023-08-21T14:32:54Z,"edmonton indie,lo-fi indie,pov: indie,slacker rock","Captured Tracks",0.696,0.0209,11,-18.118,0,0.0608,0.985,0.102,0.109,0.481,126.146,4
49iNhnDmNnHYxPvEIVtPiN,"Dreams from Yesterday","This Old Dog","Mac DeMarco",2017-05-05,207160,51,seankmchenry,2023-08-21T14:32:54Z,"edmonton indie,lo-fi indie,pov: indie,slacker rock","Captured Tracks",0.857,0.368,7,-10.87,1,0.041,0.0611,0.000508,0.0703,0.723,97.509,4
5Bc2A2xlkRhe3POKAFo1Rg,"A Wolf Who Wears Sheeps Clothes","This Old Dog","Mac DeMarco",2017-05-05,169066,48,seankmchenry,2023-08-21T14:32:54Z,"edmonton indie,lo-fi indie,pov: indie,slacker rock","Captured Tracks",0.828,0.538,5,-8.559,0,0.0383,0.276,0.0485,0.0828,0.701,115.046,4
0v8J17a6cO0wWp7z731GTd,"One More Love Song","This Old Dog","Mac DeMarco",2017-05-05,241066,67,seankmchenry,2023-08-21T14:32:54Z,"edmonton indie,lo-fi indie,pov: indie,slacker rock","Captured Tracks",0.708,0.323,9,-11.199,0,0.03,0.765,0.52,0.0939,0.502,141.013,4
4RpwQDPnn1GhWpZooUcCzd,"On the Level","This Old Dog","Mac DeMarco",2017-05-05,227653,65,seankmchenry,2023-08-21T14:32:54Z,"edmonton indie,lo-fi indie,pov: indie,slacker rock","Captured Tracks",0.573,0.473,8,-10.838,0,0.0269,0.0927,0.398,0.199,0.523,77.494,4
2fhOljbX79loRcdl47SFye,"Moonlight on the River","This Old Dog","Mac DeMarco",2017-05-05,422613,76,seankmchenry,2023-08-21T14:32:54Z,"edmonton indie,lo-fi indie,pov: indie,slacker rock","Captured Tracks",0.662,0.478,9,-8.631,1,0.0451,0.252,0.833,0.216,0.43,139.98,4
2QzKAF0y1BQhxwg8N05Uog,"Watching Him Fade Away","This Old Dog","Mac DeMarco",2017-05-05,143080,71,seankmchenry,2023-08-21T14:32:54Z,"edmonton indie,lo-fi indie,pov: indie,slacker rock","Captured Tracks",0.74,0.072,3,-17.984,1,0.0713,0.981,0.00698,0.111,0.297,139.081,4
