Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3ufLGsgYAiwIKyAJatdCvK,"Baby Come Home","Sketches from an Island","Mark Barrott",2014-06-02,262330,23,seankmchenry,2024-08-26T11:41:16Z,"balearic","International Feel",0.673,0.823,7,-9.172,1,0.0355,0.585,0.785,0.186,0.985,81.016,4
5hYAGn1z7uaq0djtQpVKQk,"Dr Nimm's Garden Of Intruigue And Delight","Sketches from an Island","Mark Barrott",2014-06-02,262070,4,seankmchenry,2024-08-26T11:41:16Z,"balearic","International Feel",0.666,0.448,0,-13.235,1,0.0412,0.448,0.321,0.0991,0.967,141.993,4
7hz1e69fAlj3OuRkVlmO7v,"Go Berri Be Happy","Sketches from an Island","Mark Barrott",2014-06-02,286666,3,seankmchenry,2024-08-26T11:41:16Z,"balearic","International Feel",0.712,0.655,5,-12.498,1,0.0756,0.477,0.659,0.103,0.75,107.992,3
5UoF6zqFRBnoImJFi4ILlr,"Essene","Sketches from an Island","Mark Barrott",2014-06-02,241040,5,seankmchenry,2024-08-26T11:41:16Z,"balearic","International Feel",0.519,0.232,5,-23.801,1,0.0342,0.93,0.917,0.0921,0.464,139.913,4
2i3F9OcMAyq9xhHczvUxeT,"Formentera Headspace Blues (Pts. 1 & 2)","Sketches from an Island","Mark Barrott",2014-06-02,541276,3,seankmchenry,2024-08-26T11:41:16Z,"balearic","International Feel",0.742,0.626,0,-14.617,1,0.048,0.634,0.9,0.105,0.405,101.009,4
7cNfEVNqL06UtagUgKN2lB,"Deep Water","Sketches from an Island","Mark Barrott",2014-06-02,357909,18,seankmchenry,2024-08-26T11:41:16Z,"balearic","International Feel",0.512,0.457,10,-15.406,1,0.0295,0.771,0.891,0.0824,0.32,140.009,4
6siL0zwlgCPacu1J3cgnof,"Island Life","Sketches from an Island","Mark Barrott",2014-06-02,257254,5,seankmchenry,2024-08-26T11:41:16Z,"balearic","International Feel",0.58,0.225,1,-17.274,1,0.0368,0.96,0.896,0.0927,0.635,93.005,3
06rc918XOeu0g2FrLEg9Rd,"Back to the Sea","Sketches from an Island","Mark Barrott",2014-06-02,144340,5,seankmchenry,2024-08-26T11:41:16Z,"balearic","International Feel",0.136,0.558,0,-19.098,1,0.1,0.955,0.923,0.853,0.497,73.005,4
16dLsIQ6BksCu60IDmm91r,"Bush Society","Bush Society","Mark Barrott",2015-04-27,645783,26,seankmchenry,2024-08-26T11:41:18Z,"balearic","International Feel Recordings",0.719,0.722,10,-9.642,0,0.0458,0.447,0.85,0.182,0.173,107.003,4
7CElqYeZiteTmYJ113R1Kh,"Saviours Or Savages?","Bush Society","Mark Barrott",2015-04-27,313478,4,seankmchenry,2024-08-26T11:41:18Z,"balearic","International Feel Recordings",0.708,0.691,0,-9.338,0,0.0637,0.0321,0.845,0.0624,0.224,104.991,4
2tYJi51gbkBr6rWtGKQ1XT,"Brunch With Suki - CFCF Mix","Remixes From An Island","Mark Barrott,CFCF",2016-10-07,372600,5,seankmchenry,2024-08-26T11:41:19Z,"balearic","International Feel Recordings",0.679,0.749,9,-11.246,0,0.0566,0.134,0.891,0.0531,0.857,82.002,4
5PTJSJlsRGTp6rMWkXfIA0,"Over At Dieter’s Place - Luis Delgado Mix","Remixes From An Island","Mark Barrott,Luis Delgado",2016-10-07,246994,2,seankmchenry,2024-08-26T11:41:19Z,"balearic","International Feel Recordings",0.471,0.375,0,-14.679,1,0.048,0.17,0.427,0.102,0.133,197.761,4
4BudTZUgeFAbK3ibkK1atc,"The Mysterious Island Of Dr Nimm - Nu Guinea’s Aquarium Mix","Remixes From An Island","Mark Barrott,Nu Guinea",2016-10-07,315651,17,seankmchenry,2024-08-26T11:41:19Z,"balearic","International Feel Recordings",0.825,0.514,0,-9.082,1,0.0414,0.226,0.00888,0.326,0.674,109.922,4
25hJfw2GUWubHbD0K9FMxw,"Der Stern, Der Nie Vergeht - Domenique Dumont Mix","Remixes From An Island","Mark Barrott,Domenique Dumont",2016-10-07,488892,3,seankmchenry,2024-08-26T11:41:19Z,"balearic,experimental pop,fluxwork,fourth world","International Feel Recordings",0.649,0.924,0,-8.32,1,0.0421,0.322,0.875,0.104,0.788,175.976,4
4FeGoquZz4ShR280GEtUyY,"Brunch With Suki","Sketches From An Island 2","Mark Barrott",2016-07-01,224428,31,seankmchenry,2024-08-26T11:41:21Z,"balearic","International Feel Recordings",0.745,0.541,1,-10.331,1,0.0398,0.213,0.931,0.0796,0.895,97.997,4
2fXW2oX4n0oylfI4TMDlze,"Over At Dieter’s Place","Sketches From An Island 2","Mark Barrott",2016-07-01,200906,13,seankmchenry,2024-08-26T11:41:21Z,"balearic","International Feel Recordings",0.636,0.382,0,-14.882,1,0.0338,0.801,0.925,0.063,0.45,98.982,4
6WNLcOcYXtKpCcYDR42XLn,"Driving To Cap Negret","Sketches From An Island 2","Mark Barrott",2016-07-01,267567,9,seankmchenry,2024-08-26T11:41:21Z,"balearic","International Feel Recordings",0.551,0.5,5,-10.713,1,0.0238,0.627,0.714,0.0795,0.612,100.984,4
7pCOhjUDWxX9qajQUALRRq,"Winter Sunset Sky","Sketches From An Island 2","Mark Barrott",2016-07-01,322715,8,seankmchenry,2024-08-26T11:41:21Z,"balearic","International Feel Recordings",0.337,0.367,0,-15.371,1,0.0325,0.938,0.945,0.142,0.109,129.092,5
5Sp9T1agZ8xfRcgfDvj8E5,"Distant Storms At Sea","Sketches From An Island 2","Mark Barrott",2016-07-01,370021,4,seankmchenry,2024-08-26T11:41:21Z,"balearic","International Feel Recordings",0.477,0.496,5,-12.804,1,0.034,0.887,0.916,0.118,0.286,106.562,4
3CLLThUqGL2SMFNI73X9rh,"Cirrus & Cumulus","Sketches From An Island 2","Mark Barrott",2016-07-01,310499,16,seankmchenry,2024-08-26T11:41:21Z,"balearic","International Feel Recordings",0.648,0.584,10,-13.827,1,0.0546,0.95,0.891,0.0641,0.412,102.012,4
6ATHBFjodpYqLoafVk0zxj,"Der Stern, Der Nie Vergeht","Sketches From An Island 2","Mark Barrott",2016-07-01,345219,5,seankmchenry,2024-08-26T11:41:21Z,"balearic","International Feel Recordings",0.414,0.511,7,-14.881,1,0.0366,0.849,0.961,0.125,0.307,191.962,4
4MKRlKNVqgPwPZVQV6bnXR,"Forgotten Island","Sketches From An Island 2","Mark Barrott",2016-07-01,174638,4,seankmchenry,2024-08-26T11:41:21Z,"balearic","International Feel Recordings",0.119,0.0453,9,-23.644,0,0.0454,0.975,0.963,0.104,0.125,178.641,3
2fwH9xRuSrnyZQmntyWHmS,"One Slow Thought","Sketches From An Island 2","Mark Barrott",2016-07-01,411411,5,seankmchenry,2024-08-26T11:41:21Z,"balearic","International Feel Recordings",0.293,0.164,0,-21.154,1,0.0355,0.569,0.931,0.555,0.331,95.599,4
0IMAeqvj5PkAw1QfYyG2w8,"Right 4 Me","Sketches From An Island 3","Mark Barrott",2015-07-17,289281,10,seankmchenry,2024-08-26T11:41:24Z,"balearic","International Feel Recordings",0.512,0.728,0,-9.018,1,0.051,0.0277,0.501,0.0921,0.515,184.08,4
2KcIPHennfO5lezTy57IE6,"The Mysterious Island Of Dr Nimm","Sketches From An Island 3","Mark Barrott",2015-07-17,273741,0,seankmchenry,2024-08-26T11:41:24Z,"balearic","International Feel Recordings",0.572,0.787,7,-11.787,1,0.151,0.105,0.934,0.0468,0.859,198.074,4
7JHXBAcvBT51IkNCP5yeJn,"Cirrus & Cumulus","Sketches From An Island 3","Mark Barrott",2015-07-17,310499,1,seankmchenry,2024-08-26T11:41:24Z,"balearic","International Feel Recordings",0.648,0.584,10,-13.827,1,0.0546,0.95,0.891,0.0641,0.412,102.012,4
1UYbGyoJwUpLIyOAbx30kD,"Der Stern, Der Nie Vergeht","Sketches From An Island 3","Mark Barrott",2015-07-17,345219,1,seankmchenry,2024-08-26T11:41:24Z,"balearic","International Feel Recordings",0.414,0.511,7,-14.881,1,0.0366,0.849,0.961,0.125,0.307,191.962,4
