Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5q0OF4evboJpmtEF7W7UFV,"0FI0kxP0BWurTz8cB8BBug","The Rocks and the Water","Local Hero","Mark Knopfler",1983-12-15,208040,11,spotify:user:seankmchenry,2022-05-23T19:10:09Z,"album rock,classic rock,folk rock,mellow gold",0.117,0.00311,10,-39.358,1,0.0409,0.962,0.917,0.0841,0.0627,80.636,4
4oYRhtwL08DnoMVXa2qbZP,"0FI0kxP0BWurTz8cB8BBug","Wild Theme","Local Hero","Mark Knopfler",1983-12-15,219026,14,spotify:user:seankmchenry,2022-05-23T19:10:09Z,"album rock,classic rock,folk rock,mellow gold",0.49,0.0834,0,-23.008,1,0.0333,0.871,0.861,0.107,0.188,91.779,4
4YTOV1oUShZvMup1X4CHKh,"0FI0kxP0BWurTz8cB8BBug","Freeway Flyer","Local Hero","Mark Knopfler",1983-12-15,109240,10,spotify:user:seankmchenry,2022-05-23T19:10:09Z,"album rock,classic rock,folk rock,mellow gold",0.539,0.825,11,-14.062,0,0.037,0.0128,0.785,0.339,0.924,138.025,4
6u8sGTXPw6JIJp7fuL0KZl,"0FI0kxP0BWurTz8cB8BBug","Boomtown (Variation Louis' Favourite)","Local Hero","Mark Knopfler",1983-12-15,252866,10,spotify:user:seankmchenry,2022-05-23T19:10:09Z,"album rock,classic rock,folk rock,mellow gold",0.635,0.255,5,-18.886,1,0.0329,0.145,0.747,0.0893,0.147,118.99,3
0RQB3Dm1x56hz5pNxbgfSB,"0FI0kxP0BWurTz8cB8BBug","The Way it Always Starts","Local Hero","Mark Knopfler",1983-12-15,244160,10,spotify:user:seankmchenry,2022-05-23T19:10:09Z,"album rock,classic rock,folk rock,mellow gold",0.495,0.397,4,-15.047,1,0.028,0.219,0.556,0.107,0.327,99.291,4
6ZsvAXqMYO4UmrfHaXY06t,"0FI0kxP0BWurTz8cB8BBug","The Rocks and the Thunder 1","Local Hero","Mark Knopfler",1983-12-15,38106,10,spotify:user:seankmchenry,2022-05-23T19:10:09Z,"album rock,classic rock,folk rock,mellow gold",0.183,0.00176,6,-31.79,0,0.0396,0.967,0.891,0.105,0.0532,89.064,3
1jHtbsGI5rWequt06dNxD5,"0FI0kxP0BWurTz8cB8BBug","The Ceilidh and the Northern Lights","Local Hero","Mark Knopfler",1983-12-15,214906,9,spotify:user:seankmchenry,2022-05-23T19:10:09Z,"album rock,classic rock,folk rock,mellow gold",0.205,0.257,5,-20.304,1,0.0362,0.459,0.935,0.378,0.0973,87.983,4
6OhL5HU8gyrGA5SJFa3VGd,"0FI0kxP0BWurTz8cB8BBug","The Mist Covered Mountains","Local Hero","Mark Knopfler",1983-12-15,288706,10,spotify:user:seankmchenry,2022-05-23T19:10:09Z,"album rock,classic rock,folk rock,mellow gold",0.189,0.279,9,-22.619,0,0.0513,0.731,0.973,0.339,0.15,115.072,3
64U00GMICst00TkGWW7Z0b,"0FI0kxP0BWurTz8cB8BBug","The Ceilidh Louis' Favourite, Billy's Tune","Local Hero","Mark Knopfler",1983-12-15,229293,8,spotify:user:seankmchenry,2022-05-23T19:10:09Z,"album rock,classic rock,folk rock,mellow gold",0.506,0.233,9,-20.155,1,0.0456,0.213,0.564,0.202,0.668,110.645,4
0jNsDGdtM7wToV8MGxdmpp,"0FI0kxP0BWurTz8cB8BBug","Whistle Theme","Local Hero","Mark Knopfler",1983-12-15,52840,9,spotify:user:seankmchenry,2022-05-23T19:10:09Z,"album rock,classic rock,folk rock,mellow gold",0.364,0.0627,2,-27.02,1,0.0613,0.933,0.922,0.117,0.264,91.979,4
7GQm9LWZuNI5v6iLlDe1F7,"0FI0kxP0BWurTz8cB8BBug","Smooching","Local Hero","Mark Knopfler",1983-12-15,301266,10,spotify:user:seankmchenry,2022-05-23T19:10:09Z,"album rock,classic rock,folk rock,mellow gold",0.69,0.108,2,-20.434,1,0.0327,0.911,0.804,0.103,0.18,99.141,4
2sIXd3i8wfHJVWgmvIQFrw,"0FI0kxP0BWurTz8cB8BBug","Stargazing","Local Hero","Mark Knopfler",1983-12-15,95106,9,spotify:user:seankmchenry,2022-05-23T19:10:09Z,"album rock,classic rock,folk rock,mellow gold",0.192,0.0791,10,-20.09,1,0.0497,0.936,0.962,0.103,0.0352,130.497,4
1KEqrwmt2nfXXYb860pg1i,"0FI0kxP0BWurTz8cB8BBug","The Rocks and the Thunder","Local Hero","Mark Knopfler",1983-12-15,50546,9,spotify:user:seankmchenry,2022-05-23T19:10:09Z,"album rock,classic rock,folk rock,mellow gold",0.0671,0.00339,9,-31.25,1,0.0396,0.942,0.98,0.108,0.106,72.385,3
1jEcL7Aq9dF5tvVXEoPCk0,"0FI0kxP0BWurTz8cB8BBug","Going Home (Theme of the Local Hero)","Local Hero","Mark Knopfler",1983-12-15,301293,14,spotify:user:seankmchenry,2022-05-23T19:10:09Z,"album rock,classic rock,folk rock,mellow gold",0.421,0.348,2,-15.329,1,0.0318,0.0746,0.856,0.0999,0.0739,109.688,4
4jdnsZilesxzdlLK0AhSfN,"4dZrt8Ong5t7YYpvbfp0RU,0FI0kxP0BWurTz8cB8BBug","Poor Boy Blues","Neck And Neck","Chet Atkins,Mark Knopfler",1990-10-09,241600,24,spotify:user:seankmchenry,2022-05-23T19:10:11Z,"nashville sound,album rock,classic rock,folk rock,mellow gold",0.619,0.8,4,-12.918,1,0.0287,0.144,0.641,0.225,0.943,92.999,4
4z96W9h0tlw4pQgE8xctgU,"4dZrt8Ong5t7YYpvbfp0RU,0FI0kxP0BWurTz8cB8BBug","Sweet Dreams","Neck And Neck","Chet Atkins,Mark Knopfler",1990-10-09,203973,21,spotify:user:seankmchenry,2022-05-23T19:10:11Z,"nashville sound,album rock,classic rock,folk rock,mellow gold",0.666,0.0986,9,-22.944,1,0.0338,0.823,0.57,0.126,0.387,85.594,4
6IEjcFyfMHwQbe26jLojUj,"4dZrt8Ong5t7YYpvbfp0RU,0FI0kxP0BWurTz8cB8BBug","There'll Be Some Changes Made","Neck And Neck","Chet Atkins,Mark Knopfler",1990-10-09,387600,28,spotify:user:seankmchenry,2022-05-23T19:10:11Z,"nashville sound,album rock,classic rock,folk rock,mellow gold",0.753,0.34,11,-17.994,0,0.046,0.448,0.0338,0.153,0.62,94.954,4
6fZ0FoaHfBf9AlgkIC1CxS,"4dZrt8Ong5t7YYpvbfp0RU,0FI0kxP0BWurTz8cB8BBug","Just In Time","Neck And Neck","Chet Atkins,Mark Knopfler",1990-10-09,251293,21,spotify:user:seankmchenry,2022-05-23T19:10:11Z,"nashville sound,album rock,classic rock,folk rock,mellow gold",0.655,0.462,9,-14.485,1,0.0285,0.235,0.4,0.15,0.93,92.449,4
2TEcF3P8qLqtH9M2dmpalZ,"4dZrt8Ong5t7YYpvbfp0RU,0FI0kxP0BWurTz8cB8BBug","So Soft, Your Goodbye","Neck And Neck","Chet Atkins,Mark Knopfler",1990-10-09,196040,14,spotify:user:seankmchenry,2022-05-23T19:10:11Z,"nashville sound,album rock,classic rock,folk rock,mellow gold",0.472,0.0466,0,-20.043,1,0.0313,0.969,0.489,0.111,0.0961,99.714,3
5RSRuJXC5UZBQFF90NTRpf,"4dZrt8Ong5t7YYpvbfp0RU,0FI0kxP0BWurTz8cB8BBug","Yakety Axe","Neck And Neck","Chet Atkins,Mark Knopfler",1990-10-09,204160,22,spotify:user:seankmchenry,2022-05-23T19:10:11Z,"nashville sound,album rock,classic rock,folk rock,mellow gold",0.735,0.548,9,-14.417,1,0.0298,0.696,0.00773,0.0419,0.877,97.3,4
0XDnHhEpC66Fo1J4nZR17k,"4dZrt8Ong5t7YYpvbfp0RU,0FI0kxP0BWurTz8cB8BBug","Tears","Neck And Neck","Chet Atkins,Mark Knopfler",1990-10-09,233506,14,spotify:user:seankmchenry,2022-05-23T19:10:11Z,"nashville sound,album rock,classic rock,folk rock,mellow gold",0.585,0.0456,9,-27.017,0,0.0301,0.774,0.867,0.116,0.197,87.295,4
0If5ARessqOmmq1Aqx7Ymv,"4dZrt8Ong5t7YYpvbfp0RU,0FI0kxP0BWurTz8cB8BBug","Tahitian Skies","Neck And Neck","Chet Atkins,Mark Knopfler",1990-10-09,198200,18,spotify:user:seankmchenry,2022-05-23T19:10:11Z,"nashville sound,album rock,classic rock,folk rock,mellow gold",0.678,0.0495,2,-22.19,1,0.0368,0.637,0.889,0.106,0.265,95.263,4
0UWtOzIUvAey8NatekTjRQ,"4dZrt8Ong5t7YYpvbfp0RU,0FI0kxP0BWurTz8cB8BBug","I'll See You In My Dreams","Neck And Neck","Chet Atkins,Mark Knopfler",1990-10-09,178266,20,spotify:user:seankmchenry,2022-05-23T19:10:11Z,"nashville sound,album rock,classic rock,folk rock,mellow gold",0.565,0.294,0,-19.909,1,0.0561,0.17,0.909,0.105,0.796,190.583,4
0uJoyxJoQQLQHVCxhuE2zG,"4dZrt8Ong5t7YYpvbfp0RU,0FI0kxP0BWurTz8cB8BBug","The Next Time I'm In Town","Neck And Neck","Chet Atkins,Mark Knopfler",1990-10-09,201733,24,spotify:user:seankmchenry,2022-05-23T19:10:11Z,"nashville sound,album rock,classic rock,folk rock,mellow gold",0.656,0.303,4,-15.769,1,0.0329,0.447,0.0084,0.111,0.842,83.412,4
28nMj4BCGhixwVFvR2in6s,"0FI0kxP0BWurTz8cB8BBug","Darling Pretty","Golden Heart","Mark Knopfler",1996-03-26,271133,28,spotify:user:seankmchenry,2022-05-23T19:10:13Z,"album rock,classic rock,folk rock,mellow gold",0.57,0.524,9,-8.955,1,0.0249,0.235,0.529,0.305,0.568,94.632,4
4yRntvezIHMTQyqZA6jMp2,"0FI0kxP0BWurTz8cB8BBug","Imelda","Golden Heart","Mark Knopfler",1996-03-26,326173,16,spotify:user:seankmchenry,2022-05-23T19:10:13Z,"album rock,classic rock,folk rock,mellow gold",0.567,0.78,7,-7.102,1,0.0255,0.0283,0.0913,0.307,0.597,112.159,4
1mVW4t1sh2wwPa5x85Avxv,"0FI0kxP0BWurTz8cB8BBug","Golden Heart","Golden Heart","Mark Knopfler",1996-03-26,301093,34,spotify:user:seankmchenry,2022-05-23T19:10:13Z,"album rock,classic rock,folk rock,mellow gold",0.6,0.32,7,-12.646,1,0.0313,0.723,0.432,0.124,0.151,124.096,4
3N6wU91JIE2iUJDInSuOz4,"0FI0kxP0BWurTz8cB8BBug","No Can Do","Golden Heart","Mark Knopfler",1996-03-26,294200,14,spotify:user:seankmchenry,2022-05-23T19:10:13Z,"album rock,classic rock,folk rock,mellow gold",0.634,0.766,2,-9.29,1,0.0304,0.538,0.794,0.126,0.707,100.939,4
1a7V93X8GtT6NGA5LE7YBA,"0FI0kxP0BWurTz8cB8BBug","Vic and Ray","Golden Heart","Mark Knopfler",1996-03-26,276333,12,spotify:user:seankmchenry,2022-05-23T19:10:13Z,"album rock,classic rock,folk rock,mellow gold",0.601,0.214,2,-16.407,1,0.0277,0.898,0.831,0.0849,0.2,100.596,4
6T4rvjEN19yeCpil5iSTKk,"0FI0kxP0BWurTz8cB8BBug","Don't You Get It","Golden Heart","Mark Knopfler",1996-03-26,316706,15,spotify:user:seankmchenry,2022-05-23T19:10:13Z,"album rock,classic rock,folk rock,mellow gold",0.578,0.786,9,-8.473,0,0.035,0.535,0.646,0.122,0.848,97.994,4
6sOsjSmv8JRIT43sM35OEu,"0FI0kxP0BWurTz8cB8BBug","A Night in Summer Long Ago","Golden Heart","Mark Knopfler",1996-03-26,283093,21,spotify:user:seankmchenry,2022-05-23T19:10:13Z,"album rock,classic rock,folk rock,mellow gold",0.306,0.261,2,-13.285,1,0.0276,0.179,0.00000113,0.0996,0.381,91.01,4
64w5CCS4TQ601kDLd0NN0A,"0FI0kxP0BWurTz8cB8BBug","Cannibals","Golden Heart","Mark Knopfler",1996-03-26,221333,30,spotify:user:seankmchenry,2022-05-23T19:10:13Z,"album rock,classic rock,folk rock,mellow gold",0.589,0.55,4,-8.926,1,0.0973,0.417,0.207,0.122,0.966,173,4
2cH9tCkDcy143jrZShOsuR,"0FI0kxP0BWurTz8cB8BBug","I'm the Fool","Golden Heart","Mark Knopfler",1996-03-26,268373,16,spotify:user:seankmchenry,2022-05-23T19:10:13Z,"album rock,classic rock,folk rock,mellow gold",0.706,0.395,0,-11.281,1,0.0264,0.714,0.562,0.18,0.425,105.826,4
1poDbXA8E0C4uIeUGoshb9,"0FI0kxP0BWurTz8cB8BBug","Je Suis Desole","Golden Heart","Mark Knopfler",1996-03-26,314626,19,spotify:user:seankmchenry,2022-05-23T19:10:13Z,"album rock,classic rock,folk rock,mellow gold",0.571,0.739,11,-10.898,0,0.0329,0.494,0.00137,0.105,0.669,101.447,4
71nvjwzDSwGov3u2albPBM,"0FI0kxP0BWurTz8cB8BBug","Rudiger","Golden Heart","Mark Knopfler",1996-03-26,363400,16,spotify:user:seankmchenry,2022-05-23T19:10:13Z,"album rock,classic rock,folk rock,mellow gold",0.696,0.335,0,-14.66,1,0.0305,0.63,0.745,0.0968,0.219,121.781,4
2YwcaJAMxAAQUlKdmhPzCs,"0FI0kxP0BWurTz8cB8BBug","Nobody's Got the Gun","Golden Heart","Mark Knopfler",1996-03-26,325773,14,spotify:user:seankmchenry,2022-05-23T19:10:13Z,"album rock,classic rock,folk rock,mellow gold",0.723,0.435,0,-11.65,1,0.0293,0.585,0.266,0.1,0.62,102.795,4
2YFD26pzDyPT3ZTkQy4ejt,"0FI0kxP0BWurTz8cB8BBug","Done with Bonaparte","Golden Heart","Mark Knopfler",1996-03-26,306066,24,spotify:user:seankmchenry,2022-05-23T19:10:13Z,"album rock,classic rock,folk rock,mellow gold",0.501,0.56,10,-11.307,1,0.0318,0.229,0.000891,0.404,0.715,97.498,4
6RLRrhRIsQGEEaedIbr5Na,"0FI0kxP0BWurTz8cB8BBug","Are We in Trouble Now","Golden Heart","Mark Knopfler",1996-03-26,354800,25,spotify:user:seankmchenry,2022-05-23T19:10:13Z,"album rock,classic rock,folk rock,mellow gold",0.566,0.369,2,-10.888,1,0.0245,0.653,0.425,0.105,0.446,89.388,4
4R9Hjv2NDpGODwuvdQ7oiA,"0FI0kxP0BWurTz8cB8BBug","Wag The Dog","Wag The Dog","Mark Knopfler",1998-01-13,282733,22,spotify:user:seankmchenry,2022-05-23T19:10:15Z,"album rock,classic rock,folk rock,mellow gold",0.858,0.506,7,-8.224,1,0.0371,0.489,0.443,0.0811,0.928,111.175,4
4sHHlbAhMQDMBDMC93LDmF,"0FI0kxP0BWurTz8cB8BBug","Working On It","Wag The Dog","Mark Knopfler",1998-01-13,203333,25,spotify:user:seankmchenry,2022-05-23T19:10:15Z,"album rock,classic rock,folk rock,mellow gold",0.616,0.385,7,-15.421,1,0.0302,0.301,0.8,0.119,0.212,100.107,4
4e5CE3xvHZ08nqySpbbaxO,"0FI0kxP0BWurTz8cB8BBug","In The Heartland","Wag The Dog","Mark Knopfler",1998-01-13,160360,22,spotify:user:seankmchenry,2022-05-23T19:10:15Z,"album rock,classic rock,folk rock,mellow gold",0.423,0.364,4,-13.653,1,0.0341,0.818,0.9,0.127,0.523,163.688,4
4rL2QuYOtrxMrCSy5RAdMz,"0FI0kxP0BWurTz8cB8BBug","An American Hero","Wag The Dog","Mark Knopfler",1998-01-13,119133,18,spotify:user:seankmchenry,2022-05-23T19:10:15Z,"album rock,classic rock,folk rock,mellow gold",0.573,0.407,9,-12.749,0,0.0264,0.274,0.775,0.107,0.118,95.964,4
3tiUia9IXgKTaLRX25xNM9,"0FI0kxP0BWurTz8cB8BBug","Just Instinct","Wag The Dog","Mark Knopfler",1998-01-13,91786,18,spotify:user:seankmchenry,2022-05-23T19:10:15Z,"album rock,classic rock,folk rock,mellow gold",0.494,0.412,11,-14.202,0,0.0669,0.772,0.913,0.107,0.871,138.576,4
2jKYHGLk4hpSvkzYE8i4fu,"0FI0kxP0BWurTz8cB8BBug","Stretching Out","Wag The Dog","Mark Knopfler",1998-01-13,254560,21,spotify:user:seankmchenry,2022-05-23T19:10:15Z,"album rock,classic rock,folk rock,mellow gold",0.778,0.332,8,-14.187,0,0.0428,0.428,0.82,0.102,0.906,110.132,4
5N8d4xyx1clxrb8JxlTY03,"0FI0kxP0BWurTz8cB8BBug","Drooling National","Wag The Dog","Mark Knopfler",1998-01-13,110733,14,spotify:user:seankmchenry,2022-05-23T19:10:15Z,"album rock,classic rock,folk rock,mellow gold",0.488,0.693,7,-14.279,1,0.0582,0.662,0.874,0.0969,0.279,120.497,4
7uOiPUa1xaxpMyeENraDmJ,"0FI0kxP0BWurTz8cB8BBug","We're Going To War","Wag The Dog","Mark Knopfler",1998-01-13,203866,16,spotify:user:seankmchenry,2022-05-23T19:10:15Z,"album rock,classic rock,folk rock,mellow gold",0.77,0.379,7,-12.715,1,0.034,0.00861,0.744,0.0905,0.775,110.138,4
1RVZH0clK31T3qB4eZykLp,"0FI0kxP0BWurTz8cB8BBug","What It Is","Sailing to Philadelphia","Mark Knopfler",2000-09-26,297666,42,spotify:user:seankmchenry,2022-05-23T19:10:18Z,"album rock,classic rock,folk rock,mellow gold",0.625,0.672,6,-7.261,0,0.0283,0.642,0.233,0.28,0.482,122.087,4
5dFbGFPR2GkgIPvfnAo3R3,"0FI0kxP0BWurTz8cB8BBug","Sailing to Philadelphia","Sailing to Philadelphia","Mark Knopfler",2000-09-26,329866,36,spotify:user:seankmchenry,2022-05-23T19:10:18Z,"album rock,classic rock,folk rock,mellow gold",0.603,0.427,6,-11.072,0,0.0247,0.731,0.0576,0.094,0.207,99.128,4
2L1jm7YjLZa3SwqyUbd2wD,"0FI0kxP0BWurTz8cB8BBug","Who's Your Baby Now","Sailing to Philadelphia","Mark Knopfler",2000-09-26,185933,21,spotify:user:seankmchenry,2022-05-23T19:10:18Z,"album rock,classic rock,folk rock,mellow gold",0.576,0.583,0,-6.633,1,0.0272,0.298,0.0382,0.179,0.648,136.7,4
6no64fl6FUtwxXwuUZZywC,"0FI0kxP0BWurTz8cB8BBug","Baloney Again","Sailing to Philadelphia","Mark Knopfler",2000-09-26,309773,21,spotify:user:seankmchenry,2022-05-23T19:10:18Z,"album rock,classic rock,folk rock,mellow gold",0.56,0.399,11,-12.372,0,0.0361,0.576,0.0303,0.0895,0.208,171.991,4
2KaFTQLcLNkqndrcgv1P6q,"0FI0kxP0BWurTz8cB8BBug","The Last Laugh","Sailing to Philadelphia","Mark Knopfler",2000-09-26,202226,28,spotify:user:seankmchenry,2022-05-23T19:10:18Z,"album rock,classic rock,folk rock,mellow gold",0.527,0.199,4,-10.46,1,0.0378,0.879,0.0166,0.122,0.479,85.26,4
35wlkUqgimEHR8m1weupnk,"0FI0kxP0BWurTz8cB8BBug","Do America","Sailing to Philadelphia","Mark Knopfler",2000-09-26,252440,18,spotify:user:seankmchenry,2022-05-23T19:10:18Z,"album rock,classic rock,folk rock,mellow gold",0.595,0.768,2,-7.154,1,0.0314,0.201,0.0646,0.0687,0.792,98.128,4
3tx61swj6GeVNkUqGI7Ve2,"0FI0kxP0BWurTz8cB8BBug","El Macho","Sailing to Philadelphia","Mark Knopfler",2000-09-26,329933,21,spotify:user:seankmchenry,2022-05-23T19:10:18Z,"album rock,classic rock,folk rock,mellow gold",0.773,0.44,4,-10.565,0,0.035,0.334,0.469,0.0863,0.844,121.282,4
0c6U9M4N00Vz0VNUjTeKlb,"0FI0kxP0BWurTz8cB8BBug","Prairie Wedding","Sailing to Philadelphia","Mark Knopfler",2000-09-26,266800,27,spotify:user:seankmchenry,2022-05-23T19:10:18Z,"album rock,classic rock,folk rock,mellow gold",0.539,0.341,5,-14.765,0,0.0299,0.526,0.0984,0.125,0.182,81.787,3
7a1UUCTVz9cXZkUbe2zsxt,"0FI0kxP0BWurTz8cB8BBug","Wanderlust","Sailing to Philadelphia","Mark Knopfler",2000-09-26,232693,19,spotify:user:seankmchenry,2022-05-23T19:10:18Z,"album rock,classic rock,folk rock,mellow gold",0.4,0.243,7,-17.352,1,0.221,0.767,0.547,0.0769,0.216,172.351,4
