Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4FRyCTt2a3rIdBvaKV8pfk,"0Xi59sEw38vRvwleSAVqoo","All Around Cowboy","All Around Cowboy","Marty Robbins",1979,183960,30,spotify:user:seankmchenry,2022-10-21T13:22:46Z,"cowboy western,nashville sound",0.663,0.372,0,-12.226,1,0.0327,0.802,0,0.0967,0.612,96.351,3
4YtvKJjiU5p3SV9EQIuZdv,"0Xi59sEw38vRvwleSAVqoo","The Dreamer","All Around Cowboy","Marty Robbins",1979,241613,14,spotify:user:seankmchenry,2022-10-21T13:22:46Z,"cowboy western,nashville sound",0.603,0.23,2,-14.686,1,0.0323,0.889,0.00195,0.127,0.483,100.885,3
1nG7aplzCjl37v5Cfv41e4,"0Xi59sEw38vRvwleSAVqoo","Pride and the Badge","All Around Cowboy","Marty Robbins",1979,352506,29,spotify:user:seankmchenry,2022-10-21T13:22:46Z,"cowboy western,nashville sound",0.63,0.238,1,-15.392,1,0.0446,0.9,0.0000118,0.106,0.375,126.493,4
398OZYW2LzMP3iwneP9ZmP,"0Xi59sEw38vRvwleSAVqoo","Restless Cattle","All Around Cowboy","Marty Robbins",1979,155266,15,spotify:user:seankmchenry,2022-10-21T13:22:46Z,"cowboy western,nashville sound",0.561,0.252,2,-15.502,1,0.0322,0.866,0.0000656,0.29,0.372,102.559,4
1bO2UniJuGnO5HCN9RhrCB,"0Xi59sEw38vRvwleSAVqoo","When I'm Gone - Single Version","All Around Cowboy","Marty Robbins",1979,131800,26,spotify:user:seankmchenry,2022-10-21T13:22:46Z,"cowboy western,nashville sound",0.415,0.256,2,-13.566,1,0.0301,0.894,0.000259,0.167,0.524,74.203,4
1O6YzbCujHKoT3FUUmriSU,"0Xi59sEw38vRvwleSAVqoo","Buenos Días Argentina","All Around Cowboy","Marty Robbins",1979,195026,15,spotify:user:seankmchenry,2022-10-21T13:22:46Z,"cowboy western,nashville sound",0.592,0.367,10,-12.679,1,0.0438,0.837,0.00000114,0.14,0.447,105.634,4
7MaDfudabjkry3RzEYQG7C,"0Xi59sEw38vRvwleSAVqoo","Lonely Old Bunkhouse","All Around Cowboy","Marty Robbins",1979,137186,26,spotify:user:seankmchenry,2022-10-21T13:22:46Z,"cowboy western,nashville sound",0.578,0.375,0,-13.64,1,0.0266,0.729,0.0000149,0.109,0.473,110.483,4
5qSv53q5fJhHeUSaxogqaq,"0Xi59sEw38vRvwleSAVqoo","San Angelo","All Around Cowboy","Marty Robbins",1979,271653,12,spotify:user:seankmchenry,2022-10-21T13:22:46Z,"cowboy western,nashville sound",0.35,0.34,9,-13.791,1,0.0854,0.862,0,0.128,0.467,199.734,3
2DjT2nb6gW10iS2KPI4xTT,"0Xi59sEw38vRvwleSAVqoo","Tumbling Tumbleweeds","All Around Cowboy","Marty Robbins",1979,171400,32,spotify:user:seankmchenry,2022-10-21T13:22:46Z,"cowboy western,nashville sound",0.33,0.281,0,-13.069,1,0.0293,0.915,0.000816,0.229,0.277,159.49,4
152bwBym2OIY2h6YETEwlz,"0Xi59sEw38vRvwleSAVqoo","Ballad of a Small Man","All Around Cowboy","Marty Robbins",1979,242640,29,spotify:user:seankmchenry,2022-10-21T13:22:46Z,"cowboy western,nashville sound",0.611,0.321,10,-12.527,1,0.0308,0.863,0.000103,0.117,0.403,96.583,3
