Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4ZxtydSHCl0eZ9a9CWtOIF,"2Ex4vjQ6mSh5woTlDWto6d","SEXY DANCE","AN INSATIABLE HIGH","Masayoshi Takanaka",1977,352013,44,spotify:user:seankmchenry,2022-10-30T15:58:26Z,"classic city pop,japanese jazz",0.632,0.709,2,-12.069,1,0.0404,0.176,0.728,0.19,0.805,115.443,4
2LAMzLZLIK9zCgABZv5Ano,"2Ex4vjQ6mSh5woTlDWto6d","MALIBU","AN INSATIABLE HIGH","Masayoshi Takanaka",1977,375000,41,spotify:user:seankmchenry,2022-10-30T15:58:26Z,"classic city pop,japanese jazz",0.573,0.311,9,-19.241,1,0.0367,0.463,0.908,0.0668,0.673,146.824,4
6hipqU5v9PM00zWVHscDUE,"2Ex4vjQ6mSh5woTlDWto6d","AN INSATIABLE HIGH","AN INSATIABLE HIGH","Masayoshi Takanaka",1977,609013,38,spotify:user:seankmchenry,2022-10-30T15:58:26Z,"classic city pop,japanese jazz",0.464,0.481,0,-14.614,1,0.0557,0.277,0.792,0.0393,0.687,146.08,4
4ZNYJOxZ1Sy31bONMhaxJo,"2Ex4vjQ6mSh5woTlDWto6d","E. S. P.","AN INSATIABLE HIGH","Masayoshi Takanaka",1977,251000,43,spotify:user:seankmchenry,2022-10-30T15:58:26Z,"classic city pop,japanese jazz",0.798,0.516,6,-14.211,0,0.084,0.201,0.0821,0.084,0.934,119.192,4
6AMYOKPrrWIepFt4GsIwfT,"2Ex4vjQ6mSh5woTlDWto6d","M 5","AN INSATIABLE HIGH","Masayoshi Takanaka",1977,261000,33,spotify:user:seankmchenry,2022-10-30T15:58:26Z,"classic city pop,japanese jazz",0.48,0.709,5,-11.513,1,0.15,0.455,0.817,0.158,0.919,143.731,4
62LMgHQvo7JmH1TYbnqJyj,"2Ex4vjQ6mSh5woTlDWto6d","SUNDROPS","AN INSATIABLE HIGH","Masayoshi Takanaka",1977,310000,35,spotify:user:seankmchenry,2022-10-30T15:58:26Z,"classic city pop,japanese jazz",0.735,0.484,7,-14.648,1,0.045,0.271,0.795,0.0529,0.965,93.539,4
6XGE6S38YirXrSqDzD5IrK,"2Ex4vjQ6mSh5woTlDWto6d","GOOD (BAD?) OLD DAYS","AN INSATIABLE HIGH","Masayoshi Takanaka",1977,326000,36,spotify:user:seankmchenry,2022-10-30T15:58:26Z,"classic city pop,japanese jazz",0.451,0.306,9,-14.219,1,0.0286,0.653,0.798,0.27,0.186,136.121,4
1IrbvsfFh8SuLmetevHOSk,"2Ex4vjQ6mSh5woTlDWto6d","SUMMER BREEZE","TAKANAKA","Masayoshi Takanaka",1977,293000,30,spotify:user:seankmchenry,2022-10-30T15:58:16Z,"classic city pop,japanese jazz",0.583,0.739,10,-12.073,1,0.103,0.273,0.0787,0.469,0.872,123.885,4
06cJaKOp6kIbKfGkfdc0xo,"2Ex4vjQ6mSh5woTlDWto6d","MAMBO NO. 5 (DISCO DANGO)","TAKANAKA","Masayoshi Takanaka",1977,239013,36,spotify:user:seankmchenry,2022-10-30T15:58:16Z,"classic city pop,japanese jazz",0.533,0.829,2,-9.68,1,0.0423,0.449,0.567,0.675,0.867,126.895,4
7j4bFMTP32A7fmLaco0PRV,"2Ex4vjQ6mSh5woTlDWto6d","SWEET AGNES","TAKANAKA","Masayoshi Takanaka",1977,280013,43,spotify:user:seankmchenry,2022-10-30T15:58:16Z,"classic city pop,japanese jazz",0.496,0.848,0,-8.351,1,0.0353,0.23,0.594,0.318,0.768,116.604,4
4GOPnuINnt6No4CUFKVbVx,"2Ex4vjQ6mSh5woTlDWto6d","MAMBO MAGIC","TAKANAKA","Masayoshi Takanaka",1977,361013,28,spotify:user:seankmchenry,2022-10-30T15:58:16Z,"classic city pop,japanese jazz",0.679,0.731,0,-10.523,1,0.0854,0.202,0.0757,0.131,0.94,117.29,4
2pnNh4K3tzSoqAy11vaXrH,"2Ex4vjQ6mSh5woTlDWto6d","I REMEMBER YOU","TAKANAKA","Masayoshi Takanaka",1977,327013,39,spotify:user:seankmchenry,2022-10-30T15:58:16Z,"classic city pop,japanese jazz",0.508,0.718,9,-10.941,1,0.0344,0.0106,0.893,0.568,0.627,98.066,4
4lrhCtRB7ckPbHNbbU1B9T,"2Ex4vjQ6mSh5woTlDWto6d","GASCON COCKTAIL","TAKANAKA","Masayoshi Takanaka",1977,223000,28,spotify:user:seankmchenry,2022-10-30T15:58:16Z,"classic city pop,japanese jazz",0.63,0.762,0,-10.71,1,0.0518,0.0567,0.862,0.27,0.805,121.219,4
6974s3EIddg6dK8U7ycAMR,"2Ex4vjQ6mSh5woTlDWto6d","READY TO FLY","TAKANAKA","Masayoshi Takanaka",1977,417013,37,spotify:user:seankmchenry,2022-10-30T15:58:16Z,"classic city pop,japanese jazz",0.433,0.776,9,-10.983,1,0.0863,0.0299,0.495,0.19,0.732,135.826,4
1qEQgF3IjjWBzVbhu4YaAQ,"2Ex4vjQ6mSh5woTlDWto6d","APRIL WAVE","TAKANAKA","Masayoshi Takanaka",1977,241000,26,spotify:user:seankmchenry,2022-10-30T15:58:16Z,"classic city pop,japanese jazz",0.306,0.21,0,-18.064,1,0.0352,0.98,0.0045,0.345,0.202,111.218,3
3jwHpI1y4ORKhEpMCnU6x9,"2Ex4vjQ6mSh5woTlDWto6d","EARLY BIRD","T-WAVE","Masayoshi Takanaka",1980,293000,24,spotify:user:seankmchenry,2022-10-30T15:58:32Z,"classic city pop,japanese jazz",0.656,0.867,11,-8.452,0,0.0483,0.0173,0.774,0.201,0.721,132.423,4
6TIs6Lj1gOcv4iVbtSDnR5,"2Ex4vjQ6mSh5woTlDWto6d","WILD MOW-MOW","T-WAVE","Masayoshi Takanaka",1980,218000,22,spotify:user:seankmchenry,2022-10-30T15:58:32Z,"classic city pop,japanese jazz",0.567,0.897,2,-8.802,1,0.0542,0.0963,0.843,0.0667,0.541,130.01,4
