Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6zY36QoPHO5F7ylBWBS0jP,"1lk7zDKaonwqrwKwt8Krd7","You Think You Know Me","Tolika Mtoliki","The Brother Moves On",2021-10-25,309667,16,spotify:user:seankmchenry,2022-11-30T14:52:07Z,"south african alternative,south african rock,uk contemporary jazz",0.665,0.637,0,-11.827,1,0.0648,0.371,0.0154,0.11,0.702,116.355,4
1NbxM9UomUsfQYpBBvpRoU,"1lk7zDKaonwqrwKwt8Krd7","For Mo","Tolika Mtoliki","The Brother Moves On",2021-10-25,518511,15,spotify:user:seankmchenry,2022-11-30T14:52:07Z,"south african alternative,south african rock,uk contemporary jazz",0.325,0.602,7,-11.143,1,0.0679,0.154,0.000329,0.329,0.226,79.405,4
2tzx8UzcFri0FgWKLily7N,"1lk7zDKaonwqrwKwt8Krd7","We Madoda","Tolika Mtoliki","The Brother Moves On",2021-10-25,323103,14,spotify:user:seankmchenry,2022-11-30T14:52:07Z,"south african alternative,south african rock,uk contemporary jazz",0.458,0.545,6,-9.979,0,0.0492,0.125,0.000493,0.33,0.631,95.348,4
4tYP5XtylWt3xDIlf8zuSC,"1lk7zDKaonwqrwKwt8Krd7","Together","Tolika Mtoliki","The Brother Moves On",2021-10-25,471001,11,spotify:user:seankmchenry,2022-11-30T14:52:07Z,"south african alternative,south african rock,uk contemporary jazz",0.326,0.647,0,-9.808,1,0.0483,0.148,0.000151,0.145,0.567,134.982,4
0GNnagHGGnDIKimFM1mpYk,"1lk7zDKaonwqrwKwt8Krd7","Anishilabi","Tolika Mtoliki","The Brother Moves On",2021-10-25,338850,12,spotify:user:seankmchenry,2022-11-30T14:52:07Z,"south african alternative,south african rock,uk contemporary jazz",0.56,0.654,7,-10.368,1,0.0932,0.349,0,0.321,0.619,92.049,4
6a8NV3XabP9ukdNRzl8a6c,"1lk7zDKaonwqrwKwt8Krd7","Kea Bereka","Tolika Mtoliki","The Brother Moves On",2021-10-25,236785,12,spotify:user:seankmchenry,2022-11-30T14:52:07Z,"south african alternative,south african rock,uk contemporary jazz",0.345,0.688,11,-11.109,0,0.0533,0.254,0.0135,0.277,0.38,159.988,4
639QXEaSEzpWCkyzzxQlYX,"3f3Ug1dcvoLhmxTa19TzRF","Dimple","Gideon Plays","Gideon Nxumalo",2021-04-12,202556,2,spotify:user:seankmchenry,2022-11-30T14:52:46Z,"",0.548,0.457,5,-11.247,1,0.0346,0.867,0.233,0.0819,0.76,146.809,4
2HNq2jWPAOb3czPz5vVX8v,"3f3Ug1dcvoLhmxTa19TzRF","Welele","Gideon Plays","Gideon Nxumalo",2021-04-12,297054,1,spotify:user:seankmchenry,2022-11-30T14:52:46Z,"",0.598,0.401,5,-13.75,0,0.0447,0.738,0.773,0.115,0.754,112.499,3
2dqpaMmDM8Wx0WSUbX2RBp,"3f3Ug1dcvoLhmxTa19TzRF","Lonesome Lover","Gideon Plays","Gideon Nxumalo",2021-04-12,273892,1,spotify:user:seankmchenry,2022-11-30T14:52:46Z,"",0.291,0.41,4,-12.267,1,0.0533,0.867,0.968,0.118,0.418,93.734,1
3ndEwb5Brp3oPY3AYH4Z9S,"3f3Ug1dcvoLhmxTa19TzRF","Coffee Break","Gideon Plays","Gideon Nxumalo",2021-04-12,254039,1,spotify:user:seankmchenry,2022-11-30T14:52:46Z,"",0.627,0.232,7,-14.448,0,0.0437,0.898,0.919,0.155,0.509,125.732,4
22KCjonh3KMGzZ4WEBrwEO,"3f3Ug1dcvoLhmxTa19TzRF","Nto Speaks","Gideon Plays","Gideon Nxumalo",2021-04-12,219471,0,spotify:user:seankmchenry,2022-11-30T14:52:46Z,"",0.521,0.358,2,-13.349,0,0.0346,0.457,0.0808,0.712,0.523,66.539,4
597WFeVGvclPNbqssAqY0R,"3f3Ug1dcvoLhmxTa19TzRF","Rondo","Gideon Plays","Gideon Nxumalo",2021-04-12,148083,0,spotify:user:seankmchenry,2022-11-30T14:52:46Z,"",0.666,0.475,0,-13.104,0,0.0664,0.104,0.109,0.166,0.734,93.157,4
5CvDHK48rlEq7RbG6xzefF,"3f3Ug1dcvoLhmxTa19TzRF","Ingoma (The Song)","Gideon Plays","Gideon Nxumalo",2021-04-12,242028,1,spotify:user:seankmchenry,2022-11-30T14:52:46Z,"",0.584,0.313,5,-14.907,1,0.0325,0.879,0.914,0.122,0.692,108.026,3
7gNSW73rjaD0DuqTSiENof,"3f3Ug1dcvoLhmxTa19TzRF","Isintu","Gideon Plays","Gideon Nxumalo",2021-04-12,313795,1,spotify:user:seankmchenry,2022-11-30T14:52:46Z,"",0.375,0.301,2,-12.793,0,0.0391,0.945,0.743,0.107,0.347,74.345,4
1prRxvLFTM3rNGmRnSt2Pg,"5HW61cXBlYn98zqAug5DCI","Oya Kae","Rufaro","Harari",1976,690999,1,spotify:user:seankmchenry,2022-11-30T14:45:27Z,"",0.695,0.403,11,-14.395,1,0.0703,0.204,0.0277,0.108,0.942,72.286,4
1xGtRlgGOc1u7qDZpEIua6,"5HW61cXBlYn98zqAug5DCI","Rufaro","Rufaro","Harari",1976,169006,1,spotify:user:seankmchenry,2022-11-30T14:45:27Z,"",0.579,0.615,0,-11.978,1,0.0398,0.0958,0.00293,0.411,0.73,117.238,4
34r2ylXkIql3fRgGy4PZbH,"5HW61cXBlYn98zqAug5DCI","Afrogas","Rufaro","Harari",1976,220338,1,spotify:user:seankmchenry,2022-11-30T14:45:27Z,"",0.626,0.614,7,-13.922,1,0.194,0.192,0.0709,0.0662,0.952,111.305,4
3QeyeFbMJRH0Ox6JFKtocN,"5HW61cXBlYn98zqAug5DCI","Musikana","Rufaro","Harari",1976,390696,3,spotify:user:seankmchenry,2022-11-30T14:45:27Z,"",0.757,0.481,3,-11.681,0,0.042,0.219,0.149,0.156,0.894,116.384,4
336yzi5xCa6Hid2L53cLw8,"5HW61cXBlYn98zqAug5DCI","Uzulu","Rufaro","Harari",1976,532820,2,spotify:user:seankmchenry,2022-11-30T14:45:27Z,"",0.689,0.651,0,-12.285,1,0.0776,0.0823,0.0873,0.655,0.925,80.934,4
41cjeUIOfciUEWkdJ6uqRC,"5HW61cXBlYn98zqAug5DCI","Harari","Beaters","Harari",1975,517659,14,spotify:user:seankmchenry,2022-11-30T14:45:27Z,"",0.644,0.345,10,-14.378,1,0.0425,0.765,0.878,0.0682,0.69,113.684,4
2hIUG9gdHgea40qimtxBoF,"5HW61cXBlYn98zqAug5DCI","Love Love Love","Beaters","Harari",1975,279504,7,spotify:user:seankmchenry,2022-11-30T14:45:27Z,"",0.606,0.556,5,-12.717,1,0.105,0.731,0.4,0.132,0.878,94.473,4
3UHSrv5CV7QEQFz8txPjzJ,"5HW61cXBlYn98zqAug5DCI","Inhlupheko Iphelile","Beaters","Harari",1975,332391,5,spotify:user:seankmchenry,2022-11-30T14:45:27Z,"",0.609,0.372,0,-15.245,1,0.0632,0.71,0.856,0.103,0.579,75.15,4
1W8GuDtEBFjQDQNE5F5EDm,"5HW61cXBlYn98zqAug5DCI","Push It On","Beaters","Harari",1975,336316,5,spotify:user:seankmchenry,2022-11-30T14:45:27Z,"",0.621,0.617,2,-10.929,1,0.0446,0.587,0.0536,0.53,0.937,128.288,4
1xgXUDHJueE1JS45kZKNTB,"5HW61cXBlYn98zqAug5DCI","Thiba Kamoo","Beaters","Harari",1975,291628,9,spotify:user:seankmchenry,2022-11-30T14:45:27Z,"",0.641,0.562,5,-13.114,0,0.0388,0.223,0.574,0.0585,0.842,122.94,4
59vgzIBPKXPg3gsjGZKqnC,"5HW61cXBlYn98zqAug5DCI","What's Happening","Beaters","Harari",1975,353087,3,spotify:user:seankmchenry,2022-11-30T14:45:27Z,"",0.726,0.747,0,-7.773,1,0.031,0.111,0.862,0.0733,0.968,121.678,4
2cpkiHjYhUyAlbuyXwPR4h,"4z2ThwOei5NE0dFHvC0veJ","Jump Up Turn Around","Jump Uptight","Zorro Five",2020-05-31,168711,0,spotify:user:seankmchenry,2022-11-30T14:47:15Z,"",0.846,0.42,2,-13.18,1,0.0903,0.116,0.865,0.0486,0.751,77.159,4
2XiyVB1qcchZ31IYZmmBu6,"4z2ThwOei5NE0dFHvC0veJ","Reggae Meadowlands","Jump Uptight","Zorro Five",2020-05-31,156405,2,spotify:user:seankmchenry,2022-11-30T14:47:15Z,"",0.749,0.658,0,-14.686,1,0.118,0.141,0.884,0.141,0.947,97.815,4
6Sv7w7pFPyFs2GJQ2ORYcy,"4z2ThwOei5NE0dFHvC0veJ","Red Turnip","Jump Uptight","Zorro Five",2020-05-31,148428,0,spotify:user:seankmchenry,2022-11-30T14:47:15Z,"",0.643,0.676,9,-12.267,1,0.0331,0.237,0.872,0.0846,0.847,143.458,4
3zKX0gQ6QrbGqHQIuL2vv3,"4z2ThwOei5NE0dFHvC0veJ","Good Books","Jump Uptight","Zorro Five",2020-05-31,165108,0,spotify:user:seankmchenry,2022-11-30T14:47:15Z,"",0.771,0.719,4,-12.04,1,0.056,0.391,0.783,0.0767,0.945,99.612,4
0TkbDQUzMIJIi87VixULJx,"4z2ThwOei5NE0dFHvC0veJ","Elizabethan Reggae","Jump Uptight","Zorro Five",2020-05-31,148994,0,spotify:user:seankmchenry,2022-11-30T14:47:15Z,"",0.783,0.853,7,-13.258,1,0.0418,0.0349,0.853,0.0439,0.916,103.736,4
1WYFzWBNNRtgQo57ugQuZk,"4z2ThwOei5NE0dFHvC0veJ","Plastic Iron","Jump Uptight","Zorro Five",2020-05-31,139491,1,spotify:user:seankmchenry,2022-11-30T14:47:15Z,"",0.706,0.573,0,-11.603,1,0.0376,0.269,0.875,0.15,0.936,126.674,4
2TkhWlahJMuPJwvSSbzLcy,"4z2ThwOei5NE0dFHvC0veJ","The Exit Song","Jump Uptight","Zorro Five",2020-05-31,165034,0,spotify:user:seankmchenry,2022-11-30T14:47:15Z,"",0.628,0.531,4,-13.723,1,0.0771,0.0308,0.843,0.194,0.695,139.688,4
4uCEZSBBnERISIA3QYsUsS,"4z2ThwOei5NE0dFHvC0veJ","Rebel Rouser","Jump Uptight","Zorro Five",2020-05-31,226767,0,spotify:user:seankmchenry,2022-11-30T14:47:15Z,"",0.544,0.648,0,-11.932,1,0.0864,0.117,0.859,0.107,0.514,94.8,4
2epn7WYSgWG6efMiSZCWx6,"4z2ThwOei5NE0dFHvC0veJ","First There Is a Mountain","Jump Uptight","Zorro Five",2020-05-31,174237,0,spotify:user:seankmchenry,2022-11-30T14:47:15Z,"",0.644,0.701,5,-12.768,1,0.0452,0.122,0.702,0.059,0.964,95.124,4
65Hgwmyr1qSjnlFM7Di3M7,"4z2ThwOei5NE0dFHvC0veJ","Molelo","Jump Uptight","Zorro Five",2020-05-31,184946,0,spotify:user:seankmchenry,2022-11-30T14:47:15Z,"",0.641,0.644,0,-13.175,1,0.0771,0.0475,0.923,0.0783,0.952,143.731,4
4qUEL6qhWed5Q7BFP4dB59,"4z2ThwOei5NE0dFHvC0veJ","Barcarolle","Jump Uptight","Zorro Five",2020-05-31,147630,0,spotify:user:seankmchenry,2022-11-30T14:47:15Z,"",0.718,0.557,7,-13.128,1,0.0566,0.302,0.755,0.0512,0.81,131.36,4
69dw3VFiRjUHsLICU7jPwK,"4z2ThwOei5NE0dFHvC0veJ","Reggae Shhh","Jump Uptight","Zorro Five",2020-05-31,178542,2,spotify:user:seankmchenry,2022-11-30T14:47:15Z,"",0.69,0.831,9,-13.023,1,0.0772,0.00427,0.853,0.162,0.761,94.221,4
0axBrl3OJbqYoYBMBQ1ZIp,"4QlgeNz8Uf8xF0f0LNjCbf","Yehlisan'umoya Ma Africa","Urbanzulu","Busi Mhlongo",1999-02-05,325133,25,spotify:user:seankmchenry,2022-11-30T14:45:54Z,"afro soul,afropop,south african alternative,south african jazz,south african pop,world",0.706,0.643,10,-8.489,0,0.0392,0.0805,0.000134,0.104,0.622,98.007,4
0XCsmOYN8v8rFcKYZxKcAL,"4QlgeNz8Uf8xF0f0LNjCbf","Yapheli'mali Yami","Urbanzulu","Busi Mhlongo",1999-02-05,386066,26,spotify:user:seankmchenry,2022-11-30T14:45:54Z,"afro soul,afropop,south african alternative,south african jazz,south african pop,world",0.617,0.538,5,-11.368,1,0.06,0.131,0.00000381,0.141,0.676,91.935,4
0rrOI69bj4cTgUuGsqLTv0,"4QlgeNz8Uf8xF0f0LNjCbf","We Baba Omncane","Urbanzulu","Busi Mhlongo",1999-02-05,340626,19,spotify:user:seankmchenry,2022-11-30T14:45:54Z,"afro soul,afropop,south african alternative,south african jazz,south african pop,world",0.402,0.541,8,-10.03,1,0.0536,0.391,0.00000172,0.099,0.764,92.147,3
76NKBCYAAhHyGtDdCS89YV,"4QlgeNz8Uf8xF0f0LNjCbf","Ukuthula","Urbanzulu","Busi Mhlongo",1999-02-05,414800,12,spotify:user:seankmchenry,2022-11-30T14:45:54Z,"afro soul,afropop,south african alternative,south african jazz,south african pop,world",0.402,0.523,10,-8.844,0,0.0619,0.0583,0.000359,0.224,0.515,80,4
6PgZJELoI2tgbVSVqxRGsJ,"4QlgeNz8Uf8xF0f0LNjCbf","Yise Wabant'a Bami","Urbanzulu","Busi Mhlongo",1999-02-05,252706,16,spotify:user:seankmchenry,2022-11-30T14:45:54Z,"afro soul,afropop,south african alternative,south african jazz,south african pop,world",0.581,0.175,11,-14.259,1,0.0368,0.882,0,0.184,0.535,140.869,4
2jREwIjH3IEzIe40hmsrtK,"4QlgeNz8Uf8xF0f0LNjCbf","Uganga Nge Ngane","Urbanzulu","Busi Mhlongo",1999-02-05,346826,19,spotify:user:seankmchenry,2022-11-30T14:45:54Z,"afro soul,afropop,south african alternative,south african jazz,south african pop,world",0.463,0.504,5,-9.384,0,0.283,0.177,0,0.0517,0.751,169.876,3
1MBV6kQYBSQrxc7IHJf8Xr,"4QlgeNz8Uf8xF0f0LNjCbf","Ngadlalwa Yindoda","Urbanzulu","Busi Mhlongo",1999-02-05,286733,10,spotify:user:seankmchenry,2022-11-30T14:45:54Z,"afro soul,afropop,south african alternative,south african jazz,south african pop,world",0.696,0.653,5,-11.452,1,0.0475,0.0586,0.000228,0.166,0.941,90.008,4
050kOCIM1UAKZgyIzw00T9,"4QlgeNz8Uf8xF0f0LNjCbf","Nguyelo","Urbanzulu","Busi Mhlongo",1999-02-05,292040,10,spotify:user:seankmchenry,2022-11-30T14:45:54Z,"afro soul,afropop,south african alternative,south african jazz,south african pop,world",0.686,0.549,10,-11.485,1,0.0491,0.499,0.000049,0.121,0.758,93.935,4
59MUHn7MUu47dCBwfe8zbn,"4QlgeNz8Uf8xF0f0LNjCbf","Zithin'izizwe","Urbanzulu","Busi Mhlongo",1999-02-05,413960,12,spotify:user:seankmchenry,2022-11-30T14:45:54Z,"afro soul,afropop,south african alternative,south african jazz,south african pop,world",0.682,0.695,8,-8.833,1,0.0261,0.0294,0.0000304,0.478,0.913,126.011,4
0C7zH8PjYnqhnmF0T4tLx2,"4QlgeNz8Uf8xF0f0LNjCbf","Awukho Umuzi Omgena Kukhulumakwano","Urbanzulu","Busi Mhlongo",1999-02-05,420973,11,spotify:user:seankmchenry,2022-11-30T14:45:54Z,"afro soul,afropop,south african alternative,south african jazz,south african pop,world",0.491,0.639,8,-9.726,1,0.0609,0.0909,0,0.336,0.759,102.906,4
2YT0qNq74047kIwCEE2dUC,"4QlgeNz8Uf8xF0f0LNjCbf","Oxamu","Urbanzulu","Busi Mhlongo",1999-02-05,130866,23,spotify:user:seankmchenry,2022-11-30T14:45:54Z,"afro soul,afropop,south african alternative,south african jazz,south african pop,world",0.837,0.0676,7,-18.933,1,0.625,0.23,0,0.0839,0.378,104.453,4
0e6nWcJhHjSVxJOII9HRUv,"5Tody6xQBQiLnjLzg40yRZ","Toi-Toi","Moving Along","Batsumi",1976,332647,5,spotify:user:seankmchenry,2022-11-30T14:46:39Z,"",0.583,0.707,9,-8.813,1,0.0285,0.098,0.000358,0.132,0.858,90.248,4
7G1cGwdPyGiofJXQWNqHxj,"5Tody6xQBQiLnjLzg40yRZ","Moving Along","Moving Along","Batsumi",1976,589999,6,spotify:user:seankmchenry,2022-11-30T14:46:39Z,"",0.591,0.644,2,-10.637,1,0.0308,0.406,0.686,0.183,0.956,111.878,4
