Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3OxTP3FTDKirvTfsYd5zHr,"3DzpPfgpxIvjz3eoqmCDub","Watching","Surface","Santilli",2019-09-20,229958,11,spotify:user:seankmchenry,2021-12-14T17:02:23Z,"australian ambient",0.405,0.253,0,-17.52,1,0.0396,0.834,0.904,0.0945,0.18,196.98,3
5eQAZ8yznuLIQZWVVhWV2I,"3DzpPfgpxIvjz3eoqmCDub","Winter Breath","Surface","Santilli",2019-09-20,236343,4,spotify:user:seankmchenry,2021-12-14T17:02:23Z,"australian ambient",0.716,0.378,7,-16.196,1,0.0443,0.463,0.733,0.127,0.267,99.957,3
5Jd2JaC4rLVSmmaQxAcWFd,"3DzpPfgpxIvjz3eoqmCDub","Lands","Surface","Santilli",2019-09-20,242654,5,spotify:user:seankmchenry,2021-12-14T17:02:23Z,"australian ambient",0.655,0.207,7,-18.628,1,0.039,0.201,0.897,0.0574,0.0738,90,4
2Pnzag0E9TZxbeLgovMhw5,"3DzpPfgpxIvjz3eoqmCDub","CRB","Surface","Santilli",2019-09-20,249098,4,spotify:user:seankmchenry,2021-12-14T17:02:23Z,"australian ambient",0.776,0.375,9,-16.916,1,0.0458,0.305,0.92,0.101,0.615,142.65,4
4zz8eMqN1zGj8tmv97ZRjR,"3DzpPfgpxIvjz3eoqmCDub","Crossover","Surface","Santilli",2019-09-20,222564,1,spotify:user:seankmchenry,2021-12-14T17:02:23Z,"australian ambient",0.401,0.252,2,-15.9,1,0.0378,0.816,0.895,0.105,0.0507,127.395,4
0TSqmozvhlvqFYAmfL4dav,"3DzpPfgpxIvjz3eoqmCDub","The Third","Surface","Santilli",2019-09-20,216264,2,spotify:user:seankmchenry,2021-12-14T17:02:23Z,"australian ambient",0.396,0.395,2,-17.339,1,0.0416,0.899,0.756,0.294,0.541,199.875,3
7zBbh47yenJqL0sPHDLyqx,"3DzpPfgpxIvjz3eoqmCDub","Sundown","Surface","Santilli",2019-09-20,280683,1,spotify:user:seankmchenry,2021-12-14T17:02:23Z,"australian ambient",0.603,0.319,11,-15.703,1,0.0278,0.841,0.959,0.274,0.0795,107.102,4
5FMsUPxn4tSkzZapgrrD9Y,"3DzpPfgpxIvjz3eoqmCDub","Vision","Surface","Santilli",2019-09-20,270127,1,spotify:user:seankmchenry,2021-12-14T17:02:23Z,"australian ambient",0.257,0.396,6,-15.079,0,0.0338,0.32,0.873,0.0646,0.0669,90.417,4
64HMcWMqA01SzyyKy1H1yd,"3DzpPfgpxIvjz3eoqmCDub","The Crow","Surface","Santilli",2019-09-20,161682,1,spotify:user:seankmchenry,2021-12-14T17:02:23Z,"australian ambient",0.209,0.208,0,-17.29,1,0.0405,0.498,0.0304,0.137,0.0323,108.7,4
6b6UXLIrVEsf3oQe8qy9k5,"3DzpPfgpxIvjz3eoqmCDub","Dawn","Surface","Santilli",2019-09-20,263225,15,spotify:user:seankmchenry,2021-12-14T17:02:23Z,"australian ambient",0.531,0.515,2,-15.257,1,0.0318,0.774,0.909,0.101,0.523,93.007,4
0wok1Y7rwyooqpJuwrsOGP,"3DzpPfgpxIvjz3eoqmCDub","Dusk","In Circles","Santilli",2020-04-12,304000,1,spotify:user:seankmchenry,2021-12-14T17:02:25Z,"australian ambient",0.146,0.33,2,-17.308,1,0.0448,0.283,0.917,0.694,0.0391,79.304,3
6teJ8HYSBoxYONJB8KPE46,"3DzpPfgpxIvjz3eoqmCDub","Another Way","In Circles","Santilli",2020-04-12,312792,1,spotify:user:seankmchenry,2021-12-14T17:02:25Z,"australian ambient",0.487,0.346,11,-17.901,0,0.0365,0.264,0.945,0.166,0.107,93.551,4
2FMud2J5lSKyW5GH7sui33,"3DzpPfgpxIvjz3eoqmCDub","Calls","In Circles","Santilli",2020-04-12,258255,0,spotify:user:seankmchenry,2021-12-14T17:02:25Z,"australian ambient",0.473,0.667,9,-14.334,1,0.175,0.432,0.0424,0.321,0.223,127.462,3
5R54AKhXP2ZGyLGv4zyRHs,"3DzpPfgpxIvjz3eoqmCDub","Wading","In Circles","Santilli",2020-04-12,268854,0,spotify:user:seankmchenry,2021-12-14T17:02:25Z,"australian ambient",0.66,0.263,4,-16.187,0,0.0324,0.458,0.805,0.302,0.249,110.861,1
4ON2b2SNxIzepTK3uuiIpZ,"3DzpPfgpxIvjz3eoqmCDub","Undertow","In Circles","Santilli",2020-04-12,204710,1,spotify:user:seankmchenry,2021-12-14T17:02:25Z,"australian ambient",0.339,0.288,7,-14.288,1,0.0382,0.536,0.886,0.0869,0.138,89.757,4
6hhlecOQzSlE8hTkoPh6hH,"3DzpPfgpxIvjz3eoqmCDub","Confined","In Circles","Santilli",2020-04-12,332484,0,spotify:user:seankmchenry,2021-12-14T17:02:25Z,"australian ambient",0.188,0.192,6,-17.133,1,0.0362,0.908,0.897,0.0901,0.237,171.578,5
38ei4bMVSiShrOSzYHz9sN,"3DzpPfgpxIvjz3eoqmCDub","Causes","In Circles","Santilli",2020-04-12,249669,0,spotify:user:seankmchenry,2021-12-14T17:02:25Z,"australian ambient",0.553,0.256,1,-17.945,1,0.0299,0.888,0.92,0.0714,0.33,145.456,4
4ugbe51058pm33bWNzhh46,"3DzpPfgpxIvjz3eoqmCDub","Cycles","In Circles","Santilli",2020-04-12,256844,0,spotify:user:seankmchenry,2021-12-14T17:02:25Z,"australian ambient",0.55,0.234,1,-16.739,1,0.0397,0.355,0.799,0.333,0.12,124.442,3
26bNOelj9N6wBBEIUezSTf,"3DzpPfgpxIvjz3eoqmCDub","Closing","In Circles","Santilli",2020-04-12,309108,1,spotify:user:seankmchenry,2021-12-14T17:02:25Z,"australian ambient",0.163,0.429,1,-16.754,1,0.0398,0.561,0.921,0.11,0.0363,90.002,3
6fOtOyLEzaHQWcxlh97jmK,"3DzpPfgpxIvjz3eoqmCDub","Coming and Going","Tidal","Santilli",2021-11-04,313721,6,spotify:user:seankmchenry,2021-12-14T17:02:26Z,"australian ambient",0.496,0.287,11,-18.034,1,0.0314,0.669,0.888,0.111,0.0518,109.242,3
5qBnBcu41waktTLguo3IiK,"3DzpPfgpxIvjz3eoqmCDub","Sails","Tidal","Santilli",2021-11-04,321040,5,spotify:user:seankmchenry,2021-12-14T17:02:26Z,"australian ambient",0.522,0.201,7,-17.162,1,0.0388,0.948,0.813,0.0883,0.0703,90.027,3
7qTUKmJBIeeZPKgHSxcCpY,"3DzpPfgpxIvjz3eoqmCDub","Sea","Tidal","Santilli",2021-11-04,302613,7,spotify:user:seankmchenry,2021-12-14T17:02:26Z,"australian ambient",0.806,0.261,9,-17.092,1,0.041,0.718,0.855,0.0958,0.465,111.116,1
4zmgINcdA1u1mn8WqBSbEW,"3DzpPfgpxIvjz3eoqmCDub","Sparks","Tidal","Santilli",2021-11-04,215479,6,spotify:user:seankmchenry,2021-12-14T17:02:26Z,"australian ambient",0.499,0.321,4,-16.274,0,0.0486,0.846,0.836,0.065,0.465,109.477,4
2Ops0EYpYXh4ZxAVbhYfR3,"3DzpPfgpxIvjz3eoqmCDub","Cold Circle","Tidal","Santilli",2021-11-04,248914,2,spotify:user:seankmchenry,2021-12-14T17:02:26Z,"australian ambient",0.509,0.432,3,-14.178,0,0.0289,0.768,0.225,0.0709,0.143,139.794,3
