Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4sMOFhfDPYzt2xzhwbxN1h,"6LM5ls7Quezcopf05DV9T4","Backseat Drive","Soft Breeze of Silence","Mazzo",2021-02-05,213500,6,spotify:user:seankmchenry,2022-04-22T12:53:04Z,"",0.379,0.0593,0,-22.444,1,0.0385,0.94,0.751,0.0814,0.362,179.989,4
2kQ29eddigILdWKgmSLwrm,"6LM5ls7Quezcopf05DV9T4","Singing Bird In Cloudy Blue Sky","Soft Breeze of Silence","Mazzo",2021-02-05,318200,1,spotify:user:seankmchenry,2022-04-22T12:53:04Z,"",0.761,0.733,4,-10.117,1,0.0602,0.0101,0.88,0.077,0.766,110.021,4
6Ryi7hYtuKkMycyiHBnpVY,"6LM5ls7Quezcopf05DV9T4","Clean Water","Soft Breeze of Silence","Mazzo",2021-02-05,249500,1,spotify:user:seankmchenry,2022-04-22T12:53:04Z,"",0.708,0.523,6,-14.996,1,0.0406,0.371,0.782,0.0819,0.676,109.968,4
783Sp0QzTVusOUNQvAk9cN,"6LM5ls7Quezcopf05DV9T4","Treehouse","Soft Breeze of Silence","Mazzo",2021-02-05,388579,1,spotify:user:seankmchenry,2022-04-22T12:53:04Z,"",0.738,0.523,0,-15.324,1,0.0631,0.144,0.768,0.0931,0.682,100.006,4
0BXbyFK9d4B1s5nriCh57V,"6LM5ls7Quezcopf05DV9T4","Sunset’s Birth","Soft Breeze of Silence","Mazzo",2021-02-05,337000,2,spotify:user:seankmchenry,2022-04-22T12:53:04Z,"",0.654,0.204,1,-21.367,0,0.0421,0.501,0.896,0.18,0.563,114.024,4
3pN2auBrd6npV8LR8KNUKD,"6LM5ls7Quezcopf05DV9T4","Dog Walk","Soft Breeze of Silence","Mazzo",2021-02-05,262100,0,spotify:user:seankmchenry,2022-04-22T12:53:04Z,"",0.678,0.547,11,-12.607,1,0.0363,0.0039,0.922,0.102,0.898,120,4
6NQMi4oKLXSycGPjfWMUPN,"6LM5ls7Quezcopf05DV9T4","Basic Bath","Soft Breeze of Silence","Mazzo",2021-02-05,461882,0,spotify:user:seankmchenry,2022-04-22T12:53:04Z,"",0.719,0.808,0,-12.593,1,0.0484,0.0681,0.908,0.0911,0.855,121.991,4
6F5fQNcLlCIDFZ7vQ7XGML,"6LM5ls7Quezcopf05DV9T4","Love Letter","Love Letter","Mazzo",2021-09-03,282000,0,spotify:user:seankmchenry,2022-04-22T12:54:29Z,"",0.751,0.543,4,-14.381,1,0.0471,0.0388,0.871,0.0717,0.917,123.99,4
61fgi0WEV9YhMZQkRGd0Nu,"6LM5ls7Quezcopf05DV9T4","Ride into the Abyss","Ride into the Abyss","Mazzo",2021-10-01,216000,0,spotify:user:seankmchenry,2022-04-22T12:53:12Z,"",0.664,0.621,6,-12.237,0,0.044,0.000283,0.886,0.0886,0.396,120.004,4
3QMBDskMvar1CUneUGPVUv,"6LM5ls7Quezcopf05DV9T4","Goloka","Morning Dew","Mazzo",2021-04-30,402857,2,spotify:user:seankmchenry,2022-04-22T12:53:15Z,"",0.687,0.274,8,-17.787,0,0.0566,0.803,0.893,0.151,0.408,99.989,4
4ItSW9aO5i4nxWQtnBG2ly,"6LM5ls7Quezcopf05DV9T4","Morning Dew","Morning Dew","Mazzo",2021-04-30,317755,3,spotify:user:seankmchenry,2022-04-22T12:53:15Z,"",0.507,0.334,7,-13.593,0,0.0324,0.85,0.898,0.0925,0.284,79.924,4
3fFItKkdhKNKID0Aucad6d,"6LM5ls7Quezcopf05DV9T4","Rain Call","Morning Dew","Mazzo",2021-04-30,139591,1,spotify:user:seankmchenry,2022-04-22T12:53:15Z,"",0.528,0.0188,6,-23.227,0,0.0433,0.972,0.724,0.0922,0.23,119.977,4
7tehPpgBdcAf09tYuJX63R,"6LM5ls7Quezcopf05DV9T4","Softly Slide Into The Sheet Of Love","Morning Dew","Mazzo",2021-04-30,369795,1,spotify:user:seankmchenry,2022-04-22T12:53:15Z,"",0.288,0.568,3,-13.893,0,0.0516,0.414,0.871,0.377,0.381,85.987,4
2UcfD4voBbi0mVyiouJvRz,"6LM5ls7Quezcopf05DV9T4","Trip In The Outer Sphere","Morning Dew","Mazzo",2021-04-30,269387,1,spotify:user:seankmchenry,2022-04-22T12:53:15Z,"",0.601,0.819,11,-10.129,0,0.0426,0.168,0.89,0.328,0.966,79.985,4
2E6xPKIQ9n2KnzNLG5kEmq,"6LM5ls7Quezcopf05DV9T4","Cloud Matress","Sound For Gardening","Mazzo",2019-05-29,141600,2,spotify:user:seankmchenry,2022-04-22T12:53:13Z,"",0.463,0.205,0,-11.441,1,0.0378,0.804,0.971,0.079,0.263,100.017,4
0SygoCcARxlBKfln2qrfPX,"6LM5ls7Quezcopf05DV9T4","Purple Waves","Sound For Gardening","Mazzo",2019-05-29,291056,1,spotify:user:seankmchenry,2022-04-22T12:53:13Z,"",0.757,0.915,9,-8.655,0,0.0491,0.000297,0.915,0.0884,0.963,115.019,4
3ov1epABUW7dqbYWOBAsjb,"6LM5ls7Quezcopf05DV9T4","Water Based","Sound For Gardening","Mazzo",2019-05-29,315000,1,spotify:user:seankmchenry,2022-04-22T12:53:13Z,"",0.596,0.461,10,-11.454,0,0.0276,0.52,0.859,0.077,0.215,100.001,4
4ACINAs6Jd3SuL7i9q0cEX,"6LM5ls7Quezcopf05DV9T4","Mowing Machine","Sound For Gardening","Mazzo",2019-05-29,240000,0,spotify:user:seankmchenry,2022-04-22T12:53:13Z,"",0.696,0.468,10,-10.517,0,0.0323,0.403,0.918,0.149,0.758,99.973,4
1K0KtxZyQJY4VcUIRHW1Ht,"6LM5ls7Quezcopf05DV9T4","V70","Sound For Gardening","Mazzo",2019-05-29,243000,1,spotify:user:seankmchenry,2022-04-22T12:53:13Z,"",0.79,0.689,6,-10.92,0,0.0653,0.00177,0.868,0.0892,0.535,120.009,4
