Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6AwFaqzXYoTqz6H4QG9LpI,"53LlrTpfGrdZS8QyBUxrVs","Surprise Surprise","Surprise Surprise","Mezzoforte",1983-01-01,87733,35,spotify:user:seankmchenry,2022-12-07T02:43:14Z,"icelandic jazz,jazz fusion,modern funk,smooth jazz",0.676,0.721,11,-11.608,1,0.103,0.232,0.889,0.389,0.485,126.469,4
3TFiPnbISzMThh0hzQSvFD,"53LlrTpfGrdZS8QyBUxrVs","Garden Party","Surprise Surprise","Mezzoforte",1983-01-01,370040,42,spotify:user:seankmchenry,2022-12-07T02:43:14Z,"icelandic jazz,jazz fusion,modern funk,smooth jazz",0.762,0.725,2,-10.806,1,0.0386,0.398,0.82,0.0963,0.87,117.572,4
62MstnqbAsjvfkUfQ0tGXe,"53LlrTpfGrdZS8QyBUxrVs","Gazing At The Clouds","Surprise Surprise","Mezzoforte",1983-01-01,403733,22,spotify:user:seankmchenry,2022-12-07T02:43:14Z,"icelandic jazz,jazz fusion,modern funk,smooth jazz",0.575,0.746,0,-10.499,1,0.0334,0.309,0.661,0.0455,0.945,165.77,4
29lccRPaYP9csWOezn73sx,"53LlrTpfGrdZS8QyBUxrVs","Early Autumn","Surprise Surprise","Mezzoforte",1983-01-01,390893,21,spotify:user:seankmchenry,2022-12-07T02:43:14Z,"icelandic jazz,jazz fusion,modern funk,smooth jazz",0.478,0.293,2,-15.78,1,0.0322,0.815,0.791,0.0779,0.372,145.817,4
1cyzK7KxYWQbqIael8fg8d,"53LlrTpfGrdZS8QyBUxrVs","Action Man","Surprise Surprise","Mezzoforte",1983-01-01,312373,15,spotify:user:seankmchenry,2022-12-07T02:43:14Z,"icelandic jazz,jazz fusion,modern funk,smooth jazz",0.649,0.551,3,-13.74,1,0.0408,0.399,0.882,0.0348,0.957,126.753,4
4kEOb0Wo62xpjTlfzuMbGc,"53LlrTpfGrdZS8QyBUxrVs","Funk Suite No. 1","Surprise Surprise","Mezzoforte",1983-01-01,357293,14,spotify:user:seankmchenry,2022-12-07T02:43:14Z,"icelandic jazz,jazz fusion,modern funk,smooth jazz",0.7,0.612,0,-13.893,1,0.0336,0.15,0.888,0.0338,0.763,123.589,4
4iDkTdelnRWl9XnuCfznMM,"53LlrTpfGrdZS8QyBUxrVs","Easy Jack","Surprise Surprise","Mezzoforte",1983-01-01,297973,17,spotify:user:seankmchenry,2022-12-07T02:43:14Z,"icelandic jazz,jazz fusion,modern funk,smooth jazz",0.726,0.48,9,-15.043,0,0.0285,0.624,0.798,0.176,0.851,126.998,4
5jz0FCHyjAEb7k6awUlNjq,"53LlrTpfGrdZS8QyBUxrVs","Fusion Blues","Surprise Surprise","Mezzoforte",1983-01-01,352800,18,spotify:user:seankmchenry,2022-12-07T02:43:14Z,"icelandic jazz,jazz fusion,modern funk,smooth jazz",0.756,0.727,10,-10.601,1,0.0295,0.388,0.834,0.0576,0.88,131.319,4
2KSc34wEbQtVnevXlSy1M4,"53LlrTpfGrdZS8QyBUxrVs","The Old Neighborhood","Surprise Surprise","Mezzoforte",1983-01-01,346400,12,spotify:user:seankmchenry,2022-12-07T02:43:14Z,"icelandic jazz,jazz fusion,modern funk,smooth jazz",0.742,0.327,0,-16.072,1,0.0321,0.622,0.666,0.0749,0.605,118.945,4
02vI3MyB50ecvtMHa6kEvI,"53LlrTpfGrdZS8QyBUxrVs","Surprise Reprise","Surprise Surprise","Mezzoforte",1983-01-01,63800,13,spotify:user:seankmchenry,2022-12-07T02:43:14Z,"icelandic jazz,jazz fusion,modern funk,smooth jazz",0.718,0.867,11,-11.737,1,0.143,0.135,0.869,0.298,0.421,126.75,4
