Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
74aoqh6npWQyk8WESs5T7W,"2pAWfrd7WFF3XhVt9GooDL","The Time We Faced Doom (Skit)","Operation: Doomsday (Complete)","MF DOOM",1999-04-20,124746,31,spotify:user:seankmchenry,2022-08-02T16:54:55Z,"alternative hip hop,east coast hip hop,hip hop,rap",0.514,0.658,10,-9.277,0,0.438,0.841,0.000939,0.488,0.717,91.085,4
7lT1dCz96jANsLAAADlfIg,"2pAWfrd7WFF3XhVt9GooDL,7AQJ6lwVCcej6eKZXQZus4","Doomsday","Operation: Doomsday (Complete)","MF DOOM,Pebbles The Invisible Girl",1999-04-20,298053,59,spotify:user:seankmchenry,2022-08-02T16:54:55Z,"alternative hip hop,east coast hip hop,hip hop,rap",0.856,0.841,6,-7.737,0,0.335,0.0977,0,0.0773,0.794,95.418,4
12OkZyDWNBLUqoReoseGrc,"2pAWfrd7WFF3XhVt9GooDL,6wwBv5Rq6Ev2USsDsIZO1o","Rhymes Like Dimes","Operation: Doomsday (Complete)","MF DOOM,DJ Cucumber Slice",1999-04-20,258613,54,spotify:user:seankmchenry,2022-08-02T16:54:55Z,"alternative hip hop,east coast hip hop,hip hop,rap",0.644,0.751,0,-5.652,1,0.268,0.662,0,0.17,0.759,99.948,4
6ijkogEt87TOoFEUdTpYxD,"2pAWfrd7WFF3XhVt9GooDL,099SRjEqnWmxXRydZXTWiN","The Finest","Operation: Doomsday (Complete)","MF DOOM,Tommy Gunn",1999-04-20,240986,36,spotify:user:seankmchenry,2022-08-02T16:54:55Z,"alternative hip hop,east coast hip hop,hip hop,rap",0.882,0.772,10,-5.668,0,0.306,0.0589,0,0.141,0.581,101.169,4
1xOv6X3zCOXbymLjg3clzH,"2pAWfrd7WFF3XhVt9GooDL","Back in the Days (Skit)","Operation: Doomsday (Complete)","MF DOOM",1999-04-20,45306,30,spotify:user:seankmchenry,2022-08-02T16:54:55Z,"alternative hip hop,east coast hip hop,hip hop,rap",0.512,0.853,8,-11.241,1,0.338,0.726,0.00491,0.221,0.285,93.198,1
1Ulk1RYwszH5PliccyN5pF,"2pAWfrd7WFF3XhVt9GooDL","Go with the Flow","Operation: Doomsday (Complete)","MF DOOM",1999-04-20,216920,42,spotify:user:seankmchenry,2022-08-02T16:54:55Z,"alternative hip hop,east coast hip hop,hip hop,rap",0.787,0.699,7,-7.243,1,0.267,0.102,0.00000874,0.319,0.601,94.271,4
4ClVhgWezpuyGhACLGBkEA,"2pAWfrd7WFF3XhVt9GooDL,20W9F94ZPbzoMqxuekMgKi","Tick, Tick...","Operation: Doomsday (Complete)","MF DOOM,MF Grimm",1999-04-20,244506,33,spotify:user:seankmchenry,2022-08-02T16:54:55Z,"alternative hip hop,east coast hip hop,hip hop,rap",0.457,0.666,1,-7.695,0,0.362,0.0749,0,0.132,0.709,83.047,4
03sEEzFv7vnD54KRwU47Ue,"2pAWfrd7WFF3XhVt9GooDL,21IYa0bMpDZiSFY9x0y02q","Red and Gold","Operation: Doomsday (Complete)","MF DOOM,King Ghidra",1999-04-20,282680,44,spotify:user:seankmchenry,2022-08-02T16:54:55Z,"alternative hip hop,east coast hip hop,hip hop,rap",0.716,0.656,6,-7.291,0,0.167,0.0573,0,0.329,0.496,81.101,4
1EKH5W2NzTU3BdsT25gyKP,"2pAWfrd7WFF3XhVt9GooDL","The Hands of Doom (Skit)","Operation: Doomsday (Complete)","MF DOOM",1999-04-20,110160,29,spotify:user:seankmchenry,2022-08-02T16:54:55Z,"alternative hip hop,east coast hip hop,hip hop,rap",0.761,0.723,7,-11.154,1,0.112,0.0836,0.0516,0.232,0.523,101.235,4
5bPjleBV2VtjRnc0ogJ5ib,"2pAWfrd7WFF3XhVt9GooDL,1TsyhmIKuYsq47BNlZxwIV,21IYa0bMpDZiSFY9x0y02q,0sZ5qEvpkfc1t37qpTkBxN,3zZIwVLaQmFOr6FUEfUzZg,6BG1L5iwc7K9xwmMHz6ab1,4QE2aqG96WVrz7MaosoicG","Who You Think I Am?","Operation: Doomsday (Complete)","MF DOOM,Kwite Def,King Ghidra,Kong,Megalon,Rodan,Xray",1999-04-20,204160,34,spotify:user:seankmchenry,2022-08-02T16:54:55Z,"alternative hip hop,east coast hip hop,hip hop,rap,greek hip hop",0.763,0.9,10,-5.367,0,0.371,0.254,0,0.178,0.555,103.641,4
