Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
41kEq7CA9SCCAPySaJ0Pc1,"0AVE7rDx4X9w0pW1XlN1om","Jealousy","Objects Of Desire","Michael Franks",1982,218506,22,spotify:user:seankmchenry,2022-08-25T16:29:25Z,"smooth jazz,yacht rock",0.733,0.202,5,-19.411,1,0.0493,0.248,0.000199,0.0343,0.829,97.199,4
4UiBJGT3XJCZxUCN24nvQx,"0AVE7rDx4X9w0pW1XlN1om","Ladies' Nite","Objects Of Desire","Michael Franks",1982,251266,15,spotify:user:seankmchenry,2022-08-25T16:29:25Z,"smooth jazz,yacht rock",0.664,0.199,11,-20.417,0,0.031,0.0999,0.125,0.103,0.671,96.457,4
5U9vBCXoVb2C6YDUK2SuO3,"0AVE7rDx4X9w0pW1XlN1om","No-Deposit Love","Objects Of Desire","Michael Franks",1982,310280,14,spotify:user:seankmchenry,2022-08-25T16:29:25Z,"smooth jazz,yacht rock",0.617,0.325,7,-14.347,0,0.0409,0.494,0.0317,0.117,0.58,111.199,4
26RnwtiuLibk3ypCIC5DdD,"0AVE7rDx4X9w0pW1XlN1om","Laughing Gas","Objects Of Desire","Michael Franks",1982,205706,15,spotify:user:seankmchenry,2022-08-25T16:29:25Z,"smooth jazz,yacht rock",0.642,0.295,0,-19.928,1,0.072,0.26,0.0404,0.12,0.777,120.491,4
2VKwrQzSJbj4GlOFTgdbRd,"0AVE7rDx4X9w0pW1XlN1om","Wonderland","Objects Of Desire","Michael Franks",1982,302400,13,spotify:user:seankmchenry,2022-08-25T16:29:25Z,"smooth jazz,yacht rock",0.757,0.115,11,-24.808,0,0.0347,0.589,0.0858,0.119,0.551,111.976,4
60wp9CgSdUS1ATbryVyEWf,"0AVE7rDx4X9w0pW1XlN1om","Tahitian Moon","Objects Of Desire","Michael Franks",1982,277000,16,spotify:user:seankmchenry,2022-08-25T16:29:25Z,"smooth jazz,yacht rock",0.642,0.127,11,-23.017,0,0.0357,0.655,0,0.0804,0.591,115.813,4
2qTp7LW1Q4OhmXCTtvqluU,"0AVE7rDx4X9w0pW1XlN1om","Flirtation","Objects Of Desire","Michael Franks",1982,225693,11,spotify:user:seankmchenry,2022-08-25T16:29:25Z,"smooth jazz,yacht rock",0.813,0.26,6,-18.656,0,0.0513,0.149,0.000661,0.033,0.713,107.779,4
4Wy4XCWiEyz2OSu1B1abLD,"0AVE7rDx4X9w0pW1XlN1om","Love Duet","Objects Of Desire","Michael Franks",1982,299293,18,spotify:user:seankmchenry,2022-08-25T16:29:25Z,"smooth jazz,yacht rock",0.737,0.463,8,-10.821,1,0.058,0.428,0.000296,0.0909,0.786,143.578,4
2PbO83wUuBBgeHLBI0sHg5,"0AVE7rDx4X9w0pW1XlN1om","No One but You","Objects Of Desire","Michael Franks",1982,283066,13,spotify:user:seankmchenry,2022-08-25T16:29:25Z,"smooth jazz,yacht rock",0.534,0.107,0,-24.006,1,0.0302,0.644,0.00678,0.147,0.172,102.453,4
7KoWd7OlQt8IVw0CxfoP4J,"0AVE7rDx4X9w0pW1XlN1om","Baseball","One Bad Habit","Michael Franks",1980,229173,26,spotify:user:seankmchenry,2022-08-25T16:29:27Z,"smooth jazz,yacht rock",0.681,0.249,2,-15.219,0,0.0852,0.61,0.00189,0.0652,0.651,60.882,4
7b0daJc3qGLfwBGpNP73Eo,"0AVE7rDx4X9w0pW1XlN1om","Inside You","One Bad Habit","Michael Franks",1980,253933,22,spotify:user:seankmchenry,2022-08-25T16:29:27Z,"smooth jazz,yacht rock",0.617,0.158,9,-23.091,1,0.0325,0.653,0.441,0.0828,0.387,109.374,4
1qn6m93lFLibAy28FChnQo,"0AVE7rDx4X9w0pW1XlN1om","All Dressed up with Nowhere to Go","One Bad Habit","Michael Franks",1980,228333,35,spotify:user:seankmchenry,2022-08-25T16:29:27Z,"smooth jazz,yacht rock",0.78,0.384,5,-18.831,1,0.0453,0.347,0.0441,0.109,0.717,106.688,4
33p7jMh4ThQdZ3fe6scpfI,"0AVE7rDx4X9w0pW1XlN1om","Lotus Blossom","One Bad Habit","Michael Franks",1980,259959,42,spotify:user:seankmchenry,2022-08-25T16:29:27Z,"smooth jazz,yacht rock",0.721,0.0462,1,-25.433,0,0.0365,0.877,0.272,0.0787,0.183,103.8,4
5TnZfdoBbRP6mpAcx3OGrS,"0AVE7rDx4X9w0pW1XlN1om","On My Way Home to You","One Bad Habit","Michael Franks",1980,292506,40,spotify:user:seankmchenry,2022-08-25T16:29:27Z,"smooth jazz,yacht rock",0.567,0.185,2,-19.895,1,0.0521,0.52,0.042,0.0652,0.345,76.184,4
6AOUcJ73OkQHCGAabixSl4,"0AVE7rDx4X9w0pW1XlN1om","One Bad Habit","One Bad Habit","Michael Franks",1980,244466,38,spotify:user:seankmchenry,2022-08-25T16:29:27Z,"smooth jazz,yacht rock",0.758,0.297,6,-15.223,0,0.0416,0.128,0.00851,0.089,0.451,79.988,4
4hyhb4tHrHc2LvoI0IeRl2,"0AVE7rDx4X9w0pW1XlN1om","Loving You More and More","One Bad Habit","Michael Franks",1980,225826,30,spotify:user:seankmchenry,2022-08-25T16:29:27Z,"smooth jazz,yacht rock",0.699,0.256,2,-19.219,0,0.0355,0.836,0.134,0.27,0.58,131.118,4
1U9lDs0XkttjOBdnrceDAX,"0AVE7rDx4X9w0pW1XlN1om","Still Life","One Bad Habit","Michael Franks",1980,254640,19,spotify:user:seankmchenry,2022-08-25T16:29:27Z,"smooth jazz,yacht rock",0.455,0.0372,0,-25.57,1,0.0368,0.888,0.252,0.113,0.087,116.567,4
0W4o1EsPhlJSIedieXfJVV,"0AVE7rDx4X9w0pW1XlN1om","He Tells Himself He's Happy","One Bad Habit","Michael Franks",1980,308133,20,spotify:user:seankmchenry,2022-08-25T16:29:27Z,"smooth jazz,yacht rock",0.775,0.226,5,-19.255,1,0.0337,0.157,0.0516,0.0388,0.837,81.842,4
5SaggsBF5kOc7v8GpXQx9Y,"0AVE7rDx4X9w0pW1XlN1om","When the Cookie Jar Is Empty","Burchfield Nines","Michael Franks",1978-03-07,310826,24,spotify:user:seankmchenry,2022-08-25T16:29:30Z,"smooth jazz,yacht rock",0.665,0.421,2,-16.295,0,0.0417,0.819,0.0961,0.0893,0.844,166.378,4
01TfB0loycceekA0VuLyxJ,"0AVE7rDx4X9w0pW1XlN1om","A Robinsong","Burchfield Nines","Michael Franks",1978-03-07,228866,20,spotify:user:seankmchenry,2022-08-25T16:29:30Z,"smooth jazz,yacht rock",0.648,0.298,5,-19.214,0,0.0476,0.787,0.0963,0.0952,0.501,122.33,4
5mpBNZDc8db6Ei4b0rZRNM,"0AVE7rDx4X9w0pW1XlN1om","Wrestle a Live Nude Girl","Burchfield Nines","Michael Franks",1978-03-07,274573,13,spotify:user:seankmchenry,2022-08-25T16:29:30Z,"smooth jazz,yacht rock",0.765,0.194,5,-21.434,1,0.0455,0.714,0.14,0.0854,0.567,81.381,4
