Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
15MdPQnZf4xMaIIXTGzokP,"7K4cef9h3NvU7Xb3BH7Ade","Heaven Only Knows","Heaven Only Knows","Michael Seyer",2019-10-14,231504,37,spotify:user:seankmchenry,2022-04-14T16:41:01Z,"bedroom pop,indie garage rock",0.697,0.285,0,-13.208,1,0.0274,0.874,0.00243,0.0917,0.627,90.059,4
36NtYR7FVjJDG1Ihd0bkao,"7K4cef9h3NvU7Xb3BH7Ade","I Can't Dance","Heaven Only Knows","Michael Seyer",2019-10-14,214064,13,spotify:user:seankmchenry,2022-04-14T16:41:01Z,"bedroom pop,indie garage rock",0.745,0.535,5,-14.531,1,0.0434,0.0312,0.385,0.0894,0.897,99.997,4
4SBTJascDGWphiEgmYmikK,"7K4cef9h3NvU7Xb3BH7Ade","A Good Fool","A Good Fool","Michael Seyer",2021-09-24,236293,32,spotify:user:seankmchenry,2022-04-14T16:41:31Z,"bedroom pop,indie garage rock",0.878,0.26,8,-15.326,1,0.0413,0.855,0.346,0.375,0.3,132.048,4
2upWMn2sB2yyuNfe9ouSUG,"7K4cef9h3NvU7Xb3BH7Ade","Ambiguous Love","A Good Fool","Michael Seyer",2021-09-24,240693,24,spotify:user:seankmchenry,2022-04-14T16:41:31Z,"bedroom pop,indie garage rock",0.723,0.461,1,-13.307,1,0.0299,0.519,0.472,0.253,0.475,78.001,4
3otiRSJ6uL6PdyzhQd8xKQ,"7K4cef9h3NvU7Xb3BH7Ade","Miss My Baby","A Good Fool","Michael Seyer",2021-09-24,149306,29,spotify:user:seankmchenry,2022-04-14T16:41:31Z,"bedroom pop,indie garage rock",0.558,0.477,10,-14.726,1,0.0353,0.479,0.895,0.102,0.541,187.982,4
1gxKWuo2AQsjya7TkRCzsF,"7K4cef9h3NvU7Xb3BH7Ade","Little China Boy","A Good Fool","Michael Seyer",2021-09-24,193573,24,spotify:user:seankmchenry,2022-04-14T16:41:31Z,"bedroom pop,indie garage rock",0.827,0.463,11,-10.852,1,0.0422,0.2,0.838,0.172,0.755,170.077,4
6qv2a0DydKjW5k7AdYXNrq,"7K4cef9h3NvU7Xb3BH7Ade","Chemotherapy","A Good Fool","Michael Seyer",2021-09-24,219440,23,spotify:user:seankmchenry,2022-04-14T16:41:31Z,"bedroom pop,indie garage rock",0.808,0.459,3,-12.989,1,0.0311,0.8,0.447,0.111,0.655,94.963,4
6IOvqQjAzC8TFMsWeF5f0g,"7K4cef9h3NvU7Xb3BH7Ade","The Recluse","A Good Fool","Michael Seyer",2021-09-24,186960,23,spotify:user:seankmchenry,2022-04-14T16:41:31Z,"bedroom pop,indie garage rock",0.66,0.473,11,-11.554,1,0.024,0.39,0.582,0.196,0.527,98.428,4
0mjL9P9ghmM41vIV5bie4p,"7K4cef9h3NvU7Xb3BH7Ade","Fast Friends","A Good Fool","Michael Seyer",2021-09-24,170560,21,spotify:user:seankmchenry,2022-04-14T16:41:31Z,"bedroom pop,indie garage rock",0.785,0.357,8,-15.497,0,0.0371,0.903,0.909,0.121,0.466,114.012,4
6Pe4kH5kKeMFgbYWNByqEc,"7K4cef9h3NvU7Xb3BH7Ade","Modern Loneliness","A Good Fool","Michael Seyer",2021-09-24,217760,26,spotify:user:seankmchenry,2022-04-14T16:41:31Z,"bedroom pop,indie garage rock",0.626,0.323,2,-12.584,1,0.0259,0.845,0.443,0.122,0.27,160.032,3
0nFQuSHvtFlLjoTcJy25sU,"7K4cef9h3NvU7Xb3BH7Ade","For Mother","A Good Fool","Michael Seyer",2021-09-24,101306,18,spotify:user:seankmchenry,2022-04-14T16:41:31Z,"bedroom pop,indie garage rock",0.655,0.126,0,-16.85,1,0.0451,0.859,0.563,0.0606,0.363,130.735,4
5fVJ45BcVSasX2SchxuxMz,"7K4cef9h3NvU7Xb3BH7Ade","Nirvana","A Good Fool","Michael Seyer",2021-09-24,208960,26,spotify:user:seankmchenry,2022-04-14T16:41:31Z,"bedroom pop,indie garage rock",0.672,0.401,1,-13.837,0,0.0276,0.861,0.703,0.146,0.478,78.987,4
6poWhLjBNjaYUwL8DWXT6W,"7K4cef9h3NvU7Xb3BH7Ade","The Day I Wanted To Die","A Good Fool","Michael Seyer",2021-09-24,339440,23,spotify:user:seankmchenry,2022-04-14T16:41:31Z,"bedroom pop,indie garage rock",0.512,0.245,5,-15.933,1,0.0474,0.962,0.798,0.638,0.232,141.161,4
7LIc63OF5nQ388RT5DApge,"7K4cef9h3NvU7Xb3BH7Ade","Greetings!","Greetings!","Michael Seyer",2017-01-05,104515,12,spotify:user:seankmchenry,2022-04-14T16:40:57Z,"bedroom pop,indie garage rock",0.267,0.329,3,-12.545,1,0.0344,0.891,0.826,0.169,0.405,82.159,1
0KDwhHE8RkIskzSnBV7BuV,"7K4cef9h3NvU7Xb3BH7Ade","Ozymandia$$$","Greetings!","Michael Seyer",2017-01-05,169665,14,spotify:user:seankmchenry,2022-04-14T16:40:57Z,"bedroom pop,indie garage rock",0.782,0.424,2,-15.102,1,0.0598,0.0966,0.278,0.117,0.653,74.519,4
5zQUTeFF8kp3COxULCVO3P,"7K4cef9h3NvU7Xb3BH7Ade","Making Chit Chat with a Stranger at a Dinner Party","Greetings!","Michael Seyer",2017-01-05,320679,24,spotify:user:seankmchenry,2022-04-14T16:40:57Z,"bedroom pop,indie garage rock",0.65,0.329,9,-15.008,0,0.0288,0.391,0.0415,0.353,0.424,74.992,4
5PV4nZ040GnYh2s4HeRZHI,"7K4cef9h3NvU7Xb3BH7Ade","The Most Beautiful Painting in the World","Greetings!","Michael Seyer",2017-01-05,206131,17,spotify:user:seankmchenry,2022-04-14T16:40:57Z,"bedroom pop,indie garage rock",0.634,0.0818,7,-17.142,0,0.0439,0.911,0.00239,0.117,0.362,79.083,4
75K0TIeUkbLKir3fZrejBQ,"7K4cef9h3NvU7Xb3BH7Ade","Nostalgia II","Nostalgia","Michael Seyer",2019-11-08,41248,17,spotify:user:seankmchenry,2022-04-14T16:41:14Z,"bedroom pop,indie garage rock",0.28,0.0185,0,-24.189,1,0.0403,0.99,0.957,0.32,0.15,146.968,4
4L4hisBz6y7DfFInjQARAS,"7K4cef9h3NvU7Xb3BH7Ade","Heaven Only Knows","Nostalgia","Michael Seyer",2019-11-08,231504,19,spotify:user:seankmchenry,2022-04-14T16:41:14Z,"bedroom pop,indie garage rock",0.697,0.285,0,-13.208,1,0.0274,0.874,0.00243,0.0917,0.627,90.059,4
4JxVC64gIHlQAxCNIfTWgJ,"7K4cef9h3NvU7Xb3BH7Ade","Oh! This Is Love","Nostalgia","Michael Seyer",2019-11-08,157689,20,spotify:user:seankmchenry,2022-04-14T16:41:14Z,"bedroom pop,indie garage rock",0.878,0.392,5,-13.54,1,0.0487,0.484,0.0102,0.0969,0.839,92.977,4
0iSvXeD72j6n4iuED29bEq,"7K4cef9h3NvU7Xb3BH7Ade","I Can't Dance","Nostalgia","Michael Seyer",2019-11-08,214064,16,spotify:user:seankmchenry,2022-04-14T16:41:14Z,"bedroom pop,indie garage rock",0.745,0.535,5,-14.531,1,0.0434,0.0312,0.385,0.0894,0.897,99.997,4
6xAVyxlrq3hm15Uf1tqBYx,"7K4cef9h3NvU7Xb3BH7Ade","Love Is Just a Memory","Nostalgia","Michael Seyer",2019-11-08,221799,31,spotify:user:seankmchenry,2022-04-14T16:41:14Z,"bedroom pop,indie garage rock",0.719,0.246,7,-14.058,1,0.0346,0.79,0.0535,0.119,0.443,74.988,4
7GnR0aTq56nGcEREOABGHz,"7K4cef9h3NvU7Xb3BH7Ade","Nostalgia","Nostalgia","Michael Seyer",2019-11-08,243807,24,spotify:user:seankmchenry,2022-04-14T16:41:14Z,"bedroom pop,indie garage rock",0.793,0.397,9,-14.447,0,0.0345,0.417,0.735,0.0968,0.747,143.997,4
